STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
35,1,4402,35001004402,44.02,Census Tract 44.02,G5020,S,5102792,630,35.0396414,-106.6991813,1400000US35001004402,"Census Tract 44.02, Bernalillo County, New Mexico",1,43750,35,4262,4402,3212,321.09628010536187
35,1,4501,35001004501,45.01,Census Tract 45.01,G5020,S,2238191,310932,35.0417938,-106.6726985,1400000US35001004501,"Census Tract 45.01, Bernalillo County, New Mexico",1,36891,35,3298,4501,2438,312.4647289535451
35,1,4712,35001004712,47.12,Census Tract 47.12,G5020,S,6928227,24374,35.0680642,-106.7583700,1400000US35001004712,"Census Tract 47.12, Bernalillo County, New Mexico",1,44883,35,7092,4712,5153,323.06895459879803
35,1,4713,35001004713,47.13,Census Tract 47.13,G5020,S,2825492,0,35.0486331,-106.7488369,1400000US35001004713,"Census Tract 47.13, Bernalillo County, New Mexico",1,43419,35,6787,4713,5215,322.08698909985515
35,1,4724,35001004724,47.24,Census Tract 47.24,G5020,S,1679719,0,35.1647693,-106.7046940,1400000US35001004724,"Census Tract 47.24, Bernalillo County, New Mexico",1,85077,35,3180,4724,2771,320.5953379848109
35,1,4726,35001004726,47.26,Census Tract 47.26,G5020,S,1152148,0,35.1467283,-106.7183869,1400000US35001004726,"Census Tract 47.26, Bernalillo County, New Mexico",1,60938,35,2446,4726,1934,321.83351162108454
35,1,4728,35001004728,47.28,Census Tract 47.28,G5020,S,2653790,0,35.1424651,-106.7010213,1400000US35001004728,"Census Tract 47.28, Bernalillo County, New Mexico",1,73442,35,5192,4728,4166,320.38125119719075
35,1,4729,35001004729,47.29,Census Tract 47.29,G5020,S,4619046,440300,35.1320653,-106.6950083,1400000US35001004729,"Census Tract 47.29, Bernalillo County, New Mexico",1,56906,35,3918,4729,3166,319.7812877485507
35,1,4725,35001004725,47.25,Census Tract 47.25,G5020,S,1811240,0,35.1565664,-106.7041430,1400000US35001004725,"Census Tract 47.25, Bernalillo County, New Mexico",1,71200,35,4188,4725,3867,320.56334552825143
35,1,4717,35001004717,47.17,Census Tract 47.17,G5020,S,3392471,43760,35.2074044,-106.6681287,1400000US35001004717,"Census Tract 47.17, Bernalillo County, New Mexico",1,50907,35,7944,4717,5666,319.7370425245809
35,1,4720,35001004720,47.20,Census Tract 47.20,G5020,S,2722390,72606,35.1999184,-106.6886557,1400000US35001004720,"Census Tract 47.20, Bernalillo County, New Mexico",1,63452,35,3881,4720,3295,319.9169536484603
35,1,714,35001000714,7.14,Census Tract 7.14,G5020,S,3262694,36408,35.0534874,-106.5243025,1400000US35001000714,"Census Tract 7.14, Bernalillo County, New Mexico",1,60318,35,4627,714,2991,320.0845973446674
35,1,4744,35001004744,47.44,Census Tract 47.44,G5020,S,20597184,257921,35.0927378,-106.7837456,1400000US35001004744,"Census Tract 47.44, Bernalillo County, New Mexico",1,91675,35,5289,4744,4425,322.1957680704756
