STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,59,21813,6059021813,218.13,Census Tract 218.13,G5020,S,4073720,622433,33.8581232,-117.8046708,1400000US06059021813,"Census Tract 218.13, Orange County, California",59,-666666666,6,100,21813,36,311.32711354264745
6,59,21903,6059021903,219.03,Census Tract 219.03,G5020,S,2355971,272253,33.8523324,-117.8076196,1400000US06059021903,"Census Tract 219.03, Orange County, California",59,98922,6,4107,21903,3031,309.02618712461043
6,59,21919,6059021919,219.19,Census Tract 219.19,G5020,S,2178698,0,33.8488293,-117.7696789,1400000US06059021919,"Census Tract 219.19, Orange County, California",59,125852,6,2856,21919,2197,307.0245820986508
6,59,21922,6059021922,219.22,Census Tract 219.22,G5020,S,2092928,0,33.8639175,-117.7497908,1400000US06059021922,"Census Tract 219.22, Orange County, California",59,89699,6,4904,21922,3381,307.97442129039007
6,59,87001,6059087001,870.01,Census Tract 870.01,G5020,S,1314663,0,33.8248552,-117.9802840,1400000US06059087001,"Census Tract 870.01, Orange County, California",59,54898,6,5197,87001,2831,309.33070668966496
6,59,87002,6059087002,870.02,Census Tract 870.02,G5020,S,1246020,0,33.8249717,-117.9717657,1400000US06059087002,"Census Tract 870.02, Orange County, California",59,64010,6,7750,87002,5239,309.68218688474377
6,59,86405,6059086405,864.05,Census Tract 864.05,G5020,S,1220013,0,33.8434369,-117.8971362,1400000US06059086405,"Census Tract 864.05, Orange County, California",59,48973,6,7568,86405,5916,310.6557122736512
6,59,21821,6059021821,218.21,Census Tract 218.21,G5020,S,2192024,0,33.8683070,-117.8310387,1400000US06059021821,"Census Tract 218.21, Orange County, California",59,89477,6,7213,21821,5131,311.6583308358711
6,59,87101,6059087101,871.01,Census Tract 871.01,G5020,S,1318986,0,33.8323796,-117.9633147,1400000US06059087101,"Census Tract 871.01, Orange County, California",59,54300,6,4743,87101,2660,308.9771794087231
6,59,87102,6059087102,871.02,Census Tract 871.02,G5020,S,1445590,13757,33.8362181,-117.9522062,1400000US06059087102,"Census Tract 871.02, Orange County, California",59,58472,6,6631,87102,4432,310.4189366679029
6,59,87103,6059087103,871.03,Census Tract 871.03,G5020,S,1978797,0,33.8264301,-117.9487797,1400000US06059087103,"Census Tract 871.03, Orange County, California",59,53313,6,8071,87103,5477,310.2486233859755
6,59,87105,6059087105,871.05,Census Tract 871.05,G5020,S,1727716,0,33.8274725,-117.9346588,1400000US06059087105,"Census Tract 871.05, Orange County, California",59,59250,6,4280,87105,2546,310.075927144903
6,59,87106,6059087106,871.06,Census Tract 871.06,G5020,S,924242,0,33.8201001,-117.9300579,1400000US06059087106,"Census Tract 871.06, Orange County, California",59,49375,6,5164,87106,3873,309.7428400562512
6,59,11602,6059011602,116.02,Census Tract 116.02,G5020,S,5641944,28076,33.8615748,-117.9022903,1400000US06059011602,"Census Tract 116.02, Orange County, California",59,48517,6,5090,11602,3682,311.8790361378492
6,59,21812,6059021812,218.12,Census Tract 218.12,G5020,S,3040525,0,33.8715008,-117.8062222,1400000US06059021812,"Census Tract 218.12, Orange County, California",59,103173,6,6348,21812,5182,310.6772160750956
6,59,21905,6059021905,219.05,Census Tract 219.05,G5020,S,3280325,258869,33.8582082,-117.7728166,1400000US06059021905,"Census Tract 219.05, Orange County, California",59,118477,6,5454,21905,4023,308.73622618931927
6,59,21916,6059021916,219.16,Census Tract 219.16,G5020,S,2188371,0,33.8406446,-117.7923751,1400000US06059021916,"Census Tract 219.16, Orange County, California",59,107738,6,3386,21916,2419,306.69677439884333
