STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,439,121609,48439121609,1216.09,Census Tract 1216.09,G5020,S,4036423,2474977,32.6893777,-97.2140987,1400000US48439121609,"Census Tract 1216.09, Tarrant County, Texas",439,119946,48,5430,121609,4304,305.9560819460071
48,439,111522,48439111522,1115.22,Census Tract 1115.22,G5020,S,2598663,0,32.6989216,-97.0891636,1400000US48439111522,"Census Tract 1115.22, Tarrant County, Texas",439,50146,48,7945,111522,5566,307.0422772977221
48,439,113109,48439113109,1131.09,Census Tract 1131.09,G5020,S,2490155,0,32.7658703,-97.0758983,1400000US48439113109,"Census Tract 1131.09, Tarrant County, Texas",439,56809,48,4142,113109,2251,307.7546709026538
48,439,111516,48439111516,1115.16,Census Tract 1115.16,G5020,S,4347450,0,32.6661470,-97.1245117,1400000US48439111516,"Census Tract 1115.16, Tarrant County, Texas",439,60246,48,7107,111516,3026,307.76786659542205
48,439,111505,48439111505,1115.05,Census Tract 1115.05,G5020,S,2478894,26761,32.7316361,-97.1574881,1400000US48439111505,"Census Tract 1115.05, Tarrant County, Texas",439,58723,48,4321,111505,3451,305.1369187067927
48,439,111521,48439111521,1115.21,Census Tract 1115.21,G5020,S,2685851,0,32.6987294,-97.0717117,1400000US48439111521,"Census Tract 1115.21, Tarrant County, Texas",439,55616,48,8290,111521,4161,307.81184238796516
48,439,106514,48439106514,1065.14,Census Tract 1065.14,G5020,S,4441527,21161,32.7509863,-97.1746810,1400000US48439106514,"Census Tract 1065.14, Tarrant County, Texas",439,45475,48,6022,106514,2081,304.35076429688746
48,439,111404,48439111404,1114.04,Census Tract 1114.04,G5020,S,8620177,35696,32.6424539,-97.2012735,1400000US48439111404,"Census Tract 1114.04, Tarrant County, Texas",439,55599,48,8706,111404,5692,307.43756388558086
48,439,111506,48439111506,1115.06,Census Tract 1115.06,G5020,S,4334619,0,32.7157572,-97.1616013,1400000US48439111506,"Census Tract 1115.06, Tarrant County, Texas",439,47171,48,6752,111506,5186,305.8578859416569
48,439,111513,48439111513,1115.13,Census Tract 1115.13,G5020,S,4626702,13950,32.6669835,-97.0749765,1400000US48439111513,"Census Tract 1115.13, Tarrant County, Texas",439,77670,48,4227,111513,2129,307.2455949497549
48,439,111514,48439111514,1115.14,Census Tract 1115.14,G5020,S,3531431,0,32.6632881,-97.0842141,1400000US48439111514,"Census Tract 1115.14, Tarrant County, Texas",439,72000,48,7220,111514,2870,307.38684164620173
48,439,122200,48439122200,1222,Census Tract 1222,G5020,S,1468111,0,32.7403546,-97.1081940,1400000US48439122200,"Census Tract 1222, Tarrant County, Texas",439,26827,48,1966,122200,1544,308.5461984935954
48,439,122300,48439122300,1223,Census Tract 1223,G5020,S,2345097,0,32.7329728,-97.1098417,1400000US48439122300,"Census Tract 1223, Tarrant County, Texas",439,21262,48,4102,122300,2005,308.51777940851207
48,439,122400,48439122400,1224,Census Tract 1224,G5020,S,3337986,0,32.7263752,-97.1175591,1400000US48439122400,"Census Tract 1224, Tarrant County, Texas",439,32809,48,5760,122400,3568,307.0301121135658
48,439,122500,48439122500,1225,Census Tract 1225,G5020,S,2414839,0,32.7280501,-97.1402932,1400000US48439122500,"Census Tract 1225, Tarrant County, Texas",439,53638,48,4007,122500,3445,306.232404261854
48,439,122600,48439122600,1226,Census Tract 1226,G5020,S,2462800,0,32.7143455,-97.1401558,1400000US48439122600,"Census Tract 1226, Tarrant County, Texas",439,62697,48,3949,122600,3424,306.61247038646206
48,439,121601,48439121601,1216.01,Census Tract 1216.01,G5020,S,6114093,159600,32.7406621,-97.1606878,1400000US48439121601,"Census Tract 1216.01, Tarrant County, Texas",439,53787,48,7825,121601,6489,305.37695587716354
48,439,121604,48439121604,1216.04,Census Tract 1216.04,G5020,S,3066921,12056,32.7490892,-97.1364659,1400000US48439121604,"Census Tract 1216.04, Tarrant County, Texas",439,47130,48,6451,121604,4315,307.21688502471216
48,439,111402,48439111402,1114.02,Census Tract 1114.02,G5020,S,3582714,1857,32.6424571,-97.1696820,1400000US48439111402,"Census Tract 1114.02, Tarrant County, Texas",439,75194,48,6264,111402,4566,306.60803177534456
48,439,111531,48439111531,1115.31,Census Tract 1115.31,G5020,S,3479522,0,32.6686991,-97.1774686,1400000US48439111531,"Census Tract 1115.31, Tarrant County, Texas",439,77472,48,4901,111531,3607,306.354772715688
48,439,111532,48439111532,1115.32,Census Tract 1115.32,G5020,S,4828981,0,32.6588933,-97.1975890,1400000US48439111532,"Census Tract 1115.32, Tarrant County, Texas",439,84644,48,7273,111532,6035,307.4750412476878
48,439,111533,48439111533,1115.33,Census Tract 1115.33,G5020,S,3232446,0,32.6543964,-97.1488962,1400000US48439111533,"Census Tract 1115.33, Tarrant County, Texas",439,72188,48,4962,111533,4077,306.6912298092955
48,439,111534,48439111534,1115.34,Census Tract 1115.34,G5020,S,3379780,0,32.6548139,-97.1781915,1400000US48439111534,"Census Tract 1115.34, Tarrant County, Texas",439,78138,48,6526,111534,4845,306.96262944932664
48,439,111538,48439111538,1115.38,Census Tract 1115.38,G5020,S,2713670,0,32.6715232,-97.0494071,1400000US48439111538,"Census Tract 1115.38, Tarrant County, Texas",439,70599,48,6191,111538,3004,307.9755190933091
48,439,111545,48439111545,1115.45,Census Tract 1115.45,G5020,S,5200867,94562,32.6941657,-97.1591249,1400000US48439111545,"Census Tract 1115.45, Tarrant County, Texas",439,121544,48,2327,111545,1983,305.55052725671936
48,439,111546,48439111546,1115.46,Census Tract 1115.46,G5020,S,4778555,0,32.6812144,-97.1761377,1400000US48439111546,"Census Tract 1115.46, Tarrant County, Texas",439,91647,48,6863,111546,5633,307.2698828974138
48,439,113102,48439113102,1131.02,Census Tract 1131.02,G5020,S,11715529,16992,32.7916818,-97.1185548,1400000US48439113102,"Census Tract 1131.02, Tarrant County, Texas",439,41783,48,3675,113102,2789,305.35678358579145
48,439,113104,48439113104,1131.04,Census Tract 1131.04,G5020,S,1254903,0,32.7778326,-97.0884396,1400000US48439113104,"Census Tract 1131.04, Tarrant County, Texas",439,41434,48,4000,113104,2435,307.23676181764597
48,439,113107,48439113107,1131.07,Census Tract 1131.07,G5020,S,1663757,0,32.7697507,-97.1190296,1400000US48439113107,"Census Tract 1131.07, Tarrant County, Texas",439,88235,48,2243,113107,1888,307.1682842102142
48,439,122900,48439122900,1229,Census Tract 1229,G5020,S,2647933,0,32.7135624,-97.0889777,1400000US48439122900,"Census Tract 1229, Tarrant County, Texas",439,41726,48,8347,122900,6849,307.00467204807734
48,439,106509,48439106509,1065.09,Census Tract 1065.09,G5020,S,15189255,1342507,32.7844649,-97.1588166,1400000US48439106509,"Census Tract 1065.09, Tarrant County, Texas",439,62781,48,5342,106509,2684,304.42305468863157
48,439,121704,48439121704,1217.04,Census Tract 1217.04,G5020,S,2130890,0,32.7528767,-97.1041219,1400000US48439121704,"Census Tract 1217.04, Tarrant County, Texas",439,32419,48,3583,121704,2475,307.7491722946057
48,439,113002,48439113002,1130.02,Census Tract 1130.02,G5020,S,10991315,41167,32.7430150,-97.0492068,1400000US48439113002,"Census Tract 1130.02, Tarrant County, Texas",439,41622,48,6989,113002,3891,308.8322253775113
48,439,106400,48439106400,1064,Census Tract 1064,G5020,S,5880569,3421364,32.6937159,-97.2341883,1400000US48439106400,"Census Tract 1064, Tarrant County, Texas",439,48782,48,2980,106400,1790,302.32645689559587
48,439,113110,48439113110,1131.10,Census Tract 1131.10,G5020,S,1795775,0,32.7673933,-97.0913390,1400000US48439113110,"Census Tract 1131.10, Tarrant County, Texas",439,51092,48,4414,113110,2668,308.0841549632844
48,439,111406,48439111406,1114.06,Census Tract 1114.06,G5020,S,7353098,0,32.6041567,-97.1598836,1400000US48439111406,"Census Tract 1114.06, Tarrant County, Texas",439,107865,48,4344,111406,3241,305.71044778262126
48,439,111310,48439111310,1113.10,Census Tract 1113.10,G5020,S,6051955,107906,32.6082493,-97.0894165,1400000US48439111310,"Census Tract 1113.10, Tarrant County, Texas",439,87516,48,10585,111310,5034,307.52132158651324
48,439,111547,48439111547,1115.47,Census Tract 1115.47,G5020,S,10344563,26182,32.6352247,-97.0843300,1400000US48439111547,"Census Tract 1115.47, Tarrant County, Texas",439,64005,48,19354,111547,6546,307.5477599453053
48,439,121904,48439121904,1219.04,Census Tract 1219.04,G5020,S,2256465,0,32.7212754,-97.0584745,1400000US48439121904,"Census Tract 1219.04, Tarrant County, Texas",439,35385,48,4558,121904,3368,307.4309490877872
48,439,111553,48439111553,1115.53,Census Tract 1115.53,G5020,S,2273725,0,32.6824160,-97.1398974,1400000US48439111553,"Census Tract 1115.53, Tarrant County, Texas",439,47986,48,3698,111553,2624,307.40448645768294
48,439,122801,48439122801,1228.01,Census Tract 1228.01,G5020,S,908132,0,32.7140743,-97.1118770,1400000US48439122801,"Census Tract 1228.01, Tarrant County, Texas",439,32500,48,3999,122801,2862,307.8689882840786
48,439,111552,48439111552,1115.52,Census Tract 1115.52,G5020,S,2633640,0,32.6936865,-97.1393806,1400000US48439111552,"Census Tract 1115.52, Tarrant County, Texas",439,62831,48,3423,111552,2901,307.0975588911917
48,439,122001,48439122001,1220.01,Census Tract 1220.01,G5020,S,1296767,0,32.7243818,-97.0713856,1400000US48439122001,"Census Tract 1220.01, Tarrant County, Texas",439,49159,48,4270,122001,3722,307.1859593856148
48,439,122002,48439122002,1220.02,Census Tract 1220.02,G5020,S,1349984,0,32.7315734,-97.0713812,1400000US48439122002,"Census Tract 1220.02, Tarrant County, Texas",439,38779,48,4814,122002,3346,306.92278675182376
48,439,113115,48439113115,1131.15,Census Tract 1131.15,G5020,S,1087822,0,32.7723920,-97.0689351,1400000US48439113115,"Census Tract 1131.15, Tarrant County, Texas",439,39032,48,3219,113115,2102,307.4221288225272
48,439,122802,48439122802,1228.02,Census Tract 1228.02,G5020,S,1779174,0,32.7132906,-97.1035327,1400000US48439122802,"Census Tract 1228.02, Tarrant County, Texas",439,37744,48,4835,122802,3638,306.9582031014094
48,439,121905,48439121905,1219.05,Census Tract 1219.05,G5020,S,1278945,0,32.7096146,-97.0720764,1400000US48439121905,"Census Tract 1219.05, Tarrant County, Texas",439,24517,48,5037,121905,2181,308.03368916541456
48,439,113116,48439113116,1131.16,Census Tract 1131.16,G5020,S,873301,0,32.7798847,-97.0650194,1400000US48439113116,"Census Tract 1131.16, Tarrant County, Texas",439,43776,48,4861,113116,2529,307.9250103989381
48,439,101302,48439101302,1013.02,Census Tract 1013.02,G5020,S,4283789,687412,32.7267357,-97.2169302,1400000US48439101302,"Census Tract 1013.02, Tarrant County, Texas",439,39243,48,3363,101302,2007,303.58688016075047
48,439,111536,48439111536,1115.36,Census Tract 1115.36,G5020,S,4023662,0,32.6987763,-97.0495650,1400000US48439111536,"Census Tract 1115.36, Tarrant County, Texas",439,47875,48,3257,111536,1343,308.0709918914146
48,439,121606,48439121606,1216.06,Census Tract 1216.06,G5020,S,6341565,1278462,32.7211139,-97.1925304,1400000US48439121606,"Census Tract 1216.06, Tarrant County, Texas",439,90000,48,3467,121606,2551,306.04305521461197
48,439,111523,48439111523,1115.23,Census Tract 1115.23,G5020,S,4758202,22911,32.6847201,-97.0772743,1400000US48439111523,"Census Tract 1115.23, Tarrant County, Texas",439,51038,48,9789,111523,3566,307.54555695831743
48,439,111524,48439111524,1115.24,Census Tract 1115.24,G5020,S,3947814,0,32.6982392,-97.1107855,1400000US48439111524,"Census Tract 1115.24, Tarrant County, Texas",439,46548,48,7364,111524,4186,307.6006202087859
48,439,111525,48439111525,1115.25,Census Tract 1115.25,G5020,S,5400980,4383,32.6833909,-97.1086153,1400000US48439111525,"Census Tract 1115.25, Tarrant County, Texas",439,47705,48,6692,111525,3860,307.8426164325749
48,439,111526,48439111526,1115.26,Census Tract 1115.26,G5020,S,2168800,0,32.7031354,-97.1346428,1400000US48439111526,"Census Tract 1115.26, Tarrant County, Texas",439,53066,48,4388,111526,2954,307.77556345285325
48,439,111529,48439111529,1115.29,Census Tract 1115.29,G5020,S,2137145,0,32.6975651,-97.1752687,1400000US48439111529,"Census Tract 1115.29, Tarrant County, Texas",439,75192,48,4056,111529,3496,307.06549850095007
48,439,111530,48439111530,1115.30,Census Tract 1115.30,G5020,S,5047425,39039,32.6687072,-97.1518437,1400000US48439111530,"Census Tract 1115.30, Tarrant County, Texas",439,92536,48,6593,111530,4840,306.299165418737
48,439,121903,48439121903,1219.03,Census Tract 1219.03,G5020,S,2797055,0,32.7177243,-97.0500682,1400000US48439121903,"Census Tract 1219.03, Tarrant County, Texas",439,26163,48,5893,121903,3929,308.036981019972
