STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
13,121,6601,13121006601,66.01,Census Tract 66.01,G5020,S,1954144,0,33.7115423,-84.4224014,1400000US13121006601,"Census Tract 66.01, Fulton County, Georgia",121,36250,13,2087,6601,329,304.3236445288128
13,121,6700,13121006700,67,Census Tract 67,G5020,S,3381413,30463,33.7021727,-84.3954527,1400000US13121006700,"Census Tract 67, Fulton County, Georgia",121,23017,13,4051,6700,187,304.28973647087633
13,121,9300,13121009300,93,Census Tract 93,G5020,S,2417624,30244,33.8212723,-84.3808773,1400000US13121009300,"Census Tract 93, Fulton County, Georgia",121,100844,13,4916,9300,4421,302.4355282366824
13,121,9402,13121009402,94.02,Census Tract 94.02,G5020,S,1337076,22818,33.8221523,-84.3642584,1400000US13121009402,"Census Tract 94.02, Fulton County, Georgia",121,69034,13,4957,9402,2941,306.95488323902987
13,89,22401,13089022401,224.01,Census Tract 224.01,G5020,S,2628815,1936,33.7885676,-84.3431167,1400000US13089022401,"Census Tract 224.01, DeKalb County, Georgia",89,86366,13,3708,22401,2987,303.9444762756446
13,89,23700,13089023700,237,Census Tract 237,G5020,S,4764924,11198,33.7313084,-84.3183573,1400000US13089023700,"Census Tract 237, DeKalb County, Georgia",89,45077,13,6211,23700,1018,303.37068434650183
13,121,500,13121000500,5,Census Tract 5,G5020,S,3295685,11397,33.7961417,-84.3854516,1400000US13121000500,"Census Tract 5, Fulton County, Georgia",121,85750,13,5572,500,3848,303.87303992127437
13,121,1300,13121001300,13,Census Tract 13,G5020,S,1316970,0,33.7761933,-84.3715699,1400000US13121001300,"Census Tract 13, Fulton County, Georgia",121,66223,13,4655,1300,3069,305.0077358591659
13,121,1400,13121001400,14,Census Tract 14,G5020,S,722970,0,33.7770784,-84.3622634,1400000US13121001400,"Census Tract 14, Fulton County, Georgia",121,86333,13,2281,1400,1997,304.62614590670387
13,121,1500,13121001500,15,Census Tract 15,G5020,S,1151121,0,33.7764970,-84.3539007,1400000US13121001500,"Census Tract 15, Fulton County, Georgia",121,63464,13,4637,1500,3834,304.51787193837805
