STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
8,5,7107,8005007107,71.07,Census Tract 71.07,G5020,S,14089771,0,39.5891455,-104.6788855,1400000US08005007107,"Census Tract 71.07, Arapahoe County, Colorado",5,123819,8,8660,7107,7147,304.9414074556237
8,5,80500,8005080500,805,Census Tract 805,G5020,S,1264541,0,39.6712836,-104.8382120,1400000US08005080500,"Census Tract 805, Arapahoe County, Colorado",5,60819,8,3593,80500,2695,305.61877006399766
8,5,83900,8005083900,839,Census Tract 839,G5020,S,1376201,0,39.6461495,-104.8243559,1400000US08005083900,"Census Tract 839, Arapahoe County, Colorado",5,60349,8,2840,83900,2264,304.4817596235957
8,5,82300,8005082300,823,Census Tract 823,G5020,S,1238504,0,39.6813394,-104.8029554,1400000US08005082300,"Census Tract 823, Arapahoe County, Colorado",5,60363,8,3958,82300,2602,305.93154013956104
8,5,80800,8005080800,808,Census Tract 808,G5020,S,914502,0,39.6993931,-104.8390645,1400000US08005080800,"Census Tract 808, Arapahoe County, Colorado",5,49083,8,3463,80800,1673,307.0334300067805
8,5,82600,8005082600,826,Census Tract 826,G5020,S,2430796,0,39.7035570,-104.7824921,1400000US08005082600,"Census Tract 826, Arapahoe County, Colorado",5,52281,8,5182,82600,1778,307.1594456998226
8,5,81300,8005081300,813,Census Tract 813,G5020,S,1174975,0,39.6899412,-104.8148643,1400000US08005081300,"Census Tract 813, Arapahoe County, Colorado",5,56528,8,3108,81300,1649,305.92149892792656
8,5,84000,8005084000,840,Census Tract 840,G5020,S,883774,0,39.6462937,-104.7945883,1400000US08005084000,"Census Tract 840, Arapahoe County, Colorado",5,87270,8,2570,84000,1979,305.22782815863246
8,5,81200,8005081200,812,Census Tract 812,G5020,S,1337016,0,39.6894218,-104.8241140,1400000US08005081200,"Census Tract 812, Arapahoe County, Colorado",5,48097,8,4599,81200,2301,306.17006191082663
8,5,7500,8005007500,75,Census Tract 75,G5020,S,856638,0,39.7332593,-104.8400870,1400000US08005007500,"Census Tract 75, Arapahoe County, Colorado",5,55764,8,2468,7500,1457,306.9582031014094
8,5,84700,8005084700,847,Census Tract 847,G5020,S,1738397,0,39.6455712,-104.8038517,1400000US08005084700,"Census Tract 847, Arapahoe County, Colorado",5,75673,8,4606,84700,3527,305.59192487042037
8,5,83400,8005083400,834,Census Tract 834,G5020,S,2716939,0,39.6604343,-104.7627208,1400000US08005083400,"Census Tract 834, Arapahoe County, Colorado",5,76339,8,7435,83400,5094,304.85591540261595
8,5,7703,8005007703,77.03,Census Tract 77.03,G5020,S,1843142,0,39.7202362,-104.8578519,1400000US08005007703,"Census Tract 77.03, Arapahoe County, Colorado",5,49260,8,4769,7703,3170,306.1912172392999
8,1,7801,8001007801,78.01,Census Tract 78.01,G5020,S,641546,0,39.7419967,-104.8752239,1400000US08001007801,"Census Tract 78.01, Adams County, Colorado",1,24420,8,4412,7801,1635,307.33830579061475
8,5,7702,8005007702,77.02,Census Tract 77.02,G5020,S,2778636,0,39.7183115,-104.8364527,1400000US08005007702,"Census Tract 77.02, Arapahoe County, Colorado",5,49044,8,4260,7702,2483,306.00961107734616
8,5,7704,8005007704,77.04,Census Tract 77.04,G5020,S,840341,0,39.7149726,-104.8524238,1400000US08005007704,"Census Tract 77.04, Arapahoe County, Colorado",5,44089,8,5045,7704,1991,306.32585998227023
8,1,7900,8001007900,79,Census Tract 79,G5020,S,1637823,338,39.7483494,-104.8734620,1400000US08001007900,"Census Tract 79, Adams County, Colorado",1,38297,8,5589,7900,2751,306.8452789551541
8,1,8401,8001008401,84.01,Census Tract 84.01,G5020,S,498369266,3695245,39.8695550,-104.5174306,1400000US08001008401,"Census Tract 84.01, Adams County, Colorado",1,62209,8,4747,8401,4271,301.32880336548317
8,1,8353,8001008353,83.53,Census Tract 83.53,G5020,S,111683053,556827,39.7744024,-104.6750888,1400000US08001008353,"Census Tract 83.53, Adams County, Colorado",1,60243,8,7088,8353,4637,304.50433105156816
8,5,7400,8005007400,74,Census Tract 74,G5020,S,1934558,0,39.7310346,-104.8565432,1400000US08005007400,"Census Tract 74, Arapahoe County, Colorado",5,48239,8,5487,7400,3110,306.7876710101805
8,5,7600,8005007600,76,Census Tract 76,G5020,S,1326882,0,39.7292876,-104.8336709,1400000US08005007600,"Census Tract 76, Arapahoe County, Colorado",5,38262,8,3646,7600,1897,307.0688154687428
8,5,7201,8005007201,72.01,Census Tract 72.01,G5020,S,1333307,0,39.7217535,-104.8694577,1400000US08005007201,"Census Tract 72.01, Arapahoe County, Colorado",5,33750,8,4023,7201,1753,306.5147849027123
