STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,209,10908,48209010908,109.08,Census Tract 109.08,G5020,S,39031701,874308,30.0546634,-97.8008814,1400000US48209010908,"Census Tract 109.08, Hays County, Texas",209,67434,48,11852,10908,9987,306.17006191082663
48,453,402,48453000402,4.02,Census Tract 4.02,G5020,S,1543583,0,30.2841390,-97.7155242,1400000US48453000402,"Census Tract 4.02, Travis County, Texas",453,53796,48,3400,402,2316,306.99582213316967
48,453,500,48453000500,5,Census Tract 5,G5020,S,1152030,0,30.2960656,-97.7341753,1400000US48453000500,"Census Tract 5, Travis County, Texas",453,38750,48,4486,500,3738,306.61468963356316
48,453,601,48453000601,6.01,Census Tract 6.01,G5020,S,1113392,0,30.2874117,-97.7380441,1400000US48453000601,"Census Tract 6.01, Travis County, Texas",453,15938,48,10147,601,7344,308.00735127860713
48,453,603,48453000603,6.03,Census Tract 6.03,G5020,S,790189,0,30.2919924,-97.7462695,1400000US48453000603,"Census Tract 6.03, Travis County, Texas",453,10035,48,8045,603,5329,307.5741928182269
48,453,604,48453000604,6.04,Census Tract 6.04,G5020,S,666856,0,30.2855339,-97.7477274,1400000US48453000604,"Census Tract 6.04, Travis County, Texas",453,8975,48,7140,604,4810,307.7414738452637
48,453,801,48453000801,8.01,Census Tract 8.01,G5020,S,1292330,0,30.2669542,-97.7014857,1400000US48453000801,"Census Tract 8.01, Travis County, Texas",453,43417,48,1877,801,1504,306.2924908944266
48,453,802,48453000802,8.02,Census Tract 8.02,G5020,S,1711811,0,30.2735527,-97.7079890,1400000US48453000802,"Census Tract 8.02, Travis County, Texas",453,40579,48,3377,802,2013,307.21025873588906
48,453,803,48453000803,8.03,Census Tract 8.03,G5020,S,1444991,0,30.2768115,-97.7204722,1400000US48453000803,"Census Tract 8.03, Travis County, Texas",453,83387,48,2489,803,1927,306.92278675182376
48,453,804,48453000804,8.04,Census Tract 8.04,G5020,S,1047621,0,30.2700914,-97.7219450,1400000US48453000804,"Census Tract 8.04, Travis County, Texas",453,38711,48,2452,804,1677,307.83382460515577
48,453,901,48453000901,9.01,Census Tract 9.01,G5020,S,867134,0,30.2655681,-97.7237400,1400000US48453000901,"Census Tract 9.01, Travis County, Texas",453,77845,48,2424,901,1801,307.34933829342873
48,453,1603,48453001603,16.03,Census Tract 16.03,G5020,S,2559600,0,30.2984281,-97.7564434,1400000US48453001603,"Census Tract 16.03, Travis County, Texas",453,141705,48,5075,1603,4739,305.5997553127071
