STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,29,2819,6029002819,28.19,Census Tract 28.19,G5020,S,1651627,0,35.3230440,-119.0823051,1400000US06029002819,"Census Tract 28.19, Kern County, California",29,64882,6,4873,2819,3241,314.8071419338121
6,29,2821,6029002821,28.21,Census Tract 28.21,G5020,S,1808603,0,35.3162893,-119.1021478,1400000US06029002821,"Census Tract 28.21, Kern County, California",29,74737,6,4680,2821,3186,313.7892028428206
6,29,2900,6029002900,29,Census Tract 29,G5020,S,2676218,0,35.3322843,-119.0303423,1400000US06029002900,"Census Tract 29, Kern County, California",29,37488,6,7266,2900,4424,315.30857953373516
6,29,3112,6029003112,31.12,Census Tract 31.12,G5020,S,2990531,21487,35.3174932,-119.0458982,1400000US06029003112,"Census Tract 31.12, Kern County, California",29,44261,6,5260,3112,3703,315.52750752835334
6,29,3113,6029003113,31.13,Census Tract 31.13,G5020,S,2222668,0,35.3179747,-119.0288351,1400000US06029003113,"Census Tract 31.13, Kern County, California",29,45724,6,5554,3113,3436,315.6301061241403
6,29,3206,6029003206,32.06,Census Tract 32.06,G5020,S,50472604,0,35.2667571,-119.0713629,1400000US06029003206,"Census Tract 32.06, Kern County, California",29,78267,6,18024,3206,10947,314.5964429497414
6,29,2812,6029002812,28.12,Census Tract 28.12,G5020,S,1593254,0,35.3505096,-119.0504014,1400000US06029002812,"Census Tract 28.12, Kern County, California",29,33056,6,5493,2812,3738,315.668431240637
6,29,6201,6029006201,62.01,Census Tract 62.01,G5020,S,89198144,59978,35.2620354,-118.9369122,1400000US06029006201,"Census Tract 62.01, Kern County, California",29,36783,6,3049,6201,2838,314.975881757064
6,29,400,6029000400,4,Census Tract 4,G5020,S,3020182,139236,35.4058896,-119.0337470,1400000US06029000400,"Census Tract 4, Kern County, California",29,22226,6,4198,400,3405,313.32212350047774
6,29,506,6029000506,5.06,Census Tract 5.06,G5020,S,3264754,0,35.3924387,-119.0832775,1400000US06029000506,"Census Tract 5.06, Kern County, California",29,66679,6,2528,506,1892,313.79235325745054
6,29,507,6029000507,5.07,Census Tract 5.07,G5020,S,17063107,441166,35.3867410,-119.0634239,1400000US06029000507,"Census Tract 5.07, Kern County, California",29,72470,6,3676,507,3230,316.4069353372991
6,29,600,6029000600,6,Census Tract 6,G5020,S,4335414,272345,35.3952759,-119.0135607,1400000US06029000600,"Census Tract 6, Kern County, California",29,23582,6,7247,600,4538,314.65280056592485
6,29,700,6029000700,7,Census Tract 7,G5020,S,2710708,0,35.3976685,-118.9953154,1400000US06029000700,"Census Tract 7, Kern County, California",29,53737,6,5535,700,4445,313.47168191655845
6,29,800,6029000800,8,Census Tract 8,G5020,S,2330751,0,35.4041078,-118.9759748,1400000US06029000800,"Census Tract 8, Kern County, California",29,52904,6,5255,800,4231,314.53379580650596
6,29,903,6029000903,9.03,Census Tract 9.03,G5020,S,1655594,0,35.4034053,-118.9550624,1400000US06029000903,"Census Tract 9.03, Kern County, California",29,50394,6,3791,903,2811,314.91757569903285
6,29,904,6029000904,9.04,Census Tract 9.04,G5020,S,2279236,0,35.3894623,-118.9584296,1400000US06029000904,"Census Tract 9.04, Kern County, California",29,51939,6,4688,904,3262,315.6591099062395
6,29,906,6029000906,9.06,Census Tract 9.06,G5020,S,1317080,0,35.3796667,-118.9406565,1400000US06029000906,"Census Tract 9.06, Kern County, California",29,47500,6,4431,906,3792,314.6632345844674
6,29,907,6029000907,9.07,Census Tract 9.07,G5020,S,1270875,0,35.3797370,-118.9229278,1400000US06029000907,"Census Tract 9.07, Kern County, California",29,42396,6,2837,907,2075,318.8107391356949
6,29,908,6029000908,9.08,Census Tract 9.08,G5020,S,2083340,0,35.4021100,-118.9414207,1400000US06029000908,"Census Tract 9.08, Kern County, California",29,57154,6,5477,908,3830,314.6110564393903
6,29,909,6029000909,9.09,Census Tract 9.09,G5020,S,2732706,0,35.3899029,-118.9394252,1400000US06029000909,"Census Tract 9.09, Kern County, California",29,101522,6,2475,909,2054,313.2462271334159
6,29,3114,6029003114,31.14,Census Tract 31.14,G5020,S,3502441,0,35.3029184,-119.0445781,1400000US06029003114,"Census Tract 31.14, Kern County, California",29,59086,6,8030,3114,4426,315.11529816832416
6,29,3115,6029003115,31.15,Census Tract 31.15,G5020,S,1663268,0,35.3035415,-119.0269531,1400000US06029003115,"Census Tract 31.15, Kern County, California",29,37545,6,5727,3115,3886,315.392664633601
6,29,3121,6029003121,31.21,Census Tract 31.21,G5020,S,2662979,0,35.3176683,-119.0121274,1400000US06029003121,"Census Tract 31.21, Kern County, California",29,37870,6,8215,3121,4246,315.6446087862926
6,29,3122,6029003122,31.22,Census Tract 31.22,G5020,S,2663484,0,35.3031439,-119.0121407,1400000US06029003122,"Census Tract 31.22, Kern County, California",29,47783,6,7890,3122,5208,315.2753463979562
6,29,3123,6029003123,31.23,Census Tract 31.23,G5020,S,9265548,0,35.3050623,-119.0986802,1400000US06029003123,"Census Tract 31.23, Kern County, California",29,90653,6,18533,3123,11309,314.0630129749784
6,29,1201,6029001201,12.01,Census Tract 12.01,G5020,S,1089725,0,35.3874473,-118.9720353,1400000US06029001201,"Census Tract 12.01, Kern County, California",29,32222,6,2836,1201,2005,314.26826714229543
6,29,1202,6029001202,12.02,Census Tract 12.02,G5020,S,1485485,0,35.3771390,-118.9753831,1400000US06029001202,"Census Tract 12.02, Kern County, California",29,21746,6,5865,1202,3719,316.4089955078959
6,29,1300,6029001300,13,Census Tract 13,G5020,S,1963270,0,35.3822696,-118.9880772,1400000US06029001300,"Census Tract 13, Kern County, California",29,22728,6,7823,1300,4508,315.5451309630374
6,29,1400,6029001400,14,Census Tract 14,G5020,S,2350102,0,35.3922701,-118.9846462,1400000US06029001400,"Census Tract 14, Kern County, California",29,24821,6,9253,1400,6149,314.87695487392784
6,29,1500,6029001500,15,Census Tract 15,G5020,S,2352332,0,35.3722473,-118.9890643,1400000US06029001500,"Census Tract 15, Kern County, California",29,25193,6,2558,1500,1508,315.93847339972285
6,29,1600,6029001600,16,Census Tract 16,G5020,S,3601884,0,35.3769557,-119.0153944,1400000US06029001600,"Census Tract 16, Kern County, California",29,25114,6,1811,1600,971,315.7916201547729
6,29,902,6029000902,9.02,Census Tract 9.02,G5020,S,1325498,0,35.4050158,-118.9631285,1400000US06029000902,"Census Tract 9.02, Kern County, California",29,47610,6,3474,902,2787,314.63506088672693
6,29,2200,6029002200,22,Census Tract 22,G5020,S,1933622,0,35.3613217,-118.9879161,1400000US06029002200,"Census Tract 22, Kern County, California",29,22121,6,5295,2200,3044,315.65496688644976
6,29,910,6029000910,9.10,Census Tract 9.10,G5020,S,38332779,0,35.4138774,-118.9067288,1400000US06029000910,"Census Tract 9.10, Kern County, California",29,64746,6,10972,910,8290,319.40475990382623
6,29,3204,6029003204,32.04,Census Tract 32.04,G5020,S,381773919,1246304,35.2305045,-119.1191249,1400000US06029003204,"Census Tract 32.04, Kern County, California",29,112195,6,9765,3204,5913,315.1069788193503
