STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
24,510,240300,24510240300,2403,Census Tract 2403,G5020,S,200561,0,39.2758586,-76.6105164,1400000US24510240300,"Census Tract 2403, Baltimore city, Maryland",510,115078,24,2075,240300,1801,309.8142877805818
24,510,250101,24510250101,2501.01,Census Tract 2501.01,G5020,S,962778,0,39.2771141,-76.7003721,1400000US24510250101,"Census Tract 2501.01, Baltimore city, Maryland",510,54853,24,4354,250101,517,304.7422100294611
24,510,250102,24510250102,2501.02,Census Tract 2501.02,G5020,S,737636,0,39.2773395,-76.6901916,1400000US24510250102,"Census Tract 2501.02, Baltimore city, Maryland",510,48950,24,3250,250102,84,305.5997553127071
24,510,250103,24510250103,2501.03,Census Tract 2501.03,G5020,S,2587959,0,39.2687004,-76.6776588,1400000US24510250103,"Census Tract 2501.03, Baltimore city, Maryland",510,38109,24,3417,250103,2077,306.39257167526415
24,510,250203,24510250203,2502.03,Census Tract 2502.03,G5020,S,923337,361546,39.2451631,-76.6164269,1400000US24510250203,"Census Tract 2502.03, Baltimore city, Maryland",510,38009,24,1938,250203,286,306.11771503000733
24,510,240400,24510240400,2404,Census Tract 2404,G5020,S,1204640,965344,39.2645268,-76.6055985,1400000US24510240400,"Census Tract 2404, Baltimore city, Maryland",510,102107,24,2877,240400,2674,308.9651969115507
24,510,250204,24510250204,2502.04,Census Tract 2502.04,G5020,S,861732,0,39.2471578,-76.6271723,1400000US24510250204,"Census Tract 2502.04, Baltimore city, Maryland",510,14520,24,4037,250204,292,306.92057290129947
24,510,60300,24510060300,603,Census Tract 603,G5020,S,187107,0,39.2942438,-76.5855106,1400000US24510060300,"Census Tract 603, Baltimore city, Maryland",510,57679,24,1931,60300,885,310.0003004406397
24,510,260800,24510260800,2608,Census Tract 2608,G5020,S,311707,0,39.2901606,-76.5659569,1400000US24510260800,"Census Tract 2608, Baltimore city, Maryland",510,44519,24,2704,260800,1916,310.86522377006474
24,510,80800,24510080800,808,Census Tract 808,G5020,S,327454,0,39.3036982,-76.5930531,1400000US24510080800,"Census Tract 808, Baltimore city, Maryland",510,33750,24,1452,80800,70,310.1871266025791
24,510,260900,24510260900,2609,Census Tract 2609,G5020,S,550659,0,39.2833026,-76.5656490,1400000US24510260900,"Census Tract 2609, Baltimore city, Maryland",510,99932,24,3110,260900,2686,310.9725357053761
24,510,230200,24510230200,2302,Census Tract 2302,G5020,S,217597,0,39.2740126,-76.6134847,1400000US24510230200,"Census Tract 2302, Baltimore city, Maryland",510,105511,24,2166,230200,1728,310.30146585813776
24,510,270501,24510270501,2705.01,Census Tract 2705.01,G5020,S,2319872,2012,39.3656484,-76.5362212,1400000US24510270501,"Census Tract 2705.01, Baltimore city, Maryland",510,59167,24,3994,270501,2154,305.4800079240979
24,510,160200,24510160200,1602,Census Tract 1602,G5020,S,374068,0,39.2987150,-76.6408488,1400000US24510160200,"Census Tract 1602, Baltimore city, Maryland",510,26331,24,2389,160200,15,310.06512602083535
24,510,100100,24510100100,1001,Census Tract 1001,G5020,S,453811,0,39.3032186,-76.6047442,1400000US24510100100,"Census Tract 1001, Baltimore city, Maryland",510,24146,24,2238,100100,40,310.08672737264345
24,510,130300,24510130300,1303,Census Tract 1303,G5020,S,359731,0,39.3123572,-76.6406686,1400000US24510130300,"Census Tract 1303, Baltimore city, Maryland",510,34118,24,2446,130300,134,309.83160252179573
24,510,60100,24510060100,601,Census Tract 601,G5020,S,238719,0,39.2946533,-76.5751514,1400000US24510060100,"Census Tract 601, Baltimore city, Maryland",510,55781,24,2948,60100,959,310.1374764436124
24,510,280301,24510280301,2803.01,Census Tract 2803.01,G5020,S,3228555,7610,39.3106632,-76.7022121,1400000US24510280301,"Census Tract 2803.01, Baltimore city, Maryland",510,40900,24,3731,280301,370,298.89539366893376
24,510,160100,24510160100,1601,Census Tract 1601,G5020,S,382639,0,39.2980892,-76.6363266,1400000US24510160100,"Census Tract 1601, Baltimore city, Maryland",510,25772,24,1998,160100,34,309.04143017268416
24,510,180100,24510180100,1801,Census Tract 1801,G5020,S,341614,0,39.2917118,-76.6307804,1400000US24510180100,"Census Tract 1801, Baltimore city, Maryland",510,15662,24,2253,180100,4,309.6626851986064
24,510,130200,24510130200,1302,Census Tract 1302,G5020,S,346792,0,39.3122952,-76.6306383,1400000US24510130200,"Census Tract 1302, Baltimore city, Maryland",510,46086,24,3195,130200,452,308.68929143840967
24,510,130400,24510130400,1304,Census Tract 1304,G5020,S,2617028,203955,39.3225962,-76.6448717,1400000US24510130400,"Census Tract 1304, Baltimore city, Maryland",510,27393,24,2182,130400,139,302.2494741368813
24,510,130600,24510130600,1306,Census Tract 1306,G5020,S,872130,3815,39.3264635,-76.6304217,1400000US24510130600,"Census Tract 1306, Baltimore city, Maryland",510,89363,24,3682,130600,3083,306.38590209372023
24,510,130700,24510130700,1307,Census Tract 1307,G5020,S,1055552,0,39.3366684,-76.6316576,1400000US24510130700,"Census Tract 1307, Baltimore city, Maryland",510,57368,24,4712,130700,3988,305.95496651332286
24,510,130803,24510130803,1308.03,Census Tract 1308.03,G5020,S,693566,0,39.3402502,-76.6433643,1400000US24510130803,"Census Tract 1308.03, Baltimore city, Maryland",510,55398,24,2416,130803,1660,305.7573787182245
24,510,130804,24510130804,1308.04,Census Tract 1308.04,G5020,S,737977,0,39.3312836,-76.6384027,1400000US24510130804,"Census Tract 1308.04, Baltimore city, Maryland",510,65188,24,1942,130804,1755,306.6768127386677
24,510,130805,24510130805,1308.05,Census Tract 1308.05,G5020,S,1632325,6396,39.3521291,-76.6522200,1400000US24510130805,"Census Tract 1308.05, Baltimore city, Maryland",510,49545,24,906,130805,98,300.3146647687981
24,510,250205,24510250205,2502.05,Census Tract 2502.05,G5020,S,2316102,14427,39.2506457,-76.6403025,1400000US24510250205,"Census Tract 2502.05, Baltimore city, Maryland",510,40453,24,4397,250205,1573,307.0621814464327
24,510,150100,24510150100,1501,Census Tract 1501,G5020,S,369346,0,39.3061672,-76.6417556,1400000US24510150100,"Census Tract 1501, Baltimore city, Maryland",510,20269,24,2678,150100,28,310.59978583577083
24,510,90900,24510090900,909,Census Tract 909,G5020,S,686862,0,39.3084221,-76.6035994,1400000US24510090900,"Census Tract 909, Baltimore city, Maryland",510,23816,24,2500,90900,87,308.8322253775113
24,510,120400,24510120400,1204,Census Tract 1204,G5020,S,281027,0,39.3138354,-76.6123840,1400000US24510120400,"Census Tract 1204, Baltimore city, Maryland",510,38194,24,1707,120400,429,309.38066635213636
24,510,270701,24510270701,2707.01,Census Tract 2707.01,G5020,S,387936,0,39.3699901,-76.5664177,1400000US24510270701,"Census Tract 2707.01, Baltimore city, Maryland",510,42176,24,2654,270701,118,308.5636840371277
24,510,80301,24510080301,803.01,Census Tract 803.01,G5020,S,268608,0,39.3057013,-76.5820327,1400000US24510080301,"Census Tract 803.01, Baltimore city, Maryland",510,38553,24,1653,80301,51,310.8598558659953
24,510,10200,24510010200,102,Census Tract 102,G5020,S,355165,0,39.2880851,-76.5740101,1400000US24510010200,"Census Tract 102, Baltimore city, Maryland",510,109102,24,3145,10200,2775,309.095854934612
24,510,271801,24510271801,2718.01,Census Tract 2718.01,G5020,S,557962,0,39.3477502,-76.6834693,1400000US24510271801,"Census Tract 2718.01, Baltimore city, Maryland",510,26938,24,2960,271801,45,307.3758123961284
24,510,150900,24510150900,1509,Census Tract 1509,G5020,S,1445802,1171,39.3142211,-76.6842962,1400000US24510150900,"Census Tract 1509, Baltimore city, Maryland",510,54410,24,3327,150900,120,302.76673653306835
24,510,80700,24510080700,807,Census Tract 807,G5020,S,298756,0,39.3070324,-76.5932887,1400000US24510080700,"Census Tract 807, Baltimore city, Maryland",510,30278,24,697,80700,3,309.7146831812249
24,510,261000,24510261000,2610,Census Tract 2610,G5020,S,310026,0,39.2935829,-76.5708757,1400000US24510261000,"Census Tract 2610, Baltimore city, Maryland",510,53194,24,3077,261000,2078,310.5567492122807
24,510,260700,24510260700,2607,Census Tract 2607,G5020,S,759692,0,39.2864506,-76.5586438,1400000US24510260700,"Census Tract 2607, Baltimore city, Maryland",510,56818,24,2691,260700,1728,310.64926044373243
24,510,160300,24510160300,1603,Census Tract 1603,G5020,S,255076,0,39.2985728,-76.6444023,1400000US24510160300,"Census Tract 1603, Baltimore city, Maryland",510,21017,24,1114,160300,123,309.4447168246012
