STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
22,33,980000,22033980000,9800,Census Tract 9800,G5020,S,3140126,0,30.5330387,-91.1508355,1400000US22033980000,"Census Tract 9800, East Baton Rouge Parish, Louisiana",33,-666666666,22,0,980000,0,300.03169170615035
22,33,3103,22033003103,31.03,Census Tract 31.03,G5020,S,3415547,0,30.5342831,-91.1599186,1400000US22033003103,"Census Tract 31.03, East Baton Rouge Parish, Louisiana",33,18177,22,1332,3103,76,298.542648575688
22,33,3909,22033003909,39.09,Census Tract 39.09,G5020,S,3495642,73835,30.4264598,-91.0618441,1400000US22033003909,"Census Tract 39.09, East Baton Rouge Parish, Louisiana",33,48037,22,5528,3909,2686,300.81117269451255
22,33,900,22033000900,9,Census Tract 9,G5020,S,2162282,0,30.4618762,-91.1613366,1400000US22033000900,"Census Tract 9, East Baton Rouge Parish, Louisiana",33,28017,22,4153,900,106,300.29364021432866
22,33,1000,22033001000,10,Census Tract 10,G5020,S,1967607,0,30.4595541,-91.1472843,1400000US22033001000,"Census Tract 10, East Baton Rouge Parish, Louisiana",33,21544,22,3963,1000,59,299.82312579942106
22,33,1102,22033001102,11.02,Census Tract 11.02,G5020,S,2820427,0,30.4614265,-91.1089636,1400000US22033001102,"Census Tract 11.02, East Baton Rouge Parish, Louisiana",33,26133,22,3307,1102,542,301.0191885537417
22,33,1103,22033001103,11.03,Census Tract 11.03,G5020,S,2347062,0,30.4605926,-91.1338178,1400000US22033001103,"Census Tract 11.03, East Baton Rouge Parish, Louisiana",33,27148,22,3123,1103,325,299.24944652615585
22,33,1104,22033001104,11.04,Census Tract 11.04,G5020,S,2582977,0,30.4601533,-91.1216768,1400000US22033001104,"Census Tract 11.04, East Baton Rouge Parish, Louisiana",33,19324,22,4697,1104,608,301.085352871851
22,33,3507,22033003507,35.07,Census Tract 35.07,G5020,S,7143750,0,30.4866526,-91.0458576,1400000US22033003507,"Census Tract 35.07, East Baton Rouge Parish, Louisiana",33,69176,22,4848,3507,564,298.1127211495931
22,33,3603,22033003603,36.03,Census Tract 36.03,G5020,S,2054520,0,30.4647752,-91.0649411,1400000US22033003603,"Census Tract 36.03, East Baton Rouge Parish, Louisiana",33,27825,22,2525,3603,600,298.8197251166171
22,33,1700,22033001700,17,Census Tract 17,G5020,S,3618899,0,30.4423250,-91.1456893,1400000US22033001700,"Census Tract 17, East Baton Rouge Parish, Louisiana",33,66125,22,5524,1700,4099,299.7926305668803
22,33,3501,22033003501,35.01,Census Tract 35.01,G5020,S,13410574,23166,30.5146203,-91.0946738,1400000US22033003501,"Census Tract 35.01, East Baton Rouge Parish, Louisiana",33,46625,22,3132,3501,919,298.9875493036216
22,33,2601,22033002601,26.01,Census Tract 26.01,G5020,S,3740171,192518,30.4161152,-91.1567404,1400000US22033002601,"Census Tract 26.01, East Baton Rouge Parish, Louisiana",33,79375,22,4134,2601,3528,299.03950289013625
