STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
16,1,500,16001000500,5,Census Tract 5,G5020,S,3094233,1906,43.6408364,-116.2230377,1400000US16001000500,"Census Tract 5, Ada County, Idaho",1,62117,16,6116,500,5709,306.90286070444466
16,1,600,16001000600,6,Census Tract 6,G5020,S,2094032,34,43.6306586,-116.2039662,1400000US16001000600,"Census Tract 6, Ada County, Idaho",1,52287,16,5128,600,4661,306.5869462432218
16,1,1500,16001001500,15,Census Tract 15,G5020,S,2556264,5861,43.5957980,-116.2160586,1400000US16001001500,"Census Tract 15, Ada County, Idaho",1,55427,16,3575,1500,3309,307.88656649407085
16,1,10100,16001010100,101,Census Tract 101,G5020,S,238924526,3929636,43.6624710,-116.1323165,1400000US16001010100,"Census Tract 101, Ada County, Idaho",1,108191,16,7194,10100,6760,311.42549724897805
16,1,1100,16001001100,11,Census Tract 11,G5020,S,5528710,69509,43.6386609,-116.2566991,1400000US16001001100,"Census Tract 11, Ada County, Idaho",1,27019,16,4153,1100,3408,307.3934587372888
16,1,10223,16001010223,102.23,Census Tract 102.23,G5020,S,6508004,240381,43.6798472,-116.2973691,1400000US16001010223,"Census Tract 102.23, Ada County, Idaho",1,55068,16,6068,10223,5730,308.7012996325566
16,1,2100,16001002100,21,Census Tract 21,G5020,S,46243948,364909,43.5470478,-116.2202527,1400000US16001002100,"Census Tract 21, Ada County, Idaho",1,70515,16,2063,2100,1918,314.35822906381895
16,1,10331,16001010331,103.31,Census Tract 103.31,G5020,S,22441596,209663,43.6550333,-116.3691111,1400000US16001010331,"Census Tract 103.31, Ada County, Idaho",1,92132,16,21859,10331,20519,309.0044082165763
16,1,1201,16001001201,12.01,Census Tract 12.01,G5020,S,2134125,0,43.6331606,-116.2662381,1400000US16001001201,"Census Tract 12.01, Ada County, Idaho",1,59750,16,3334,1201,3066,307.6512573961771
16,1,1000,16001001000,10,Census Tract 10,G5020,S,4311408,115499,43.6085414,-116.2278188,1400000US16001001000,"Census Tract 10, Ada County, Idaho",1,35226,16,6883,1000,6166,306.96926868140264
16,1,1202,16001001202,12.02,Census Tract 12.02,G5020,S,3314547,7051,43.6200302,-116.2623701,1400000US16001001202,"Census Tract 12.02, Ada County, Idaho",1,34741,16,6390,1202,5503,309.2502962769062
16,1,100,16001000100,1,Census Tract 1,G5020,S,4141830,165711,43.6159696,-116.2075223,1400000US16001000100,"Census Tract 1, Ada County, Idaho",1,24113,16,3881,100,3631,309.13720241051413
16,1,302,16001000302,3.02,Census Tract 3.02,G5020,S,2041614,9686,43.6518985,-116.2435264,1400000US16001000302,"Census Tract 3.02, Ada County, Idaho",1,47904,16,3130,302,2800,306.4925731156051
16,1,803,16001000803,8.03,Census Tract 8.03,G5020,S,2265689,95281,43.5698099,-116.1617483,1400000US16001000803,"Census Tract 8.03, Ada County, Idaho",1,66179,16,4391,803,3996,308.89000855787725
16,1,900,16001000900,9,Census Tract 9,G5020,S,2598605,41751,43.5954202,-116.2003618,1400000US16001000900,"Census Tract 9, Ada County, Idaho",1,28190,16,6369,900,5584,308.3810613109743
16,1,802,16001000802,8.02,Census Tract 8.02,G5020,S,2799764,13438,43.5784766,-116.1849256,1400000US16001000802,"Census Tract 8.02, Ada County, Idaho",1,55945,16,5630,802,5136,308.48060649902607
16,1,1400,16001001400,14,Census Tract 14,G5020,S,2647737,1330,43.5978121,-116.2442242,1400000US16001001400,"Census Tract 14, Ada County, Idaho",1,33162,16,5081,1400,4432,308.95866053460037
16,1,2411,16001002411,24.11,Census Tract 24.11,G5020,S,2602656,8926,43.6451494,-116.3036897,1400000US16001002411,"Census Tract 24.11, Ada County, Idaho",1,63504,16,5666,2411,5128,308.8725673099492
16,1,400,16001000400,4,Census Tract 4,G5020,S,3594752,292876,43.6356429,-116.2337781,1400000US16001000400,"Census Tract 4, Ada County, Idaho",1,47276,16,5795,400,4918,307.1561310997999
16,1,10501,16001010501,105.01,Census Tract 105.01,G5020,S,1022380644,5439088,43.3343356,-116.2964654,1400000US16001010501,"Census Tract 105.01, Ada County, Idaho",1,70298,16,6896,10501,6265,318.4275340774855
16,1,2000,16001002000,20,Census Tract 20,G5020,S,4455507,3177,43.6065277,-116.2575800,1400000US16001002000,"Census Tract 20, Ada County, Idaho",1,35827,16,4512,2000,3932,310.14071507450046
16,1,2221,16001002221,22.21,Census Tract 22.21,G5020,S,9083949,92499,43.5670193,-116.3031147,1400000US16001002221,"Census Tract 22.21, Ada County, Idaho",1,65153,16,8699,2221,7739,308.4368598816851
16,1,2302,16001002302,23.02,Census Tract 23.02,G5020,S,5916803,6586,43.6180124,-116.2856014,1400000US16001002302,"Census Tract 23.02, Ada County, Idaho",1,46479,16,9674,2302,8540,310.2141024493223
16,1,2310,16001002310,23.10,Census Tract 23.10,G5020,S,6553022,31937,43.6131684,-116.3272110,1400000US16001002310,"Census Tract 23.10, Ada County, Idaho",1,57760,16,10527,2310,9441,309.8813695498424
16,1,2410,16001002410,24.10,Census Tract 24.10,G5020,S,4511933,75015,43.6458911,-116.2926808,1400000US16001002410,"Census Tract 24.10, Ada County, Idaho",1,70645,16,7420,2410,6846,308.6510760876387
16,1,2413,16001002413,24.13,Census Tract 24.13,G5020,S,4916503,17781,43.6468541,-116.3270663,1400000US16001002413,"Census Tract 24.13, Ada County, Idaho",1,65215,16,9008,2413,7733,308.6969331461999
16,1,10321,16001010321,103.21,Census Tract 103.21,G5020,S,12881253,14490,43.6067108,-116.3673615,1400000US16001010321,"Census Tract 103.21, Ada County, Idaho",1,47386,16,7884,10321,6943,308.773325271868
16,1,10333,16001010333,103.33,Census Tract 103.33,G5020,S,7657335,11443,43.6312480,-116.3724496,1400000US16001010333,"Census Tract 103.33, Ada County, Idaho",1,60076,16,11831,10333,10811,309.971118386194
16,1,2412,16001002412,24.12,Census Tract 24.12,G5020,S,7004863,585272,43.6684262,-116.3184456,1400000US16001002412,"Census Tract 24.12, Ada County, Idaho",1,46250,16,4016,2412,3833,306.00626617432727
16,1,10313,16001010313,103.13,Census Tract 103.13,G5020,S,59982659,147065,43.5689755,-116.4078385,1400000US16001010313,"Census Tract 103.13, Ada County, Idaho",1,84098,16,22340,10313,21193,308.2923901365049
16,1,1900,16001001900,19,Census Tract 19,G5020,S,2850146,0,43.5924217,-116.2678342,1400000US16001001900,"Census Tract 19, Ada County, Idaho",1,50212,16,4586,1900,4345,309.6030785354543
16,1,1600,16001001600,16,Census Tract 16,G5020,S,3084523,49755,43.5780838,-116.2056868,1400000US16001001600,"Census Tract 16, Ada County, Idaho",1,46860,16,4659,1600,3891,308.561498474316
16,1,1800,16001001800,18,Census Tract 18,G5020,S,3558752,55867,43.5787667,-116.2352971,1400000US16001001800,"Census Tract 18, Ada County, Idaho",1,52078,16,4405,1800,4021,308.43029660304296
16,1,1700,16001001700,17,Census Tract 17,G5020,S,2037078,37873,43.5831863,-116.2229690,1400000US16001001700,"Census Tract 17, Ada County, Idaho",1,40101,16,6204,1700,5425,308.7831438275959
16,1,702,16001000702,7.02,Census Tract 7.02,G5020,S,16309344,204786,43.6002704,-116.1350710,1400000US16001000702,"Census Tract 7.02, Ada County, Idaho",1,122461,16,3225,702,3015,308.5877227749953
16,1,202,16001000202,2.02,Census Tract 2.02,G5020,S,33914385,51222,43.6751115,-116.2170641,1400000US16001000202,"Census Tract 2.02, Ada County, Idaho",1,110777,16,5551,202,5086,309.35894713055114
16,1,304,16001000304,3.04,Census Tract 3.04,G5020,S,4129530,5247,43.6701777,-116.2665359,1400000US16001000304,"Census Tract 3.04, Ada County, Idaho",1,56159,16,6864,304,5856,308.5221519847071
16,1,805,16001000805,8.05,Census Tract 8.05,G5020,S,2840175,57251,43.5763651,-116.1559907,1400000US16001000805,"Census Tract 8.05, Ada County, Idaho",1,103750,16,3095,805,2867,307.02347606673186
16,1,10504,16001010504,105.04,Census Tract 105.04,G5020,S,7439067,229372,43.5536223,-116.1392259,1400000US16001010504,"Census Tract 105.04, Ada County, Idaho",1,77143,16,7416,10504,6114,310.1169632438173
16,1,2224,16001002224,22.24,Census Tract 22.24,G5020,S,7352237,8632,43.5857812,-116.2955596,1400000US16001002224,"Census Tract 22.24, Ada County, Idaho",1,83053,16,6496,2224,5573,309.4088958907698
16,1,2313,16001002313,23.13,Census Tract 23.13,G5020,S,3978933,2007,43.6085965,-116.3091775,1400000US16001002313,"Census Tract 23.13, Ada County, Idaho",1,54583,16,4252,2313,3742,310.41247313464186
16,1,701,16001000701,7.01,Census Tract 7.01,G5020,S,2787585,81547,43.6066784,-116.1804550,1400000US16001000701,"Census Tract 7.01, Ada County, Idaho",1,49641,16,4927,701,4537,306.92942807133664
16,1,201,16001000201,2.01,Census Tract 2.01,G5020,S,14234202,18273,43.6314866,-116.1710011,1400000US16001000201,"Census Tract 2.01, Ada County, Idaho",1,90938,16,3306,201,3162,308.69911640790497
16,1,303,16001000303,3.03,Census Tract 3.03,G5020,S,1798904,224344,43.6589164,-116.2692899,1400000US16001000303,"Census Tract 3.03, Ada County, Idaho",1,52667,16,2062,303,1896,305.1851875230173
16,1,804,16001000804,8.04,Census Tract 8.04,G5020,S,3028753,77995,43.5914649,-116.1784472,1400000US16001000804,"Census Tract 8.04, Ada County, Idaho",1,38075,16,6708,804,5713,308.16968195050765
16,1,10503,16001010503,105.03,Census Tract 105.03,G5020,S,659074508,5085662,43.3304526,-116.0656972,1400000US16001010503,"Census Tract 105.03, Ada County, Idaho",1,90409,16,4542,10503,3592,312.47215307760035
16,1,2223,16001002223,22.23,Census Tract 22.23,G5020,S,3923502,5983,43.5857798,-116.3240049,1400000US16001002223,"Census Tract 22.23, Ada County, Idaho",1,82992,16,4677,2223,4148,308.57024050252596
16,1,2312,16001002312,23.12,Census Tract 23.12,G5020,S,2596209,4333,43.6268198,-116.2967310,1400000US16001002312,"Census Tract 23.12, Ada County, Idaho",1,44223,16,5674,2312,4998,310.2529378601945
