STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
25,25,91300,25025091300,913,Census Tract 913,G5020,S,262560,0,42.3199357,-71.0668701,1400000US25025091300,"Census Tract 913, Suffolk County, Massachusetts",25,31161,25,2559,91300,495,307.2787137276289
25,25,110501,25025110501,1105.01,Census Tract 1105.01,G5020,S,647837,0,42.2821618,-71.1414485,1400000US25025110501,"Census Tract 1105.01, Suffolk County, Massachusetts",25,81500,25,3544,110501,2985,305.45649264903244
25,25,30500,25025030500,305,Census Tract 305,G5020,S,193673,292691,42.3675851,-71.0516956,1400000US25025030500,"Census Tract 305, Suffolk County, Massachusetts",25,108322,25,2572,30500,2275,298.7771402565613
25,25,10500,25025010500,105,Census Tract 105,G5020,S,189915,10075,42.3444388,-71.0844432,1400000US25025010500,"Census Tract 105, Suffolk County, Massachusetts",25,51219,25,3391,10500,2288,308.1104770460236
25,25,140201,25025140201,1402.01,Census Tract 1402.01,G5020,S,1325763,87348,42.2375306,-71.1305713,1400000US25025140201,"Census Tract 1402.01, Suffolk County, Massachusetts",25,77000,25,2347,140201,1004,304.8322822446202
25,25,82100,25025082100,821,Census Tract 821,G5020,S,370577,0,42.3094485,-71.0872292,1400000US25025082100,"Census Tract 821, Suffolk County, Massachusetts",25,19129,25,5396,82100,363,306.8840387816487
25,25,70900,25025070900,709,Census Tract 709,G5020,S,168564,0,42.3384339,-71.0781738,1400000US25025070900,"Census Tract 709, Suffolk County, Massachusetts",25,61118,25,2966,70900,1767,308.3055304763522
25,25,50500,25025050500,505,Census Tract 505,G5020,S,114773,0,42.3697766,-71.0339104,1400000US25025050500,"Census Tract 505, Suffolk County, Massachusetts",25,56726,25,2502,50500,1885,309.8943491181835
25,25,101101,25025101101,1011.01,Census Tract 1011.01,G5020,S,379740,0,42.2826649,-71.0950823,1400000US25025101101,"Census Tract 1011.01, Suffolk County, Massachusetts",25,59598,25,3789,101101,102,306.53255151969336
25,25,120600,25025120600,1206,Census Tract 1206,G5020,S,258211,0,42.3191097,-71.1088407,1400000US25025120600,"Census Tract 1206, Suffolk County, Massachusetts",25,107955,25,2313,120600,1853,306.4036868609232
25,25,91700,25025091700,917,Census Tract 917,G5020,S,289325,0,42.3036111,-71.0659136,1400000US25025091700,"Census Tract 917, Suffolk County, Massachusetts",25,40725,25,3245,91700,361,307.0555470771965
25,25,70200,25025070200,702,Census Tract 702,G5020,S,269072,0,42.3496564,-71.0639162,1400000US25025070200,"Census Tract 702, Suffolk County, Massachusetts",25,21773,25,5503,70200,2043,307.9206173951452
25,25,30100,25025030100,301,Census Tract 301,G5020,S,77344,0,42.3669373,-71.0561403,1400000US25025030100,"Census Tract 301, Suffolk County, Massachusetts",25,91477,25,2255,30100,2183,308.37230639190255
25,25,20303,25025020303,203.03,Census Tract 203.03,G5020,S,442606,71960,42.3659380,-71.0635673,1400000US25025020303,"Census Tract 203.03, Suffolk County, Massachusetts",25,91964,25,3818,20303,2439,305.66014514058367
25,25,60501,25025060501,605.01,Census Tract 605.01,G5020,S,411742,0,42.3368686,-71.0382133,1400000US25025060501,"Census Tract 605.01, Suffolk County, Massachusetts",25,114500,25,4203,60501,4005,308.74713879436854
25,25,50101,25025050101,501.01,Census Tract 501.01,G5020,S,299770,184517,42.3816657,-71.0397908,1400000US25025050101,"Census Tract 501.01, Suffolk County, Massachusetts",25,40716,25,5359,50101,3239,307.97222565627266
25,25,110607,25025110607,1106.07,Census Tract 1106.07,G5020,S,1161943,0,42.2902716,-71.1347009,1400000US25025110607,"Census Tract 1106.07, Suffolk County, Massachusetts",25,103438,25,5352,110607,4625,305.78083760395714
25,25,120104,25025120104,1201.04,Census Tract 1201.04,G5020,S,290295,0,42.3056862,-71.1173049,1400000US25025120104,"Census Tract 1201.04, Suffolk County, Massachusetts",25,86824,25,2303,120104,1786,305.4822472436924
25,25,120201,25025120201,1202.01,Census Tract 1202.01,G5020,S,719465,0,42.3051570,-71.1083675,1400000US25025120201,"Census Tract 1202.01, Suffolk County, Massachusetts",25,62917,25,3777,120201,2637,306.39479479074845
25,25,980300,25025980300,9803,Census Tract 9803,G5020,S,2076316,27540,42.3006134,-71.0946130,1400000US25025980300,"Census Tract 9803, Suffolk County, Massachusetts",25,-666666666,25,365,980300,181,300.38355271608685
25,25,803,25025000803,8.03,Census Tract 8.03,G5020,S,1158115,0,42.3594779,-71.1212633,1400000US25025000803,"Census Tract 8.03, Suffolk County, Massachusetts",25,67647,25,6257,803,4074,306.95156328969256
25,25,704,25025000704,7.04,Census Tract 7.04,G5020,S,239778,0,42.3500028,-71.1334045,1400000US25025000704,"Census Tract 7.04, Suffolk County, Massachusetts",25,60039,25,4582,704,2273,311.8438759423682
25,25,504,25025000504,5.04,Census Tract 5.04,G5020,S,333893,0,42.3414661,-71.1438307,1400000US25025000504,"Census Tract 5.04, Suffolk County, Massachusetts",25,44065,25,4449,504,3491,307.8558030389726
25,25,703,25025000703,7.03,Census Tract 7.03,G5020,S,178002,0,42.3513284,-71.1282176,1400000US25025000703,"Census Tract 7.03, Suffolk County, Massachusetts",25,32778,25,1926,703,1129,311.4276352085686
25,25,10802,25025010802,108.02,Census Tract 108.02,G5020,S,155905,0,42.3515144,-71.0856798,1400000US25025010802,"Census Tract 108.02, Suffolk County, Massachusetts",25,127188,25,3161,10802,2843,307.72607555299726
25,25,10204,25025010204,102.04,Census Tract 102.04,G5020,S,254551,0,42.3462940,-71.1033877,1400000US25025010204,"Census Tract 102.04, Suffolk County, Massachusetts",25,36500,25,3354,10204,2168,309.2133341737817
25,25,10404,25025010404,104.04,Census Tract 104.04,G5020,S,136909,0,42.3419678,-71.0886377,1400000US25025010404,"Census Tract 104.04, Suffolk County, Massachusetts",25,22930,25,5134,10404,3361,309.7428400562512
25,25,10405,25025010405,104.05,Census Tract 104.05,G5020,S,364894,0,42.3398656,-71.0895958,1400000US25025010405,"Census Tract 104.05, Suffolk County, Massachusetts",25,19267,25,6081,10405,4137,307.88327076393296
25,25,81001,25025081001,810.01,Census Tract 810.01,G5020,S,558478,0,42.3345666,-71.1068303,1400000US25025081001,"Census Tract 810.01, Suffolk County, Massachusetts",25,24940,25,4993,81001,1829,307.329479099155
25,25,20101,25025020101,201.01,Census Tract 201.01,G5020,S,223664,0,42.3577096,-71.0694208,1400000US25025020101,"Census Tract 201.01, Suffolk County, Massachusetts",25,109455,25,4910,20101,4446,307.0555470771965
25,25,20301,25025020301,203.01,Census Tract 203.01,G5020,S,256674,528,42.3631736,-71.0686464,1400000US25025020301,"Census Tract 203.01, Suffolk County, Massachusetts",25,102650,25,2355,20301,1797,306.11882902013417
25,25,20302,25025020302,203.02,Census Tract 203.02,G5020,S,76782,0,42.3593442,-71.0639956,1400000US25025020302,"Census Tract 203.02, Suffolk County, Massachusetts",25,94531,25,1054,20302,980,306.7987514972821
25,25,40100,25025040100,401,Census Tract 401,G5020,S,258674,64873,42.3729464,-71.0597187,1400000US25025040100,"Census Tract 401, Suffolk County, Massachusetts",25,151250,25,2465,40100,2424,307.3647821896735
25,25,50901,25025050901,509.01,Census Tract 509.01,G5020,S,614354,194139,42.3819368,-71.0295001,1400000US25025050901,"Census Tract 509.01, Suffolk County, Massachusetts",25,53302,25,4518,50901,2610,306.7965354774599
25,25,51000,25025051000,510,Census Tract 510,G5020,S,1044760,210155,42.3873027,-71.0161271,1400000US25025051000,"Census Tract 510, Suffolk County, Massachusetts",25,48619,25,4659,51000,3247,306.1166010300194
