STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
36,29,3700,36029003700,37,Census Tract 37,G5020,S,1097721,0,42.9155947,-78.8090502,1400000US36029003700,"Census Tract 37, Erie County, New York",29,25022,36,3984,3700,465,303.60506879956523
36,29,6301,36029006301,63.01,Census Tract 63.01,G5020,S,723107,0,42.9240064,-78.8822363,1400000US36029006301,"Census Tract 63.01, Erie County, New York",29,55453,36,4663,6301,3912,299.26358666157284
36,29,5000,36029005000,50,Census Tract 50,G5020,S,1296212,0,42.9511342,-78.8733546,1400000US36029005000,"Census Tract 50, Erie County, New York",29,60469,36,2244,5000,1751,304.0860929149518
36,29,6602,36029006602,66.02,Census Tract 66.02,G5020,S,445479,0,42.9133774,-78.8711414,1400000US36029006602,"Census Tract 66.02, Erie County, New York",29,49625,36,2412,6602,1782,301.1456816350216
36,29,4500,36029004500,45,Census Tract 45,G5020,S,2022658,0,42.9478148,-78.8373461,1400000US36029004500,"Census Tract 45, Erie County, New York",29,62742,36,5901,4500,4784,303.17236039212884
36,29,4800,36029004800,48,Census Tract 48,G5020,S,987835,0,42.9487230,-78.8488360,1400000US36029004800,"Census Tract 48, Erie County, New York",29,80333,36,3979,4800,3333,303.5402595072456
36,29,4900,36029004900,49,Census Tract 49,G5020,S,1121604,0,42.9492440,-78.8600101,1400000US36029004900,"Census Tract 49, Erie County, New York",29,48262,36,5813,4900,4447,304.50433105156816
36,29,5100,36029005100,51,Census Tract 51,G5020,S,1163667,0,42.9556555,-78.8584816,1400000US36029005100,"Census Tract 51, Erie County, New York",29,41442,36,4419,5100,2961,303.83673895361875
36,29,5201,36029005201,52.01,Census Tract 52.01,G5020,S,1048075,0,42.9351690,-78.8469117,1400000US36029005201,"Census Tract 52.01, Erie County, New York",29,65525,36,2899,5201,2425,301.39016811708905
36,29,5300,36029005300,53,Census Tract 53,G5020,S,2319655,5623,42.9294775,-78.8605447,1400000US36029005300,"Census Tract 53, Erie County, New York",29,28047,36,1599,5300,772,300.70179107143315
36,29,5400,36029005400,54,Census Tract 54,G5020,S,1822822,105582,42.9379545,-78.8681795,1400000US36029005400,"Census Tract 54, Erie County, New York",29,61016,36,3960,5400,3358,302.2885460960615
36,29,5500,36029005500,55,Census Tract 55,G5020,S,1559694,0,42.9388808,-78.8889408,1400000US36029005500,"Census Tract 55, Erie County, New York",29,28036,36,4130,5500,2061,303.3752397554047
36,29,5600,36029005600,56,Census Tract 56,G5020,S,2198734,0,42.9511733,-78.8866130,1400000US36029005600,"Census Tract 56, Erie County, New York",29,26551,36,4268,5600,1895,304.24903454758385
36,29,1500,36029001500,15,Census Tract 15,G5020,S,956249,0,42.8854677,-78.8484885,1400000US36029001500,"Census Tract 15, Erie County, New York",29,26625,36,1336,1500,62,304.0272001004868
36,29,4200,36029004200,42,Census Tract 42,G5020,S,969662,0,42.9352495,-78.8186469,1400000US36029004200,"Census Tract 42, Erie County, New York",29,35747,36,3759,4200,80,304.30330080753197
36,29,600,36029000600,6,Census Tract 6,G5020,S,1163904,0,42.8377227,-78.8184466,1400000US36029000600,"Census Tract 6, Erie County, New York",29,55548,36,4805,600,4172,304.4287006011917
36,29,5202,36029005202,52.02,Census Tract 52.02,G5020,S,583983,0,42.9246116,-78.8487553,1400000US36029005202,"Census Tract 52.02, Erie County, New York",29,30083,36,3283,5202,1335,302.9622892234865
36,29,500,36029000500,5,Census Tract 5,G5020,S,4222065,2018201,42.8668408,-78.8711697,1400000US36029000500,"Census Tract 5, Erie County, New York",29,27012,36,2053,500,1756,298.7558420688417
36,29,700,36029000700,7,Census Tract 7,G5020,S,1068826,0,42.8371467,-78.8072178,1400000US36029000700,"Census Tract 7, Erie County, New York",29,65179,36,3731,700,3633,305.0571781446316
36,29,900,36029000900,9,Census Tract 9,G5020,S,549188,0,42.8539069,-78.8165216,1400000US36029000900,"Census Tract 9, Erie County, New York",29,54697,36,2567,900,2146,304.3236445288128
