STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,523006,4013523006,5230.06,Census Tract 5230.06,G5020,S,2598528,0,33.3133108,-111.8677386,1400000US04013523006,"Census Tract 5230.06, Maricopa County, Arizona",13,56379,4,5738,523006,4982,318.00662224871036
4,13,523102,4013523102,5231.02,Census Tract 5231.02,G5020,S,2600168,0,33.2989020,-111.8328861,1400000US04013523102,"Census Tract 5231.02, Maricopa County, Arizona",13,46045,4,5450,523102,3982,318.0269854305858
4,13,523103,4013523103,5231.03,Census Tract 5231.03,G5020,S,2616517,440,33.2982770,-111.8671283,1400000US04013523103,"Census Tract 5231.03, Maricopa County, Arizona",13,61146,4,5336,523103,3700,317.50883314416717
4,13,422209,4013422209,4222.09,Census Tract 4222.09,G5020,S,2613030,0,33.3424187,-111.8504007,1400000US04013422209,"Census Tract 4222.09, Maricopa County, Arizona",13,64083,4,6731,422209,5053,319.5156078995008
4,13,422210,4013422210,4222.10,Census Tract 4222.10,G5020,S,2611046,0,33.3423811,-111.8677211,1400000US04013422210,"Census Tract 4222.10, Maricopa County, Arizona",13,73190,4,5569,422210,4650,319.80239989744945
4,13,422211,4013422211,4222.11,Census Tract 4222.11,G5020,S,2561848,0,33.3422466,-111.8850371,1400000US04013422211,"Census Tract 4222.11, Maricopa County, Arizona",13,78214,4,2656,422211,2205,317.77835054702865
4,13,422218,4013422218,4222.18,Census Tract 4222.18,G5020,S,1286856,0,33.3530428,-111.8851882,1400000US04013422218,"Census Tract 4222.18, Maricopa County, Arizona",13,54973,4,2872,422218,2374,319.59214284142587
4,13,422219,4013422219,4222.19,Census Tract 4222.19,G5020,S,1287745,0,33.3532362,-111.8678013,1400000US04013422219,"Census Tract 4222.19, Maricopa County, Arizona",13,64352,4,3016,422219,2461,319.15755670785825
4,13,422220,4013422220,4222.20,Census Tract 4222.20,G5020,S,1272556,0,33.3532910,-111.8504569,1400000US04013422220,"Census Tract 4222.20, Maricopa County, Arizona",13,88380,4,1996,422220,1727,318.79960248762353
4,13,811200,4013811200,8112,Census Tract 8112,G5020,S,2710766,0,33.2986622,-111.8852453,1400000US04013811200,"Census Tract 8112, Maricopa County, Arizona",13,64566,4,3003,811200,1783,318.49451867454496
4,13,811400,4013811400,8114,Census Tract 8114,G5020,S,2579338,0,33.3135826,-111.8155040,1400000US04013811400,"Census Tract 8114, Maricopa County, Arizona",13,87645,4,5410,811400,4248,316.90665088295276
4,13,811800,4013811800,8118,Census Tract 8118,G5020,S,2723008,0,33.2836801,-111.8848646,1400000US04013811800,"Census Tract 8118, Maricopa County, Arizona",13,101172,4,2382,811800,1556,318.2578989611803
4,13,811900,4013811900,8119,Census Tract 8119,G5020,S,2738674,0,33.2838493,-111.8674476,1400000US04013811900,"Census Tract 8119, Maricopa County, Arizona",13,89799,4,5950,811900,4487,316.93128124148257
