STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
37,119,900,37119000900,9,Census Tract 9,G5020,S,1124237,0,35.2373230,-80.8103857,1400000US37119000900,"Census Tract 9, Mecklenburg County, North Carolina",119,38864,37,1859,900,496,304.83565868476336
37,119,1000,37119001000,10,Census Tract 10,G5020,S,1586244,0,35.2256272,-80.8083740,1400000US37119001000,"Census Tract 10, Mecklenburg County, North Carolina",119,112929,37,2522,1000,2305,304.8570406791906
37,119,1100,37119001100,11,Census Tract 11,G5020,S,1920025,0,35.2144543,-80.8066303,1400000US37119001100,"Census Tract 11, Mecklenburg County, North Carolina",119,93031,37,2576,1100,2199,305.1503909519272
37,119,1200,37119001200,12,Census Tract 12,G5020,S,4195853,6882,35.2246676,-80.7874243,1400000US37119001200,"Census Tract 12, Mecklenburg County, North Carolina",119,65313,37,5042,1200,3005,303.67325228673457
37,119,1300,37119001300,13,Census Tract 13,G5020,S,2609447,5865,35.2377407,-80.7892612,1400000US37119001300,"Census Tract 13, Mecklenburg County, North Carolina",119,32488,37,3734,1300,1868,305.00436408013877
37,119,3806,37119003806,38.06,Census Tract 38.06,G5020,S,8446617,24754,35.1528090,-80.9068622,1400000US37119003806,"Census Tract 38.06, Mecklenburg County, North Carolina",119,46961,37,9441,3806,3050,304.05665001402406
37,119,3805,37119003805,38.05,Census Tract 38.05,G5020,S,8193760,90168,35.1749191,-80.9129153,1400000US37119003805,"Census Tract 38.05, Mecklenburg County, North Carolina",119,74057,37,2452,3805,626,303.36840657874114
37,119,3203,37119003203,32.03,Census Tract 32.03,G5020,S,1126719,0,35.1773334,-80.8633500,1400000US37119003203,"Census Tract 32.03, Mecklenburg County, North Carolina",119,46842,37,2543,3203,1750,304.1902192547925
37,119,3108,37119003108,31.08,Census Tract 31.08,G5020,S,1573362,8052,35.1305739,-80.8678209,1400000US37119003108,"Census Tract 31.08, Mecklenburg County, North Carolina",119,36296,37,3748,3108,2129,305.1818205367788
37,119,1504,37119001504,15.04,Census Tract 15.04,G5020,S,3519175,10623,35.2440467,-80.7584093,1400000US37119001504,"Census Tract 15.04, Mecklenburg County, North Carolina",119,37517,37,7699,1504,1338,304.3598029011748
37,119,1505,37119001505,15.05,Census Tract 15.05,G5020,S,5239375,16974,35.2753840,-80.7548614,1400000US37119001505,"Census Tract 15.05, Mecklenburg County, North Carolina",119,52258,37,3791,1505,1665,302.7186581928816
37,119,1603,37119001603,16.03,Census Tract 16.03,G5020,S,2487106,15427,35.2327298,-80.7705875,1400000US37119001603,"Census Tract 16.03, Mecklenburg County, North Carolina",119,40603,37,4512,1603,2762,304.42757143923814
37,119,1702,37119001702,17.02,Census Tract 17.02,G5020,S,3687347,8818,35.2075264,-80.7733055,1400000US37119001702,"Census Tract 17.02, Mecklenburg County, North Carolina",119,29740,37,5183,1702,2410,305.0156029889194
37,119,1701,37119001701,17.01,Census Tract 17.01,G5020,S,1511611,0,35.2118910,-80.7893958,1400000US37119001701,"Census Tract 17.01, Mecklenburg County, North Carolina",119,38295,37,4572,1701,1630,304.5607416723416
37,119,1910,37119001910,19.10,Census Tract 19.10,G5020,S,2630814,1147,35.1946576,-80.7337135,1400000US37119001910,"Census Tract 19.10, Mecklenburg County, North Carolina",119,34745,37,5841,1910,1903,305.0987394450806
37,119,2002,37119002002,20.02,Census Tract 20.02,G5020,S,5818974,2449,35.1673012,-80.7884793,1400000US37119002002,"Census Tract 20.02, Mecklenburg County, North Carolina",119,86300,37,6515,2002,5149,303.7413980720506
37,119,3016,37119003016,30.16,Census Tract 30.16,G5020,S,3007760,29722,35.1104474,-80.7677137,1400000US37119003016,"Census Tract 30.16, Mecklenburg County, North Carolina",119,75660,37,4599,3016,3719,304.6858817557928
37,119,3102,37119003102,31.02,Census Tract 31.02,G5020,S,3830879,47994,35.1555386,-80.8598164,1400000US37119003102,"Census Tract 31.02, Mecklenburg County, North Carolina",119,44135,37,4959,3102,3198,304.2965188248258
37,119,3103,37119003103,31.03,Census Tract 31.03,G5020,S,4000535,0,35.1672073,-80.8618278,1400000US37119003103,"Census Tract 31.03, Mecklenburg County, North Carolina",119,78221,37,4365,3103,3838,304.96389561566957
37,119,5916,37119005916,59.16,Census Tract 59.16,G5020,S,5025465,24010,35.1317236,-80.9106075,1400000US37119005916,"Census Tract 59.16, Mecklenburg County, North Carolina",119,36791,37,2713,5916,944,305.14365501114594
37,119,3808,37119003808,38.08,Census Tract 38.08,G5020,S,1732530,53771,35.1446715,-80.8839102,1400000US37119003808,"Census Tract 38.08, Mecklenburg County, North Carolina",119,39688,37,6049,3808,3633,305.3870408027047
37,119,5918,37119005918,59.18,Census Tract 59.18,G5020,S,5047600,60513,35.0890463,-80.9828637,1400000US37119005918,"Census Tract 59.18, Mecklenburg County, North Carolina",119,74158,37,3764,5918,2247,303.6459834196618
37,119,5914,37119005914,59.14,Census Tract 59.14,G5020,S,7403755,3814,35.1242220,-80.9720610,1400000US37119005914,"Census Tract 59.14, Mecklenburg County, North Carolina",119,62544,37,6771,5914,3061,305.4822472436924
37,119,2100,37119002100,21,Census Tract 21,G5020,S,1588645,0,35.1850848,-80.7855990,1400000US37119002100,"Census Tract 21, Mecklenburg County, North Carolina",119,39367,37,2767,2100,1619,304.7163021926592
37,119,2200,37119002200,22,Census Tract 22,G5020,S,4342671,7869,35.1846948,-80.8046739,1400000US37119002200,"Census Tract 22, Mecklenburg County, North Carolina",119,92404,37,5067,2200,4731,304.8469128238402
37,119,2300,37119002300,23,Census Tract 23,G5020,S,1908246,18875,35.1945090,-80.7994783,1400000US37119002300,"Census Tract 23, Mecklenburg County, North Carolina",119,18068,37,3035,2300,195,305.7663159537743
