STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
51,550,20905,51550020905,209.05,Census Tract 209.05,G5020,S,2148107,13598,36.7737005,-76.2673195,1400000US51550020905,"Census Tract 209.05, Chesapeake city, Virginia",550,51389,51,2476,20905,1884,304.6329098971198
51,550,20808,51550020808,208.08,Census Tract 208.08,G5020,S,1843008,9669,36.7979280,-76.2481745,1400000US51550020808,"Census Tract 208.08, Chesapeake city, Virginia",550,66121,51,3493,20808,271,305.8199260043392
51,550,20804,51550020804,208.04,Census Tract 208.04,G5020,S,36058340,1777220,36.7416968,-76.1811050,1400000US51550020804,"Census Tract 208.04, Chesapeake city, Virginia",550,101531,51,8530,20804,6061,298.84810650012815
51,550,20806,51550020806,208.06,Census Tract 208.06,G5020,S,5007221,276282,36.7777291,-76.2179738,1400000US51550020806,"Census Tract 208.06, Chesapeake city, Virginia",550,67769,51,8128,20806,5170,305.04481941110623
51,550,20700,51550020700,207,Census Tract 207,G5020,S,3291671,0,36.7866467,-76.2646373,1400000US51550020700,"Census Tract 207, Chesapeake city, Virginia",550,30301,51,5625,20700,1611,305.62659882889346
51,550,20807,51550020807,208.07,Census Tract 208.07,G5020,S,3775098,233691,36.7622883,-76.2116495,1400000US51550020807,"Census Tract 208.07, Chesapeake city, Virginia",550,80638,51,7906,20807,5300,304.54156493685707
51,550,20903,51550020903,209.03,Census Tract 209.03,G5020,S,4022371,474181,36.7656745,-76.2847015,1400000US51550020903,"Census Tract 209.03, Chesapeake city, Virginia",550,72228,51,2366,20903,498,303.10732246624923
51,550,20904,51550020904,209.04,Census Tract 209.04,G5020,S,10000061,1430717,36.7437878,-76.2747876,1400000US51550020904,"Census Tract 209.04, Chesapeake city, Virginia",550,61925,51,8517,20904,4619,302.30692856340113
51,550,21005,51550021005,210.05,Census Tract 210.05,G5020,S,7474940,843962,36.7188925,-76.2738259,1400000US51550021005,"Census Tract 210.05, Chesapeake city, Virginia",550,91435,51,5223,21005,3352,302.30463090670816
51,550,21101,51550021101,211.01,Census Tract 211.01,G5020,S,8538827,318488,36.7122598,-76.2077137,1400000US51550021101,"Census Tract 211.01, Chesapeake city, Virginia",550,101715,51,5266,21101,4851,303.0079875033113
51,550,21302,51550021302,213.02,Census Tract 213.02,G5020,S,19510125,1351270,36.7337796,-76.3229782,1400000US51550021302,"Census Tract 213.02, Chesapeake city, Virginia",550,107184,51,11858,21302,7001,300.90767168559626
51,550,21401,51550021401,214.01,Census Tract 214.01,G5020,S,4073253,44187,36.7627051,-76.3509770,1400000US51550021401,"Census Tract 214.01, Chesapeake city, Virginia",550,82961,51,2047,21401,1396,302.86169294562774
51,550,21402,51550021402,214.02,Census Tract 214.02,G5020,S,7705623,865461,36.7611864,-76.3226633,1400000US51550021402,"Census Tract 214.02, Chesapeake city, Virginia",550,60033,51,6119,21402,4917,303.10389846210535
51,550,21403,51550021403,214.03,Census Tract 214.03,G5020,S,6356228,1167484,36.7761659,-76.3160170,1400000US51550021403,"Census Tract 214.03, Chesapeake city, Virginia",550,50525,51,4391,21403,2662,302.9737153916231
51,550,21404,51550021404,214.04,Census Tract 214.04,G5020,S,11006753,527385,36.7806387,-76.3711670,1400000US51550021404,"Census Tract 214.04, Chesapeake city, Virginia",550,54026,51,7663,21404,2373,302.954290271563
51,550,21501,51550021501,215.01,Census Tract 215.01,G5020,S,19705219,382441,36.7949114,-76.4299834,1400000US51550021501,"Census Tract 215.01, Chesapeake city, Virginia",550,74032,51,10950,21501,5588,300.55035428393694
51,550,21502,51550021502,215.02,Census Tract 215.02,G5020,S,13058215,650631,36.8281003,-76.4253396,1400000US51550021502,"Census Tract 215.02, Chesapeake city, Virginia",550,76979,51,7944,21502,5493,301.96640254281874
51,550,21602,51550021602,216.02,Census Tract 216.02,G5020,S,4328202,0,36.8564344,-76.4191884,1400000US51550021602,"Census Tract 216.02, Chesapeake city, Virginia",550,50606,51,6636,21602,2446,303.966012466076
51,550,21301,51550021301,213.01,Census Tract 213.01,G5020,S,233575933,13488983,36.6952213,-76.4366863,1400000US51550021301,"Census Tract 213.01, Chesapeake city, Virginia",550,79150,51,6655,21301,4202,298.05083428641785
51,550,20906,51550020906,209.06,Census Tract 209.06,G5020,S,6045701,362782,36.7470713,-76.2509330,1400000US51550020906,"Census Tract 209.06, Chesapeake city, Virginia",550,63675,51,7581,20906,3773,304.8739186074854
51,550,20100,51550020100,201,Census Tract 201,G5020,S,1667960,39986,36.8117210,-76.2515964,1400000US51550020100,"Census Tract 201, Chesapeake city, Virginia",550,28582,51,4972,20100,536,305.79089006973044
51,550,20200,51550020200,202,Census Tract 202,G5020,S,2925514,0,36.8112693,-76.2637583,1400000US51550020200,"Census Tract 202, Chesapeake city, Virginia",550,44821,51,4038,20200,116,305.5292637041415
51,550,20300,51550020300,203,Census Tract 203,G5020,S,1223028,0,36.8195888,-76.2769553,1400000US51550020300,"Census Tract 203, Chesapeake city, Virginia",550,38681,51,1524,20300,561,305.93154013956104
51,550,21010,51550021010,210.10,Census Tract 210.10,G5020,S,3731019,0,36.7065649,-76.2575177,1400000US51550021010,"Census Tract 210.10, Chesapeake city, Virginia",550,72944,51,5751,21010,4712,303.71527997310176
51,550,20600,51550020600,206,Census Tract 206,G5020,S,2824312,24567,36.7915832,-76.2749765,1400000US51550020600,"Census Tract 206, Chesapeake city, Virginia",550,62981,51,4441,20600,3157,304.9728897434376
51,550,21011,51550021011,210.11,Census Tract 210.11,G5020,S,2449417,0,36.6962452,-76.2570375,1400000US51550021011,"Census Tract 210.11, Chesapeake city, Virginia",550,125104,51,3816,21011,3253,303.9818788361554
51,550,20809,51550020809,208.09,Census Tract 208.09,G5020,S,5246498,115578,36.8005730,-76.2284050,1400000US51550020809,"Census Tract 208.09, Chesapeake city, Virginia",550,63561,51,4768,20809,2764,305.29848978707014
51,550,20500,51550020500,205,Census Tract 205,G5020,S,4658809,1678146,36.7908721,-76.2920627,1400000US51550020500,"Census Tract 205, Chesapeake city, Virginia",550,41786,51,1279,20500,523,303.5937012150972
51,550,21012,51550021012,210.12,Census Tract 210.12,G5020,S,5395409,52912,36.6953948,-76.2194725,1400000US51550021012,"Census Tract 210.12, Chesapeake city, Virginia",550,93635,51,6558,21012,6224,303.9444762756446
51,550,21013,51550021013,210.13,Census Tract 210.13,G5020,S,3448110,0,36.6929129,-76.1945101,1400000US51550021013,"Census Tract 210.13, Chesapeake city, Virginia",550,125938,51,4640,21013,3777,303.72322954543506
51,550,20003,51550020003,200.03,Census Tract 200.03,G5020,S,2636998,144473,36.8136821,-76.2325481,1400000US51550020003,"Census Tract 200.03, Chesapeake city, Virginia",550,52355,51,6632,20003,4447,304.9481543298178
51,550,21200,51550021200,212,Census Tract 212,G5020,S,193534181,357287,36.6110670,-76.3073530,1400000US51550021200,"Census Tract 212, Chesapeake city, Virginia",550,87174,51,6230,21200,5257,299.397833985464
51,550,21004,51550021004,210.04,Census Tract 210.04,G5020,S,20262817,0,36.6634273,-76.2462827,1400000US51550021004,"Census Tract 210.04, Chesapeake city, Virginia",550,91227,51,5488,21004,4697,300.84838629546465
51,550,20805,51550020805,208.05,Census Tract 208.05,G5020,S,10647203,299500,36.7638453,-76.2393729,1400000US51550020805,"Census Tract 208.05, Chesapeake city, Virginia",550,68788,51,5244,20805,2642,304.9863797181275
51,550,21009,51550021009,210.09,Census Tract 210.09,G5020,S,18262598,0,36.6589122,-76.2169741,1400000US51550021009,"Census Tract 210.09, Chesapeake city, Virginia",550,115795,51,4204,21009,3632,299.6294658114139
51,550,21601,51550021601,216.01,Census Tract 216.01,G5020,S,6907462,766981,36.8437540,-76.4050104,1400000US51550021601,"Census Tract 216.01, Chesapeake city, Virginia",550,85846,51,8576,21601,6647,303.24306428310297
