STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
17,31,30101,17031030101,301.01,Census Tract 301.01,G5020,S,122359,115695,41.9913475,-87.6550420,1400000US17031030101,"Census Tract 301.01, Cook County, Illinois",31,43167,17,3549,30101,2430,301.56945250842404
17,31,30701,17031030701,307.01,Census Tract 307.01,G5020,S,69878,0,41.9827453,-87.6579659,1400000US17031030701,"Census Tract 307.01, Cook County, Illinois",31,36467,17,1597,30701,889,302.17819296830373
17,31,70103,17031070103,701.03,Census Tract 701.03,G5020,S,69094,0,41.9268110,-87.6426051,1400000US17031070103,"Census Tract 701.03, Cook County, Illinois",31,57963,17,1587,70103,1334,302.14023595657153
17,31,770602,17031770602,7706.02,Census Tract 7706.02,G5020,S,5389805,153161,42.0119110,-87.9074973,1400000US17031770602,"Census Tract 7706.02, Cook County, Illinois",31,59274,17,5285,770602,3581,302.0873064095033
17,31,831900,17031831900,8319,Census Tract 8319,G5020,S,324322,0,41.9451690,-87.6687907,1400000US17031831900,"Census Tract 8319, Cook County, Illinois",31,101612,17,2818,831900,2505,303.21569986580965
17,31,832600,17031832600,8326,Census Tract 8326,G5020,S,689067,32563,41.9147541,-87.6544654,1400000US17031832600,"Census Tract 8326, Cook County, Illinois",31,148017,17,3728,832600,3306,303.4105384521863
17,31,836900,17031836900,8369,Census Tract 8369,G5020,S,164712,0,41.8818831,-87.7061362,1400000US17031836900,"Census Tract 8369, Cook County, Illinois",31,26458,17,1422,836900,183,303.09362587605074
17,31,841200,17031841200,8412,Census Tract 8412,G5020,S,625407,0,41.8555618,-87.6833420,1400000US17031841200,"Census Tract 8412, Cook County, Illinois",31,36104,17,5183,841200,2579,304.88741930310874
17,31,839500,17031839500,8395,Census Tract 8395,G5020,S,262139,0,41.8340975,-87.6192919,1400000US17031839500,"Census Tract 8395, Cook County, Illinois",31,21719,17,1367,839500,239,302.417165159949
17,31,835800,17031835800,8358,Census Tract 8358,G5020,S,284425,0,41.8130462,-87.6187192,1400000US17031835800,"Census Tract 8358, Cook County, Illinois",31,60598,17,1707,835800,78,302.3781344354362
17,31,838800,17031838800,8388,Census Tract 8388,G5020,S,17863250,3802983,41.6834042,-87.5740611,1400000US17031838800,"Census Tract 8388, Cook County, Illinois",31,19155,17,3526,838800,1571,300.5200439813063
17,31,842300,17031842300,8423,Census Tract 8423,G5020,S,1758733,135728,41.9083863,-87.6600857,1400000US17031842300,"Census Tract 8423, Cook County, Illinois",31,123750,17,3189,842300,2504,304.1200567857253
