STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,73,13307,6073013307,133.07,Census Tract 133.07,G5020,S,1308215,0,32.5988025,-117.0502967,1400000US06073013307,"Census Tract 133.07, San Diego County, California",73,65990,6,4814,13307,3892,310.61054277799127
6,73,13308,6073013308,133.08,Census Tract 133.08,G5020,S,1609626,0,32.5917561,-117.0490649,1400000US06073013308,"Census Tract 133.08, San Diego County, California",73,60862,6,3690,13308,2529,310.47386378332067
6,73,13309,6073013309,133.09,Census Tract 133.09,G5020,S,2506845,0,32.6183130,-117.0337503,1400000US06073013309,"Census Tract 133.09, San Diego County, California",73,87778,6,6886,13309,4754,310.3801506657761
6,73,13311,6073013311,133.11,Census Tract 133.11,G5020,S,3485487,0,32.6390207,-116.9603940,1400000US06073013311,"Census Tract 133.11, San Diego County, California",73,103725,6,11324,13311,6605,309.896512253533
6,73,13312,6073013312,133.12,Census Tract 133.12,G5020,S,854831,0,32.6009868,-117.0326101,1400000US06073013312,"Census Tract 133.12, San Diego County, California",73,64487,6,2703,13312,1932,310.939278400152
6,73,13401,6073013401,134.01,Census Tract 134.01,G5020,S,2306988,0,32.6352894,-117.0562050,1400000US06073013401,"Census Tract 134.01, San Diego County, California",73,78241,6,4189,13401,3485,310.7846821017326
6,73,13409,6073013409,134.09,Census Tract 134.09,G5020,S,2672800,0,32.6332129,-117.0359060,1400000US06073013409,"Census Tract 134.09, San Diego County, California",73,80324,6,5167,13409,4048,309.76666033385385
6,73,10014,6073010014,100.14,Census Tract 100.14,G5020,S,28491580,19560,32.5754926,-116.9784789,1400000US06073010014,"Census Tract 100.14, San Diego County, California",73,90064,6,19644,10014,11142,310.8254960703866
6,73,13421,6073013421,134.21,Census Tract 134.21,G5020,S,2476407,0,32.6453675,-117.0210109,1400000US06073013421,"Census Tract 134.21, San Diego County, California",73,89572,6,4590,13421,2757,309.02509826653824
6,73,13419,6073013419,134.19,Census Tract 134.19,G5020,S,5584969,227892,32.6533559,-116.9521669,1400000US06073013419,"Census Tract 134.19, San Diego County, California",73,112980,6,8579,13419,5863,310.56428164447306
6,73,10103,6073010103,101.03,Census Tract 101.03,G5020,S,3135218,2693099,32.5996184,-117.0958327,1400000US06073010103,"Census Tract 101.03, San Diego County, California",73,44347,6,6422,10103,4793,308.2288594968046
6,73,13414,6073013414,134.14,Census Tract 134.14,G5020,S,2868952,0,32.6311503,-117.0127578,1400000US06073013414,"Census Tract 134.14, San Diego County, California",73,101747,6,7797,13414,4980,309.6269244890936
6,73,13415,6073013415,134.15,Census Tract 134.15,G5020,S,1160610,0,32.6383744,-116.9983443,1400000US06073013415,"Census Tract 134.15, San Diego County, California",73,87639,6,1529,13415,1088,311.0465297676866
6,73,13416,6073013416,134.16,Census Tract 134.16,G5020,S,2205640,0,32.6481408,-116.9934936,1400000US06073013416,"Census Tract 134.16, San Diego County, California",73,86420,6,4029,13416,2764,310.38661580005464
6,73,13417,6073013417,134.17,Census Tract 134.17,G5020,S,2013808,0,32.6590400,-116.9844864,1400000US06073013417,"Census Tract 134.17, San Diego County, California",73,125859,6,2206,13417,1500,310.3047004158685
6,73,13418,6073013418,134.18,Census Tract 134.18,G5020,S,1780862,73830,32.6499238,-116.9778110,1400000US06073013418,"Census Tract 134.18, San Diego County, California",73,81671,6,6577,13418,4369,310.79327557340685
6,73,21302,6073021302,213.02,Census Tract 213.02,G5020,S,377456026,4543820,32.6637754,-116.7818507,1400000US06073021302,"Census Tract 213.02, San Diego County, California",73,73587,6,7738,21302,6048,311.2136670814036
6,73,3207,6073003207,32.07,Census Tract 32.07,G5020,S,5198550,381866,32.6716968,-117.0309545,1400000US06073003207,"Census Tract 32.07, San Diego County, California",73,70380,6,6568,3207,4517,308.03368916541456
6,73,12401,6073012401,124.01,Census Tract 124.01,G5020,S,1460917,45948,32.6507883,-117.0929614,1400000US06073012401,"Census Tract 124.01, San Diego County, California",73,41588,6,3898,12401,2924,309.66701916004547
6,73,3204,6073003204,32.04,Census Tract 32.04,G5020,S,3076521,416280,32.6571679,-117.0564201,1400000US06073003204,"Census Tract 32.04, San Diego County, California",73,92616,6,3620,3204,2495,307.61603365622017
6,73,21303,6073021303,213.03,Census Tract 213.03,G5020,S,76914503,0,32.7240315,-116.9028283,1400000US06073021303,"Census Tract 213.03, San Diego County, California",73,148261,6,9497,21303,6662,312.4689713609714
6,73,13410,6073013410,134.10,Census Tract 134.10,G5020,S,18968587,2328739,32.6829659,-116.9852707,1400000US06073013410,"Census Tract 134.10, San Diego County, California",73,125988,6,8449,13410,5102,310.554597009048
6,73,13412,6073013412,134.12,Census Tract 134.12,G5020,S,4693213,0,32.6499139,-117.0387431,1400000US06073013412,"Census Tract 134.12, San Diego County, California",73,87064,6,4825,13412,3357,308.1795467737105
6,73,10001,6073010001,100.01,Census Tract 100.01,G5020,S,2103024,0,32.5868139,-117.0554451,1400000US06073010001,"Census Tract 100.01, San Diego County, California",73,66231,6,3693,10001,2416,305.64784586876453
6,73,10107,6073010107,101.07,Census Tract 101.07,G5020,S,2323493,2879,32.5820941,-117.0793152,1400000US06073010107,"Census Tract 101.07, San Diego County, California",73,63316,6,6932,10107,5112,306.5247789323233
6,73,12302,6073012302,123.02,Census Tract 123.02,G5020,S,387318,0,32.6409446,-117.0802930,1400000US06073012302,"Census Tract 123.02, San Diego County, California",73,29886,6,1679,12302,1349,310.11480377161087
6,73,12304,6073012304,123.04,Census Tract 123.04,G5020,S,1232319,0,32.6439923,-117.0701191,1400000US06073012304,"Census Tract 123.04, San Diego County, California",73,52277,6,3525,12304,2921,310.2216546856658
6,73,12402,6073012402,124.02,Census Tract 124.02,G5020,S,896878,0,32.6430592,-117.0878962,1400000US06073012402,"Census Tract 124.02, San Diego County, California",73,43080,6,5318,12402,4375,310.50185695253543
6,73,12600,6073012600,126,Census Tract 126,G5020,S,3043392,4112897,32.6200568,-117.1034056,1400000US06073012600,"Census Tract 126, San Diego County, California",73,44918,6,4739,12600,3565,309.0773530908047
6,73,12700,6073012700,127,Census Tract 127,G5020,S,1159147,0,32.6341315,-117.0851125,1400000US06073012700,"Census Tract 127, San Diego County, California",73,38299,6,5335,12700,4314,310.5330730268158
6,73,12800,6073012800,128,Census Tract 128,G5020,S,1034933,0,32.6358462,-117.0709931,1400000US06073012800,"Census Tract 128, San Diego County, California",73,49761,6,4070,12800,3185,310.4900144208861
6,73,12900,6073012900,129,Census Tract 129,G5020,S,1372425,0,32.6274203,-117.0676039,1400000US06073012900,"Census Tract 129, San Diego County, California",73,75930,6,3393,12900,2409,310.4426335519773
6,73,13000,6073013000,130,Census Tract 130,G5020,S,1627334,0,32.6248441,-117.0798163,1400000US06073013000,"Census Tract 130, San Diego County, California",73,52656,6,6558,13000,5286,310.4167821923801
6,73,13205,6073013205,132.05,Census Tract 132.05,G5020,S,1777331,4485,32.5966578,-117.0802103,1400000US06073013205,"Census Tract 132.05, San Diego County, California",73,34205,6,2370,13205,1844,309.8554065226345
6,73,13102,6073013102,131.02,Census Tract 131.02,G5020,S,1986983,0,32.6166605,-117.0657271,1400000US06073013102,"Census Tract 131.02, San Diego County, California",73,53981,6,6473,13102,4771,310.34350885234215
6,73,13103,6073013103,131.03,Census Tract 131.03,G5020,S,1769619,190418,32.6092325,-117.0887814,1400000US06073013103,"Census Tract 131.03, San Diego County, California",73,46771,6,2703,13103,2104,309.3350517742354
6,73,13104,6073013104,131.04,Census Tract 131.04,G5020,S,977893,0,32.6131276,-117.0779491,1400000US06073013104,"Census Tract 131.04, San Diego County, California",73,47706,6,6004,13104,4788,310.36937473006304
6,73,13203,6073013203,132.03,Census Tract 132.03,G5020,S,1115936,0,32.6067804,-117.0642137,1400000US06073013203,"Census Tract 132.03, San Diego County, California",73,26679,6,6825,13203,5879,311.0894057766937
6,73,13204,6073013204,132.04,Census Tract 132.04,G5020,S,802292,0,32.5982825,-117.0637049,1400000US06073013204,"Census Tract 132.04, San Diego County, California",73,36458,6,3805,13204,3050,310.6514110890708
6,73,13306,6073013306,133.06,Census Tract 133.06,G5020,S,1324967,0,32.6036559,-117.0400327,1400000US06073013306,"Census Tract 133.06, San Diego County, California",73,51742,6,4153,13306,2825,311.06260991263645
6,73,13206,6073013206,132.06,Census Tract 132.06,G5020,S,1589049,0,32.5991877,-117.0722502,1400000US06073013206,"Census Tract 132.06, San Diego County, California",73,39136,6,7350,13206,5376,310.1882057436999
6,73,13301,6073013301,133.01,Census Tract 133.01,G5020,S,1701177,0,32.6238651,-117.0510483,1400000US06073013301,"Census Tract 133.01, San Diego County, California",73,74364,6,5174,13301,3772,310.9113786696804
6,73,13302,6073013302,133.02,Census Tract 133.02,G5020,S,1399724,0,32.6155222,-117.0486683,1400000US06073013302,"Census Tract 133.02, San Diego County, California",73,62957,6,4872,13302,4193,311.1901093139527
6,73,13303,6073013303,133.03,Census Tract 133.03,G5020,S,1382342,0,32.6077635,-117.0502304,1400000US06073013303,"Census Tract 133.03, San Diego County, California",73,55781,6,5321,13303,4054,311.061537964272
6,73,13411,6073013411,134.11,Census Tract 134.11,G5020,S,4772595,0,32.6602240,-117.0130133,1400000US06073013411,"Census Tract 134.11, San Diego County, California",73,92885,6,5200,13411,3572,309.1524323538116
6,73,12501,6073012501,125.01,Census Tract 125.01,G5020,S,461087,0,32.6335939,-117.0936978,1400000US06073012501,"Census Tract 125.01, San Diego County, California",73,26382,6,2778,12501,2227,309.28724781222525
6,73,12502,6073012502,125.02,Census Tract 125.02,G5020,S,2817953,1531909,32.6421028,-117.1094056,1400000US06073012502,"Census Tract 125.02, San Diego County, California",73,36667,6,4500,12502,3383,307.0113090789381
6,73,13420,6073013420,134.20,Census Tract 134.20,G5020,S,1933314,0,32.6400018,-117.0212310,1400000US06073013420,"Census Tract 134.20, San Diego County, California",73,91645,6,3658,13420,1603,309.03816395685675
6,73,13314,6073013314,133.14,Census Tract 133.14,G5020,S,15916442,1675770,32.6090391,-116.9544542,1400000US06073013314,"Census Tract 133.14, San Diego County, California",73,107352,6,20534,13314,11552,311.8864931584535
6,73,13310,6073013310,133.10,Census Tract 133.10,G5020,S,8503030,0,32.6261903,-116.9977853,1400000US06073013310,"Census Tract 133.1, San Diego County, California",73,75678,6,29528,13310,14127,309.58681741533866
6,73,13313,6073013313,133.13,Census Tract 133.13,G5020,S,18881163,17465,32.6004317,-116.9843595,1400000US06073013313,"Census Tract 133.13, San Diego County, California",73,102768,6,15935,13313,7158,310.7846821017326
6,73,12303,6073012303,123.03,Census Tract 123.03,G5020,S,1534550,31362,32.6513365,-117.0734020,1400000US06073012303,"Census Tract 123.03, San Diego County, California",73,45833,6,3812,12303,3067,309.5456134439845
