STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
39,61,5500,39061005500,55,Census Tract 55,G5020,S,3274537,650,39.1630495,-84.4004532,1400000US39061005500,"Census Tract 55, Hamilton County, Ohio",61,37052,39,3761,5500,1518,302.1712925742913
39,61,5600,39061005600,56,Census Tract 56,G5020,S,2385087,0,39.1533295,-84.3865958,1400000US39061005600,"Census Tract 56, Hamilton County, Ohio",61,46105,39,5790,5600,3575,301.69652564254034
39,61,5701,39061005701,57.01,Census Tract 57.01,G5020,S,1610457,0,39.1848721,-84.4284958,1400000US39061005701,"Census Tract 57.01, Hamilton County, Ohio",61,52688,39,2950,5701,2058,301.4862050713798
39,61,5702,39061005702,57.02,Census Tract 57.02,G5020,S,2539747,0,39.1743864,-84.4283045,1400000US39061005702,"Census Tract 57.02, Hamilton County, Ohio",61,60748,39,4134,5702,2736,301.95833800511497
39,61,5800,39061005800,58,Census Tract 58,G5020,S,3163203,0,39.1812023,-84.4109963,1400000US39061005800,"Census Tract 58, Hamilton County, Ohio",61,38971,39,5719,5800,1905,301.04356910890516
39,61,6000,39061006000,60,Census Tract 60,G5020,S,3400830,0,39.2122381,-84.4754510,1400000US39061006000,"Census Tract 60, Hamilton County, Ohio",61,34888,39,5828,6000,2942,301.65957266303184
39,61,6100,39061006100,61,Census Tract 61,G5020,S,3297952,0,39.1981150,-84.4843090,1400000US39061006100,"Census Tract 61, Hamilton County, Ohio",61,31726,39,2567,6100,1555,302.4251993463254
39,61,8100,39061008100,81,Census Tract 81,G5020,S,2824600,0,39.1956815,-84.5262598,1400000US39061008100,"Census Tract 81, Hamilton County, Ohio",61,30526,39,2752,8100,567,300.2702752662791
39,61,8601,39061008601,86.01,Census Tract 86.01,G5020,S,2677413,11415,39.1355543,-84.5570281,1400000US39061008601,"Census Tract 86.01, Hamilton County, Ohio",61,16837,39,2206,8601,206,299.43078380713297
39,61,6300,39061006300,63,Census Tract 63,G5020,S,1624626,0,39.1772113,-84.4624267,1400000US39061006300,"Census Tract 63, Hamilton County, Ohio",61,36556,39,3667,6300,336,303.70278675224773
39,61,6400,39061006400,64,Census Tract 64,G5020,S,3043150,0,39.1770863,-84.4765786,1400000US39061006400,"Census Tract 64, Hamilton County, Ohio",61,30748,39,3382,6400,195,302.9337191389076
39,61,6500,39061006500,65,Census Tract 65,G5020,S,3369495,0,39.1587992,-84.4794309,1400000US39061006500,"Census Tract 65, Hamilton County, Ohio",61,46462,39,5894,6500,2764,301.63878165685657
39,61,8400,39061008400,84,Census Tract 84,G5020,S,2920264,0,39.1886155,-84.5544834,1400000US39061008400,"Census Tract 84, Hamilton County, Ohio",61,31875,39,2187,8400,812,298.83628175189045
39,61,8501,39061008501,85.01,Census Tract 85.01,G5020,S,6129701,0,39.1739490,-84.5665229,1400000US39061008501,"Census Tract 85.01, Hamilton County, Ohio",61,18326,39,3061,8501,773,297.93649581440087
39,61,8502,39061008502,85.02,Census Tract 85.02,G5020,S,1056804,0,39.1582709,-84.5590161,1400000US39061008502,"Census Tract 85.02, Hamilton County, Ohio",61,7044,39,2094,8502,143,299.87237085691555
39,61,6600,39061006600,66,Census Tract 66,G5020,S,791258,0,39.1475947,-84.4835364,1400000US39061006600,"Census Tract 66, Hamilton County, Ohio",61,21682,39,2572,6600,432,302.226484772624
39,61,6800,39061006800,68,Census Tract 68,G5020,S,1713032,0,39.1524277,-84.4948331,1400000US39061006800,"Census Tract 68, Hamilton County, Ohio",61,16667,39,3805,6800,446,301.98022621880943
