STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
39,35,103602,39035103602,1036.02,Census Tract 1036.02,G5020,S,2306188,1346696,41.4939656,-81.7178669,1400000US39035103602,"Census Tract 1036.02, Cuyahoga County, Ohio",35,52781,39,3092,103602,2187,301.22452758293196
39,35,122100,39035122100,1221,Census Tract 1221,G5020,S,1615046,0,41.4450950,-81.5560578,1400000US39035122100,"Census Tract 1221, Cuyahoga County, Ohio",35,36000,39,3557,122100,151,301.25118440807387
39,35,122200,39035122200,1222,Census Tract 1222,G5020,S,1884139,0,41.4355361,-81.5724880,1400000US39035122200,"Census Tract 1222, Cuyahoga County, Ohio",35,29276,39,1704,122200,18,300.4279002583774
39,35,123100,39035123100,1231,Census Tract 1231,G5020,S,1180864,0,41.4655048,-81.8062191,1400000US39035123100,"Census Tract 1231, Cuyahoga County, Ohio",35,66477,39,2468,123100,2272,300.5923097569854
39,35,123400,39035123400,1234,Census Tract 1234,G5020,S,2520836,0,41.4590484,-81.8172203,1400000US39035123400,"Census Tract 1234, Cuyahoga County, Ohio",35,52813,39,3788,123400,3347,299.3059969591619
39,35,123501,39035123501,1235.01,Census Tract 1235.01,G5020,S,2025152,0,41.4640132,-81.7785828,1400000US39035123501,"Census Tract 1235.01, Cuyahoga County, Ohio",35,29610,39,3602,123501,2436,303.03083025353544
39,35,123601,39035123601,1236.01,Census Tract 1236.01,G5020,S,1276785,0,41.4397280,-81.8127491,1400000US39035123601,"Census Tract 1236.01, Cuyahoga County, Ohio",35,57212,39,3177,123601,2609,301.92492207045063
39,35,123602,39035123602,1236.02,Census Tract 1236.02,G5020,S,2293825,0,41.4407417,-81.8302311,1400000US39035123602,"Census Tract 1236.02, Cuyahoga County, Ohio",35,36217,39,2818,123602,2170,297.0801790545977
39,35,123603,39035123603,1236.03,Census Tract 1236.03,G5020,S,1599579,0,41.4482938,-81.8110586,1400000US39035123603,"Census Tract 1236.03, Cuyahoga County, Ohio",35,53750,39,3273,123603,2810,301.94796852675614
39,35,123700,39035123700,1237,Census Tract 1237,G5020,S,3490713,0,41.4270173,-81.8396082,1400000US39035123700,"Census Tract 1237, Cuyahoga County, Ohio",35,59979,39,2727,123700,2311,302.0447159149608
39,35,124202,39035124202,1242.02,Census Tract 1242.02,G5020,S,875939,0,41.4360597,-81.8001139,1400000US39035124202,"Census Tract 1242.02, Cuyahoga County, Ohio",35,32917,39,1736,124202,1243,302.68086908361175
39,35,124300,39035124300,1243,Census Tract 1243,G5020,S,1463837,0,41.4408102,-81.7852054,1400000US39035124300,"Census Tract 1243, Cuyahoga County, Ohio",35,37111,39,4404,124300,2164,302.05853068360943
