STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
8,41,2300,8041002300,23,Census Tract 23,G5020,S,3164176,0,38.8272733,-104.8263887,1400000US08041002300,"Census Tract 23, El Paso County, Colorado",41,20217,8,1743,2300,1346,305.9148043409693
8,41,6600,8041006600,66,Census Tract 66,G5020,S,2516901,91797,38.8687188,-104.8744389,1400000US08041006600,"Census Tract 66, El Paso County, Colorado",41,54965,8,2436,6600,2355,302.0700417914356
8,41,6100,8041006100,61,Census Tract 61,G5020,S,1355655,0,38.8327720,-104.7524816,1400000US08041006100,"Census Tract 61, El Paso County, Colorado",41,36707,8,4184,6100,2259,306.6058124113238
8,41,6200,8041006200,62,Census Tract 62,G5020,S,3609657,0,38.8323139,-104.7346290,1400000US08041006200,"Census Tract 62, El Paso County, Colorado",41,36861,8,5468,6200,3203,303.3501829169167
8,41,6400,8041006400,64,Census Tract 64,G5020,S,3260680,0,38.8006403,-104.7505121,1400000US08041006400,"Census Tract 64, El Paso County, Colorado",41,44063,8,7387,6400,3709,306.332532740014
8,41,6501,8041006501,65.01,Census Tract 65.01,G5020,S,1620975,0,38.8008405,-104.7373681,1400000US08041006501,"Census Tract 65.01, El Paso County, Colorado",41,48906,8,3868,6501,1895,306.46813563537904
8,41,8000,8041008000,80,Census Tract 80,G5020,S,2790004,0,38.8877731,-104.8412858,1400000US08041008000,"Census Tract 80, El Paso County, Colorado",41,47957,8,4230,8000,3711,305.19977674756643
8,41,3000,8041003000,30,Census Tract 30,G5020,S,3288844,0,38.8121004,-104.8333104,1400000US08041003000,"Census Tract 30, El Paso County, Colorado",41,44836,8,4450,3000,3766,304.79063194958803
8,41,3701,8041003701,37.01,Census Tract 37.01,G5020,S,277422044,2089073,39.0446452,-104.9512407,1400000US08041003701,"Census Tract 37.01, El Paso County, Colorado",41,80106,8,8038,3701,7139,298.6421868085555
8,41,3708,8041003708,37.08,Census Tract 37.08,G5020,S,3161767,0,38.9084689,-104.8658103,1400000US08041003708,"Census Tract 37.08, El Paso County, Colorado",41,85938,8,2754,3708,2321,304.66447031865727
8,41,4008,8041004008,40.08,Census Tract 40.08,G5020,S,40118194,21258,38.7959007,-104.7044599,1400000US08041004008,"Census Tract 40.08, El Paso County, Colorado",41,67500,8,3030,4008,2138,305.1144617323781
8,41,4901,8041004901,49.01,Census Tract 49.01,G5020,S,1705034,0,38.9011568,-104.7582738,1400000US08041004901,"Census Tract 49.01, El Paso County, Colorado",41,55192,8,3813,4901,2856,304.99087605190607
8,41,5900,8041005900,59,Census Tract 59,G5020,S,6251160,0,38.8582513,-104.7352405,1400000US08041005900,"Census Tract 59, El Paso County, Colorado",41,57692,8,6838,5900,5115,304.00680758814
8,41,5000,8041005000,50,Census Tract 50,G5020,S,4962692,8832,38.8509467,-104.7109360,1400000US08041005000,"Census Tract 50, El Paso County, Colorado",41,50395,8,5413,5000,4042,301.4295177819945
8,41,101,8041000101,1.01,Census Tract 1.01,G5020,S,6842369,6031,38.8827260,-104.7779277,1400000US08041000101,"Census Tract 1.01, El Paso County, Colorado",41,41163,8,6094,101,4917,300.62027192551517
8,41,102,8041000102,1.02,Census Tract 1.02,G5020,S,1632969,0,38.8638068,-104.7671221,1400000US08041000102,"Census Tract 1.02, El Paso County, Colorado",41,65464,8,3599,102,3432,305.49792135922894
8,41,202,8041000202,2.02,Census Tract 2.02,G5020,S,2734206,0,38.8950867,-104.7720070,1400000US08041000202,"Census Tract 2.02, El Paso County, Colorado",41,57806,8,4577,202,3899,304.18569384400035
8,41,301,8041000301,3.01,Census Tract 3.01,G5020,S,1843238,0,38.8798052,-104.8031544,1400000US08041000301,"Census Tract 3.01, El Paso County, Colorado",41,41601,8,3211,301,2650,304.52915488252876
8,41,400,8041000400,4,Census Tract 4,G5020,S,1711943,0,38.8697973,-104.8042701,1400000US08041000400,"Census Tract 4, El Paso County, Colorado",41,51821,8,2163,400,1869,304.84128588148474
8,41,500,8041000500,5,Census Tract 5,G5020,S,1338322,0,38.8648909,-104.8120244,1400000US08041000500,"Census Tract 5, El Paso County, Colorado",41,56875,8,2268,500,2026,303.86623430296413
8,41,600,8041000600,6,Census Tract 6,G5020,S,1705050,0,38.8644641,-104.7853352,1400000US08041000600,"Census Tract 6, El Paso County, Colorado",41,53850,8,3176,600,2876,305.1122158126311
8,41,700,8041000700,7,Census Tract 7,G5020,S,1624935,0,38.8550267,-104.7855084,1400000US08041000700,"Census Tract 7, El Paso County, Colorado",41,38814,8,3376,700,2616,305.30970224456064
8,41,800,8041000800,8,Census Tract 8,G5020,S,2235568,5043,38.8544726,-104.8006846,1400000US08041000800,"Census Tract 8, El Paso County, Colorado",41,45192,8,2984,800,2590,302.3574660494457
8,41,900,8041000900,9,Census Tract 9,G5020,S,1055982,0,38.8554929,-104.8149195,1400000US08041000900,"Census Tract 9, El Paso County, Colorado",41,67674,8,2229,900,2081,303.887784140708
8,41,1000,8041001000,10,Census Tract 10,G5020,S,1972003,0,38.8592810,-104.8259251,1400000US08041001000,"Census Tract 10, El Paso County, Colorado",41,87917,8,2453,1000,2238,303.40029148742565
8,41,1101,8041001101,11.01,Census Tract 11.01,G5020,S,1264375,0,38.8701033,-104.8288393,1400000US08041001101,"Census Tract 11.01, El Paso County, Colorado",41,37148,8,1483,1101,1381,303.91386575509694
8,41,1104,8041001104,11.04,Census Tract 11.04,G5020,S,4244032,0,38.8651678,-104.8431949,1400000US08041001104,"Census Tract 11.04, El Paso County, Colorado",41,44471,8,3131,1104,2529,301.44918781177415
