STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
39,49,6392,39049006392,63.92,Census Tract 63.92,G5020,S,4125348,61833,40.1023122,-83.0452464,1400000US39049006392,"Census Tract 63.92, Franklin County, Ohio",49,132989,39,4489,6392,4059,302.3735417636916
39,49,6500,39049006500,65,Census Tract 65,G5020,S,2423382,28837,40.0045889,-83.0676698,1400000US39049006500,"Census Tract 65, Franklin County, Ohio",49,157411,39,3488,6500,3458,300.95995807909867
39,49,6600,39049006600,66,Census Tract 66,G5020,S,2128914,26973,39.9958355,-83.0609835,1400000US39049006600,"Census Tract 66, Franklin County, Ohio",49,134635,39,3926,6600,3715,301.37743459948604
39,49,8132,39049008132,81.32,Census Tract 81.32,G5020,S,2649316,8943,39.9413151,-83.1492604,1400000US39049008132,"Census Tract 81.32, Franklin County, Ohio",49,47057,39,7537,8132,5866,302.49518914688593
39,49,8141,39049008141,81.41,Census Tract 81.41,G5020,S,8396387,72037,39.9585985,-83.1705406,1400000US39049008141,"Census Tract 81.41, Franklin County, Ohio",49,67897,39,8535,8141,7488,302.35631770298835
39,49,8142,39049008142,81.42,Census Tract 81.42,G5020,S,8113321,64469,39.9693303,-83.1406161,1400000US39049008142,"Census Tract 81.42, Franklin County, Ohio",49,53295,39,7321,8142,5824,302.1275809866971
39,49,8161,39049008161,81.61,Census Tract 81.61,G5020,S,17595812,147354,39.9013182,-83.1354983,1400000US39049008161,"Census Tract 81.61, Franklin County, Ohio",49,50080,39,7832,8161,6213,298.8173596936483
39,49,9361,39049009361,93.61,Census Tract 93.61,G5020,S,6202899,112191,39.9686043,-82.8511374,1400000US39049009361,"Census Tract 93.61, Franklin County, Ohio",49,46086,39,5180,9361,2722,301.103918784057
39,49,6821,39049006821,68.21,Census Tract 68.21,G5020,S,1496546,31675,40.0693520,-83.0254867,1400000US39049006821,"Census Tract 68.21, Franklin County, Ohio",49,41214,39,3554,6821,2855,303.35473908569605
39,49,6910,39049006910,69.10,Census Tract 69.10,G5020,S,1773658,45563,40.0876272,-83.0262338,1400000US39049006910,"Census Tract 69.10, Franklin County, Ohio",49,128889,39,1693,6910,1629,297.9770034348802
