STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,355,5414,48355005414,54.14,Census Tract 54.14,G5020,S,2884938,0,27.6645980,-97.3708463,1400000US48355005414,"Census Tract 54.14, Nueces County, Texas",355,94350,48,2607,5414,2199,308.65544413109166
48,355,3203,48355003203,32.03,Census Tract 32.03,G5020,S,2557328,9003,27.6937635,-97.3534202,1400000US48355003203,"Census Tract 32.03, Nueces County, Texas",355,47275,48,6194,3203,5560,308.7558682122057
48,355,5404,48355005404,54.04,Census Tract 54.04,G5020,S,5876372,311952,27.6536188,-97.3506240,1400000US48355005404,"Census Tract 54.04, Nueces County, Texas",355,112024,48,3592,5404,3353,307.66226281946876
48,355,3700,48355003700,37,Census Tract 37,G5020,S,11815727,577013,27.8645824,-97.6056235,1400000US48355003700,"Census Tract 37, Nueces County, Texas",355,69662,48,3274,3700,3011,305.2558732707277
48,355,1903,48355001903,19.03,Census Tract 19.03,G5020,S,1436433,0,27.7357369,-97.4183270,1400000US48355001903,"Census Tract 19.03, Nueces County, Texas",355,49244,48,3840,1903,3416,309.2807277205413
48,355,2101,48355002101,21.01,Census Tract 21.01,G5020,S,1715116,0,27.7504160,-97.3904389,1400000US48355002101,"Census Tract 21.01, Nueces County, Texas",355,38421,48,4060,2101,3425,308.70784908421126
48,355,2001,48355002001,20.01,Census Tract 20.01,G5020,S,1690267,0,27.7575961,-97.4052289,1400000US48355002001,"Census Tract 20.01, Nueces County, Texas",355,33464,48,4188,2001,3850,308.7907799643413
48,355,1702,48355001702,17.02,Census Tract 17.02,G5020,S,8827461,0,27.7380000,-97.4624027,1400000US48355001702,"Census Tract 17.02, Nueces County, Texas",355,34250,48,1699,1702,1367,309.3470000041877
48,355,2002,48355002002,20.02,Census Tract 20.02,G5020,S,1311233,0,27.7496951,-97.4092880,1400000US48355002002,"Census Tract 20.02, Nueces County, Texas",355,33605,48,3785,2002,3675,308.6445237442337
48,355,1904,48355001904,19.04,Census Tract 19.04,G5020,S,1510047,0,27.7428644,-97.4137396,1400000US48355001904,"Census Tract 19.04, Nueces County, Texas",355,36329,48,4655,1904,4330,308.99787382698827
48,355,2602,48355002602,26.02,Census Tract 26.02,G5020,S,1312102,0,27.7136856,-97.3675821,1400000US48355002602,"Census Tract 26.02, Nueces County, Texas",355,64167,48,2105,2602,1992,309.6431805796143
48,355,2603,48355002603,26.03,Census Tract 26.03,G5020,S,1302205,0,27.7238230,-97.3692072,1400000US48355002603,"Census Tract 26.03, Nueces County, Texas",355,43875,48,3231,2603,2961,309.4783577661025
48,355,3204,48355003204,32.04,Census Tract 32.04,G5020,S,2290643,0,27.6814995,-97.3573530,1400000US48355003204,"Census Tract 32.04, Nueces County, Texas",355,69767,48,4757,3204,4305,308.8082322906174
48,355,3306,48355003306,33.06,Census Tract 33.06,G5020,S,2933902,0,27.6873672,-97.3720073,1400000US48355003306,"Census Tract 33.06, Nueces County, Texas",355,46167,48,4834,3306,3995,308.47623250802275
48,355,3303,48355003303,33.03,Census Tract 33.03,G5020,S,1899348,0,27.7064452,-97.3800960,1400000US48355003303,"Census Tract 33.03, Nueces County, Texas",355,36250,48,1230,3303,1144,308.94776583652686
48,355,3305,48355003305,33.05,Census Tract 33.05,G5020,S,1308552,0,27.7000010,-97.3681793,1400000US48355003305,"Census Tract 33.05, Nueces County, Texas",355,36125,48,4759,3305,4029,308.7012996325566
48,355,3001,48355003001,30.01,Census Tract 30.01,G5020,S,4226128,11771546,27.6592628,-97.2508205,1400000US48355003001,"Census Tract 30.01, Nueces County, Texas",355,38358,48,6024,3001,4790,299.79614964577337
48,355,5412,48355005412,54.12,Census Tract 54.12,G5020,S,2817578,27279,27.6668383,-97.3998435,1400000US48355005412,"Census Tract 54.12, Nueces County, Texas",355,81635,48,5491,5412,4314,309.1067371333678
48,355,5409,48355005409,54.09,Census Tract 54.09,G5020,S,2081330,34688,27.6781135,-97.4146863,1400000US48355005409,"Census Tract 54.09, Nueces County, Texas",355,103529,48,3825,5409,3113,308.8867385037295
48,355,980000,48355980000,9800,Census Tract 9800,G5020,S,10995012,0,27.7732576,-97.5059733,1400000US48355980000,"Census Tract 9800, Nueces County, Texas",355,-666666666,48,13,980000,13,309.3198433395168
48,355,1701,48355001701,17.01,Census Tract 17.01,G5020,S,3414639,0,27.7536754,-97.4454050,1400000US48355001701,"Census Tract 17.01, Nueces County, Texas",355,35785,48,6449,1701,5302,309.04143017268416
48,7,950100,48007950100,9501,Census Tract 9501,G5020,S,474836646,467091337,28.1341670,-96.9581130,1400000US48007950100,"Census Tract 9501, Aransas County, Texas",7,38171,48,5169,950100,4655,299.1055926848517
48,273,20100,48273020100,201,Census Tract 201,G5020,S,2231217862,341915466,27.4443119,-97.6895270,1400000US48273020100,"Census Tract 201, Kleberg County, Texas",273,59922,48,5326,20100,5059,302.8959964179839
48,355,990000,48355990000,9900,Census Tract 9900,G5020,S,0,170187148,27.7026579,-97.1093705,1400000US48355990000,"Census Tract 9900, Nueces County, Texas",355,-666666666,48,0,990000,0,297.17616925266486
48,355,3002,48355003002,30.02,Census Tract 30.02,G5020,S,8483158,1480852,27.6621768,-97.2937182,1400000US48355003002,"Census Tract 30.02, Nueces County, Texas",355,54219,48,4830,3002,4141,305.48672576269627
48,355,3101,48355003101,31.01,Census Tract 31.01,G5020,S,6110992,23736408,27.6261207,-97.2707228,1400000US48355003101,"Census Tract 31.01, Nueces County, Texas",355,67066,48,5615,3101,4991,306.210142678971
48,355,6300,48355006300,63,Census Tract 63,G5020,S,42039891,72518479,27.8327802,-97.4129218,1400000US48355006300,"Census Tract 63, Nueces County, Texas",355,31793,48,2473,6300,2133,300.7320555248226
48,355,6400,48355006400,64,Census Tract 64,G5020,S,3504707,671247,27.7977817,-97.3979576,1400000US48355006400,"Census Tract 64, Nueces County, Texas",355,25516,48,2915,6400,2286,307.87338306334624
48,355,2706,48355002706,27.06,Census Tract 27.06,G5020,S,1426164,0,27.7127573,-97.3258588,1400000US48355002706,"Census Tract 27.06, Nueces County, Texas",355,-666666666,48,3303,2706,2935,305.93711824374617
48,409,10302,48409010302,103.02,Census Tract 103.02,G5020,S,30162876,1642556,27.8501647,-97.2032659,1400000US48409010302,"Census Tract 103.02, San Patricio County, Texas",409,61263,48,5181,10302,4334,300.07148871978694
48,273,990000,48273990000,9900,Census Tract 9900,G5020,S,0,198974315,27.4263107,-97.2621396,1400000US48273990000,"Census Tract 9900, Kleberg County, Texas",273,-666666666,48,0,990000,0,297.5139057286793
48,355,5407,48355005407,54.07,Census Tract 54.07,G5020,S,1601531,33558,27.6914328,-97.4140163,1400000US48355005407,"Census Tract 54.07, Nueces County, Texas",355,84567,48,2804,5407,2549,309.6995192558198
48,355,5408,48355005408,54.08,Census Tract 54.08,G5020,S,1411184,0,27.6877900,-97.4063263,1400000US48355005408,"Census Tract 54.08, Nueces County, Texas",355,70688,48,4546,5408,4098,309.9959775864782
48,355,5410,48355005410,54.10,Census Tract 54.10,G5020,S,1292834,0,27.6795300,-97.3969791,1400000US48355005410,"Census Tract 54.10, Nueces County, Texas",355,66884,48,3479,5410,3164,309.5499513211641
48,355,2601,48355002601,26.01,Census Tract 26.01,G5020,S,1379878,0,27.7321672,-97.3658796,1400000US48355002601,"Census Tract 26.01, Nueces County, Texas",355,51847,48,2497,2601,2303,308.7907799643413
