STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,113,12211,48113012211,122.11,Census Tract 122.11,G5020,S,1318896,0,32.8022212,-96.6890352,1400000US48113012211,"Census Tract 122.11, Dallas County, Texas",113,30223,48,4363,12211,1788,308.00186353610036
48,113,12400,48113012400,124,Census Tract 124,G5020,S,3053581,0,32.8282285,-96.6848089,1400000US48113012400,"Census Tract 124, Dallas County, Texas",113,70517,48,5627,12400,4261,306.0564303795933
48,113,16605,48113016605,166.05,Census Tract 166.05,G5020,S,13806151,8280,32.6366314,-96.8482500,1400000US48113016605,"Census Tract 166.05, Dallas County, Texas",113,21679,48,8065,16605,3241,307.6578607641391
48,113,16606,48113016606,166.06,Census Tract 166.06,G5020,S,8181837,33664,32.6291730,-96.8870084,1400000US48113016606,"Census Tract 166.06, Dallas County, Texas",113,51996,48,7514,16606,2067,307.5763953101209
48,113,16607,48113016607,166.07,Census Tract 166.07,G5020,S,1131039,0,32.6529540,-96.8863684,1400000US48113016607,"Census Tract 166.07, Dallas County, Texas",113,24905,48,3588,16607,311,308.68601628180744
48,113,13609,48113013609,136.09,Census Tract 136.09,G5020,S,1780746,0,32.9451778,-96.7771517,1400000US48113013609,"Census Tract 136.09, Dallas County, Texas",113,74325,48,4032,13609,1878,305.58409393868664
48,113,13610,48113013610,136.10,Census Tract 136.10,G5020,S,2772981,0,32.9322943,-96.7776406,1400000US48113013610,"Census Tract 136.10, Dallas County, Texas",113,82014,48,5041,13610,2425,305.3926431877376
48,113,13611,48113013611,136.11,Census Tract 136.11,G5020,S,3948891,93111,32.9779621,-96.8140173,1400000US48113013611,"Census Tract 136.11, Dallas County, Texas",113,121250,48,2543,13611,2016,304.31912399047184
48,113,7914,48113007914,79.14,Census Tract 79.14,G5020,S,855947,0,32.8421573,-96.7694872,1400000US48113007914,"Census Tract 79.14, Dallas County, Texas",113,54297,48,2631,7914,2060,307.8272303373443
48,113,13625,48113013625,136.25,Census Tract 136.25,G5020,S,332662,0,32.9432154,-96.8203727,1400000US48113013625,"Census Tract 136.25, Dallas County, Texas",113,42976,48,3317,13625,846,308.1170567209799
48,113,17605,48113017605,176.05,Census Tract 176.05,G5020,S,1037995,0,32.7545286,-96.6441888,1400000US48113017605,"Census Tract 176.05, Dallas County, Texas",113,37938,48,3754,17605,2514,306.7921033214225
48,113,11602,48113011602,116.02,Census Tract 116.02,G5020,S,10085593,18075,32.6921655,-96.6626202,1400000US48113011602,"Census Tract 116.02, Dallas County, Texas",113,40346,48,6932,11602,5370,305.33884992753275
48,113,11701,48113011701,117.01,Census Tract 117.01,G5020,S,4719186,15292,32.7119955,-96.6620633,1400000US48113011701,"Census Tract 117.01, Dallas County, Texas",113,34435,48,6883,11701,4681,305.53709806463587
48,113,11702,48113011702,117.02,Census Tract 117.02,G5020,S,5584926,0,32.7050438,-96.6410137,1400000US48113011702,"Census Tract 117.02, Dallas County, Texas",113,33591,48,6018,11702,4814,306.07426172080034
48,113,12000,48113012000,120,Census Tract 120,G5020,S,2595317,20339,32.7558865,-96.6583533,1400000US48113012000,"Census Tract 120, Dallas County, Texas",113,32344,48,8433,12000,5550,306.1477893030869
48,113,12100,48113012100,121,Census Tract 121,G5020,S,2912952,0,32.7695551,-96.6608460,1400000US48113012100,"Census Tract 121, Dallas County, Texas",113,35750,48,6327,12100,3184,306.67348548892926
48,113,12204,48113012204,122.04,Census Tract 122.04,G5020,S,3060420,0,32.8005195,-96.7048392,1400000US48113012204,"Census Tract 122.04, Dallas County, Texas",113,54349,48,7091,12204,4512,306.4792441673924
48,113,12206,48113012206,122.06,Census Tract 122.06,G5020,S,2715183,0,32.7870622,-96.7088791,1400000US48113012206,"Census Tract 122.06, Dallas County, Texas",113,58841,48,4968,12206,2499,306.67459458190336
48,113,12207,48113012207,122.07,Census Tract 122.07,G5020,S,5403645,0,32.7859619,-96.6844696,1400000US48113012207,"Census Tract 122.07, Dallas County, Texas",113,41536,48,7587,12207,3553,307.8536053657855
48,113,11800,48113011800,118,Census Tract 118,G5020,S,5037544,47587,32.7273653,-96.6475439,1400000US48113011800,"Census Tract 118, Dallas County, Texas",113,33359,48,10173,11800,7204,306.05308672168957
48,113,12208,48113012208,122.08,Census Tract 122.08,G5020,S,1052015,0,32.7997127,-96.7221897,1400000US48113012208,"Census Tract 122.08, Dallas County, Texas",113,23864,48,2853,12208,1158,303.4389977638136
48,113,10703,48113010703,107.03,Census Tract 107.03,G5020,S,5338976,2199823,32.7286065,-96.9340696,1400000US48113010703,"Census Tract 107.03, Dallas County, Texas",113,40037,48,3042,10703,2334,305.65231847087557
48,113,10704,48113010704,107.04,Census Tract 107.04,G5020,S,5451313,21775,32.7369857,-96.9078149,1400000US48113010704,"Census Tract 107.04, Dallas County, Texas",113,32784,48,5318,10704,3840,305.48672576269627
48,113,980100,48113980100,9801,Census Tract 9801,G5020,S,5493431,0,32.8455619,-96.8494250,1400000US48113980100,"Census Tract 9801, Dallas County, Texas",113,-666666666,48,0,980100,0,307.6578607641391
48,113,605,48113000605,6.05,Census Tract 6.05,G5020,S,537902,0,32.8104822,-96.8071673,1400000US48113000605,"Census Tract 6.05, Dallas County, Texas",113,82716,48,2611,605,2043,307.2632593720469
48,113,7101,48113007101,71.01,Census Tract 71.01,G5020,S,1180241,0,32.8443119,-96.8175334,1400000US48113007101,"Census Tract 71.01, Dallas County, Texas",113,111400,48,2137,7101,1915,304.7748687423878
48,113,9105,48113009105,91.05,Census Tract 91.05,G5020,S,1394850,0,32.7383023,-96.6911076,1400000US48113009105,"Census Tract 91.05, Dallas County, Texas",113,38210,48,3616,9105,3009,306.28581601663024
48,113,12210,48113012210,122.10,Census Tract 122.10,G5020,S,1174020,0,32.8110570,-96.6915986,1400000US48113012210,"Census Tract 122.10, Dallas County, Texas",113,25726,48,4096,12210,1531,307.006884430296
48,113,9610,48113009610,96.10,Census Tract 96.10,G5020,S,1270016,0,32.9027823,-96.8856310,1400000US48113009610,"Census Tract 96.10, Dallas County, Texas",113,38393,48,4826,9610,4575,308.73076953974453
48,113,14121,48113014121,141.21,Census Tract 141.21,G5020,S,3798161,216757,32.9589130,-96.9448755,1400000US48113014121,"Census Tract 141.21, Dallas County, Texas",113,72606,48,4844,14121,3140,303.55959216444705
48,113,4201,48113004201,42.01,Census Tract 42.01,G5020,S,2569179,9714,32.7584519,-96.8299088,1400000US48113004201,"Census Tract 42.01, Dallas County, Texas",113,53507,48,4096,4201,3429,305.7439716710589
48,113,17001,48113017001,170.01,Census Tract 170.01,G5020,S,75566060,8849287,32.6205274,-96.5864355,1400000US48113017001,"Census Tract 170.01, Dallas County, Texas",113,45798,48,9746,17001,7786,304.63741901951954
48,113,17102,48113017102,171.02,Census Tract 171.02,G5020,S,29029742,3730141,32.6641838,-96.6326800,1400000US48113017102,"Census Tract 171.02, Dallas County, Texas",113,41204,48,5322,17102,3517,304.5629975641824
48,113,18124,48113018124,181.24,Census Tract 181.24,G5020,S,22576236,599583,32.9379892,-96.5431663,1400000US48113018124,"Census Tract 181.24, Dallas County, Texas",113,102434,48,18048,18124,11978,301.7877050907391
48,113,11105,48113011105,111.05,Census Tract 111.05,G5020,S,1568994,0,32.6525669,-96.8268646,1400000US48113011105,"Census Tract 111.05, Dallas County, Texas",113,26518,48,4331,11105,1650,307.5808001797012
48,113,5901,48113005901,59.01,Census Tract 59.01,G5020,S,2898961,0,32.6930920,-96.8082157,1400000US48113005901,"Census Tract 59.01, Dallas County, Texas",113,30694,48,5325,5901,1324,306.7145154521266
48,113,6001,48113006001,60.01,Census Tract 60.01,G5020,S,1188588,0,32.7073314,-96.8357047,1400000US48113006001,"Census Tract 60.01, Dallas County, Texas",113,32927,48,4869,6001,3976,307.51250758056005
48,113,6002,48113006002,60.02,Census Tract 60.02,G5020,S,2343766,21021,32.6964464,-96.8279244,1400000US48113006002,"Census Tract 60.02, Dallas County, Texas",113,27543,48,5991,6002,1962,307.29195882263076
48,113,6200,48113006200,62,Census Tract 62,G5020,S,2808984,7740,32.7239994,-96.8330548,1400000US48113006200,"Census Tract 62, Dallas County, Texas",113,40507,48,6585,6200,4282,306.23463020377096
48,113,6301,48113006301,63.01,Census Tract 63.01,G5020,S,2527326,0,32.7130710,-96.8485394,1400000US48113006301,"Census Tract 63.01, Dallas County, Texas",113,48896,48,5702,6301,4697,306.80983101451227
48,113,6302,48113006302,63.02,Census Tract 63.02,G5020,S,1638631,0,32.7251924,-96.8473774,1400000US48113006302,"Census Tract 63.02, Dallas County, Texas",113,49619,48,4684,6302,4143,306.82977170228395
48,113,6501,48113006501,65.01,Census Tract 65.01,G5020,S,1360854,0,32.7300528,-96.8883306,1400000US48113006501,"Census Tract 65.01, Dallas County, Texas",113,38471,48,6894,6501,5947,307.3758123961284
48,113,6502,48113006502,65.02,Census Tract 65.02,G5020,S,1676517,0,32.7225588,-96.8837859,1400000US48113006502,"Census Tract 65.02, Dallas County, Texas",113,49489,48,4434,6502,3799,307.20804989613254
48,397,40200,48397040200,402,Census Tract 402,G5020,S,18418235,629783,32.9582506,-96.4414616,1400000US48397040200,"Census Tract 402, Rockwall County, Texas",397,109709,48,6450,40200,5772,303.31144866045514
48,397,40301,48397040301,403.01,Census Tract 403.01,G5020,S,3254515,7813968,32.9052565,-96.5087087,1400000US48397040301,"Census Tract 403.01, Rockwall County, Texas",397,80739,48,6000,40301,4822,300.92858896870047
48,397,40302,48397040302,403.02,Census Tract 403.02,G5020,S,16892227,6262005,32.9187942,-96.4551851,1400000US48397040302,"Census Tract 403.02, Rockwall County, Texas",397,55024,48,8197,40302,7341,300.10659272575344
48,113,10801,48113010801,108.01,Census Tract 108.01,G5020,S,2926523,0,32.7149602,-96.9000054,1400000US48113010801,"Census Tract 108.01, Dallas County, Texas",113,32783,48,9783,10801,7469,307.6424523735369
48,113,11200,48113011200,112,Census Tract 112,G5020,S,7471968,0,32.6629508,-96.8144614,1400000US48113011200,"Census Tract 112, Dallas County, Texas",113,37937,48,7023,11200,1519,306.5147849027123
48,113,11300,48113011300,113,Census Tract 113,G5020,S,7671177,0,32.6662841,-96.7955587,1400000US48113011300,"Census Tract 113, Dallas County, Texas",113,36964,48,4997,11300,553,304.8919192097404
48,113,1800,48113001800,18,Census Tract 18,G5020,S,754462,0,32.8001934,-96.8036295,1400000US48113001800,"Census Tract 18, Dallas County, Texas",113,83405,48,4962,1800,4262,307.025688120924
48,113,1900,48113001900,19,Census Tract 19,G5020,S,1183164,0,32.7917568,-96.8090845,1400000US48113001900,"Census Tract 19, Dallas County, Texas",113,113016,48,6258,1900,5178,306.7267109829806
48,113,2000,48113002000,20,Census Tract 20,G5020,S,2393544,62043,32.7597444,-96.8173369,1400000US48113002000,"Census Tract 20, Dallas County, Texas",113,37668,48,5917,2000,4268,306.8186939301644
