STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
8,31,4404,8031004404,44.04,Census Tract 44.04,G5020,S,1304210,0,39.7365094,-104.8940558,1400000US08031004404,"Census Tract 44.04, Denver County, Colorado",31,35771,8,6526,4404,2645,313.59583590204113
8,31,4403,8031004403,44.03,Census Tract 44.03,G5020,S,1465381,0,39.7443925,-104.8948131,1400000US08031004403,"Census Tract 44.03, Denver County, Colorado",31,52963,8,4533,4403,2971,313.3273924822922
8,31,3701,8031003701,37.01,Census Tract 37.01,G5020,S,1873264,120383,39.7444161,-104.9509827,1400000US08031003701,"Census Tract 37.01, Denver County, Colorado",31,54861,8,3375,3701,2895,309.8002178532451
8,31,3702,8031003702,37.02,Census Tract 37.02,G5020,S,706200,0,39.7365218,-104.9543646,1400000US08031003702,"Census Tract 37.02, Denver County, Colorado",31,49375,8,4877,3702,4230,312.48381871977176
8,31,3703,8031003703,37.03,Census Tract 37.03,G5020,S,681501,0,39.7361181,-104.9450408,1400000US08031003703,"Census Tract 37.03, Denver County, Colorado",31,62061,8,3177,3703,2746,313.2873430132421
8,31,3800,8031003800,38,Census Tract 38,G5020,S,2188837,0,39.7193788,-104.9492942,1400000US08031003800,"Census Tract 38, Denver County, Colorado",31,107168,8,7140,3800,6506,313.6936051122525
8,31,3901,8031003901,39.01,Census Tract 39.01,G5020,S,3007157,0,39.7049882,-104.9504384,1400000US08031003901,"Census Tract 39.01, Denver County, Colorado",31,135074,8,4275,3901,4095,311.0100741416106
8,31,4102,8031004102,41.02,Census Tract 41.02,G5020,S,3961526,0,39.7730298,-104.9127350,1400000US08031004102,"Census Tract 41.02, Denver County, Colorado",31,43222,8,5066,4102,2126,315.3708697828532
8,31,4103,8031004103,41.03,Census Tract 41.03,G5020,S,1899572,0,39.7565221,-104.9314085,1400000US08031004103,"Census Tract 41.03, Denver County, Colorado",31,113250,8,5485,4103,3875,312.9221286180354
8,31,4104,8031004104,41.04,Census Tract 41.04,G5020,S,1963411,0,39.7565128,-104.9128475,1400000US08031004104,"Census Tract 41.04, Denver County, Colorado",31,79117,8,4866,4104,2499,313.3621625580356
8,31,4304,8031004304,43.04,Census Tract 43.04,G5020,S,2622263,0,39.7328580,-104.9129517,1400000US08031004304,"Census Tract 43.04, Denver County, Colorado",31,94861,8,5896,4304,5235,311.788452998205
8,31,4107,8031004107,41.07,Census Tract 41.07,G5020,S,8533392,17,39.7752153,-104.8896452,1400000US08031004107,"Census Tract 41.07, Denver County, Colorado",31,112039,8,9123,4107,7270,315.0716158970127
8,31,4106,8031004106,41.06,Census Tract 41.06,G5020,S,14642659,31835,39.7796722,-104.8759804,1400000US08031004106,"Census Tract 41.06, Denver County, Colorado",31,142083,8,12640,4106,10413,315.3978533692948
8,31,15500,8031015500,155,Census Tract 155,G5020,S,589941,0,39.6931262,-104.9356746,1400000US08031015500,"Census Tract 155, Denver County, Colorado",31,49918,8,3794,15500,3018,314.4314096218262
8,31,4602,8031004602,46.02,Census Tract 46.02,G5020,S,1906904,32470,39.6903431,-105.0327113,1400000US08031004602,"Census Tract 46.02, Denver County, Colorado",31,48731,8,7480,4602,5339,313.7093676678802
8,31,4603,8031004603,46.03,Census Tract 46.03,G5020,S,1867748,0,39.6749283,-105.0318050,1400000US08031004603,"Census Tract 46.03, Denver County, Colorado",31,52700,8,5936,4603,4612,312.80157853042334
8,31,4700,8031004700,47,Census Tract 47,G5020,S,2389476,110616,39.6755785,-105.0485065,1400000US08031004700,"Census Tract 47, Denver County, Colorado",31,60101,8,7237,4700,6300,312.61101377601943
8,31,5002,8031005002,50.02,Census Tract 50.02,G5020,S,2109540,0,39.6995649,-104.9078212,1400000US08031005002,"Census Tract 50.02, Denver County, Colorado",31,40875,8,7408,5002,3841,313.6305363618813
8,31,980100,8031980100,9801,Census Tract 9801,G5020,S,4307833,0,39.7866196,-104.8565954,1400000US08031980100,"Census Tract 9801, Denver County, Colorado",31,-666666666,8,0,980100,0,316.0438622468435
8,31,3202,8031003202,32.02,Census Tract 32.02,G5020,S,507994,0,39.7345677,-104.9623127,1400000US08031003202,"Census Tract 32.02, Denver County, Colorado",31,58575,8,3328,3202,2980,311.3485075638596
