STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
26,163,526500,26163526500,5265,Census Tract 5265,G5020,S,971612,0,42.3481772,-83.1404328,1400000US26163526500,"Census Tract 5265, Wayne County, Michigan",163,21888,26,1918,526500,175,306.6490829817696
26,163,541500,26163541500,5415,Census Tract 5415,G5020,S,1239092,0,42.4362189,-83.2633513,1400000US26163541500,"Census Tract 5415, Wayne County, Michigan",163,35403,26,4355,541500,112,306.2123690143225
26,163,546600,26163546600,5466,Census Tract 5466,G5020,S,725856,0,42.3610566,-83.2415451,1400000US26163546600,"Census Tract 5466, Wayne County, Michigan",163,18713,26,2060,546600,95,304.00680758814
26,163,538400,26163538400,5384,Census Tract 5384,G5020,S,1307395,0,42.4244427,-83.1362309,1400000US26163538400,"Census Tract 5384, Wayne County, Michigan",163,84063,26,4212,538400,564,305.8467224455522
26,163,538500,26163538500,5385,Census Tract 5385,G5020,S,1288343,0,42.4206842,-83.1507627,1400000US26163538500,"Census Tract 5385, Wayne County, Michigan",163,40278,26,5095,538500,30,308.1937946215085
26,163,538600,26163538600,5386,Census Tract 5386,G5020,S,1277524,0,42.4278669,-83.1510894,1400000US26163538600,"Census Tract 5386, Wayne County, Michigan",163,41844,26,5266,538600,66,308.32961760227647
26,163,538700,26163538700,5387,Census Tract 5387,G5020,S,1292503,0,42.4240331,-83.1655643,1400000US26163538700,"Census Tract 5387, Wayne County, Michigan",163,30423,26,4456,538700,36,308.72312984156906
26,163,539000,26163539000,5390,Census Tract 5390,G5020,S,1307734,0,42.4423439,-83.1516011,1400000US26163539000,"Census Tract 5390, Wayne County, Michigan",163,26250,26,2815,539000,107,307.90963422492376
26,163,539100,26163539100,5391,Census Tract 5391,G5020,S,622449,0,42.4421933,-83.1662919,1400000US26163539100,"Census Tract 5391, Wayne County, Michigan",163,25052,26,2017,539100,28,307.87777769142343
26,163,539200,26163539200,5392,Census Tract 5392,G5020,S,1814240,0,42.4418860,-83.1852528,1400000US26163539200,"Census Tract 5392, Wayne County, Michigan",163,26760,26,4959,539200,71,307.5819013733045
26,163,539400,26163539400,5394,Census Tract 5394,G5020,S,1166815,0,42.4258579,-83.1758620,1400000US26163539400,"Census Tract 5394, Wayne County, Michigan",163,32314,26,3715,539400,93,308.314289954776
26,163,539500,26163539500,5395,Census Tract 5395,G5020,S,1569337,0,42.4198239,-83.1873321,1400000US26163539500,"Census Tract 5395, Wayne County, Michigan",163,30060,26,3393,539500,59,308.48826062477497
