STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
37,63,1002,37063001002,10.02,Census Tract 10.02,G5020,S,3348805,0,35.9956123,-78.8698178,1400000US37063001002,"Census Tract 10.02, Durham County, North Carolina",63,30151,37,6123,1002,2654,302.83881862137775
37,63,1100,37063001100,11,Census Tract 11,G5020,S,1396021,0,35.9901712,-78.8900791,1400000US37063001100,"Census Tract 11, Durham County, North Carolina",63,22055,37,3425,1100,979,305.50463823656656
37,63,1301,37063001301,13.01,Census Tract 13.01,G5020,S,729944,757,35.9800040,-78.8991045,1400000US37063001301,"Census Tract 13.01, Durham County, North Carolina",63,28661,37,1384,1301,94,303.75956392217563
37,63,1303,37063001303,13.03,Census Tract 13.03,G5020,S,1498811,0,35.9728648,-78.9011771,1400000US37063001303,"Census Tract 13.03, Durham County, North Carolina",63,25074,37,3646,1303,297,304.2784317224731
37,63,1304,37063001304,13.04,Census Tract 13.04,G5020,S,1729366,0,35.9666576,-78.9098103,1400000US37063001304,"Census Tract 13.04, Durham County, North Carolina",63,23125,37,3305,1304,270,302.4768350517492
37,63,1400,37063001400,14,Census Tract 14,G5020,S,1896435,0,35.9766151,-78.8858302,1400000US37063001400,"Census Tract 14, Durham County, North Carolina",63,18114,37,2375,1400,204,303.6403016460368
37,63,1501,37063001501,15.01,Census Tract 15.01,G5020,S,2738186,1510,36.0010833,-78.9396792,1400000US37063001501,"Census Tract 15.01, Durham County, North Carolina",63,11250,37,2948,1501,1453,303.992077569776
37,63,1502,37063001502,15.02,Census Tract 15.02,G5020,S,2445314,12930,36.0096453,-78.9455301,1400000US37063001502,"Census Tract 15.02, Durham County, North Carolina",63,28868,37,6041,1502,2436,305.12344500712965
37,63,1706,37063001706,17.06,Census Tract 17.06,G5020,S,5892784,11968,36.0176313,-78.9688578,1400000US37063001706,"Census Tract 17.06, Durham County, North Carolina",63,49821,37,4954,1706,2808,301.90878694749836
37,63,1708,37063001708,17.08,Census Tract 17.08,G5020,S,6335519,162677,36.0702698,-78.8881501,1400000US37063001708,"Census Tract 17.08, Durham County, North Carolina",63,54583,37,5674,1708,1476,301.0551771631643
37,63,2008,37063002008,20.08,Census Tract 20.08,G5020,S,5182345,10873,35.9419305,-78.9640425,1400000US37063002008,"Census Tract 20.08, Durham County, North Carolina",63,138971,37,3103,2008,2692,300.93788437219604
37,63,2013,37063002013,20.13,Census Tract 20.13,G5020,S,5275852,121500,35.8872007,-78.9086403,1400000US37063002013,"Census Tract 20.13, Durham County, North Carolina",63,76210,37,4447,2013,2901,301.04356910890516
