STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,141,401,48141000401,4.01,Census Tract 4.01,G5020,S,16373045,3207,31.8419201,-106.4740235,1400000US48141000401,"Census Tract 4.01, El Paso County, Texas",141,55964,48,6375,401,4867,319.0696695621903
48,141,1002,48141001002,10.02,Census Tract 10.02,G5020,S,1263562,0,31.8004890,-106.4505633,1400000US48141001002,"Census Tract 10.02, El Paso County, Texas",141,25115,48,3943,1002,3407,319.42391261495254
48,141,1900,48141001900,19,Census Tract 19,G5020,S,609273,0,31.7524737,-106.4807791,1400000US48141001900,"Census Tract 19, El Paso County, Texas",141,13513,48,2250,1900,1928,319.2413518137939
48,141,1112,48141001112,11.12,Census Tract 11.12,G5020,S,1960479,0,31.8475272,-106.5490948,1400000US48141001112,"Census Tract 11.12, El Paso County, Texas",141,52835,48,4556,1112,3878,318.62636413730894
48,141,1113,48141001113,11.13,Census Tract 11.13,G5020,S,3006499,0,31.8380254,-106.5415222,1400000US48141001113,"Census Tract 11.13, El Paso County, Texas",141,42582,48,7177,1113,5595,318.6000049962064
48,141,1201,48141001201,12.01,Census Tract 12.01,G5020,S,2287636,0,31.8519089,-106.5787419,1400000US48141001201,"Census Tract 12.01, El Paso County, Texas",141,27963,48,5087,1201,3373,318.94026415014747
48,141,101,48141000101,1.01,Census Tract 1.01,G5020,S,6804730,0,31.8863412,-106.4292255,1400000US48141000101,"Census Tract 1.01, El Paso County, Texas",141,42314,48,7457,101,6275,319.9621466721055
48,141,106,48141000106,1.06,Census Tract 1.06,G5020,S,2629556,0,31.9205526,-106.4304194,1400000US48141000106,"Census Tract 1.06, El Paso County, Texas",141,60517,48,5775,106,4212,320.0845973446674
48,141,107,48141000107,1.07,Census Tract 1.07,G5020,S,2220478,0,31.9206798,-106.4147125,1400000US48141000107,"Census Tract 1.07, El Paso County, Texas",141,38138,48,5520,107,4394,319.9601384001629
48,141,108,48141000108,1.08,Census Tract 1.08,G5020,S,2494190,0,31.9196203,-106.4013581,1400000US48141000108,"Census Tract 1.08, El Paso County, Texas",141,34116,48,2572,108,1917,320.61133151164546
