STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
18,3,10804,18003010804,108.04,Census Tract 108.04,G5020,S,2937580,0,41.1242933,-85.0544868,1400000US18003010804,"Census Tract 108.04, Allen County, Indiana",3,53377,18,4481,10804,4012,301.32532895659864
18,3,10803,18003010803,108.03,Census Tract 108.03,G5020,S,5233911,0,41.1273745,-85.0715283,1400000US18003010803,"Census Tract 108.03, Allen County, Indiana",3,60217,18,5250,10803,4723,300.40339443516825
18,3,10808,18003010808,108.08,Census Tract 108.08,G5020,S,5822650,0,41.1287745,-85.0259444,1400000US18003010808,"Census Tract 108.08, Allen County, Indiana",3,78945,18,5245,10808,4730,300.9065095077043
18,3,11303,18003011303,113.03,Census Tract 113.03,G5020,S,7664478,0,41.0419030,-85.0695094,1400000US18003011303,"Census Tract 113.03, Allen County, Indiana",3,36071,18,2200,11303,740,298.52605069837506
18,3,11501,18003011501,115.01,Census Tract 115.01,G5020,S,9953589,48686,41.0778056,-85.2058674,1400000US18003011501,"Census Tract 115.01, Allen County, Indiana",3,40216,18,4066,11501,3033,301.9963518525425
18,3,11604,18003011604,116.04,Census Tract 116.04,G5020,S,4243949,0,41.0380376,-85.2686492,1400000US18003011604,"Census Tract 116.04, Allen County, Indiana",3,66591,18,4416,11604,4179,301.45844318912816
18,3,11702,18003011702,117.02,Census Tract 117.02,G5020,S,90969532,0,40.9596209,-85.1675450,1400000US18003011702,"Census Tract 117.02, Allen County, Indiana",3,52433,18,3422,11702,2850,300.9134824067056
18,3,4000,18003004000,40,Census Tract 40,G5020,S,2268322,0,41.0394666,-85.1046647,1400000US18003004000,"Census Tract 40, Allen County, Indiana",3,34367,18,3663,4000,1092,300.2282068602551
18,3,4101,18003004101,41.01,Census Tract 41.01,G5020,S,3628923,41631,41.1419313,-85.1073709,1400000US18003004101,"Census Tract 41.01, Allen County, Indiana",3,42381,18,2280,4101,1734,299.95674368165623
18,3,10602,18003010602,106.02,Census Tract 106.02,G5020,S,16410324,6308,41.1538066,-85.2022688,1400000US18003010602,"Census Tract 106.02, Allen County, Indiana",3,50818,18,3868,10602,3540,300.4138975445201
18,3,10603,18003010603,106.03,Census Tract 106.03,G5020,S,7572279,34903,41.1621889,-85.1794507,1400000US18003010603,"Census Tract 106.03, Allen County, Indiana",3,54464,18,1711,10603,1594,300.05510331992343
18,3,10604,18003010604,106.04,Census Tract 106.04,G5020,S,5153221,748,41.1365607,-85.1765116,1400000US18003010604,"Census Tract 106.04, Allen County, Indiana",3,27839,18,2932,10604,2558,299.2588734703731
18,3,10812,18003010812,108.12,Census Tract 108.12,G5020,S,9418073,542,41.0954566,-85.0258139,1400000US18003010812,"Census Tract 108.12, Allen County, Indiana",3,65011,18,4431,10812,4197,299.892297600269
18,3,10811,18003010811,108.11,Census Tract 108.11,G5020,S,7422870,0,41.0894432,-85.0649090,1400000US18003010811,"Census Tract 108.11, Allen County, Indiana",3,65383,18,5036,10811,4476,299.82078028926395
18,3,11304,18003011304,113.04,Census Tract 113.04,G5020,S,25791546,0,41.0172661,-85.0527478,1400000US18003011304,"Census Tract 113.04, Allen County, Indiana",3,34142,18,5335,11304,2509,300.47689687737443
18,3,11502,18003011502,115.02,Census Tract 115.02,G5020,S,24029156,0,41.0304237,-85.2082413,1400000US18003011502,"Census Tract 115.02, Allen County, Indiana",3,47072,18,2886,11502,2711,298.54739039715815
18,3,10807,18003010807,108.07,Census Tract 108.07,G5020,S,4775363,0,41.1523019,-85.0689140,1400000US18003010807,"Census Tract 108.07, Allen County, Indiana",3,53456,18,4117,10807,3724,300.9576347215956
18,3,11605,18003011605,116.05,Census Tract 116.05,G5020,S,16330469,3829,41.0270739,-85.2541460,1400000US18003011605,"Census Tract 116.05, Allen County, Indiana",3,63526,18,3282,11605,3035,299.9321411038107
18,3,1200,18003001200,12,Census Tract 12,G5020,S,1054581,0,41.0773468,-85.1441406,1400000US18003001200,"Census Tract 12, Allen County, Indiana",3,20417,18,970,1200,777,304.8390350333221
18,3,2000,18003002000,20,Census Tract 20,G5020,S,1460258,0,41.0655582,-85.1449843,1400000US18003002000,"Census Tract 20, Allen County, Indiana",3,27581,18,3276,2000,1981,302.494042096838
18,3,1600,18003001600,16,Census Tract 16,G5020,S,4162011,0,41.0653677,-85.0940107,1400000US18003001600,"Census Tract 16, Allen County, Indiana",3,23209,18,2171,1600,974,301.50239656012855
18,3,1700,18003001700,17,Census Tract 17,G5020,S,1562668,0,41.0646376,-85.1187496,1400000US18003001700,"Census Tract 17, Allen County, Indiana",3,19694,18,2062,1700,433,302.58233341722905
18,3,11201,18003011201,112.01,Census Tract 112.01,G5020,S,9586730,14846,41.0701295,-85.0568895,1400000US18003011201,"Census Tract 112.01, Allen County, Indiana",3,30988,18,2209,11201,2079,298.22451088207924
18,3,1300,18003001300,13,Census Tract 13,G5020,S,1560276,0,41.0780678,-85.1334490,1400000US18003001300,"Census Tract 13, Allen County, Indiana",3,26215,18,1997,1300,977,303.657346180962
18,3,100,18003000100,1,Census Tract 1,G5020,S,1894087,0,41.1031625,-85.1257317,1400000US18003000100,"Census Tract 1, Allen County, Indiana",3,45000,18,2484,100,2113,301.39942801445255
18,3,300,18003000300,3,Census Tract 3,G5020,S,1325344,0,41.0934445,-85.1216845,1400000US18003000300,"Census Tract 3, Allen County, Indiana",3,52109,18,3296,300,2924,301.89034418029837
18,3,500,18003000500,5,Census Tract 5,G5020,S,1983701,0,41.0949618,-85.1373248,1400000US18003000500,"Census Tract 5, Allen County, Indiana",3,27418,18,2996,500,1727,300.8065201845279
18,3,600,18003000600,6,Census Tract 6,G5020,S,857181,0,41.0851354,-85.1499177,1400000US18003000600,"Census Tract 6, Allen County, Indiana",3,32500,18,1699,600,1463,303.00912974195325
18,3,10813,18003010813,108.13,Census Tract 108.13,G5020,S,9953916,6804,41.1602243,-85.0852318,1400000US18003010813,"Census Tract 108.13, Allen County, Indiana",3,56169,18,3890,10813,3439,297.6549387078929
18,3,11603,18003011603,116.03,Census Tract 116.03,G5020,S,7305377,0,41.0527441,-85.2573061,1400000US18003011603,"Census Tract 116.03, Allen County, Indiana",3,78750,18,6579,11603,6366,300.49439081780633
18,3,400,18003000400,4,Census Tract 4,G5020,S,3130806,20033,41.0850509,-85.0967730,1400000US18003000400,"Census Tract 4, Allen County, Indiana",3,43946,18,2435,400,2295,299.48136753365435
18,3,3200,18003003200,32,Census Tract 32,G5020,S,3705780,0,41.0406348,-85.1498327,1400000US18003003200,"Census Tract 32, Allen County, Indiana",3,53342,18,5195,3200,4114,301.08071094691
18,3,10601,18003010601,106.01,Census Tract 106.01,G5020,S,17570824,6518,41.1058012,-85.2003276,1400000US18003010601,"Census Tract 106.01, Allen County, Indiana",3,66995,18,3534,10601,3013,299.49900795580345
18,3,3901,18003003901,39.01,Census Tract 39.01,G5020,S,4319970,168525,41.0228368,-85.1607342,1400000US18003003901,"Census Tract 39.01, Allen County, Indiana",3,48393,18,3523,3901,3196,300.2504114732105
18,3,10809,18003010809,108.09,Census Tract 108.09,G5020,S,7002371,0,41.1133560,-85.0301374,1400000US18003010809,"Census Tract 108.09, Allen County, Indiana",3,50741,18,5722,10809,4512,301.1572798602995
18,3,10900,18003010900,109,Census Tract 109,G5020,S,164596069,1626769,41.1357875,-84.9058340,1400000US18003010900,"Census Tract 109, Allen County, Indiana",3,67833,18,6590,10900,6418,298.70613135564963
18,3,2200,18003002200,22,Census Tract 22,G5020,S,7441091,0,41.0596185,-85.1755897,1400000US18003002200,"Census Tract 22, Allen County, Indiana",3,38310,18,4372,2200,3405,299.9286260357309
18,3,3600,18003003600,36,Census Tract 36,G5020,S,6691584,5891,41.0188923,-85.1277690,1400000US18003003600,"Census Tract 36, Allen County, Indiana",3,32129,18,5744,3600,2332,300.97854332525066
18,3,3902,18003003902,39.02,Census Tract 39.02,G5020,S,4295817,0,41.0114650,-85.1479659,1400000US18003003902,"Census Tract 39.02, Allen County, Indiana",3,38281,18,3020,3902,1895,301.0296379673006
18,3,701,18003000701,7.01,Census Tract 7.01,G5020,S,1505267,0,41.0952002,-85.1479838,1400000US18003000701,"Census Tract 7.01, Allen County, Indiana",3,35227,18,3156,701,2861,302.7140783170343
18,3,800,18003000800,8,Census Tract 8,G5020,S,2668998,39796,41.0966773,-85.1622524,1400000US18003000800,"Census Tract 8, Allen County, Indiana",3,41763,18,4004,800,3362,302.5960873534796
18,3,900,18003000900,9,Census Tract 9,G5020,S,2038752,36050,41.0881903,-85.1690243,1400000US18003000900,"Census Tract 9, Allen County, Indiana",3,33404,18,3486,900,2928,302.35057580836246
18,3,1000,18003001000,10,Census Tract 10,G5020,S,2033750,0,41.0782912,-85.1691854,1400000US18003001000,"Census Tract 10, Allen County, Indiana",3,35729,18,1210,1000,1013,299.1810787623477
18,3,1100,18003001100,11,Census Tract 11,G5020,S,872203,11113,41.0753190,-85.1548327,1400000US18003001100,"Census Tract 11, Allen County, Indiana",3,36631,18,1667,1100,1364,302.2632656718467
18,3,10304,18003010304,103.04,Census Tract 103.04,G5020,S,11214058,0,41.1894945,-85.1042978,1400000US18003010304,"Census Tract 103.04, Allen County, Indiana",3,79917,18,6817,10304,6440,301.73346735515685
18,3,11302,18003011302,113.02,Census Tract 113.02,G5020,S,4408097,0,41.0280157,-85.0980381,1400000US18003011302,"Census Tract 113.02, Allen County, Indiana",3,33571,18,5257,11302,1111,300.84722354472115
18,3,10706,18003010706,107.06,Census Tract 107.06,G5020,S,7198761,0,41.1480381,-85.1505875,1400000US18003010706,"Census Tract 107.06, Allen County, Indiana",3,60000,18,4968,10706,3981,300.7599851789464
18,3,704,18003000704,7.04,Census Tract 7.04,G5020,S,3806988,61597,41.1103622,-85.1612305,1400000US18003000704,"Census Tract 7.04, Allen County, Indiana",3,34665,18,2540,704,2113,300.0188133621263
18,3,980002,18003980002,9800.02,Census Tract 9800.02,G5020,S,3897780,11530,41.1266685,-85.1598179,1400000US18003980002,"Census Tract 9800.02, Allen County, Indiana",3,-666666666,18,29,980002,29,302.8433938283088
18,3,11606,18003011606,116.06,Census Tract 116.06,G5020,S,6541957,12647,41.0677025,-85.2531056,1400000US18003011606,"Census Tract 116.06, Allen County, Indiana",3,78774,18,4895,11606,4089,300.6761767309235
18,3,11608,18003011608,116.08,Census Tract 116.08,G5020,S,17457915,0,41.0744782,-85.3059832,1400000US18003011608,"Census Tract 116.08, Allen County, Indiana",3,94342,18,6284,11608,4906,299.70109801520204
18,3,980001,18003980001,9800.01,Census Tract 9800.01,G5020,S,3928112,0,41.1180614,-85.1101678,1400000US18003980001,"Census Tract 9800.01, Allen County, Indiana",3,12500,18,619,980001,482,301.2430720845797
18,3,11607,18003011607,116.07,Census Tract 116.07,G5020,S,6660596,0,41.0817219,-85.2510085,1400000US18003011607,"Census Tract 116.07, Allen County, Indiana",3,73512,18,5422,11607,4677,301.64340218891203
18,3,10817,18003010817,108.17,Census Tract 108.17,G5020,S,2906130,49904,41.1033959,-85.0713673,1400000US18003010817,"Census Tract 108.17, Allen County, Indiana",3,57819,18,4477,10817,3923,301.6272295553561
18,3,10819,18003010819,108.19,Census Tract 108.19,G5020,S,3031734,0,41.1316828,-85.0890145,1400000US18003010819,"Census Tract 108.19, Allen County, Indiana",3,40745,18,5026,10819,4104,301.2025022849365
