STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,1,442700,6001442700,4427,Census Tract 4427,G5020,S,1234034,0,37.5371514,-122.0081094,1400000US06001442700,"Census Tract 4427, Alameda County, California",1,116528,6,3025,442700,1406,309.10020792420784
6,1,442800,6001442800,4428,Census Tract 4428,G5020,S,1278647,0,37.5293619,-121.9931002,1400000US06001442800,"Census Tract 4428, Alameda County, California",1,102788,6,2928,442800,1299,309.0065862728707
6,1,442900,6001442900,4429,Census Tract 4429,G5020,S,2066524,0,37.5184093,-121.9748369,1400000US06001442900,"Census Tract 4429, Alameda County, California",1,107824,6,7909,442900,2716,306.6435363004641
6,1,443001,6001443001,4430.01,Census Tract 4430.01,G5020,S,768730,0,37.5184218,-121.9515237,1400000US06001443001,"Census Tract 4430.01, Alameda County, California",1,102111,6,2814,443001,870,304.64192797830515
6,1,443002,6001443002,4430.02,Census Tract 4430.02,G5020,S,1580323,0,37.5168344,-121.9605916,1400000US06001443002,"Census Tract 4430.02, Alameda County, California",1,92455,6,6822,443002,1758,304.82440352808186
6,1,443102,6001443102,4431.02,Census Tract 4431.02,G5020,S,2367416,0,37.5072245,-121.9271486,1400000US06001443102,"Census Tract 4431.02, Alameda County, California",1,183750,6,4788,443102,857,301.08303193172895
6,1,443301,6001443301,4433.01,Census Tract 4433.01,G5020,S,1577682,0,37.4707325,-121.9129556,1400000US06001443301,"Census Tract 4433.01, Alameda County, California",1,146875,6,4163,443301,1218,303.0285461700982
6,1,441402,6001441402,4414.02,Census Tract 4414.02,G5020,S,1634516,0,37.5823793,-122.0398730,1400000US06001441402,"Census Tract 4414.02, Alameda County, California",1,134692,6,5438,441402,1093,307.223510967909
6,1,441521,6001441521,4415.21,Census Tract 4415.21,G5020,S,1711305,0,37.5729300,-122.0532585,1400000US06001441521,"Census Tract 4415.21, Alameda County, California",1,139219,6,6282,441521,1258,307.1992141529745
6,1,441522,6001441522,4415.22,Census Tract 4415.22,G5020,S,1307238,0,37.5845594,-122.0572546,1400000US06001441522,"Census Tract 4415.22, Alameda County, California",1,100938,6,5147,441522,750,305.79424071272234
6,1,441601,6001441601,4416.01,Census Tract 4416.01,G5020,S,1291645,0,37.5635007,-122.0305372,1400000US06001441601,"Census Tract 4416.01, Alameda County, California",1,111458,6,5063,441601,1802,309.22203209045443
6,1,441602,6001441602,4416.02,Census Tract 4416.02,G5020,S,1682082,0,37.5569619,-122.0212342,1400000US06001441602,"Census Tract 4416.02, Alameda County, California",1,103588,6,8065,441602,1820,308.76241488704704
6,1,441800,6001441800,4418,Census Tract 4418,G5020,S,2038658,0,37.5591968,-121.9915745,1400000US06001441800,"Census Tract 4418, Alameda County, California",1,112264,6,7674,441800,2913,307.54555695831743
6,1,441921,6001441921,4419.21,Census Tract 4419.21,G5020,S,846805,0,37.5424223,-121.9678076,1400000US06001441921,"Census Tract 4419.21, Alameda County, California",1,125563,6,3949,441921,943,307.38132714069684
6,1,441923,6001441923,4419.23,Census Tract 4419.23,G5020,S,1506725,0,37.5509731,-121.9850086,1400000US06001441923,"Census Tract 4419.23, Alameda County, California",1,88048,6,6537,441923,1559,308.00296110344095
6,1,442100,6001442100,4421,Census Tract 4421,G5020,S,1836849,0,37.5482724,-121.9498620,1400000US06001442100,"Census Tract 4421, Alameda County, California",1,175417,6,5201,442100,905,304.37900774752615
6,1,442400,6001442400,4424,Census Tract 4424,G5020,S,1582838,0,37.5313806,-121.9737794,1400000US06001442400,"Census Tract 4424, Alameda County, California",1,106726,6,6502,442400,1931,307.3758123961284
6,1,442500,6001442500,4425,Census Tract 4425,G5020,S,1959819,0,37.5371439,-121.9871472,1400000US06001442500,"Census Tract 4425, Alameda County, California",1,88963,6,7759,442500,2026,308.4740454566435
6,1,441401,6001441401,4414.01,Census Tract 4414.01,G5020,S,1888871,0,37.5735683,-122.0376757,1400000US06001441401,"Census Tract 4414.01, Alameda County, California",1,122793,6,8092,441401,1868,308.50466078670064
6,1,441700,6001441700,4417,Census Tract 4417,G5020,S,2229701,0,37.5532071,-122.0116302,1400000US06001441700,"Census Tract 4417, Alameda County, California",1,107074,6,8093,441700,2176,308.62268018762904
