STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,19,2501,6019002501,25.01,Census Tract 25.01,G5020,S,1308387,0,36.7613690,-119.7634701,1400000US06019002501,"Census Tract 25.01, Fresno County, California",19,25253,6,5055,2501,2618,310.5589013800678
6,19,4703,6019004703,47.03,Census Tract 47.03,G5020,S,1283421,0,36.7901386,-119.8353599,1400000US06019004703,"Census Tract 47.03, Fresno County, California",19,33624,6,4299,4703,1828,309.90300144354893
6,19,5904,6019005904,59.04,Census Tract 59.04,G5020,S,49726083,0,36.7303926,-119.6356555,1400000US06019005904,"Census Tract 59.04, Fresno County, California",19,83664,6,5426,5904,3337,310.5858004874245
6,19,4301,6019004301,43.01,Census Tract 43.01,G5020,S,5418277,278084,36.8461075,-119.8416132,1400000US06019004301,"Census Tract 43.01, Fresno County, California",19,126250,6,3977,4301,3463,306.10768867508693
6,19,400,6019000400,4,Census Tract 4,G5020,S,3403396,0,36.7276566,-119.7762088,1400000US06019000400,"Census Tract 4, Fresno County, California",19,28318,6,6247,400,3435,311.1344105184862
6,19,4207,6019004207,42.07,Census Tract 42.07,G5020,S,17184153,117466,36.8163403,-119.9110111,1400000US06019004207,"Census Tract 42.07, Fresno County, California",19,71316,6,10052,4207,5370,310.69011665931566
6,19,5403,6019005403,54.03,Census Tract 54.03,G5020,S,1297000,0,36.8121984,-119.7632007,1400000US06019005403,"Census Tract 54.03, Fresno County, California",19,19464,6,4225,5403,2353,310.38661580005464
6,19,700,6019000700,7,Census Tract 7,G5020,S,8076057,205164,36.7340933,-119.8272190,1400000US06019000700,"Census Tract 7, Fresno County, California",19,21606,6,3646,700,1882,310.5330730268158
6,19,5503,6019005503,55.03,Census Tract 55.03,G5020,S,18450140,810675,36.9047402,-119.7675337,1400000US06019005503,"Census Tract 55.03, Fresno County, California",19,96500,6,5480,5503,4383,308.40622837601444
6,19,600,6019000600,6,Census Tract 6,G5020,S,2464476,0,36.7430630,-119.7933565,1400000US06019000600,"Census Tract 6, Fresno County, California",19,16581,6,4684,600,2536,310.7524515582568
6,19,1500,6019001500,15,Census Tract 15,G5020,S,38156232,75314,36.6871053,-119.7170769,1400000US06019001500,"Census Tract 15, Fresno County, California",19,39201,6,2558,1500,1907,311.63485251968433
6,19,7600,6019007600,76,Census Tract 76,G5020,S,356819981,0,36.5805660,-119.9430164,1400000US06019007600,"Census Tract 76, Fresno County, California",19,38750,6,4681,7600,3464,303.06051946563264
6,19,5505,6019005505,55.05,Census Tract 55.05,G5020,S,2578420,0,36.8739461,-119.7387266,1400000US06019005505,"Census Tract 55.05, Fresno County, California",19,98846,6,6889,5505,4692,308.8125950025843
6,19,502,6019000502,5.02,Census Tract 5.02,G5020,S,1181123,0,36.7444099,-119.7815454,1400000US06019000502,"Census Tract 5.02, Fresno County, California",19,32500,6,3402,502,1775,310.156907020888
6,19,3400,6019003400,34,Census Tract 34,G5020,S,1917437,0,36.7724800,-119.7791954,1400000US06019003400,"Census Tract 34, Fresno County, California",19,28073,6,5458,3400,2295,310.1277600676153
6,19,800,6019000800,8,Census Tract 8,G5020,S,7649975,28843,36.7101875,-119.8353195,1400000US06019000800,"Census Tract 8, Fresno County, California",19,23594,6,1164,800,710,310.328418054773
6,19,1000,6019001000,10,Census Tract 10,G5020,S,4894971,0,36.6977507,-119.8043140,1400000US06019001000,"Census Tract 10, Fresno County, California",19,26817,6,3809,1000,1475,310.3844607908867
