STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,113,18124,48113018124,181.24,Census Tract 181.24,G5020,S,22576236,599583,32.9379892,-96.5431663,1400000US48113018124,"Census Tract 181.24, Dallas County, Texas",113,102434,48,18048,18124,11978,304.9402829410694
48,113,18205,48113018205,182.05,Census Tract 182.05,G5020,S,1622243,5950,32.8887332,-96.6158652,1400000US48113018205,"Census Tract 182.05, Dallas County, Texas",113,45687,48,4555,18205,2605,307.18816860957537
48,397,40102,48397040102,401.02,Census Tract 401.02,G5020,S,8310426,13925716,32.9563814,-96.4802611,1400000US48397040102,"Census Tract 401.02, Rockwall County, Texas",397,111484,48,7792,40102,6441,303.7754568464244
48,113,18300,48113018300,183,Census Tract 183,G5020,S,3888318,0,32.8859359,-96.6430610,1400000US48113018300,"Census Tract 183, Dallas County, Texas",113,38750,48,6251,18300,4947,305.3612665984524
48,113,18401,48113018401,184.01,Census Tract 184.01,G5020,S,2458951,0,32.8710707,-96.6564632,1400000US48113018401,"Census Tract 184.01, Dallas County, Texas",113,46150,48,5356,18401,3219,306.94934994182086
48,113,18402,48113018402,184.02,Census Tract 184.02,G5020,S,2432764,0,32.8716444,-96.6404469,1400000US48113018402,"Census Tract 184.02, Dallas County, Texas",113,60293,48,5289,18402,4223,306.0809478221742
48,113,18403,48113018403,184.03,Census Tract 184.03,G5020,S,836037,0,32.8611265,-96.6507495,1400000US48113018403,"Census Tract 184.03, Dallas County, Texas",113,38558,48,1107,18403,673,307.7964525837482
48,113,18600,48113018600,186,Census Tract 186,G5020,S,2531337,0,32.9017203,-96.6571815,1400000US48113018600,"Census Tract 186, Dallas County, Texas",113,51007,48,3781,18600,3350,306.332532740014
48,113,18700,48113018700,187,Census Tract 187,G5020,S,2673751,0,32.9016782,-96.6398642,1400000US48113018700,"Census Tract 187, Dallas County, Texas",113,40317,48,6871,18700,4999,305.8199260043392
48,113,18801,48113018801,188.01,Census Tract 188.01,G5020,S,3409121,4045,32.9247196,-96.6347491,1400000US48113018801,"Census Tract 188.01, Dallas County, Texas",113,49387,48,5135,18801,3823,307.0157335732002
48,113,18802,48113018802,188.02,Census Tract 188.02,G5020,S,1724652,0,32.9128804,-96.6405967,1400000US48113018802,"Census Tract 188.02, Dallas County, Texas",113,42258,48,1145,18802,798,307.46181520332374
48,113,18900,48113018900,189,Census Tract 189,G5020,S,3531369,0,32.9202083,-96.6572998,1400000US48113018900,"Census Tract 189, Dallas County, Texas",113,48919,48,6026,18900,3254,307.1240855039018
48,113,19004,48113019004,190.04,Census Tract 190.04,G5020,S,2125113,0,32.9261195,-96.6962442,1400000US48113019004,"Census Tract 190.04, Dallas County, Texas",113,54863,48,6958,19004,4034,307.7414738452637
48,113,19013,48113019013,190.13,Census Tract 190.13,G5020,S,1376142,0,32.9128587,-96.6742771,1400000US48113019013,"Census Tract 190.13, Dallas County, Texas",113,25694,48,6165,19013,2581,308.28581946147057
