STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,815700,4013815700,8157,Census Tract 8157,G5020,S,2121114,0,33.2859707,-111.7135109,1400000US04013815700,"Census Tract 8157, Maricopa County, Arizona",13,100862,4,5597,815700,4980,314.69661803618305
4,13,815400,4013815400,8154,Census Tract 8154,G5020,S,10646295,8299,33.2896735,-111.7504872,1400000US04013815400,"Census Tract 8154, Maricopa County, Arizona",13,93894,4,8605,815400,7464,315.1111385575624
4,13,815500,4013815500,8155,Census Tract 8155,G5020,S,5170124,2736,33.3050245,-111.7372455,1400000US04013815500,"Census Tract 8155, Maricopa County, Arizona",13,78947,4,6128,815500,5172,314.99669927465277
4,13,815600,4013815600,8156,Census Tract 8156,G5020,S,5279081,7894,33.2982220,-111.6978630,1400000US04013815600,"Census Tract 8156, Maricopa County, Arizona",13,105029,4,5841,815600,4400,314.41886720111506
4,13,815900,4013815900,8159,Census Tract 8159,G5020,S,11816657,0,33.2640582,-111.7579586,1400000US04013815900,"Census Tract 8159, Maricopa County, Arizona",13,115031,4,9383,815900,6795,314.25361649593185
4,13,814200,4013814200,8142,Census Tract 8142,G5020,S,1256531,137687,33.3322863,-111.8176975,1400000US04013814200,"Census Tract 8142, Maricopa County, Arizona",13,106806,4,2651,814200,2199,313.67258549024393
4,13,814300,4013814300,8143,Census Tract 8143,G5020,S,2527771,0,33.3281500,-111.7984309,1400000US04013814300,"Census Tract 8143, Maricopa County, Arizona",13,83625,4,3786,814300,2810,313.84694870489915
4,13,816100,4013816100,8161,Census Tract 8161,G5020,S,2861358,0,33.2694916,-111.7085972,1400000US04013816100,"Census Tract 8161, Maricopa County, Arizona",13,96875,4,7136,816100,6005,313.584267085871
4,13,816200,4013816200,8162,Census Tract 8162,G5020,S,1814041,0,33.2730108,-111.6935538,1400000US04013816200,"Census Tract 8162, Maricopa County, Arizona",13,81250,4,3630,816200,3036,313.54113815348734
4,13,816300,4013816300,8163,Census Tract 8163,G5020,S,5556620,0,33.2563963,-111.7028929,1400000US04013816300,"Census Tract 8163, Maricopa County, Arizona",13,71466,4,4779,816300,4334,314.2012797548233
4,13,814600,4013814600,8146,Census Tract 8146,G5020,S,5329279,0,33.3210684,-111.7471608,1400000US04013814600,"Census Tract 8146, Maricopa County, Arizona",13,76593,4,4741,814600,4082,314.759189816487
4,13,816500,4013816500,8165,Census Tract 8165,G5020,S,7969471,0,33.2268114,-111.6945158,1400000US04013816500,"Census Tract 8165, Maricopa County, Arizona",13,100135,4,4286,816500,3917,313.42009261305634
4,13,816400,4013816400,8164,Census Tract 8164,G5020,S,7774482,0,33.2265775,-111.7118641,1400000US04013816400,"Census Tract 8164, Maricopa County, Arizona",13,86281,4,7798,816400,6841,314.0661569792595
4,13,422622,4013422622,4226.22,Census Tract 4226.22,G5020,S,2524396,16559,33.3753192,-111.7010615,1400000US04013422622,"Census Tract 4226.22, Maricopa County, Arizona",13,73576,4,4282,422622,3909,313.2588795202908
4,13,422307,4013422307,4223.07,Census Tract 4223.07,G5020,S,7730504,0,33.3654052,-111.8262199,1400000US04013422307,"Census Tract 4223.07, Maricopa County, Arizona",13,57857,4,4416,422307,3672,314.97379982953845
4,13,422308,4013422308,4223.08,Census Tract 4223.08,G5020,S,2622215,0,33.3717460,-111.7983872,1400000US04013422308,"Census Tract 4223.08, Maricopa County, Arizona",13,91343,4,5486,422308,4204,314.512906969412
4,13,422309,4013422309,4223.09,Census Tract 4223.09,G5020,S,2592301,0,33.3570528,-111.8157213,1400000US04013422309,"Census Tract 4223.09, Maricopa County, Arizona",13,82128,4,4859,422309,4039,313.594784232736
4,13,422401,4013422401,4224.01,Census Tract 4224.01,G5020,S,2557669,31837,33.3570982,-111.7975401,1400000US04013422401,"Census Tract 4224.01, Maricopa County, Arizona",13,52625,4,2881,422401,2188,315.3947401516196
4,13,422402,4013422402,4224.02,Census Tract 4224.02,G5020,S,2475281,0,33.3572890,-111.7814095,1400000US04013422402,"Census Tract 4224.02, Maricopa County, Arizona",13,62464,4,5478,422402,3993,313.4400989883806
4,13,422403,4013422403,4224.03,Census Tract 4224.03,G5020,S,2586787,0,33.3427012,-111.7983206,1400000US04013422403,"Census Tract 4224.03, Maricopa County, Arizona",13,79167,4,4735,422403,3915,314.33731304094295
4,13,422305,4013422305,4223.05,Census Tract 4223.05,G5020,S,2314869,178273,33.3467173,-111.8158186,1400000US04013422305,"Census Tract 4223.05, Maricopa County, Arizona",13,86630,4,5471,422305,4673,313.6095068523014
4,13,422404,4013422404,4224.04,Census Tract 4224.04,G5020,S,2512928,0,33.3427504,-111.7813442,1400000US04013422404,"Census Tract 4224.04, Maricopa County, Arizona",13,101875,4,4235,422404,3586,313.9120142923651
4,13,422506,4013422506,4225.06,Census Tract 4225.06,G5020,S,2508127,51542,33.3748545,-111.7655957,1400000US04013422506,"Census Tract 4225.06, Maricopa County, Arizona",13,78470,4,5008,422506,4556,313.1671225644281
4,13,422507,4013422507,4225.07,Census Tract 4225.07,G5020,S,2392023,69781,33.3697053,-111.7472622,1400000US04013422507,"Census Tract 4225.07, Maricopa County, Arizona",13,86304,4,4558,422507,3716,312.58982305209065
4,13,422508,4013422508,4225.08,Census Tract 4225.08,G5020,S,2503645,0,33.3718256,-111.7811895,1400000US04013422508,"Census Tract 4225.08, Maricopa County, Arizona",13,77159,4,3367,422508,3047,313.9833403520677
4,13,422509,4013422509,4225.09,Census Tract 4225.09,G5020,S,2585655,0,33.3573760,-111.7644951,1400000US04013422509,"Census Tract 4225.09, Maricopa County, Arizona",13,76250,4,5325,422509,4411,314.0546286044545
4,13,422510,4013422510,4225.10,Census Tract 4225.10,G5020,S,2585398,0,33.3574743,-111.7472415,1400000US04013422510,"Census Tract 4225.10, Maricopa County, Arizona",13,94282,4,3279,422510,2966,312.96651433553234
4,13,422511,4013422511,4225.11,Census Tract 4225.11,G5020,S,2588097,0,33.3428917,-111.7643140,1400000US04013422511,"Census Tract 4225.11, Maricopa County, Arizona",13,84792,4,2847,422511,2599,313.65156257399093
4,13,422512,4013422512,4225.12,Census Tract 4225.12,G5020,S,2587093,0,33.3429675,-111.7470048,1400000US04013422512,"Census Tract 4225.12, Maricopa County, Arizona",13,87083,4,5033,422512,4024,313.8364513037369
4,13,422606,4013422606,4226.06,Census Tract 4226.06,G5020,S,10188812,0,33.3503525,-111.7214724,1400000US04013422606,"Census Tract 4226.06, Maricopa County, Arizona",13,111964,4,10490,422606,9449,312.90098736676595
4,13,814400,4013814400,8144,Census Tract 8144,G5020,S,2540388,0,33.3283005,-111.7814918,1400000US04013814400,"Census Tract 8144, Maricopa County, Arizona",13,82414,4,4653,814400,3980,314.5275294944988
4,13,814500,4013814500,8145,Census Tract 8145,G5020,S,2587675,0,33.3284094,-111.7643407,1400000US04013814500,"Census Tract 8145, Maricopa County, Arizona",13,91167,4,5383,814500,4594,313.91830929062337
4,13,814700,4013814700,8147,Census Tract 8147,G5020,S,2547642,4996,33.3264204,-111.7332527,1400000US04013814700,"Census Tract 8147, Maricopa County, Arizona",13,85429,4,4206,814700,3855,313.89942341129824
4,13,814800,4013814800,8148,Census Tract 8148,G5020,S,5086910,0,33.3287414,-111.7041126,1400000US04013814800,"Census Tract 8148, Maricopa County, Arizona",13,77813,4,8250,814800,6726,314.89674602763904
