STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,93104,4013093104,931.04,Census Tract 931.04,G5020,S,3949828,4649,33.5158664,-112.1712744,1400000US04013093104,"Census Tract 931.04, Maricopa County, Arizona",13,24068,4,4808,93104,3789,319.6374399937554
4,13,61100,4013061100,611,Census Tract 611,G5020,S,10118022,0,33.5360482,-112.3733796,1400000US04013061100,"Census Tract 611, Maricopa County, Arizona",13,50575,4,2333,61100,1575,320.32918128621674
4,13,93001,4013093001,930.01,Census Tract 930.01,G5020,S,1433450,642,33.5338273,-112.1606547,1400000US04013093001,"Census Tract 930.01, Maricopa County, Arizona",13,34831,4,5655,93001,4195,318.95745768635686
4,13,92717,4013092717,927.17,Census Tract 927.17,G5020,S,1297313,0,33.5345116,-112.2117591,1400000US04013092717,"Census Tract 927.17, Maricopa County, Arizona",13,37877,4,5320,92717,3683,318.32394913651746
4,13,92718,4013092718,927.18,Census Tract 927.18,G5020,S,1300439,0,33.5272643,-112.2118198,1400000US04013092718,"Census Tract 927.18, Maricopa County, Arizona",13,36250,4,4089,92718,3383,318.75302144707143
4,13,92720,4013092720,927.20,Census Tract 927.20,G5020,S,23746920,7662,33.5282486,-112.2763289,1400000US04013092720,"Census Tract 927.20, Maricopa County, Arizona",13,61885,4,5342,92720,4038,319.50049740293434
4,13,92802,4013092802,928.02,Census Tract 928.02,G5020,S,1259328,0,33.5275918,-112.1946753,1400000US04013092802,"Census Tract 928.02, Maricopa County, Arizona",13,29984,4,6154,92802,5175,319.6092568102898
4,13,93002,4013093002,930.02,Census Tract 930.02,G5020,S,1112562,0,33.5273071,-112.1592116,1400000US04013093002,"Census Tract 930.02, Maricopa County, Arizona",13,34052,4,4499,93002,3144,319.0686590450592
4,13,93106,4013093106,931.06,Census Tract 931.06,G5020,S,1276129,0,33.5130397,-112.1947390,1400000US04013093106,"Census Tract 931.06, Maricopa County, Arizona",13,35494,4,4575,93106,3861,320.35521863202655
4,13,93200,4013093200,932,Census Tract 932,G5020,S,5198832,0,33.5596351,-112.2203819,1400000US04013093200,"Census Tract 932, Maricopa County, Arizona",13,30764,4,3245,93200,2461,318.29753282190063
4,13,614000,4013614000,6140,Census Tract 6140,G5020,S,2575545,0,33.6890170,-112.2117434,1400000US04013614000,"Census Tract 6140, Maricopa County, Arizona",13,100354,4,4425,614000,3955,317.3247701670769
4,13,61011,4013061011,610.11,Census Tract 610.11,G5020,S,15629319,285194,33.5326284,-112.3282847,1400000US04013061011,"Census Tract 610.11, Maricopa County, Arizona",13,74016,4,7226,61011,4912,319.99025948344905
4,13,614100,4013614100,6141,Census Tract 6141,G5020,S,3292875,76760,33.6735234,-112.2158116,1400000US04013614100,"Census Tract 6141, Maricopa County, Arizona",13,105492,4,6888,614100,5468,317.1332893475184
4,13,614200,4013614200,6142,Census Tract 6142,G5020,S,5115788,91505,33.6834538,-112.1965221,1400000US04013614200,"Census Tract 6142, Maricopa County, Arizona",13,98750,4,4597,614200,3983,317.11996797369653
4,13,614300,4013614300,6143,Census Tract 6143,G5020,S,12409426,567943,33.6918675,-112.1616595,1400000US04013614300,"Census Tract 6143, Maricopa County, Arizona",13,105000,4,3223,614300,2587,317.5313129554174
4,13,615700,4013615700,6157,Census Tract 6157,G5020,S,1976540,72871,33.6584742,-112.2267141,1400000US04013615700,"Census Tract 6157, Maricopa County, Arizona",13,85417,4,2988,615700,2623,316.4295955131373
4,13,61044,4013061044,610.44,Census Tract 610.44,G5020,S,36380775,86464,33.5589526,-112.4016176,1400000US04013061044,"Census Tract 610.44, Maricopa County, Arizona",13,81250,4,7820,61044,6587,319.52265890965987
4,13,61045,4013061045,610.45,Census Tract 610.45,G5020,S,41058081,77177,33.5300157,-112.4228070,1400000US04013061045,"Census Tract 610.45, Maricopa County, Arizona",13,102372,4,6188,61045,5664,320.91486723070057
4,13,61046,4013061046,610.46,Census Tract 610.46,G5020,S,2569060,0,33.5295927,-112.3500769,1400000US04013061046,"Census Tract 610.46, Maricopa County, Arizona",13,53182,4,6016,61046,4076,319.5276951293348
4,13,61047,4013061047,610.47,Census Tract 610.47,G5020,S,2483979,5845,33.5151308,-112.3496744,1400000US04013061047,"Census Tract 610.47, Maricopa County, Arizona",13,114400,4,3585,61047,2631,319.7752551258443
4,13,92401,4013092401,924.01,Census Tract 924.01,G5020,S,1289181,0,33.5457803,-112.1643912,1400000US04013092401,"Census Tract 924.01, Maricopa County, Arizona",13,35012,4,4644,92401,3108,318.881587967816
4,13,92402,4013092402,924.02,Census Tract 924.02,G5020,S,1287699,0,33.5457875,-112.1558536,1400000US04013092402,"Census Tract 924.02, Maricopa County, Arizona",13,43767,4,3454,92402,2732,318.96655929288835
4,13,92715,4013092715,927.15,Census Tract 927.15,G5020,S,1286319,0,33.5200387,-112.2117697,1400000US04013092715,"Census Tract 927.15, Maricopa County, Arizona",13,39281,4,4283,92715,2851,319.9189625342693
4,13,92716,4013092716,927.16,Census Tract 927.16,G5020,S,1319517,0,33.5127498,-112.2118328,1400000US04013092716,"Census Tract 927.16, Maricopa County, Arizona",13,49044,4,3755,92716,2871,320.4282979419828
4,13,615800,4013615800,6158,Census Tract 6158,G5020,S,2618773,84796,33.6553978,-112.2120123,1400000US04013615800,"Census Tract 6158, Maricopa County, Arizona",13,84189,4,4829,615800,4273,315.63424989929604
4,13,615900,4013615900,6159,Census Tract 6159,G5020,S,2421942,9678,33.6611716,-112.1955020,1400000US04013615900,"Census Tract 6159, Maricopa County, Arizona",13,67917,4,4273,615900,3570,317.3984247396763
4,13,616000,4013616000,6160,Census Tract 6160,G5020,S,2493653,0,33.6614423,-112.1778366,1400000US04013616000,"Census Tract 6160, Maricopa County, Arizona",13,79891,4,2112,616000,1618,318.2365529818662
4,13,92311,4013092311,923.11,Census Tract 923.11,G5020,S,647197,0,33.5602400,-112.1883998,1400000US04013092311,"Census Tract 923.11, Maricopa County, Arizona",13,30075,4,2898,92311,2091,318.85325273621453
4,13,92312,4013092312,923.12,Census Tract 923.12,G5020,S,1832030,0,33.5600973,-112.1967543,1400000US04013092312,"Census Tract 923.12, Maricopa County, Arizona",13,29784,4,5065,92312,4067,318.7347898617298
4,13,92721,4013092721,927.21,Census Tract 927.21,G5020,S,2536611,0,33.5447591,-112.2463813,1400000US04013092721,"Census Tract 927.21, Maricopa County, Arizona",13,99750,4,3400,92721,2249,317.9506081174023
4,13,92801,4013092801,928.01,Census Tract 928.01,G5020,S,1256245,0,33.5348379,-112.1946566,1400000US04013092801,"Census Tract 928.01, Maricopa County, Arizona",13,24410,4,5707,92801,4272,318.77023798562806
4,13,617700,4013617700,6177,Census Tract 6177,G5020,S,2676742,0,33.6452364,-112.2291917,1400000US04013617700,"Census Tract 6177, Maricopa County, Arizona",13,52217,4,3730,617700,3148,318.7742886280716
4,13,617800,4013617800,6178,Census Tract 6178,G5020,S,2834633,0,33.6470072,-112.2098091,1400000US04013617800,"Census Tract 6178, Maricopa County, Arizona",13,111000,4,2471,617800,2393,318.6577858489537
4,13,617900,4013617900,6179,Census Tract 6179,G5020,S,2389134,0,33.6445885,-112.1949954,1400000US04013617900,"Census Tract 6179, Maricopa County, Arizona",13,64878,4,2683,617900,2487,319.18482084404036
4,13,71511,4013071511,715.11,Census Tract 715.11,G5020,S,2349957,9988,33.6313690,-112.2099467,1400000US04013071511,"Census Tract 715.11, Maricopa County, Arizona",13,62969,4,3547,71511,2849,319.0999816922701
4,13,71513,4013071513,715.13,Census Tract 715.13,G5020,S,2625934,10774,33.6185011,-112.2129207,1400000US04013071513,"Census Tract 715.13, Maricopa County, Arizona",13,101500,4,1619,71513,1508,317.0133506681361
4,13,92309,4013092309,923.09,Census Tract 923.09,G5020,S,2554953,0,33.5603104,-112.1603196,1400000US04013092309,"Census Tract 923.09, Maricopa County, Arizona",13,56899,4,6047,92309,4831,318.7742886280716
4,13,92500,4013092500,925,Census Tract 925,G5020,S,2631638,0,33.5457957,-112.1774088,1400000US04013092500,"Census Tract 925, Maricopa County, Arizona",13,31977,4,5011,92500,3451,318.2812741398647
4,13,92305,4013092305,923.05,Census Tract 923.05,G5020,S,2506385,0,33.5745857,-112.1946101,1400000US04013092305,"Census Tract 923.05, Maricopa County, Arizona",13,50487,4,4700,92305,3978,318.84313162112204
4,13,92307,4013092307,923.07,Census Tract 923.07,G5020,S,2559350,6900,33.5587571,-112.1781458,1400000US04013092307,"Census Tract 923.07, Maricopa County, Arizona",13,56890,4,6520,92307,5068,318.9837496041022
4,13,92308,4013092308,923.08,Census Tract 923.08,G5020,S,2554778,0,33.5747161,-112.1603060,1400000US04013092308,"Census Tract 923.08, Maricopa County, Arizona",13,48750,4,6465,92308,5167,319.5317239753988
4,13,92600,4013092600,926,Census Tract 926,G5020,S,2513156,0,33.5456908,-112.1945977,1400000US04013092600,"Census Tract 926, Maricopa County, Arizona",13,21346,4,3627,92600,2749,318.73580278991057
4,13,92705,4013092705,927.05,Census Tract 927.05,G5020,S,2592987,0,33.5453624,-112.2117335,1400000US04013092705,"Census Tract 927.05, Maricopa County, Arizona",13,41458,4,4036,92705,2480,318.44479075966444
4,13,92711,4013092711,927.11,Census Tract 927.11,G5020,S,2565812,0,33.5450265,-112.2290633,1400000US04013092711,"Census Tract 927.11, Maricopa County, Arizona",13,42041,4,3280,92711,2170,318.40722936598894
4,13,92712,4013092712,927.12,Census Tract 927.12,G5020,S,2549969,0,33.5306136,-112.2290551,1400000US04013092712,"Census Tract 927.12, Maricopa County, Arizona",13,62563,4,5542,92712,3904,318.08398648619175
4,13,93105,4013093105,931.05,Census Tract 931.05,G5020,S,1253906,0,33.5203394,-112.1947048,1400000US04013093105,"Census Tract 931.05, Maricopa County, Arizona",13,24923,4,6164,93105,4733,319.7028435260536
4,13,618000,4013618000,6180,Census Tract 6180,G5020,S,2764808,0,33.6466694,-112.1777514,1400000US04013618000,"Census Tract 6180, Maricopa County, Arizona",13,82898,4,4879,618000,4012,318.56958442326413
4,13,104214,4013104214,1042.14,Census Tract 1042.14,G5020,S,2427289,0,33.6320299,-112.1772004,1400000US04013104214,"Census Tract 1042.14, Maricopa County, Arizona",13,83977,4,2395,104214,2258,318.7621363489878
4,13,104217,4013104217,1042.17,Census Tract 1042.17,G5020,S,2559535,0,33.6179599,-112.1771528,1400000US04013104217,"Census Tract 1042.17, Maricopa County, Arizona",13,62306,4,5636,104217,4869,319.57401990245825
4,13,92713,4013092713,927.13,Census Tract 927.13,G5020,S,2589423,0,33.5161016,-112.2290977,1400000US04013092713,"Census Tract 927.13, Maricopa County, Arizona",13,59375,4,5031,92713,3693,318.38590623825024
4,13,92900,4013092900,929,Census Tract 929,G5020,S,2630303,0,33.5312702,-112.1774451,1400000US04013092900,"Census Tract 929, Maricopa County, Arizona",13,22784,4,3070,92900,2313,319.43499983512424
4,13,104222,4013104222,1042.22,Census Tract 1042.22,G5020,S,2507770,0,33.5890646,-112.1944668,1400000US04013104222,"Census Tract 1042.22, Maricopa County, Arizona",13,55675,4,5958,104222,4603,318.76821262043904
4,13,104224,4013104224,1042.24,Census Tract 1042.24,G5020,S,2531745,22483,33.6044540,-112.1784017,1400000US04013104224,"Census Tract 1042.24, Maricopa County, Arizona",13,38246,4,6085,104224,5166,318.2487510847382
4,13,104227,4013104227,1042.27,Census Tract 1042.27,G5020,S,1057553,0,33.5863574,-112.1635857,1400000US04013104227,"Census Tract 1042.27, Maricopa County, Arizona",13,54063,4,2125,104227,1584,319.011047531495
4,13,104221,4013104221,1042.21,Census Tract 1042.21,G5020,S,2568243,2105,33.5885017,-112.1766306,1400000US04013104221,"Census Tract 1042.21, Maricopa County, Arizona",13,52235,4,5883,104221,4590,319.2363053306655
4,13,92306,4013092306,923.06,Census Tract 923.06,G5020,S,2565725,0,33.5747180,-112.1775505,1400000US04013092306,"Census Tract 923.06, Maricopa County, Arizona",13,49115,4,6763,92306,5097,319.2978600454872
4,13,93101,4013093101,931.01,Census Tract 931.01,G5020,S,1255739,0,33.5192182,-112.1573864,1400000US04013093101,"Census Tract 931.01, Maricopa County, Arizona",13,31713,4,4736,93101,2999,318.8623611144233
4,13,104215,4013104215,1042.15,Census Tract 1042.15,G5020,S,2310146,0,33.6318197,-112.1941601,1400000US04013104215,"Census Tract 1042.15, Maricopa County, Arizona",13,47521,4,3717,104215,3172,319.70686736807784
4,13,92710,4013092710,927.10,Census Tract 927.10,G5020,S,2580296,0,33.5304561,-112.2463403,1400000US04013092710,"Census Tract 927.10, Maricopa County, Arizona",13,63171,4,4433,92710,3599,318.1216350912927
