STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
37,81,16405,37081016405,164.05,Census Tract 164.05,G5020,S,8103334,0,36.0627168,-79.9335687,1400000US37081016405,"Census Tract 164.05, Guilford County, North Carolina",81,35536,37,1871,16405,794,303.35132197494653
37,81,980100,37081980100,9801,Census Tract 9801,G5020,S,11566641,40405,36.1036725,-79.9306517,1400000US37081980100,"Census Tract 9801, Guilford County, North Carolina",81,-666666666,37,0,980100,0,304.9324110549776
37,81,10100,37081010100,101,Census Tract 101,G5020,S,1086679,0,36.0931506,-79.7611076,1400000US37081010100,"Census Tract 101, Guilford County, North Carolina",81,27853,37,1737,10100,234,303.84354619833175
37,81,10403,37081010403,104.03,Census Tract 104.03,G5020,S,1590837,0,36.1048626,-79.8152179,1400000US37081010403,"Census Tract 104.03, Guilford County, North Carolina",81,57643,37,1700,10403,1351,303.30575141623973
37,81,10500,37081010500,105,Census Tract 105,G5020,S,2764692,21402,36.0820551,-79.8193859,1400000US37081010500,"Census Tract 105, Guilford County, North Carolina",81,65776,37,2289,10500,2059,303.91499961338036
37,81,10701,37081010701,107.01,Census Tract 107.01,G5020,S,1220243,5935,36.0762520,-79.8042289,1400000US37081010701,"Census Tract 107.01, Guilford County, North Carolina",81,51875,37,2013,10701,1682,305.8199260043392
37,81,10702,37081010702,107.02,Census Tract 107.02,G5020,S,1669575,10369,36.0690352,-79.8063793,1400000US37081010702,"Census Tract 107.02, Guilford County, North Carolina",81,24274,37,5238,10702,3169,306.81647825942065
37,81,11000,37081011000,110,Census Tract 110,G5020,S,2988404,0,36.0778800,-79.7691959,1400000US37081011000,"Census Tract 110, Guilford County, North Carolina",81,14695,37,5075,11000,619,308.1104770460236
37,81,11101,37081011101,111.01,Census Tract 111.01,G5020,S,2792903,16292,36.0692810,-79.7555793,1400000US37081011101,"Census Tract 111.01, Guilford County, North Carolina",81,26649,37,4221,11101,373,305.19977674756643
37,81,11200,37081011200,112,Census Tract 112,G5020,S,2654911,0,36.0640397,-79.7762698,1400000US37081011200,"Census Tract 112, Guilford County, North Carolina",81,33220,37,5928,11200,776,305.98284936103005
37,81,11400,37081011400,114,Census Tract 114,G5020,S,2610138,0,36.0538859,-79.7981752,1400000US37081011400,"Census Tract 114, Guilford County, North Carolina",81,15435,37,5340,11400,455,306.1500167411937
37,81,11602,37081011602,116.02,Census Tract 116.02,G5020,S,3147816,0,36.0528836,-79.8435890,1400000US37081011602,"Census Tract 116.02, Guilford County, North Carolina",81,43954,37,3514,11602,1255,305.60982230518255
37,81,11300,37081011300,113,Census Tract 113,G5020,S,4100485,0,36.0497210,-79.7823577,1400000US37081011300,"Census Tract 113, Guilford County, North Carolina",81,28263,37,3171,11300,218,304.7478414538123
