STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
32,3,2843,32003002843,28.43,Census Tract 28.43,G5020,S,3597724,0,35.9920260,-115.1469768,1400000US32003002843,"Census Tract 28.43, Clark County, Nevada",3,74925,32,10028,2843,5893,313.2430638495594
32,3,5354,32003005354,53.54,Census Tract 53.54,G5020,S,2051284,0,36.0275095,-115.0195059,1400000US32003005354,"Census Tract 53.54, Clark County, Nevada",3,73292,32,5939,5354,4356,315.4684005440439
32,3,5353,32003005353,53.53,Census Tract 53.53,G5020,S,1511272,0,36.0261916,-115.0379978,1400000US32003005353,"Census Tract 53.53, Clark County, Nevada",3,71886,32,4815,5353,3295,314.4606707393395
32,3,5360,32003005360,53.60,Census Tract 53.60,G5020,S,5627885,0,35.9906626,-114.9455985,1400000US32003005360,"Census Tract 53.60, Clark County, Nevada",3,62188,32,4781,5360,3835,315.2940410363122
32,3,5356,32003005356,53.56,Census Tract 53.56,G5020,S,3895048,0,36.0062498,-115.0541041,1400000US32003005356,"Census Tract 53.56, Clark County, Nevada",3,90338,32,2752,5356,2142,313.44536332711584
32,3,5434,32003005434,54.34,Census Tract 54.34,G5020,S,5010769,0,36.0329472,-114.9443249,1400000US32003005434,"Census Tract 54.34, Clark County, Nevada",3,85577,32,5266,5434,4396,315.75022452217326
32,3,5439,32003005439,54.39,Census Tract 54.39,G5020,S,1208066,0,36.0635638,-115.0012899,1400000US32003005439,"Census Tract 54.39, Clark County, Nevada",3,44665,32,3834,5439,2729,318.2304535299405
32,3,5435,32003005435,54.35,Census Tract 54.35,G5020,S,68275988,0,36.0405264,-114.9086002,1400000US32003005435,"Census Tract 54.35, Clark County, Nevada",3,70246,32,3734,5435,3330,316.9805287591264
32,3,5349,32003005349,53.49,Census Tract 53.49,G5020,S,2609284,0,36.0114185,-115.1013252,1400000US32003005349,"Census Tract 53.49, Clark County, Nevada",3,87625,32,4888,5349,3269,313.5253558069635
32,3,2846,32003002846,28.46,Census Tract 28.46,G5020,S,1628400,0,36.0089956,-115.1261626,1400000US32003002846,"Census Tract 28.46, Clark County, Nevada",3,64369,32,7234,2846,4227,313.51272859102664
32,3,5346,32003005346,53.46,Census Tract 53.46,G5020,S,2382901,0,35.9977406,-115.1133289,1400000US32003005346,"Census Tract 53.46, Clark County, Nevada",3,50595,32,5610,5346,3738,313.1650124679813
32,3,2842,32003002842,28.42,Census Tract 28.42,G5020,S,3190920,0,35.9740647,-115.1712925,1400000US32003002842,"Census Tract 28.42, Clark County, Nevada",3,74967,32,6399,2842,3822,314.70913470707654
