STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,201,542301,48201542301,5423.01,Census Tract 5423.01,G5020,S,5956733,15456,29.8204990,-95.7316493,1400000US48201542301,"Census Tract 5423.01, Harris County, Texas",201,79013,48,14462,542301,8536,307.21688502471216
48,201,552601,48201552601,5526.01,Census Tract 5526.01,G5020,S,2911911,4263,29.9629845,-95.5679180,1400000US48201552601,"Census Tract 5526.01, Harris County, Texas",201,37857,48,6042,552601,2678,305.81769270936286
48,201,240702,48201240702,2407.02,Census Tract 2407.02,G5020,S,10244563,45433,29.9802287,-95.4059104,1400000US48201240702,"Census Tract 2407.02, Harris County, Texas",201,61829,48,14545,240702,5434,305.20650966092063
48,201,240501,48201240501,2405.01,Census Tract 2405.01,G5020,S,3284072,1111,29.9582552,-95.3914922,1400000US48201240501,"Census Tract 2405.01, Harris County, Texas",201,27572,48,5973,240501,3316,304.94253196002836
48,201,240701,48201240701,2407.01,Census Tract 2407.01,G5020,S,7409433,3498,30.0113158,-95.4162249,1400000US48201240701,"Census Tract 2407.01, Harris County, Texas",201,51951,48,14863,240701,6126,306.44813781375046
48,201,240901,48201240901,2409.01,Census Tract 2409.01,G5020,S,5765658,60746,30.0205928,-95.3174303,1400000US48201240901,"Census Tract 2409.01, Harris County, Texas",201,61950,48,11226,240901,5353,300.9959643886268
48,201,241103,48201241103,2411.03,Census Tract 2411.03,G5020,S,2782048,35540,30.0474108,-95.3807767,1400000US48201241103,"Census Tract 2411.03, Harris County, Texas",201,47869,48,4300,241103,2475,304.9796349133033
48,201,450802,48201450802,4508.02,Census Tract 4508.02,G5020,S,1716887,1759,29.7524960,-95.5652202,1400000US48201450802,"Census Tract 4508.02, Harris County, Texas",201,58271,48,9070,450802,5702,306.02187496049606
48,201,450801,48201450801,4508.01,Census Tract 4508.01,G5020,S,903292,17759,29.7598200,-95.5680076,1400000US48201450801,"Census Tract 4508.01, Harris County, Texas",201,52319,48,1667,450801,1350,302.7518571622774
48,201,451002,48201451002,4510.02,Census Tract 4510.02,G5020,S,599993,0,29.7408429,-95.5854867,1400000US48201451002,"Census Tract 4510.02, Harris County, Texas",201,45174,48,5685,451002,2708,307.69637359698646
48,201,454302,48201454302,4543.02,Census Tract 4543.02,G5020,S,2750427,1867,29.7153470,-95.6704755,1400000US48201454302,"Census Tract 4543.02, Harris County, Texas",201,50815,48,6749,454302,3609,306.7876710101805
48,201,451902,48201451902,4519.02,Census Tract 4519.02,G5020,S,2057671,0,29.7225162,-95.5987045,1400000US48201451902,"Census Tract 4519.02, Harris County, Texas",201,107875,48,2484,451902,1184,305.64784586876453
48,201,453602,48201453602,4536.02,Census Tract 4536.02,G5020,S,2558693,0,29.6816890,-95.5787734,1400000US48201453602,"Census Tract 4536.02, Harris County, Texas",201,35631,48,8400,453602,2736,306.08317644367014
48,201,453403,48201453403,4534.03,Census Tract 4534.03,G5020,S,683886,0,29.6697612,-95.5851314,1400000US48201453403,"Census Tract 4534.03, Harris County, Texas",201,25859,48,4581,453403,1442,306.50812177684764
48,201,453601,48201453601,4536.01,Census Tract 4536.01,G5020,S,1197372,3225,29.6800729,-95.5912718,1400000US48201453601,"Census Tract 4536.01, Harris County, Texas",201,29851,48,2270,453601,703,306.03971120110646
