STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
18,97,360800,18097360800,3608,Census Tract 3608,G5020,S,2632082,0,39.7890329,-86.0548820,1400000US18097360800,"Census Tract 3608, Marion County, Indiana",97,28444,18,2703,360800,2086,300.1650764989512
18,97,354800,18097354800,3548,Census Tract 3548,G5020,S,543485,0,39.7778947,-86.1172338,1400000US18097354800,"Census Tract 3548, Marion County, Indiana",97,17798,18,1473,354800,823,301.7173067415724
18,97,310110,18097310110,3101.10,Census Tract 3101.10,G5020,S,1889723,0,39.8453099,-86.2830259,1400000US18097310110,"Census Tract 3101.10, Marion County, Indiana",97,50885,18,2891,310110,1275,299.6000958918802
18,97,310310,18097310310,3103.10,Census Tract 3103.10,G5020,S,2119583,0,39.8606826,-86.2626487,1400000US18097310310,"Census Tract 3103.10, Marion County, Indiana",97,64158,18,4840,310310,1586,299.80670625907226
18,97,330109,18097330109,3301.09,Census Tract 3301.09,G5020,S,5286003,0,39.9161418,-86.0196226,1400000US18097330109,"Census Tract 3301.09, Marion County, Indiana",97,91305,18,4724,330109,4232,298.9261201913204
18,97,330804,18097330804,3308.04,Census Tract 3308.04,G5020,S,1315936,0,39.8371673,-86.0006819,1400000US18097330804,"Census Tract 3308.04, Marion County, Indiana",97,20793,18,3289,330804,996,300.5690029720392
18,97,370301,18097370301,3703.01,Census Tract 3703.01,G5020,S,30903911,16993,39.6537063,-86.2969807,1400000US18097370301,"Census Tract 3703.01, Marion County, Indiana",97,67375,18,10126,370301,8588,298.4003051366532
18,97,340109,18097340109,3401.09,Census Tract 3401.09,G5020,S,1026422,0,39.8126073,-86.2827551,1400000US18097340109,"Census Tract 3401.09, Marion County, Indiana",97,52833,18,1207,340109,449,299.84892336602763
18,97,340108,18097340108,3401.08,Census Tract 3401.08,G5020,S,1181918,0,39.8123207,-86.2728414,1400000US18097340108,"Census Tract 3401.08, Marion County, Indiana",97,26627,18,2397,340108,490,302.1505890435292
18,97,340300,18097340300,3403,Census Tract 3403,G5020,S,3242933,0,39.8132889,-86.2477464,1400000US18097340300,"Census Tract 3403, Marion County, Indiana",97,31673,18,8214,340300,2940,301.32532895659864
18,97,340400,18097340400,3404,Census Tract 3404,G5020,S,1951560,0,39.8167435,-86.2329580,1400000US18097340400,"Census Tract 3404, Marion County, Indiana",97,39306,18,3706,340400,1545,300.85071176323004
18,97,340600,18097340600,3406,Census Tract 3406,G5020,S,3780640,182651,39.7990988,-86.2048400,1400000US18097340600,"Census Tract 3406, Marion County, Indiana",97,32061,18,5540,340600,1237,299.05602879672944
18,97,356400,18097356400,3564,Census Tract 3564,G5020,S,3824637,224926,39.7653157,-86.1846379,1400000US18097356400,"Census Tract 3564, Marion County, Indiana",97,29228,18,4026,356400,2687,301.73808427755165
18,97,356900,18097356900,3569,Census Tract 3569,G5020,S,1129322,0,39.7471973,-86.1543151,1400000US18097356900,"Census Tract 3569, Marion County, Indiana",97,28145,18,2722,356900,2163,302.494042096838
18,97,357000,18097357000,3570,Census Tract 3570,G5020,S,986663,0,39.7462380,-86.1447723,1400000US18097357000,"Census Tract 3570, Marion County, Indiana",97,28859,18,2483,357000,2156,301.8891914142922
18,97,357100,18097357100,3571,Census Tract 3571,G5020,S,1045462,0,39.7476203,-86.1358955,1400000US18097357100,"Census Tract 3571, Marion County, Indiana",97,32222,18,2058,357100,1750,301.79924190473446
