STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,59,52408,6059052408,524.08,Census Tract 524.08,G5020,S,3777652,130730,33.6491520,-117.7046344,1400000US06059052408,"Census Tract 524.08, Orange County, California",59,110753,6,6618,52408,5046,312.056824765262
6,59,52417,6059052417,524.17,Census Tract 524.17,G5020,S,2110862,0,33.7055608,-117.7621298,1400000US06059052417,"Census Tract 524.17, Orange County, California",59,85481,6,10888,52417,4397,311.0722570539329
6,59,52418,6059052418,524.18,Census Tract 524.18,G5020,S,6404939,0,33.6920021,-117.7546973,1400000US06059052418,"Census Tract 524.18, Orange County, California",59,92510,6,19452,52418,6832,309.4240938613259
6,59,52528,6059052528,525.28,Census Tract 525.28,G5020,S,1038320,0,33.6926896,-117.7907468,1400000US06059052528,"Census Tract 525.28, Orange County, California",59,101125,6,4039,52528,1893,310.61699651850483
6,59,52420,6059052420,524.20,Census Tract 524.20,G5020,S,31543157,142637,33.7425817,-117.7356060,1400000US06059052420,"Census Tract 524.20, Orange County, California",59,130295,6,24036,52420,8769,308.0709918914146
6,59,52506,6059052506,525.06,Census Tract 525.06,G5020,S,940312,0,33.6856826,-117.7807058,1400000US06059052506,"Census Tract 525.06, Orange County, California",59,123203,6,2499,52506,1537,310.2097866891579
6,59,52505,6059052505,525.05,Census Tract 525.05,G5020,S,1190676,0,33.6925839,-117.7753374,1400000US06059052505,"Census Tract 525.05, Orange County, California",59,68467,6,5319,52505,2379,310.9553716979717
6,59,52511,6059052511,525.11,Census Tract 525.11,G5020,S,1841534,44567,33.6847725,-117.7990448,1400000US06059052511,"Census Tract 525.11, Orange County, California",59,128910,6,6025,52511,3634,310.129919324941
6,59,52514,6059052514,525.14,Census Tract 525.14,G5020,S,1473665,35393,33.6693319,-117.7987237,1400000US06059052514,"Census Tract 525.14, Orange County, California",59,80234,6,5598,52514,3619,309.44580215271395
6,59,52515,6059052515,525.15,Census Tract 525.15,G5020,S,1863718,0,33.6917653,-117.8098175,1400000US06059052515,"Census Tract 525.15, Orange County, California",59,103668,6,9667,52515,4354,308.82131998310393
6,59,52517,6059052517,525.17,Census Tract 525.17,G5020,S,5217060,0,33.6725290,-117.7750233,1400000US06059052517,"Census Tract 525.17, Orange County, California",59,99107,6,12535,52517,5980,308.71658116778906
6,59,52518,6059052518,525.18,Census Tract 525.18,G5020,S,5781327,0,33.6593661,-117.7578556,1400000US06059052518,"Census Tract 525.18, Orange County, California",59,93801,6,5645,52518,3773,310.07376699180304
6,59,52519,6059052519,525.19,Census Tract 525.19,G5020,S,975991,0,33.6693095,-117.8184805,1400000US06059052519,"Census Tract 525.19, Orange County, California",59,93511,6,4418,52519,2443,309.27420729999585
6,59,52520,6059052520,525.20,Census Tract 525.20,G5020,S,1200128,49275,33.6744311,-117.8086676,1400000US06059052520,"Census Tract 525.20, Orange County, California",59,92287,6,3610,52520,2249,309.52392187921794
