STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,113,15306,48113015306,153.06,Census Tract 153.06,G5020,S,4883622,13882,32.7922193,-96.9869556,1400000US48113015306,"Census Tract 153.06, Dallas County, Texas",113,68281,48,5205,15306,3152,305.1526361847376
48,113,15800,48113015800,158,Census Tract 158,G5020,S,13169335,624983,32.7570443,-96.9434900,1400000US48113015800,"Census Tract 158, Dallas County, Texas",113,38906,48,2368,15800,2118,303.51864882619657
48,113,14124,48113014124,141.24,Census Tract 141.24,G5020,S,11326634,37503,32.9177986,-96.9906614,1400000US48113014124,"Census Tract 141.24, Dallas County, Texas",113,150143,48,4072,14124,2335,307.44638308120875
48,113,14114,48113014114,141.14,Census Tract 141.14,G5020,S,403653,0,32.8612500,-96.9941523,1400000US48113014114,"Census Tract 141.14, Dallas County, Texas",113,37469,48,3440,14114,1065,308.4784195221496
48,113,15304,48113015304,153.04,Census Tract 153.04,G5020,S,16938243,170370,32.7852499,-97.0060890,1400000US48113015304,"Census Tract 153.04, Dallas County, Texas",113,49004,48,3897,15304,2710,306.3725618725304
48,113,14703,48113014703,147.03,Census Tract 147.03,G5020,S,758950,0,32.8187920,-96.9299676,1400000US48113014703,"Census Tract 147.03, Dallas County, Texas",113,39015,48,2076,14703,1371,307.1373467316023
48,113,14133,48113014133,141.33,Census Tract 141.33,G5020,S,3799928,0,32.8701043,-97.0029707,1400000US48113014133,"Census Tract 141.33, Dallas County, Texas",113,42401,48,4989,14133,1597,307.3162379129773
48,113,14136,48113014136,141.36,Census Tract 141.36,G5020,S,2693350,0,32.9010855,-96.9763565,1400000US48113014136,"Census Tract 141.36, Dallas County, Texas",113,70787,48,6586,14136,2034,307.09534808983904
48,113,14129,48113014129,141.29,Census Tract 141.29,G5020,S,2478836,4984,32.9219135,-96.9676747,1400000US48113014129,"Census Tract 141.29, Dallas County, Texas",113,99547,48,5246,14129,1221,307.9546592256948
48,113,14311,48113014311,143.11,Census Tract 143.11,G5020,S,903478,0,32.8807244,-96.9689295,1400000US48113014311,"Census Tract 143.11, Dallas County, Texas",113,71569,48,5140,14311,796,306.8142625498988
48,113,14127,48113014127,141.27,Census Tract 141.27,G5020,S,6477577,3137517,32.9326897,-96.9781163,1400000US48113014127,"Census Tract 141.27, Dallas County, Texas",113,93555,48,9734,14127,2250,307.49928542772454
48,113,20100,48113020100,201,Census Tract 201,G5020,S,12877881,176575,32.8211903,-96.9125532,1400000US48113020100,"Census Tract 201, Dallas County, Texas",113,42153,48,2384,20100,1808,306.72338504571474
48,113,14128,48113014128,141.28,Census Tract 141.28,G5020,S,1125073,5329,32.9342794,-96.9594948,1400000US48113014128,"Census Tract 141.28, Dallas County, Texas",113,82212,48,3735,14128,1315,307.0245820986508
48,113,9900,48113009900,99,Census Tract 99,G5020,S,23368816,1149324,32.8842740,-96.9082058,1400000US48113009900,"Census Tract 99, Dallas County, Texas",113,56111,48,3144,9900,1733,301.29405477761054
48,113,10000,48113010000,100,Census Tract 100,G5020,S,31399006,463801,32.8114428,-96.8620144,1400000US48113010000,"Census Tract 100, Dallas County, Texas",113,63362,48,10448,10000,4662,305.24241240275916
48,113,14308,48113014308,143.08,Census Tract 143.08,G5020,S,1076264,0,32.8436057,-96.9549971,1400000US48113014308,"Census Tract 143.08, Dallas County, Texas",113,38373,48,3766,14308,2624,307.96014899455145
48,113,14603,48113014603,146.03,Census Tract 146.03,G5020,S,1163570,0,32.8223203,-96.9464697,1400000US48113014603,"Census Tract 146.03, Dallas County, Texas",113,44167,48,1617,14603,1056,307.9195191206011
48,113,14601,48113014601,146.01,Census Tract 146.01,G5020,S,1159787,0,32.8332260,-96.9517685,1400000US48113014601,"Census Tract 146.01, Dallas County, Texas",113,48906,48,2490,14601,1830,306.98033329553533
