STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
12,31,14410,12031014410,144.10,Census Tract 144.10,G5020,S,9230980,161997,30.2683249,-81.4499542,1400000US12031014410,"Census Tract 144.10, Duval County, Florida",31,75854,12,7437,14410,6505,301.4353034171098
12,31,16604,12031016604,166.04,Census Tract 166.04,G5020,S,2800609,166865,30.2395921,-81.6182015,1400000US12031016604,"Census Tract 166.04, Duval County, Florida",31,48304,12,4702,16604,4016,303.102757106147
12,31,14331,12031014331,143.31,Census Tract 143.31,G5020,S,3179443,59607,30.2981117,-81.4500884,1400000US12031014331,"Census Tract 143.31, Duval County, Florida",31,52443,12,4862,14331,4304,303.0879185119457
12,31,15802,12031015802,158.02,Census Tract 158.02,G5020,S,3715949,133623,30.3063900,-81.5638810,1400000US12031015802,"Census Tract 158.02, Duval County, Florida",31,41207,12,7568,15802,4161,304.07250475481806
12,31,13906,12031013906,139.06,Census Tract 139.06,G5020,S,5003417,265678,30.3511628,-81.4069546,1400000US12031013906,"Census Tract 139.06, Duval County, Florida",31,81591,12,4294,13906,3920,300.5037198758512
12,31,15924,12031015924,159.24,Census Tract 159.24,G5020,S,5720046,76165,30.2708678,-81.5853389,1400000US12031015924,"Census Tract 159.24, Duval County, Florida",31,55645,12,5046,15924,3786,302.5571138423679
12,31,17200,12031017200,172,Census Tract 172,G5020,S,3289017,461710,30.3303596,-81.6639688,1400000US12031017200,"Census Tract 172, Duval County, Florida",31,38950,12,2060,17200,919,305.2816692143334
12,31,10402,12031010402,104.02,Census Tract 104.02,G5020,S,6798762,1413225,30.4183421,-81.6626237,1400000US12031010402,"Census Tract 104.02, Duval County, Florida",31,32512,12,4222,10402,1304,300.7320555248226
12,31,12704,12031012704,127.04,Census Tract 127.04,G5020,S,2998680,84073,30.2569480,-81.7779581,1400000US12031012704,"Census Tract 127.04, Duval County, Florida",31,48879,12,5633,12704,1906,303.7323141433795
12,31,13403,12031013403,134.03,Census Tract 134.03,G5020,S,2307112,532434,30.2588304,-81.7335148,1400000US12031013403,"Census Tract 134.03, Duval County, Florida",31,35484,12,3127,13403,1640,303.1404162459803
12,31,10500,12031010500,105,Census Tract 105,G5020,S,90622861,1428685,30.4644143,-81.7679652,1400000US12031010500,"Census Tract 105, Duval County, Florida",31,47461,12,16223,10500,4937,299.60479556617287
12,31,16200,12031016200,162,Census Tract 162,G5020,S,2484223,11697,30.2761195,-81.6236125,1400000US12031016200,"Census Tract 162, Duval County, Florida",31,35060,12,2081,16200,1357,303.55959216444705
12,31,10101,12031010101,101.01,Census Tract 101.01,G5020,S,26314975,152947,30.5070846,-81.5979896,1400000US12031010101,"Census Tract 101.01, Duval County, Florida",31,72539,12,6905,10101,4896,299.656479737426
12,31,14601,12031014601,146.01,Census Tract 146.01,G5020,S,11217553,16231431,30.3809604,-81.5471209,1400000US12031014601,"Census Tract 146.01, Duval County, Florida",31,99608,12,5777,14601,5071,299.03714185804154
12,31,12000,12031012000,120,Census Tract 120,G5020,S,5292011,5554,30.3102335,-81.7666953,1400000US12031012000,"Census Tract 120, Duval County, Florida",31,51211,12,4803,12000,3024,302.5295956348481
12,31,13502,12031013502,135.02,Census Tract 135.02,G5020,S,4339903,27314,30.2173254,-81.7776701,1400000US12031013502,"Census Tract 135.02, Duval County, Florida",31,52188,12,3571,13502,1687,301.3172216138056
12,31,14312,12031014312,143.12,Census Tract 143.12,G5020,S,5755069,55596,30.2910144,-81.5120863,1400000US12031014312,"Census Tract 143.12, Duval County, Florida",31,61250,12,7191,14312,5057,302.584625847535
12,31,10102,12031010102,101.02,Census Tract 101.02,G5020,S,99689156,16442813,30.4812475,-81.5061572,1400000US12031010102,"Census Tract 101.02, Duval County, Florida",31,73457,12,10152,10102,7695,299.19522705140537
12,31,990000,12031990000,9900,Census Tract 9900,G5020,S,0,161715554,30.3790534,-81.3635855,1400000US12031990000,"Census Tract 9900, Duval County, Florida",31,-666666666,12,0,990000,0,147.51709574377605
12,31,12300,12031012300,123,Census Tract 123,G5020,S,2680547,0,30.2949463,-81.7252802,1400000US12031012300,"Census Tract 123, Duval County, Florida",31,37976,12,3615,12300,2369,303.28409947821535
12,31,10600,12031010600,106,Census Tract 106,G5020,S,159128018,1155311,30.3823010,-81.8272828,1400000US12031010600,"Census Tract 106, Duval County, Florida",31,57469,12,5790,10600,4510,299.8958137388455
12,31,2901,12031002901,29.01,Census Tract 29.01,G5020,S,1661241,0,30.3603409,-81.6826576,1400000US12031002901,"Census Tract 29.01, Duval County, Florida",31,21486,12,3506,2901,56,302.7793253559162
12,31,15100,12031015100,151,Census Tract 151,G5020,S,2289397,9814,30.3418347,-81.5838052,1400000US12031015100,"Census Tract 151, Duval County, Florida",31,44464,12,4315,15100,2599,302.7701699769141
12,31,13504,12031013504,135.04,Census Tract 135.04,G5020,S,3447290,32607,30.2398284,-81.7846793,1400000US12031013504,"Census Tract 135.04, Duval County, Florida",31,44258,12,6195,13504,2698,304.7320728230366
12,31,10201,12031010201,102.01,Census Tract 102.01,G5020,S,19279018,1662723,30.4614260,-81.6085519,1400000US12031010201,"Census Tract 102.01, Duval County, Florida",31,57708,12,10178,10201,6888,300.40339443516825
12,31,10103,12031010103,101.03,Census Tract 101.03,G5020,S,115189284,47701132,30.4466749,-81.4862632,1400000US12031010103,"Census Tract 101.03, Duval County, Florida",31,85233,12,6338,10103,4821,298.713234167535
12,31,15200,12031015200,152,Census Tract 152,G5020,S,1314049,53583,30.3465716,-81.5965045,1400000US12031015200,"Census Tract 152, Duval County, Florida",31,40000,12,3177,15200,1884,303.0342562988816
12,31,10301,12031010301,103.01,Census Tract 103.01,G5020,S,131498159,2163780,30.5303592,-81.6816429,1400000US12031010301,"Census Tract 103.01, Duval County, Florida",31,61483,12,4959,10301,3180,298.7487418194262
