STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
34,17,2400,34017002400,24,Census Tract 24,G5020,S,159733,0,40.7265797,-74.0452695,1400000US34017002400,"Census Tract 24, Hudson County, New Jersey",17,117273,34,2586,2400,1853,302.82966769425724
34,17,5600,34017005600,56,Census Tract 56,G5020,S,231425,0,40.7059706,-74.0913631,1400000US34017005600,"Census Tract 56, Hudson County, New Jersey",17,46658,34,3736,5600,862,305.56395500896787
34,17,902,34017000902,9.02,Census Tract 9.02,G5020,S,519447,0,40.7399570,-74.0623685,1400000US34017000902,"Census Tract 9.02, Hudson County, New Jersey",17,52231,34,6161,902,2151,304.70503623199875
34,17,4300,34017004300,43,Census Tract 43,G5020,S,220217,0,40.7164541,-74.0709263,1400000US34017004300,"Census Tract 43, Hudson County, New Jersey",17,61979,34,2324,4300,589,305.2109980681472
34,17,1400,34017001400,14,Census Tract 14,G5020,S,234502,0,40.7344942,-74.0521021,1400000US34017001400,"Census Tract 14, Hudson County, New Jersey",17,62775,34,4453,1400,2081,304.77374272259084
34,17,100,34017000100,1,Census Tract 1,G5020,S,516711,0,40.7560063,-74.0515237,1400000US34017000100,"Census Tract 1, Hudson County, New Jersey",17,63620,34,6836,100,1915,304.43886259626635
34,17,400,34017000400,4,Census Tract 4,G5020,S,463962,0,40.7497710,-74.0584537,1400000US34017000400,"Census Tract 4, Hudson County, New Jersey",17,55613,34,3754,400,970,304.302170502859
34,17,500,34017000500,5,Census Tract 5,G5020,S,219021,0,40.7499138,-74.0513531,1400000US34017000500,"Census Tract 5, Hudson County, New Jersey",17,57721,34,4583,500,1946,304.96389561566957
34,17,700,34017000700,7,Census Tract 7,G5020,S,230533,0,40.7461481,-74.0469442,1400000US34017000700,"Census Tract 7, Hudson County, New Jersey",17,63325,34,3280,700,1625,305.0998625313102
34,17,800,34017000800,8,Census Tract 8,G5020,S,331447,0,40.7440854,-74.0440269,1400000US34017000800,"Census Tract 8, Hudson County, New Jersey",17,64189,34,3943,800,1769,304.1472211703625
34,17,1100,34017001100,11,Census Tract 11,G5020,S,494130,47560,40.7406893,-74.0571410,1400000US34017001100,"Census Tract 11, Hudson County, New Jersey",17,66397,34,5354,1100,3020,303.78340254070173
34,17,1202,34017001202,12.02,Census Tract 12.02,G5020,S,231662,0,40.7322156,-74.0555134,1400000US34017001202,"Census Tract 12.02, Hudson County, New Jersey",17,50038,34,1608,1202,574,304.5099732672522
34,17,1300,34017001300,13,Census Tract 13,G5020,S,333376,0,40.7380931,-74.0469742,1400000US34017001300,"Census Tract 13, Hudson County, New Jersey",17,61838,34,2661,1300,1454,304.2761706489986
34,17,1800,34017001800,18,Census Tract 18,G5020,S,212933,0,40.7343941,-74.0699820,1400000US34017001800,"Census Tract 18, Hudson County, New Jersey",17,26947,34,4227,1800,1864,305.20650966092063
34,17,1900,34017001900,19,Census Tract 19,G5020,S,230989,0,40.7333233,-74.0621577,1400000US34017001900,"Census Tract 19, Hudson County, New Jersey",17,56597,34,1383,1900,247,305.20650966092063
34,17,2000,34017002000,20,Census Tract 20,G5020,S,308615,0,40.7307624,-74.0655919,1400000US34017002000,"Census Tract 20, Hudson County, New Jersey",17,48750,34,3632,2000,1662,305.5516462910606
34,17,2900,34017002900,29,Census Tract 29,G5020,S,204919,0,40.7281670,-74.0694484,1400000US34017002900,"Census Tract 29, Hudson County, New Jersey",17,55069,34,3890,2900,1980,304.9751381739567
34,17,3000,34017003000,30,Census Tract 30,G5020,S,246255,0,40.7241318,-74.0670990,1400000US34017003000,"Census Tract 30, Hudson County, New Jersey",17,40156,34,3025,3000,1479,305.6210069038745
34,17,4101,34017004101,41.01,Census Tract 41.01,G5020,S,377048,0,40.7219777,-74.0762101,1400000US34017004101,"Census Tract 41.01, Hudson County, New Jersey",17,55495,34,6501,4101,2423,304.456926310199
34,17,4200,34017004200,42,Census Tract 42,G5020,S,297681,0,40.7178344,-74.0795516,1400000US34017004200,"Census Tract 42, Hudson County, New Jersey",17,40938,34,5435,4200,962,305.49792135922894
34,17,4400,34017004400,44,Census Tract 44,G5020,S,161415,0,40.7144211,-74.0765644,1400000US34017004400,"Census Tract 44, Hudson County, New Jersey",17,16600,34,2557,4400,64,306.1978971310056
34,17,4500,34017004500,45,Census Tract 45,G5020,S,388078,0,40.7112774,-74.0724572,1400000US34017004500,"Census Tract 45, Hudson County, New Jersey",17,33972,34,4236,4500,389,305.1571265291967
34,17,5300,34017005300,53,Census Tract 53,G5020,S,385159,0,40.7041087,-74.0756865,1400000US34017005300,"Census Tract 53, Hudson County, New Jersey",17,38500,34,3034,5300,543,305.82215925958326
34,17,5400,34017005400,54,Census Tract 54,G5020,S,1470578,1425589,40.7086175,-74.1042445,1400000US34017005400,"Census Tract 54, Hudson County, New Jersey",17,80223,34,7260,5400,839,305.3859202955822
34,17,5801,34017005801,58.01,Census Tract 58.01,G5020,S,448245,0,40.7000595,-74.0826251,1400000US34017005801,"Census Tract 58.01, Hudson County, New Jersey",17,34782,34,5940,5801,413,304.9773865639112
