STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
29,47,20604,29047020604,206.04,Census Tract 206.04,G5020,S,4664297,15866,39.1773626,-94.5135652,1400000US29047020604,"Census Tract 206.04, Clay County, Missouri",47,55669,29,5394,20604,4085,303.49248345010767
29,47,20901,29047020901,209.01,Census Tract 209.01,G5020,S,5482739,9163,39.1926537,-94.5350321,1400000US29047020901,"Census Tract 209.01, Clay County, Missouri",47,63214,29,5632,20901,4889,303.85715956153336
29,47,20902,29047020902,209.02,Census Tract 209.02,G5020,S,4210436,0,39.2052822,-94.5110928,1400000US29047020902,"Census Tract 209.02, Clay County, Missouri",47,65568,29,2185,20902,1802,302.1758928804519
29,47,21205,29047021205,212.05,Census Tract 212.05,G5020,S,13980824,15983,39.2560738,-94.5425055,1400000US29047021205,"Census Tract 212.05, Clay County, Missouri",47,92021,29,7661,21205,6646,303.0239778755172
29,47,21204,29047021204,212.04,Census Tract 212.04,G5020,S,3082325,10322,39.2081244,-94.5932301,1400000US29047021204,"Census Tract 212.04, Clay County, Missouri",47,54724,29,5118,21204,3458,304.06344515185765
29,95,300,29095000300,3,Census Tract 3,G5020,S,1447988,247848,39.1138332,-94.5732850,1400000US29095000300,"Census Tract 3, Jackson County, Missouri",95,29000,29,1445,300,842,305.4531329632928
29,95,800,29095000800,8,Census Tract 8,G5020,S,1226170,0,39.1126620,-94.5324471,1400000US29095000800,"Census Tract 8, Jackson County, Missouri",95,38272,29,3521,800,1562,305.67803283664233
29,95,900,29095000900,9,Census Tract 9,G5020,S,1403883,0,39.1127311,-94.5423930,1400000US29095000900,"Census Tract 9, Jackson County, Missouri",95,25324,29,2378,900,1045,305.09649324228985
29,95,600,29095000600,6,Census Tract 6,G5020,S,1333071,0,39.1128996,-94.5139233,1400000US29095000600,"Census Tract 6, Jackson County, Missouri",95,23839,29,3921,600,1778,306.45702612565674
29,95,700,29095000700,7,Census Tract 7,G5020,S,1314365,0,39.1127296,-94.5233086,1400000US29095000700,"Census Tract 7, Jackson County, Missouri",95,37292,29,3396,700,1748,306.51145338373044
29,95,1800,29095001800,18,Census Tract 18,G5020,S,991531,0,39.1023472,-94.5443124,1400000US29095001800,"Census Tract 18, Jackson County, Missouri",95,21952,29,2559,1800,975,306.37923215949473
29,95,1900,29095001900,19,Census Tract 19,G5020,S,1733458,0,39.1017943,-94.5253223,1400000US29095001900,"Census Tract 19, Jackson County, Missouri",95,24639,29,3228,1900,1699,307.12850606707116
29,95,10600,29095010600,106,Census Tract 106,G5020,S,3589275,0,39.0322207,-94.4589272,1400000US29095010600,"Census Tract 106, Jackson County, Missouri",95,57031,29,3362,10600,2227,303.48679458860636
29,95,2000,29095002000,20,Census Tract 20,G5020,S,1812372,67793,39.0988433,-94.4997833,1400000US29095002000,"Census Tract 20, Jackson County, Missouri",95,32941,29,2236,2000,811,305.82662565088293
29,95,2100,29095002100,21,Census Tract 21,G5020,S,3661732,62833,39.0918318,-94.5023035,1400000US29095002100,"Census Tract 21, Jackson County, Missouri",95,20547,29,4253,2100,1721,305.2917618296715
29,95,2200,29095002200,22,Census Tract 22,G5020,S,1751784,0,39.0907451,-94.5212250,1400000US29095002200,"Census Tract 22, Jackson County, Missouri",95,18802,29,2238,2200,724,304.7410837139935
29,95,4300,29095004300,43,Census Tract 43,G5020,S,1217302,0,39.0777891,-94.5753800,1400000US29095004300,"Census Tract 43, Jackson County, Missouri",95,31821,29,2345,4300,1546,307.900847008997
29,95,4400,29095004400,44,Census Tract 44,G5020,S,1741919,4803,39.0783348,-94.5868188,1400000US29095004400,"Census Tract 44, Jackson County, Missouri",95,73009,29,1255,4400,1041,306.31918687132816
29,95,3400,29095003400,34,Census Tract 34,G5020,S,1280229,0,39.0798107,-94.5247053,1400000US29095003400,"Census Tract 34, Jackson County, Missouri",95,21924,29,2360,3400,580,305.2917618296715
29,95,3700,29095003700,37,Census Tract 37,G5020,S,664559,0,39.0806721,-94.5476941,1400000US29095003700,"Census Tract 37, Jackson County, Missouri",95,21635,29,807,3700,132,305.5986367080573
29,95,4600,29095004600,46,Census Tract 46,G5020,S,1713772,0,39.0644718,-94.6011484,1400000US29095004600,"Census Tract 46, Jackson County, Missouri",95,51392,29,2472,4600,2058,304.9751381739567
29,95,5100,29095005100,51,Census Tract 51,G5020,S,725907,0,39.0590236,-94.5789709,1400000US29095005100,"Census Tract 51, Jackson County, Missouri",95,63201,29,1758,5100,1184,305.8344414533064
29,95,5300,29095005300,53,Census Tract 53,G5020,S,640113,0,39.0595061,-94.5672804,1400000US29095005300,"Census Tract 53, Jackson County, Missouri",95,41250,29,1427,5300,386,306.2379690428999
29,95,5400,29095005400,54,Census Tract 54,G5020,S,645712,0,39.0664004,-94.5576496,1400000US29095005400,"Census Tract 54, Jackson County, Missouri",95,16887,29,755,5400,59,306.6413175597958
29,95,5500,29095005500,55,Census Tract 55,G5020,S,640286,0,39.0591840,-94.5580232,1400000US29095005500,"Census Tract 55, Jackson County, Missouri",95,35816,29,816,5500,112,306.3636676077739
29,95,6700,29095006700,67,Census Tract 67,G5020,S,487808,0,39.0527105,-94.5828122,1400000US29095006700,"Census Tract 67, Jackson County, Missouri",95,40640,29,1920,6700,1485,306.6413175597958
