STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
32,3,3307,32003003307,33.07,Census Tract 33.07,G5020,S,2734969,0,36.2686888,-115.2161055,1400000US32003003307,"Census Tract 33.07, Clark County, Nevada",3,76875,32,6663,3307,4569,318.7054117535921
32,3,3310,32003003310,33.10,Census Tract 33.10,G5020,S,7063715,0,36.2953450,-115.2370922,1400000US32003003310,"Census Tract 33.10, Clark County, Nevada",3,120136,32,5201,3310,4055,318.9432984568717
32,3,3247,32003003247,32.47,Census Tract 32.47,G5020,S,1447284,0,36.2123521,-115.2660111,1400000US32003003247,"Census Tract 32.47, Clark County, Nevada",3,76161,32,3724,3247,2519,316.63748253549954
32,3,1501,32003001501,15.01,Census Tract 15.01,G5020,S,1009466,0,36.1544766,-115.1061773,1400000US32003001501,"Census Tract 15.01, Clark County, Nevada",3,21553,32,3006,1501,1047,320.7312256287525
32,3,528,32003000528,5.28,Census Tract 5.28,G5020,S,584321,0,36.1857512,-115.0852041,1400000US32003000528,"Census Tract 5.28, Clark County, Nevada",3,30680,32,3469,528,2148,320.1207100823359
32,3,1402,32003001402,14.02,Census Tract 14.02,G5020,S,1746950,0,36.1478775,-115.1156417,1400000US32003001402,"Census Tract 14.02, Clark County, Nevada",3,43483,32,4656,1402,2482,321.5398690432857
32,3,3431,32003003431,34.31,Census Tract 34.31,G5020,S,749215,0,36.1924474,-115.1842582,1400000US32003003431,"Census Tract 34.31, Clark County, Nevada",3,33644,32,3356,3431,1424,321.0245399729146
32,3,107,32003000107,1.07,Census Tract 1.07,G5020,S,1248432,0,36.1626780,-115.2149023,1400000US32003000107,"Census Tract 1.07, Clark County, Nevada",3,34622,32,3621,107,2083,321.06639276920146
32,3,3430,32003003430,34.30,Census Tract 34.30,G5020,S,642547,0,36.1920514,-115.1743530,1400000US32003003430,"Census Tract 34.30, Clark County, Nevada",3,26938,32,2796,3430,1221,320.31716243651266
32,3,3616,32003003616,36.16,Census Tract 36.16,G5020,S,8744658,0,36.2077284,-115.1827474,1400000US32003003616,"Census Tract 36.16, Clark County, Nevada",3,33125,32,4720,3616,1704,320.1417715906951
32,3,401,32003000401,4.01,Census Tract 4.01,G5020,S,933886,0,36.1820491,-115.1381920,1400000US32003000401,"Census Tract 4.01, Clark County, Nevada",3,17649,32,2354,401,1048,321.0972762420567
