STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
21,67,400,21067000400,4,Census Tract 4,G5020,S,1185662,0,38.0453406,-84.4752004,1400000US21067000400,"Census Tract 4, Fayette County, Kentucky",67,20104,21,1929,400,857,305.231193904584
21,67,600,21067000600,6,Census Tract 6,G5020,S,2170592,0,38.0277747,-84.4853562,1400000US21067000600,"Census Tract 6, Fayette County, Kentucky",67,89056,21,4410,600,4387,303.67211620440463
21,67,700,21067000700,7,Census Tract 7,G5020,S,819394,0,38.0289770,-84.4940355,1400000US21067000700,"Census Tract 7, Fayette County, Kentucky",67,23950,21,2380,700,1918,304.9144163043896
21,67,801,21067000801,8.01,Census Tract 8.01,G5020,S,917228,0,38.0297569,-84.5030468,1400000US21067000801,"Census Tract 8.01, Fayette County, Kentucky",67,23056,21,3419,801,2800,305.6634992780155
21,67,802,21067000802,8.02,Census Tract 8.02,G5020,S,991303,0,38.0374221,-84.5010117,1400000US21067000802,"Census Tract 8.02, Fayette County, Kentucky",67,17900,21,4516,802,3555,305.5785001163063
21,67,4001,21067004001,40.01,Census Tract 40.01,G5020,S,2476705,7775,37.9733047,-84.4869905,1400000US21067004001,"Census Tract 40.01, Fayette County, Kentucky",67,40247,21,6354,4001,4520,304.67348611013557
21,67,2200,21067002200,22,Census Tract 22,G5020,S,1099267,0,38.0695855,-84.5223829,1400000US21067002200,"Census Tract 22, Fayette County, Kentucky",67,49583,21,1660,2200,1154,304.28182325530867
21,67,3802,21067003802,38.02,Census Tract 38.02,G5020,S,136265416,598096,38.1402904,-84.4616096,1400000US21067003802,"Census Tract 38.02, Fayette County, Kentucky",67,51780,21,2059,3802,1750,300.557347881674
21,67,900,21067000900,9,Census Tract 9,G5020,S,2200384,0,38.0438658,-84.5134565,1400000US21067000900,"Census Tract 9, Fayette County, Kentucky",67,14690,21,5954,900,4147,306.2413077935398
21,67,1100,21067001100,11,Census Tract 11,G5020,S,3165950,0,38.0665878,-84.5073814,1400000US21067001100,"Census Tract 11, Fayette County, Kentucky",67,26776,21,5132,1100,1562,304.4817596235957
21,67,1300,21067001300,13,Census Tract 13,G5020,S,2866291,0,38.0665335,-84.4861425,1400000US21067001300,"Census Tract 13, Fayette County, Kentucky",67,24375,21,1860,1300,1321,305.45537276380816
21,67,3908,21067003908,39.08,Census Tract 39.08,G5020,S,6590507,0,38.0288713,-84.4304013,1400000US21067003908,"Census Tract 39.08, Fayette County, Kentucky",67,87045,21,4807,3908,3773,304.2693871809457
21,67,3909,21067003909,39.09,Census Tract 39.09,G5020,S,3460719,0,38.0223234,-84.4419299,1400000US21067003909,"Census Tract 39.09, Fayette County, Kentucky",67,50129,21,3277,3909,2366,304.7500939521642
21,67,3910,21067003910,39.10,Census Tract 39.10,G5020,S,830119,0,38.0145674,-84.4522365,1400000US21067003910,"Census Tract 39.10, Fayette County, Kentucky",67,39286,21,2376,3910,1243,305.8109925860177
21,67,3911,21067003911,39.11,Census Tract 39.11,G5020,S,1684046,3850,38.0062836,-84.4410332,1400000US21067003911,"Census Tract 39.11, Fayette County, Kentucky",67,40377,21,3840,3911,2476,305.9438116419177
21,67,2002,21067002002,20.02,Census Tract 20.02,G5020,S,1160114,0,38.0515434,-84.5562572,1400000US21067002002,"Census Tract 20.02, Fayette County, Kentucky",67,53237,21,2717,2002,1694,304.1743795931366
21,67,2001,21067002001,20.01,Census Tract 20.01,G5020,S,1990377,20769,38.0520226,-84.5417675,1400000US21067002001,"Census Tract 20.01, Fayette County, Kentucky",67,26385,21,5479,2001,2719,304.16080112673205
21,67,3503,21067003503,35.03,Census Tract 35.03,G5020,S,724703,2500,37.9892412,-84.5028185,1400000US21067003503,"Census Tract 35.03, Fayette County, Kentucky",67,38472,21,2540,3503,1853,305.15488137716
21,67,3504,21067003504,35.04,Census Tract 35.04,G5020,S,1154214,1419,37.9822017,-84.4999801,1400000US21067003504,"Census Tract 35.04, Fayette County, Kentucky",67,33326,21,3815,3504,2359,304.8063931600698
21,67,101,21067000101,1.01,Census Tract 1.01,G5020,S,1302425,0,38.0449391,-84.4943756,1400000US21067000101,"Census Tract 1.01, Fayette County, Kentucky",67,22540,21,3404,101,2493,307.22240666804237
21,67,3912,21067003912,39.12,Census Tract 39.12,G5020,S,3994720,137199,37.9998283,-84.4287386,1400000US21067003912,"Census Tract 39.12, Fayette County, Kentucky",67,58894,21,4574,3912,3294,303.20999817772116
21,67,4208,21067004208,42.08,Census Tract 42.08,G5020,S,8323001,0,38.0265568,-84.5719841,1400000US21067004208,"Census Tract 42.08, Fayette County, Kentucky",67,96139,21,7212,4208,5315,302.9565757397023
21,67,3913,21067003913,39.13,Census Tract 39.13,G5020,S,7610968,110553,37.9835416,-84.4061501,1400000US21067003913,"Census Tract 39.13, Fayette County, Kentucky",67,103939,21,7541,3913,6405,301.6872884543432
21,67,1400,21067001400,14,Census Tract 14,G5020,S,1147549,0,38.0581840,-84.4727474,1400000US21067001400,"Census Tract 14, Fayette County, Kentucky",67,25281,21,2419,1400,1812,303.8287966935348
21,67,1500,21067001500,15,Census Tract 15,G5020,S,1968322,0,38.0498129,-84.4630916,1400000US21067001500,"Census Tract 15, Fayette County, Kentucky",67,32865,21,2237,1500,1846,304.25581913030067
21,67,1600,21067001600,16,Census Tract 16,G5020,S,1925883,0,38.0366984,-84.4614781,1400000US21067001600,"Census Tract 16, Fayette County, Kentucky",67,34526,21,2366,1600,1931,304.6757399558315
21,67,1700,21067001700,17,Census Tract 17,G5020,S,2424935,7525,38.0260037,-84.4606385,1400000US21067001700,"Census Tract 17, Fayette County, Kentucky",67,60194,21,2180,1700,1909,303.4458270187813
21,67,200,21067000200,2,Census Tract 2,G5020,S,1572619,0,38.0575858,-84.4910592,1400000US21067000200,"Census Tract 2, Fayette County, Kentucky",67,24692,21,3932,200,2429,304.8491635295679
21,67,500,21067000500,5,Census Tract 5,G5020,S,1544290,0,38.0361972,-84.4785282,1400000US21067000500,"Census Tract 5, Fayette County, Kentucky",67,62731,21,3651,500,3336,304.6205089667365
21,67,300,21067000300,3,Census Tract 3,G5020,S,1082810,0,38.0506956,-84.4837653,1400000US21067000300,"Census Tract 3, Fayette County, Kentucky",67,27326,21,2924,300,971,305.0156029889194
21,67,4105,21067004105,41.05,Census Tract 41.05,G5020,S,2259296,0,37.9677345,-84.5171748,1400000US21067004105,"Census Tract 41.05, Fayette County, Kentucky",67,70682,21,4939,4105,4463,304.8041416807911
21,67,4106,21067004106,41.06,Census Tract 41.06,G5020,S,2587130,0,37.9597453,-84.5175324,1400000US21067004106,"Census Tract 41.06, Fayette County, Kentucky",67,100997,21,4646,4106,3999,304.049854502738
21,67,4103,21067004103,41.03,Census Tract 41.03,G5020,S,807208,0,37.9798721,-84.5245054,1400000US21067004103,"Census Tract 41.03, Fayette County, Kentucky",67,44783,21,1496,4103,1153,305.48896496211006
21,67,3701,21067003701,37.01,Census Tract 37.01,G5020,S,83180935,341041,38.0890362,-84.5765604,1400000US21067003701,"Census Tract 37.01, Fayette County, Kentucky",67,89107,21,3446,3701,2293,300.79954108196813
21,67,3917,21067003917,39.17,Census Tract 39.17,G5020,S,9545075,0,38.0574663,-84.4255244,1400000US21067003917,"Census Tract 39.17, Fayette County, Kentucky",67,65385,21,1423,3917,864,299.6964021416603
21,67,4007,21067004007,40.07,Census Tract 40.07,G5020,S,103967697,1298870,37.9176708,-84.3914406,1400000US21067004007,"Census Tract 40.07, Fayette County, Kentucky",67,62067,21,1781,4007,1727,299.71753211457644
21,67,4006,21067004006,40.06,Census Tract 40.06,G5020,S,3309420,0,37.9471758,-84.4744081,1400000US21067004006,"Census Tract 40.06, Fayette County, Kentucky",67,148214,21,1140,4006,1045,300.89256249742385
21,67,4005,21067004005,40.05,Census Tract 40.05,G5020,S,3329046,0,37.9543667,-84.4637394,1400000US21067004005,"Census Tract 40.05, Fayette County, Kentucky",67,125250,21,1820,4005,1764,300.9634430312868
21,67,3918,21067003918,39.18,Census Tract 39.18,G5020,S,149130267,533149,38.0398418,-84.3445527,1400000US21067003918,"Census Tract 39.18, Fayette County, Kentucky",67,89318,21,3242,3918,2913,299.06783160387636
21,67,4209,21067004209,42.09,Census Tract 42.09,G5020,S,1676130,0,37.9795386,-84.5605615,1400000US21067004209,"Census Tract 42.09, Fayette County, Kentucky",67,81518,21,4397,4209,3992,304.9144163043896
21,67,3915,21067003915,39.15,Census Tract 39.15,G5020,S,3055987,0,38.0157176,-84.3942824,1400000US21067003915,"Census Tract 39.15, Fayette County, Kentucky",67,107155,21,3465,3915,2832,302.3850231185706
21,67,3916,21067003916,39.16,Census Tract 39.16,G5020,S,3603975,0,38.0289410,-84.3913688,1400000US21067003916,"Census Tract 39.16, Fayette County, Kentucky",67,131250,21,521,3916,487,300.0387156721415
21,67,4003,21067004003,40.03,Census Tract 40.03,G5020,S,2132877,0,37.9637059,-84.4837785,1400000US21067004003,"Census Tract 40.03, Fayette County, Kentucky",67,53137,21,5550,4003,4748,304.4320880253812
21,67,3406,21067003406,34.06,Census Tract 34.06,G5020,S,4411819,138045,37.9677415,-84.4533261,1400000US21067003406,"Census Tract 34.06, Fayette County, Kentucky",67,56903,21,6688,3406,5281,303.42533811615897
21,67,102,21067000102,1.02,Census Tract 1.02,G5020,S,788683,0,38.0517032,-84.5025403,1400000US21067000102,"Census Tract 1.02, Fayette County, Kentucky",67,30521,21,1755,102,1408,306.7477732220367
21,67,3704,21067003704,37.04,Census Tract 37.04,G5020,S,9670030,9568,38.0895867,-84.5251608,1400000US21067003704,"Census Tract 37.04, Fayette County, Kentucky",67,82375,21,4686,3704,3396,303.17236039212884
21,67,3600,21067003600,36,Census Tract 36,G5020,S,4176766,9032,37.9995176,-84.5588044,1400000US21067003600,"Census Tract 36, Fayette County, Kentucky",67,87402,21,4397,3600,3983,303.7255007576738
21,67,3906,21067003906,39.06,Census Tract 39.06,G5020,S,3090159,0,38.0088999,-84.4106049,1400000US21067003906,"Census Tract 39.06, Fayette County, Kentucky",67,91917,21,4505,3906,3888,303.5891538875104
21,67,4210,21067004210,42.10,Census Tract 42.10,G5020,S,2829038,0,37.9733468,-84.5427945,1400000US21067004210,"Census Tract 42.10, Fayette County, Kentucky",67,72050,21,4908,4210,3954,304.0249344319127
21,67,2700,21067002700,27,Census Tract 27,G5020,S,2755606,0,37.9982621,-84.5087225,1400000US21067002700,"Census Tract 27, Fayette County, Kentucky",67,43929,21,4101,2700,3491,304.2965188248258
21,67,2800,21067002800,28,Census Tract 28,G5020,S,3296863,0,38.0081205,-84.5262571,1400000US21067002800,"Census Tract 28, Fayette County, Kentucky",67,70357,21,4051,2800,3625,305.0358304718826
21,67,2900,21067002900,29,Census Tract 29,G5020,S,3179555,0,38.0149524,-84.5392159,1400000US21067002900,"Census Tract 29, Fayette County, Kentucky",67,57372,21,4706,2900,4178,304.36432195620046
21,67,3000,21067003000,30,Census Tract 30,G5020,S,4475179,29311,38.0298935,-84.5564635,1400000US21067003000,"Census Tract 30, Fayette County, Kentucky",67,40236,21,5812,3000,4571,304.4998170943514
21,67,3101,21067003101,31.01,Census Tract 31.01,G5020,S,2864795,0,38.0869336,-84.4543698,1400000US21067003101,"Census Tract 31.01, Fayette County, Kentucky",67,33816,21,2571,3101,2022,302.52271511335033
21,67,3102,21067003102,31.02,Census Tract 31.02,G5020,S,2107518,0,38.0765972,-84.4663037,1400000US21067003102,"Census Tract 31.02, Fayette County, Kentucky",67,45775,21,2520,3102,1256,304.2965188248258
21,67,3300,21067003300,33,Census Tract 33,G5020,S,3301599,24631,38.0445480,-84.4370763,1400000US21067003300,"Census Tract 33, Fayette County, Kentucky",67,50602,21,2807,3300,1926,303.99774316922515
21,67,3402,21067003402,34.02,Census Tract 34.02,G5020,S,2099418,0,38.0006244,-84.4559829,1400000US21067003402,"Census Tract 34.02, Fayette County, Kentucky",67,37059,21,5194,3402,2991,304.745588914668
21,67,3404,21067003404,34.04,Census Tract 34.04,G5020,S,2113624,13335,37.9843262,-84.4842113,1400000US21067003404,"Census Tract 34.04, Fayette County, Kentucky",67,28036,21,4148,3404,2367,303.89799064590125
21,67,3405,21067003405,34.05,Census Tract 34.05,G5020,S,3121097,1723,37.9860633,-84.4710955,1400000US21067003405,"Census Tract 34.05, Fayette County, Kentucky",67,56020,21,5752,3405,3952,303.6641633348335
21,67,3407,21067003407,34.07,Census Tract 34.07,G5020,S,3432809,654624,37.9804302,-84.4379873,1400000US21067003407,"Census Tract 34.07, Fayette County, Kentucky",67,60346,21,3786,3407,2570,301.5301483566214
21,67,3501,21067003501,35.01,Census Tract 35.01,G5020,S,1822265,0,37.9874441,-84.5158504,1400000US21067003501,"Census Tract 35.01, Fayette County, Kentucky",67,38255,21,3587,3501,3027,304.6622162686028
21,67,3702,21067003702,37.02,Census Tract 37.02,G5020,S,5606425,44829,38.0701522,-84.5454698,1400000US21067003702,"Census Tract 37.02, Fayette County, Kentucky",67,60298,21,4627,3702,3162,303.4640365118951
21,67,2304,21067002304,23.04,Census Tract 23.04,G5020,S,2115288,114033,38.0109529,-84.4831908,1400000US21067002304,"Census Tract 23.04, Fayette County, Kentucky",67,163542,21,2161,2304,2114,302.81365192468513
21,67,2303,21067002303,23.03,Census Tract 23.03,G5020,S,3254442,577993,38.0105585,-84.4686780,1400000US21067002303,"Census Tract 23.03, Fayette County, Kentucky",67,69648,21,4604,2303,3766,302.8067873815372
21,67,4104,21067004104,41.04,Census Tract 41.04,G5020,S,2016786,8642,37.9770488,-84.5111554,1400000US21067004104,"Census Tract 41.04, Fayette County, Kentucky",67,44403,21,4732,4104,3759,304.8649173304496
21,67,2400,21067002400,24,Census Tract 24,G5020,S,4407436,0,38.0138872,-84.5045036,1400000US21067002400,"Census Tract 24, Fayette County, Kentucky",67,64361,21,4231,2400,3745,303.70278675224773
21,67,2500,21067002500,25,Census Tract 25,G5020,S,2115736,0,38.0253303,-84.5218387,1400000US21067002500,"Census Tract 25, Fayette County, Kentucky",67,41653,21,3709,2500,3602,304.1110006652951
21,67,2600,21067002600,26,Census Tract 26,G5020,S,2920201,9526,38.0381403,-84.5404145,1400000US21067002600,"Census Tract 26, Fayette County, Kentucky",67,44295,21,5200,2600,4512,304.3123428737581
21,67,4107,21067004107,41.07,Census Tract 41.07,G5020,S,2857378,27108,37.9577907,-84.4941328,1400000US21067004107,"Census Tract 41.07, Fayette County, Kentucky",67,90710,21,5281,4107,4558,303.67666047088926
21,67,3703,21067003703,37.03,Census Tract 37.03,G5020,S,3096188,0,38.0930935,-84.5442585,1400000US21067003703,"Census Tract 37.03, Fayette County, Kentucky",67,76786,21,5270,3703,4266,304.8919192097404
21,67,3804,21067003804,38.04,Census Tract 38.04,G5020,S,3629085,0,38.0823112,-84.4796230,1400000US21067003804,"Census Tract 38.04, Fayette County, Kentucky",67,31297,21,5807,3804,917,304.12911224328093
21,67,3201,21067003201,32.01,Census Tract 32.01,G5020,S,1982608,0,38.0673862,-84.4587094,1400000US21067003201,"Census Tract 32.01, Fayette County, Kentucky",67,49423,21,2000,3201,1673,303.1175939051722
21,67,3202,21067003202,32.02,Census Tract 32.02,G5020,S,3028168,0,38.0575881,-84.4492652,1400000US21067003202,"Census Tract 32.02, Fayette County, Kentucky",67,35419,21,5705,3202,4410,304.9414074556237
21,67,4204,21067004204,42.04,Census Tract 42.04,G5020,S,5937611,0,37.9898947,-84.5399999,1400000US21067004204,"Census Tract 42.04, Fayette County, Kentucky",67,71758,21,5637,4204,5026,304.82440352808186
21,67,4205,21067004205,42.05,Census Tract 42.05,G5020,S,3689266,16697,37.9899523,-84.5774907,1400000US21067004205,"Census Tract 42.05, Fayette County, Kentucky",67,99936,21,6486,4205,5875,304.3010401878753
21,67,3803,21067003803,38.03,Census Tract 38.03,G5020,S,8376442,56236,38.0979185,-84.4944095,1400000US21067003803,"Census Tract 38.03, Fayette County, Kentucky",67,62226,21,3502,3803,2028,302.6006716546306
21,67,1000,21067001000,10,Census Tract 10,G5020,S,4024146,17739,38.0588280,-84.5274925,1400000US21067001000,"Census Tract 10, Fayette County, Kentucky",67,33934,21,1717,1000,1200,304.38239652927905
21,67,4207,21067004207,42.07,Census Tract 42.07,G5020,S,34955031,106219,38.0138845,-84.6228669,1400000US21067004207,"Census Tract 42.07, Fayette County, Kentucky",67,110956,21,3997,4207,3589,299.9778275697149
21,67,3914,21067003914,39.14,Census Tract 39.14,G5020,S,1340777,0,38.0127453,-84.4025892,1400000US21067003914,"Census Tract 39.14, Fayette County, Kentucky",67,65263,21,2243,3914,1344,302.47568782910463
21,67,1800,21067001800,18,Census Tract 18,G5020,S,874033,0,38.0331196,-84.5153015,1400000US21067001800,"Census Tract 18, Fayette County, Kentucky",67,22571,21,3052,1800,2439,306.2980530225638
21,67,1900,21067001900,19,Census Tract 19,G5020,S,2300745,0,38.0423883,-84.5299518,1400000US21067001900,"Census Tract 19, Fayette County, Kentucky",67,22219,21,5016,1900,3002,304.06797503630406
21,67,2302,21067002302,23.02,Census Tract 23.02,G5020,S,3315827,74,37.9975054,-84.4837442,1400000US21067002302,"Census Tract 23.02, Fayette County, Kentucky",67,60922,21,5328,2302,4900,303.6528012021809
