STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
31,109,3717,31109003717,37.17,Census Tract 37.17,G5020,S,29927849,26042,40.8544018,-96.5782501,1400000US31109003717,"Census Tract 37.17, Lancaster County, Nebraska",109,78478,31,4026,3717,3739,303.11074637480294
31,109,1102,31109001102,11.02,Census Tract 11.02,G5020,S,1668904,0,40.8315857,-96.6181702,1400000US31109001102,"Census Tract 11.02, Lancaster County, Nebraska",109,54630,31,3782,1102,3673,304.4535395641668
31,109,3401,31109003401,34.01,Census Tract 34.01,G5020,S,9772370,31408,40.7952920,-96.7715464,1400000US31109003401,"Census Tract 34.01, Lancaster County, Nebraska",109,80488,31,5927,3401,4801,302.8777024291005
31,109,1002,31109001002,10.02,Census Tract 10.02,G5020,S,935461,0,40.8174012,-96.6465632,1400000US31109001002,"Census Tract 10.02, Lancaster County, Nebraska",109,39583,31,1686,1002,1405,306.27691562960194
31,109,3720,31109003720,37.20,Census Tract 37.20,G5020,S,20765589,0,40.7118733,-96.6442994,1400000US31109003720,"Census Tract 37.20, Lancaster County, Nebraska",109,126712,31,2622,3720,2545,302.2172878110274
31,109,3716,31109003716,37.16,Census Tract 37.16,G5020,S,2538243,0,40.7335535,-96.6728475,1400000US31109003716,"Census Tract 37.16, Lancaster County, Nebraska",109,98022,31,5461,3716,4741,305.2468995199209
31,109,3714,31109003714,37.14,Census Tract 37.14,G5020,S,7095448,0,40.7371496,-96.6285878,1400000US31109003714,"Census Tract 37.14, Lancaster County, Nebraska",109,110735,31,2964,3714,2777,304.0113395483124
31,109,2001,31109002001,20.01,Census Tract 20.01,G5020,S,543320,0,40.8041881,-96.6997015,1400000US31109002001,"Census Tract 20.01, Lancaster County, Nebraska",109,17183,31,2437,2001,1785,305.78083760395714
31,109,3713,31109003713,37.13,Census Tract 37.13,G5020,S,3179897,85552,40.7477466,-96.6215204,1400000US31109003713,"Census Tract 37.13, Lancaster County, Nebraska",109,124000,31,2554,3713,2419,303.2635835946024
31,109,3301,31109003301,33.01,Census Tract 33.01,G5020,S,4587899,1477299,40.8141537,-96.7435101,1400000US31109003301,"Census Tract 33.01, Lancaster County, Nebraska",109,54938,31,4500,3301,3676,303.7754568464244
31,109,3104,31109003104,31.04,Census Tract 31.04,G5020,S,3618034,0,40.8399269,-96.7295352,1400000US31109003104,"Census Tract 31.04, Lancaster County, Nebraska",109,44634,31,5838,3104,4504,304.1585379041538
31,109,3103,31109003103,31.03,Census Tract 31.03,G5020,S,2009219,0,40.8460005,-96.7164350,1400000US31109003103,"Census Tract 31.03, Lancaster County, Nebraska",109,44347,31,2714,3103,2079,303.901392626827
31,109,10201,31109010201,102.01,Census Tract 102.01,G5020,S,17398009,12670,40.8855710,-96.7295850,1400000US31109010201,"Census Tract 102.01, Lancaster County, Nebraska",109,74583,31,4633,10201,3868,303.7255007576738
31,109,3607,31109003607,36.07,Census Tract 36.07,G5020,S,2187514,0,40.7327308,-96.6917005,1400000US31109003607,"Census Tract 36.07, Lancaster County, Nebraska",109,70000,31,4342,3607,3495,305.45649264903244
31,109,3715,31109003715,37.15,Census Tract 37.15,G5020,S,2594573,0,40.7335777,-96.6538899,1400000US31109003715,"Census Tract 37.15, Lancaster County, Nebraska",109,111776,31,2505,3715,2181,305.03807776743906
31,109,3609,31109003609,36.09,Census Tract 36.09,G5020,S,2988840,0,40.7472233,-96.6922199,1400000US31109003609,"Census Tract 36.09, Lancaster County, Nebraska",109,105500,31,2497,3609,2291,303.68234056838065
31,109,1001,31109001001,10.01,Census Tract 10.01,G5020,S,1586778,0,40.8316248,-96.6420677,1400000US31109001001,"Census Tract 10.01, Lancaster County, Nebraska",109,51622,31,3023,1001,2716,303.9240701049069
31,109,3718,31109003718,37.18,Census Tract 37.18,G5020,S,20809294,0,40.7842336,-96.5869595,1400000US31109003718,"Census Tract 37.18, Lancaster County, Nebraska",109,122375,31,2617,3718,2532,303.23394348833614
31,109,2702,31109002702,27.02,Census Tract 27.02,G5020,S,3559398,0,40.7674167,-96.6611338,1400000US31109002702,"Census Tract 27.02, Lancaster County, Nebraska",109,60273,31,5828,2702,5122,304.1313760041131
31,109,2800,31109002800,28,Census Tract 28,G5020,S,3100544,0,40.7767225,-96.6951775,1400000US31109002800,"Census Tract 28, Lancaster County, Nebraska",109,56332,31,5407,2800,4826,304.0928864352166
31,109,3001,31109003001,30.01,Census Tract 30.01,G5020,S,5104049,0,40.8667339,-96.6947523,1400000US31109003001,"Census Tract 30.01, Lancaster County, Nebraska",109,53984,31,7247,3001,5775,304.7478414538123
31,109,3202,31109003202,32.02,Census Tract 32.02,G5020,S,2769888,4932,40.8552256,-96.7924881,1400000US31109003202,"Census Tract 32.02, Lancaster County, Nebraska",109,46638,31,3092,3202,2501,303.06965316140963
31,109,3601,31109003601,36.01,Census Tract 36.01,G5020,S,194262,0,40.7700166,-96.7038431,1400000US31109003601,"Census Tract 36.01, Lancaster County, Nebraska",109,-666666666,31,1269,3601,755,304.3281649022672
31,109,3605,31109003605,36.05,Census Tract 36.05,G5020,S,5969510,0,40.7612224,-96.7039906,1400000US31109003605,"Census Tract 36.05, Lancaster County, Nebraska",109,62536,31,3716,3605,3235,303.84354619833175
31,109,3704,31109003704,37.04,Census Tract 37.04,G5020,S,2637213,0,40.7602163,-96.6694648,1400000US31109003704,"Census Tract 37.04, Lancaster County, Nebraska",109,40220,31,5182,3704,4723,304.35415385072605
31,109,3706,31109003706,37.06,Census Tract 37.06,G5020,S,5264110,396740,40.7782584,-96.6336578,1400000US31109003706,"Census Tract 37.06, Lancaster County, Nebraska",109,53933,31,6745,3706,6293,303.62098165548724
31,109,3708,31109003708,37.08,Census Tract 37.08,G5020,S,2652438,0,40.7480183,-96.6730872,1400000US31109003708,"Census Tract 37.08, Lancaster County, Nebraska",109,72006,31,4571,3708,4405,304.9818832221352
