STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,37,573202,6037573202,5732.02,Census Tract 5732.02,G5020,S,649038,0,33.7934864,-118.1850191,1400000US06037573202,"Census Tract 5732.02, Los Angeles County, California",37,44500,6,6435,573202,2904,309.37632279950316
6,37,571503,6037571503,5715.03,Census Tract 5715.03,G5020,S,908989,0,33.8481676,-118.1705772,1400000US06037571503,"Census Tract 5715.03, Los Angeles County, California",37,75833,6,3835,571503,1323,309.9667945618668
6,37,570304,6037570304,5703.04,Census Tract 5703.04,G5020,S,545966,25568,33.8563177,-118.1926968,1400000US06037570304,"Census Tract 5703.04, Los Angeles County, California",37,53403,6,4886,570304,1513,310.21626027580055
6,37,570403,6037570403,5704.03,Census Tract 5704.03,G5020,S,570677,0,33.8778668,-118.2044859,1400000US06037570403,"Census Tract 5704.03, Los Angeles County, California",37,39219,6,5186,570403,1452,310.0953669096352
6,37,576401,6037576401,5764.01,Census Tract 5764.01,G5020,S,324020,0,33.7789740,-118.1785058,1400000US06037576401,"Census Tract 5764.01, Los Angeles County, California",37,34915,6,5370,576401,2625,309.1948491563694
6,37,572002,6037572002,5720.02,Census Tract 5720.02,G5020,S,1046070,0,33.8230804,-118.1916369,1400000US06037572002,"Census Tract 5720.02, Los Angeles County, California",37,66709,6,5304,572002,2485,308.440141395157
6,37,570502,6037570502,5705.02,Census Tract 5705.02,G5020,S,1997821,0,33.8674703,-118.1668020,1400000US06037570502,"Census Tract 5705.02, Los Angeles County, California",37,56639,6,6356,570502,2227,310.1644625736455
6,37,980033,6037980033,9800.33,Census Tract 9800.33,G5020,S,12659821,16043472,33.7443155,-118.2203101,1400000US06037980033,"Census Tract 9800.33, Los Angeles County, California",37,-666666666,6,12,980033,0,307.2654672521929
6,37,572100,6037572100,5721,Census Tract 5721,G5020,S,676132,113158,33.8224328,-118.2032005,1400000US06037572100,"Census Tract 5721, Los Angeles County, California",37,115469,6,1035,572100,469,308.94994484979946
6,37,577604,6037577604,5776.04,Census Tract 5776.04,G5020,S,853428,653137,33.7557499,-118.1100855,1400000US06037577604,"Census Tract 5776.04, Los Angeles County, California",37,97604,6,1373,577604,1112,304.7478414538123
6,37,575803,6037575803,5758.03,Census Tract 5758.03,G5020,S,199588,0,33.7789661,-118.1937148,1400000US06037575803,"Census Tract 5758.03, Los Angeles County, California",37,23400,6,3004,575803,1539,308.73186088817107
6,37,570601,6037570601,5706.01,Census Tract 5706.01,G5020,S,780449,0,33.8569402,-118.1809849,1400000US06037570601,"Census Tract 5706.01, Los Angeles County, California",37,45967,6,5882,570601,1640,310.28960512659984
6,37,572500,6037572500,5725,Census Tract 5725,G5020,S,592705,0,33.8165383,-118.2182796,1400000US06037572500,"Census Tract 5725, Los Angeles County, California",37,24153,6,3804,572500,1137,309.613918149035
6,37,574700,6037574700,5747,Census Tract 5747,G5020,S,420822,0,33.7784357,-118.1186480,1400000US06037574700,"Census Tract 5747, Los Angeles County, California",37,-666666666,6,143,574700,62,307.0577585721594
6,37,575103,6037575103,5751.03,Census Tract 5751.03,G5020,S,482518,0,33.7861934,-118.1534873,1400000US06037575103,"Census Tract 5751.03, Los Angeles County, California",37,46685,6,5268,575103,2904,309.2046356715222
6,37,575202,6037575202,5752.02,Census Tract 5752.02,G5020,S,404091,0,33.7858671,-118.1704604,1400000US06037575202,"Census Tract 5752.02, Los Angeles County, California",37,38056,6,4722,575202,2260,308.99787382698827
6,37,570404,6037570404,5704.04,Census Tract 5704.04,G5020,S,816723,48846,33.8774960,-118.1959346,1400000US06037570404,"Census Tract 5704.04, Los Angeles County, California",37,51958,6,3487,570404,1053,309.6561839848826
6,37,571504,6037571504,5715.04,Census Tract 5715.04,G5020,S,1511656,0,33.8387012,-118.1697991,1400000US06037571504,"Census Tract 5715.04, Los Angeles County, California",37,64041,6,4804,571504,1761,309.31332489137134
6,37,980007,6037980007,9800.07,Census Tract 9800.07,G5020,S,2401374,303692,33.7665067,-118.1007304,1400000US06037980007,"Census Tract 9800.07, Los Angeles County, California",37,-666666666,6,0,980007,0,306.98918429159636
6,37,571703,6037571703,5717.03,Census Tract 5717.03,G5020,S,397479,0,33.8493201,-118.1917340,1400000US06037571703,"Census Tract 5717.03, Los Angeles County, California",37,37014,6,3721,571703,687,310.31548169555583
6,37,576503,6037576503,5765.03,Census Tract 5765.03,G5020,S,311783,0,33.7718291,-118.1697407,1400000US06037576503,"Census Tract 5765.03, Los Angeles County, California",37,46066,6,4457,576503,2575,308.4663904834256
6,37,575801,6037575801,5758.01,Census Tract 5758.01,G5020,S,384509,51710,33.7794168,-118.2013699,1400000US06037575801,"Census Tract 5758.01, Los Angeles County, California",37,31154,6,2395,575801,1570,307.4574062164855
6,37,575300,6037575300,5753,Census Tract 5753,G5020,S,648066,0,33.7862258,-118.1850264,1400000US06037575300,"Census Tract 5753, Los Angeles County, California",37,34475,6,5051,575300,2378,309.18288685313127
6,37,576501,6037576501,5765.01,Census Tract 5765.01,G5020,S,291367,0,33.7722390,-118.1787306,1400000US06037576501,"Census Tract 5765.01, Los Angeles County, California",37,38768,6,2992,576501,1743,308.401851849716
6,37,573002,6037573002,5730.02,Census Tract 5730.02,G5020,S,324505,0,33.7934840,-118.1915444,1400000US06037573002,"Census Tract 5730.02, Los Angeles County, California",37,33942,6,3977,573002,2664,309.43060673101456
