STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,37,204920,6037204920,2049.20,Census Tract 2049.20,G5020,S,909972,0,34.0175004,-118.1974975,1400000US06037204920,"Census Tract 2049.20, Los Angeles County, California",37,40871,6,2723,204920,2437,313.7692485000279
6,37,205110,6037205110,2051.10,Census Tract 2051.10,G5020,S,286962,0,34.0245059,-118.2142985,1400000US06037205110,"Census Tract 2051.10, Los Angeles County, California",37,43063,6,3916,205110,2987,312.26093375179295
6,37,205120,6037205120,2051.20,Census Tract 2051.20,G5020,S,1466129,0,34.0187546,-118.2117956,1400000US06037205120,"Census Tract 2051.20, Los Angeles County, California",37,28558,6,3428,205120,2670,313.4095617407141
6,37,206010,6037206010,2060.10,Census Tract 2060.10,G5020,S,1418138,20551,34.0682177,-118.2320356,1400000US06037206010,"Census Tract 2060.10, Los Angeles County, California",37,27669,6,3586,206010,1065,311.64445779060327
6,37,206020,6037206020,2060.20,Census Tract 2060.20,G5020,S,843243,30290,34.0571230,-118.2311021,1400000US06037206020,"Census Tract 2060.20, Los Angeles County, California",37,96719,6,8116,206020,3649,310.51369841055765
6,37,206050,6037206050,2060.50,Census Tract 2060.50,G5020,S,1643427,94606,34.0299036,-118.2244531,1400000US06037206050,"Census Tract 2060.50, Los Angeles County, California",37,22121,6,2180,206050,1525,311.28003444219905
6,37,207400,6037207400,2074,Census Tract 2074,G5020,S,862957,6458,34.0562223,-118.2466420,1400000US06037207400,"Census Tract 2074, Los Angeles County, California",37,91705,6,1065,207400,531,308.2376242163166
6,37,192410,6037192410,1924.10,Census Tract 1924.10,G5020,S,683899,0,34.0798577,-118.3181008,1400000US06037192410,"Census Tract 1924.10, Los Angeles County, California",37,78333,6,3895,192410,1959,309.8424230629647
6,37,192510,6037192510,1925.10,Census Tract 1925.10,G5020,S,340750,0,34.0798690,-118.3068568,1400000US06037192510,"Census Tract 1925.10, Los Angeles County, California",37,45577,6,3796,192510,960,312.77195304021046
6,37,192520,6037192520,1925.20,Census Tract 1925.20,G5020,S,307802,0,34.0799255,-118.3024972,1400000US06037192520,"Census Tract 1925.20, Los Angeles County, California",37,40510,6,5033,192520,1833,312.4371500008564
6,37,192610,6037192610,1926.10,Census Tract 1926.10,G5020,S,415408,0,34.0813650,-118.2961539,1400000US06037192610,"Census Tract 1926.10, Los Angeles County, California",37,31577,6,4432,192610,1537,311.587883342258
6,37,192700,6037192700,1927,Census Tract 1927,G5020,S,531205,0,34.0800134,-118.2881064,1400000US06037192700,"Census Tract 1927, Los Angeles County, California",37,44079,6,3849,192700,1406,311.3870080368333
