STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
21,29,20400,21029020400,204,Census Tract 204,G5020,S,34434522,691302,38.0519598,-85.6536101,1400000US21029020400,"Census Tract 204, Bullitt County, Kentucky",29,65909,21,6403,20400,6018,302.4768350517492
21,29,20500,21029020500,205,Census Tract 205,G5020,S,3091309,3652,38.0759550,-85.6744973,1400000US21029020500,"Census Tract 205, Bullitt County, Kentucky",29,55156,21,5731,20500,5414,300.5690029720392
21,29,20900,21029020900,209,Census Tract 209,G5020,S,81753322,278270,38.0278161,-85.8219966,1400000US21029020900,"Census Tract 209, Bullitt County, Kentucky",29,58448,21,3061,20900,3019,296.44223349967785
21,29,20800,21029020800,208,Census Tract 208,G5020,S,47030563,414580,38.0484010,-85.7349031,1400000US21029020800,"Census Tract 208, Bullitt County, Kentucky",29,43711,21,5144,20800,5032,296.52186729849666
21,111,11106,21111011106,111.06,Census Tract 111.06,G5020,S,4351489,1459,38.1962687,-85.5827194,1400000US21111011106,"Census Tract 111.06, Jefferson County, Kentucky",111,55502,21,7286,11106,5848,301.04356910890516
21,111,11109,21111011109,111.09,Census Tract 111.09,G5020,S,2417185,10964,38.1783958,-85.6064232,1400000US21111011109,"Census Tract 111.09, Jefferson County, Kentucky",111,64821,21,2256,11109,1828,300.21768744708953
21,111,11110,21111011110,111.10,Census Tract 111.10,G5020,S,4224792,8434,38.1783572,-85.5846948,1400000US21111011110,"Census Tract 111.10, Jefferson County, Kentucky",111,74462,21,6366,11110,5606,300.727399951262
21,111,8700,21111008700,87,Census Tract 87,G5020,S,8342783,81822,38.2380111,-85.6783296,1400000US21111008700,"Census Tract 87, Jefferson County, Kentucky",111,111875,21,4532,8700,4189,300.0223257755048
21,111,12202,21111012202,122.02,Census Tract 122.02,G5020,S,5145377,21391,38.1375025,-85.7831897,1400000US21111012202,"Census Tract 122.02, Jefferson County, Kentucky",111,43608,21,6885,12202,4766,300.37071220523063
21,111,5100,21111005100,51,Census Tract 51,G5020,S,800329,0,38.2362916,-85.7616616,1400000US21111005100,"Census Tract 51, Jefferson County, Kentucky",111,14730,21,2920,5100,1953,302.50780598569395
21,111,11508,21111011508,115.08,Census Tract 115.08,G5020,S,7212859,57288,38.1635794,-85.6274226,1400000US21111011508,"Census Tract 115.08, Jefferson County, Kentucky",111,82788,21,6016,11508,3725,300.0270088326449
21,111,7501,21111007501,75.01,Census Tract 75.01,G5020,S,10967286,1787206,38.2819971,-85.6690421,1400000US21111007501,"Census Tract 75.01, Jefferson County, Kentucky",111,146750,21,5361,7501,5092,298.84337674278584
21,111,12702,21111012702,127.02,Census Tract 127.02,G5020,S,7110654,1841471,38.1985847,-85.8696361,1400000US21111012702,"Census Tract 127.02, Jefferson County, Kentucky",111,35735,21,1913,12702,1592,298.32313054457654
