STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
48,303,2204,48303002204,22.04,Census Tract 22.04,G5020,S,2767699,13471,33.5360717,-101.8547448,1400000US48303002204,"Census Tract 22.04, Lubbock County, Texas",303,32841,48,4903,2204,3624,310.0888873106526
48,303,2300,48303002300,23,Census Tract 23,G5020,S,2172634,80355,33.5537515,-101.8639378,1400000US48303002300,"Census Tract 23, Lubbock County, Texas",303,38443,48,4856,2300,3498,310.3133255109243
48,303,2400,48303002400,24,Census Tract 24,G5020,S,4284819,14787,33.5513287,-101.8453572,1400000US48303002400,"Census Tract 24, Lubbock County, Texas",303,31512,48,7411,2400,5523,310.3197939578726
48,303,302,48303000302,3.02,Census Tract 3.02,G5020,S,4420108,20508,33.6094916,-101.8885692,1400000US48303000302,"Census Tract 3.02, Lubbock County, Texas",303,27368,48,6934,302,4549,310.21626027580055
48,303,1502,48303001502,15.02,Census Tract 15.02,G5020,S,1296196,0,33.5668990,-101.8790992,1400000US48303001502,"Census Tract 15.02, Lubbock County, Texas",303,32788,48,2366,1502,2246,310.1687798355822
48,303,10502,48303010502,105.02,Census Tract 105.02,G5020,S,2530814,134866,33.5116952,-101.9122872,1400000US48303010502,"Census Tract 105.02, Lubbock County, Texas",303,85769,48,3435,10502,3086,308.26829601460025
48,303,10504,48303010504,105.04,Census Tract 105.04,G5020,S,2533222,64456,33.5132545,-101.8959970,1400000US48303010504,"Census Tract 105.04, Lubbock County, Texas",303,91795,48,4034,10504,3843,309.33287925019744
48,303,100,48303000100,1,Census Tract 1,G5020,S,9231370,26857,33.6309984,-101.8335744,1400000US48303000100,"Census Tract 1, Lubbock County, Texas",303,46695,48,2639,100,2034,309.2274679910609
48,303,201,48303000201,2.01,Census Tract 2.01,G5020,S,21614019,274317,33.6258395,-101.8794789,1400000US48303000201,"Census Tract 2.01, Lubbock County, Texas",303,62429,48,1784,201,1230,308.86057508217084
48,303,202,48303000202,2.02,Census Tract 2.02,G5020,S,1415607,0,33.5971896,-101.8639441,1400000US48303000202,"Census Tract 2.02, Lubbock County, Texas",303,23922,48,1753,202,1344,310.60193729502646
48,303,301,48303000301,3.01,Census Tract 3.01,G5020,S,952405,12512,33.5954211,-101.8799122,1400000US48303000301,"Census Tract 3.01, Lubbock County, Texas",303,25483,48,3910,301,2819,310.3327298893857
48,303,402,48303000402,4.02,Census Tract 4.02,G5020,S,2444076,0,33.5839742,-101.9311739,1400000US48303000402,"Census Tract 4.02, Lubbock County, Texas",303,41500,48,4637,402,3827,310.71161480652097
48,303,403,48303000403,4.03,Census Tract 4.03,G5020,S,2539011,51231,33.5855293,-101.9122209,1400000US48303000403,"Census Tract 4.03, Lubbock County, Texas",303,65270,48,3931,403,3373,309.2046356715222
48,303,404,48303000404,4.04,Census Tract 4.04,G5020,S,5285264,36987,33.5860166,-101.9551634,1400000US48303000404,"Census Tract 4.04, Lubbock County, Texas",303,63077,48,7676,404,6236,310.4921676883289
48,303,2500,48303002500,25,Census Tract 25,G5020,S,19949741,129218,33.5409119,-101.8076100,1400000US48303002500,"Census Tract 25, Lubbock County, Texas",303,30691,48,2704,2500,1977,309.55645786464544
48,303,10402,48303010402,104.02,Census Tract 104.02,G5020,S,15344150,181293,33.5720147,-101.9998373,1400000US48303010402,"Census Tract 104.02, Lubbock County, Texas",303,47703,48,2154,10402,1779,311.09583597016416
48,303,10505,48303010505,105.05,Census Tract 105.05,G5020,S,2536704,40170,33.5150214,-101.8782384,1400000US48303010505,"Census Tract 105.05, Lubbock County, Texas",303,51915,48,4485,10505,3526,310.30901303470597
48,303,10506,48303010506,105.06,Census Tract 105.06,G5020,S,3891711,0,33.5125977,-101.8573127,1400000US48303010506,"Census Tract 105.06, Lubbock County, Texas",303,51368,48,4220,10506,3388,310.22920648432955
48,303,405,48303000405,4.05,Census Tract 4.05,G5020,S,10421021,13978,33.6021603,-101.9207238,1400000US48303000405,"Census Tract 4.05, Lubbock County, Texas",303,45659,48,10388,405,8130,310.2356791063151
48,303,500,48303000500,5,Census Tract 5,G5020,S,7600377,96123,33.5889205,-101.8924472,1400000US48303000500,"Census Tract 5, Lubbock County, Texas",303,32561,48,8078,500,6646,309.14590545520923
48,303,605,48303000605,6.05,Census Tract 6.05,G5020,S,551045,0,33.5884255,-101.8585983,1400000US48303000605,"Census Tract 6.05, Lubbock County, Texas",303,16862,48,901,605,734,309.6789368073334
48,303,607,48303000607,6.07,Census Tract 6.07,G5020,S,1060425,0,33.5811195,-101.8629158,1400000US48303000607,"Census Tract 6.07, Lubbock County, Texas",303,23893,48,2503,607,1621,310.16662122250176
48,303,700,48303000700,7,Census Tract 7,G5020,S,4624424,25591,33.5906077,-101.8465279,1400000US48303000700,"Census Tract 7, Lubbock County, Texas",303,41250,48,1108,700,891,309.67135297666715
48,303,1000,48303001000,10,Census Tract 10,G5020,S,9248080,33930,33.5882460,-101.8084207,1400000US48303001000,"Census Tract 10, Lubbock County, Texas",303,29975,48,3478,1000,1149,308.7842347320058
48,303,1200,48303001200,12,Census Tract 12,G5020,S,10759292,432156,33.5665748,-101.8103223,1400000US48303001200,"Census Tract 12, Lubbock County, Texas",303,23167,48,2402,1200,598,308.73186088817107
48,303,1300,48303001300,13,Census Tract 13,G5020,S,2867194,0,33.5705279,-101.8457793,1400000US48303001300,"Census Tract 13, Lubbock County, Texas",303,31373,48,2838,1300,2072,309.7060182980136
48,303,1400,48303001400,14,Census Tract 14,G5020,S,2252995,0,33.5705346,-101.8628942,1400000US48303001400,"Census Tract 14, Lubbock County, Texas",303,38750,48,5339,1400,4235,310.2313640607115
48,303,1601,48303001601,16.01,Census Tract 16.01,G5020,S,2588145,49059,33.5709665,-101.9130040,1400000US48303001601,"Census Tract 16.01, Lubbock County, Texas",303,42500,48,2430,1601,2251,309.44146078566627
48,303,1602,48303001602,16.02,Census Tract 16.02,G5020,S,2449585,101950,33.5700712,-101.8953458,1400000US48303001602,"Census Tract 16.02, Lubbock County, Texas",303,41100,48,3176,1602,2555,309.76666033385385
48,303,1702,48303001702,17.02,Census Tract 17.02,G5020,S,4236840,6350,33.5681179,-101.9326379,1400000US48303001702,"Census Tract 17.02, Lubbock County, Texas",303,35888,48,5484,1702,4601,309.94192978119
48,303,1705,48303001705,17.05,Census Tract 17.05,G5020,S,3148145,31370,33.5305523,-101.9292698,1400000US48303001705,"Census Tract 17.05, Lubbock County, Texas",303,56210,48,6476,1705,5190,309.95490330352766
48,303,1707,48303001707,17.07,Census Tract 17.07,G5020,S,6441690,38526,33.5294259,-101.9557841,1400000US48303001707,"Census Tract 17.07, Lubbock County, Texas",303,58344,48,6056,1707,5068,309.10456076700973
48,303,1706,48303001706,17.06,Census Tract 17.06,G5020,S,9305559,46074,33.5603993,-101.9521039,1400000US48303001706,"Census Tract 17.06, Lubbock County, Texas",303,51114,48,6545,1706,5492,309.62800829187114
48,303,1803,48303001803,18.03,Census Tract 18.03,G5020,S,2686263,50659,33.5410141,-101.9126646,1400000US48303001803,"Census Tract 18.03, Lubbock County, Texas",303,44114,48,5135,1803,4313,310.46417244191446
48,303,1804,48303001804,18.04,Census Tract 18.04,G5020,S,2276853,14046,33.5267239,-101.9156206,1400000US48303001804,"Census Tract 18.04, Lubbock County, Texas",303,51848,48,3731,1804,3275,309.8424230629647
