STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
55,25,408,55025000408,4.08,Census Tract 4.08,G5020,S,3912108,25103,43.0579172,-89.4854780,1400000US55025000408,"Census Tract 4.08, Dane County, Wisconsin",25,38098,55,1747,408,1438,304.63741901951954
55,25,405,55025000405,4.05,Census Tract 4.05,G5020,S,4313395,45587,43.0464515,-89.5137663,1400000US55025000405,"Census Tract 4.05, Dane County, Wisconsin",25,64699,55,6585,405,4657,303.43672126122345
55,25,902,55025000902,9.02,Census Tract 9.02,G5020,S,1348777,0,43.0702062,-89.4259672,1400000US55025000902,"Census Tract 9.02, Dane County, Wisconsin",25,38218,55,6021,902,4882,302.8067873815372
55,25,1102,55025001102,11.02,Census Tract 11.02,G5020,S,1069552,3186,43.0758230,-89.4094026,1400000US55025001102,"Census Tract 11.02, Dane County, Wisconsin",25,12333,55,3904,1102,2700,304.93915841636533
55,25,1606,55025001606,16.06,Census Tract 16.06,G5020,S,421684,0,43.0701393,-89.3956338,1400000US55025001606,"Census Tract 16.06, Dane County, Wisconsin",25,28466,55,6616,1606,5803,307.329479099155
55,25,1705,55025001705,17.05,Census Tract 17.05,G5020,S,696476,0,43.0765803,-89.3821770,1400000US55025001705,"Census Tract 17.05, Dane County, Wisconsin",25,48163,55,4250,1705,3874,305.9449271736175
55,25,1804,55025001804,18.04,Census Tract 18.04,G5020,S,826487,7631,43.0977240,-89.3658065,1400000US55025001804,"Census Tract 18.04, Dane County, Wisconsin",25,43723,55,3366,1804,2676,304.5900650705863
55,25,407,55025000407,4.07,Census Tract 4.07,G5020,S,2754306,13351,43.0401727,-89.4893192,1400000US55025000407,"Census Tract 4.07, Dane County, Wisconsin",25,61005,55,5500,407,3628,301.5590497105391
55,25,901,55025000901,9.01,Census Tract 9.01,G5020,S,645155,0,43.0651917,-89.4227799,1400000US55025000901,"Census Tract 9.01, Dane County, Wisconsin",25,126429,55,2227,901,2032,302.75643562306465
55,25,1101,55025001101,11.01,Census Tract 11.01,G5020,S,668728,0,43.0705626,-89.4073908,1400000US55025001101,"Census Tract 11.01, Dane County, Wisconsin",25,16958,55,5280,1101,4085,306.23463020377096
55,25,1605,55025001605,16.05,Census Tract 16.05,G5020,S,353502,0,43.0675800,-89.3896342,1400000US55025001605,"Census Tract 16.05, Dane County, Wisconsin",25,38424,55,2899,1605,2553,306.90064650572407
55,25,1704,55025001704,17.04,Census Tract 17.04,G5020,S,422107,0,43.0729164,-89.3860992,1400000US55025001704,"Census Tract 17.04, Dane County, Wisconsin",25,50250,55,3390,1704,2884,306.3481011348568
55,25,10903,55025010903,109.03,Census Tract 109.03,G5020,S,9698330,80313,43.0239302,-89.5430321,1400000US55025010903,"Census Tract 109.03, Dane County, Wisconsin",25,115881,55,3558,10903,2915,301.1746751070782
55,25,11401,55025011401,114.01,Census Tract 114.01,G5020,S,22057415,56815,43.0707915,-89.2634494,1400000US55025011401,"Census Tract 114.01, Dane County, Wisconsin",25,76016,55,7924,11401,6769,301.08071094691
55,25,1802,55025001802,18.02,Census Tract 18.02,G5020,S,711134,49227,43.0875040,-89.3747347,1400000US55025001802,"Census Tract 18.02, Dane County, Wisconsin",25,60721,55,3118,1802,2721,303.13813420296225
55,25,406,55025000406,4.06,Census Tract 4.06,G5020,S,3203979,638,43.0420558,-89.5249683,1400000US55025000406,"Census Tract 4.06, Dane County, Wisconsin",25,69050,55,3142,406,2597,304.2151060575624
55,25,1604,55025001604,16.04,Census Tract 16.04,G5020,S,274152,0,43.0766186,-89.3922310,1400000US55025001604,"Census Tract 16.04, Dane County, Wisconsin",25,12771,55,5957,1604,5257,305.93377141095124
55,25,10502,55025010502,105.02,Census Tract 105.02,G5020,S,18164198,134709,43.0078614,-89.2738859,1400000US55025010502,"Census Tract 105.02, Dane County, Wisconsin",25,79509,55,8070,10502,7672,300.59464018653426
