STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
47,157,3100,47157003100,31,Census Tract 31,G5020,S,2802855,0,35.1329460,-89.9797741,1400000US47157003100,"Census Tract 31, Shelby County, Tennessee",157,50867,47,3392,3100,2454,302.609839740652
47,157,3200,47157003200,32,Census Tract 32,G5020,S,1431865,0,35.1370959,-89.9969196,1400000US47157003200,"Census Tract 32, Shelby County, Tennessee",157,35491,47,3675,3200,2721,304.38465566566157
47,157,7300,47157007300,73,Census Tract 73,G5020,S,1917129,0,35.1209841,-89.9363799,1400000US47157007300,"Census Tract 73, Shelby County, Tennessee",157,23023,47,4751,7300,2513,303.1130289274037
47,157,21320,47157021320,213.20,Census Tract 213.20,G5020,S,5881321,43891,35.0925659,-89.8492010,1400000US47157021320,"Census Tract 213.20, Shelby County, Tennessee",157,72443,47,6085,21320,3996,300.37071220523063
47,157,22410,47157022410,224.10,Census Tract 224.10,G5020,S,13073254,431366,35.0111381,-90.0899760,1400000US47157022410,"Census Tract 224.10, Shelby County, Tennessee",157,41216,47,6219,22410,611,298.1936009552505
47,157,5300,47157005300,53,Census Tract 53,G5020,S,5914654,497369,35.0930408,-90.0757059,1400000US47157005300,"Census Tract 53, Shelby County, Tennessee",157,19653,47,2921,5300,8,302.25866866711067
47,157,8500,47157008500,85,Census Tract 85,G5020,S,6517968,0,35.1201913,-89.9119212,1400000US47157008500,"Census Tract 85, Shelby County, Tennessee",157,113380,47,4427,8500,4095,300.29364021432866
47,157,5700,47157005700,57,Census Tract 57,G5020,S,1447788,0,35.1042256,-90.0410602,1400000US47157005700,"Census Tract 57, Shelby County, Tennessee",157,32022,47,2650,5700,47,302.04816975434665
47,157,20820,47157020820,208.20,Census Tract 208.20,G5020,S,70715868,1080766,35.2417850,-89.6963400,1400000US47157020820,"Census Tract 208.20, Shelby County, Tennessee",157,110682,47,8346,20820,6423,298.5687262340874
47,157,21135,47157021135,211.35,Census Tract 211.35,G5020,S,4281463,0,35.1667736,-89.7865702,1400000US47157021135,"Census Tract 211.35, Shelby County, Tennessee",157,50836,47,6929,21135,2741,302.91428767349566
47,157,9200,47157009200,92,Census Tract 92,G5020,S,6802407,0,35.1404557,-89.8815506,1400000US47157009200,"Census Tract 92, Shelby County, Tennessee",157,91167,47,7629,9200,6581,300.86931388701873
47,157,3300,47157003300,33,Census Tract 33,G5020,S,1122826,0,35.1281689,-89.9987071,1400000US47157003300,"Census Tract 33, Shelby County, Tennessee",157,68625,47,2482,3300,2351,302.4068347137233
47,157,600,47157000600,6,Census Tract 6,G5020,S,3879185,1208912,35.1837381,-89.9990705,1400000US47157000600,"Census Tract 6, Shelby County, Tennessee",157,16397,47,1985,600,0,299.7949766310209
47,157,21331,47157021331,213.31,Census Tract 213.31,G5020,S,4929385,0,35.0787984,-89.8594371,1400000US47157021331,"Census Tract 213.31, Shelby County, Tennessee",157,63603,47,3106,21331,2022,300.9192928472611
47,157,21138,47157021138,211.38,Census Tract 211.38,G5020,S,9418347,20414,35.1438830,-89.7605848,1400000US47157021138,"Census Tract 211.38, Shelby County, Tennessee",157,82132,47,3662,21138,2032,297.73374746451873
47,157,21410,47157021410,214.10,Census Tract 214.10,G5020,S,2568497,0,35.1085803,-89.8286406,1400000US47157021410,"Census Tract 214.10, Shelby County, Tennessee",157,99327,47,2891,21410,2723,296.34563416963215
47,157,22130,47157022130,221.30,Census Tract 221.30,G5020,S,4921587,115580,35.0038598,-90.0134588,1400000US47157022130,"Census Tract 221.30, Shelby County, Tennessee",157,41228,47,5669,22130,68,301.73346735515685
47,157,10120,47157010120,101.20,Census Tract 101.20,G5020,S,7306569,155605,35.2007179,-90.0152406,1400000US47157010120,"Census Tract 101.20, Shelby County, Tennessee",157,24329,47,5761,10120,429,299.9379993205171
47,157,3400,47157003400,34,Census Tract 34,G5020,S,918349,0,35.1375844,-90.0077831,1400000US47157003400,"Census Tract 34, Shelby County, Tennessee",157,35985,47,2262,3400,1439,304.28069275467993
47,157,100,47157000100,1,Census Tract 1,G5020,S,4186009,2549741,35.1722581,-90.0515993,1400000US47157000100,"Census Tract 1, Shelby County, Tennessee",157,71146,47,6482,100,3971,303.3479047691855
47,157,300,47157000300,3,Census Tract 3,G5020,S,2872435,8845,35.1768246,-90.0293407,1400000US47157000300,"Census Tract 3, Shelby County, Tennessee",157,24792,47,873,300,4,302.0032621831611
47,157,400,47157000400,4,Census Tract 4,G5020,S,2276725,91258,35.1768576,-90.0145439,1400000US47157000400,"Census Tract 4, Shelby County, Tennessee",157,24964,47,1457,400,57,301.79693462974114
47,157,20610,47157020610,206.10,Census Tract 206.10,G5020,S,7648531,0,35.1762100,-89.8851161,1400000US47157020610,"Census Tract 206.10, Shelby County, Tennessee",157,45053,47,4028,20610,1207,300.952987872071
47,157,1600,47157001600,16,Census Tract 16,G5020,S,3091751,37057,35.1496273,-89.9923399,1400000US47157001600,"Census Tract 16, Shelby County, Tennessee",157,71111,47,3245,1600,2386,300.9320748291363
47,157,7810,47157007810,78.10,Census Tract 78.10,G5020,S,5981728,0,35.0920942,-90.0048571,1400000US47157007810,"Census Tract 78.10, Shelby County, Tennessee",157,23245,47,2403,7810,133,303.50613564475697
47,157,1200,47157001200,12,Census Tract 12,G5020,S,2168282,0,35.1557263,-89.9357489,1400000US47157001200,"Census Tract 12, Shelby County, Tennessee",157,46168,47,4450,1200,2144,300.9123202849294
47,157,1300,47157001300,13,Census Tract 13,G5020,S,1664587,0,35.1564325,-89.9505138,1400000US47157001300,"Census Tract 13, Shelby County, Tennessee",157,18492,47,3383,1300,575,301.38669547263487
47,157,1400,47157001400,14,Census Tract 14,G5020,S,1226143,0,35.1546958,-89.9616026,1400000US47157001400,"Census Tract 14, Shelby County, Tennessee",157,17268,47,1701,1400,126,303.15638935865474
47,157,1500,47157001500,15,Census Tract 15,G5020,S,1369195,0,35.1529927,-89.9740903,1400000US47157001500,"Census Tract 15, Shelby County, Tennessee",157,24932,47,1566,1500,179,303.903660562042
47,157,1700,47157001700,17,Census Tract 17,G5020,S,1644293,0,35.1586332,-90.0042688,1400000US47157001700,"Census Tract 17, Shelby County, Tennessee",157,50951,47,3955,1700,1808,302.9348620702654
47,157,1900,47157001900,19,Census Tract 19,G5020,S,926176,0,35.1632815,-90.0233110,1400000US47157001900,"Census Tract 19, Shelby County, Tennessee",157,26346,47,1276,1900,3,302.3574660494457
47,157,2000,47157002000,20,Census Tract 20,G5020,S,965098,0,35.1609448,-90.0330256,1400000US47157002000,"Census Tract 20, Shelby County, Tennessee",157,22442,47,1969,2000,116,302.62817384812445
47,157,2100,47157002100,21,Census Tract 21,G5020,S,771180,20044,35.1600207,-90.0444429,1400000US47157002100,"Census Tract 21, Shelby County, Tennessee",157,18542,47,1448,2100,155,303.95014405818625
47,157,2400,47157002400,24,Census Tract 24,G5020,S,1241870,0,35.1511856,-90.0266203,1400000US47157002400,"Census Tract 24, Shelby County, Tennessee",157,21633,47,2474,2400,168,303.4344447164956
47,157,2500,47157002500,25,Census Tract 25,G5020,S,1620789,0,35.1506700,-90.0159795,1400000US47157002500,"Census Tract 25, Shelby County, Tennessee",157,35144,47,2916,2500,1427,303.39345970311933
47,157,2600,47157002600,26,Census Tract 26,G5020,S,1196174,0,35.1480882,-90.0039734,1400000US47157002600,"Census Tract 26, Shelby County, Tennessee",157,64868,47,2714,2600,2275,302.7587247891701
47,157,2700,47157002700,27,Census Tract 27,G5020,S,1356161,0,35.1429448,-89.9753531,1400000US47157002700,"Census Tract 27, Shelby County, Tennessee",157,40769,47,1996,2700,943,302.94171943441853
47,157,2800,47157002800,28,Census Tract 28,G5020,S,2420044,0,35.1441771,-89.9577820,1400000US47157002800,"Census Tract 28, Shelby County, Tennessee",157,21825,47,3092,2800,535,302.781614093577
47,157,2900,47157002900,29,Census Tract 29,G5020,S,4109576,0,35.1370991,-89.9359355,1400000US47157002900,"Census Tract 29, Shelby County, Tennessee",157,71000,47,4721,2900,4429,300.6854916686011
47,157,3000,47157003000,30,Census Tract 30,G5020,S,2012870,0,35.1354662,-89.9540523,1400000US47157003000,"Census Tract 30, Shelby County, Tennessee",157,24990,47,3315,3000,1556,302.4079825843116
47,157,1100,47157001100,11,Census Tract 11,G5020,S,1751403,0,35.1674039,-89.9411009,1400000US47157001100,"Census Tract 11, Shelby County, Tennessee",157,22140,47,3088,1100,1457,301.1619188381005
47,157,700,47157000700,7,Census Tract 7,G5020,S,2497534,0,35.1673199,-89.9957721,1400000US47157000700,"Census Tract 7, Shelby County, Tennessee",157,21878,47,4396,700,164,302.65108761302105
47,157,800,47157000800,8,Census Tract 8,G5020,S,2037629,154343,35.1784196,-89.9722247,1400000US47157000800,"Census Tract 8, Shelby County, Tennessee",157,14235,47,2400,800,46,301.90878694749836
