STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
4,13,420202,4013420202,4202.02,Census Tract 4202.02,G5020,S,2590589,0,33.4301383,-111.6930944,1400000US04013420202,"Census Tract 4202.02, Maricopa County, Arizona",13,41701,4,5296,420202,4954,317.94551480432943
4,13,420207,4013420207,4202.07,Census Tract 4202.07,G5020,S,3288677,0,33.4901256,-111.6923542,1400000US04013420207,"Census Tract 4202.07, Maricopa County, Arizona",13,104813,4,2837,420207,2745,315.4123807768587
4,13,420208,4013420208,4202.08,Census Tract 4202.08,G5020,S,2590013,0,33.4300703,-111.7277109,1400000US04013420208,"Census Tract 4202.08, Maricopa County, Arizona",13,66713,4,5456,420208,4865,316.77932383190387
4,13,420209,4013420209,4202.09,Census Tract 4202.09,G5020,S,2592796,567,33.4297703,-111.7086665,1400000US04013420209,"Census Tract 4202.09, Maricopa County, Arizona",13,52860,4,4142,420209,3816,316.74439099818517
4,13,420210,4013420210,4202.10,Census Tract 4202.10,G5020,S,2601089,0,33.4446119,-111.6929143,1400000US04013420210,"Census Tract 4202.10, Maricopa County, Arizona",13,52394,4,5491,420210,4855,317.9719979946175
4,13,420211,4013420211,4202.11,Census Tract 4202.11,G5020,S,2585032,0,33.4735699,-111.6925704,1400000US04013420211,"Census Tract 4202.11, Maricopa County, Arizona",13,89440,4,4224,420211,3910,316.5798819957339
4,13,420212,4013420212,4202.12,Census Tract 4202.12,G5020,S,2571936,12936,33.4586409,-111.6885124,1400000US04013420212,"Census Tract 4202.12, Maricopa County, Arizona",13,60819,4,3007,420212,2830,316.3214109654218
4,13,420301,4013420301,4203.01,Census Tract 4203.01,G5020,S,1640802,17374,33.4575906,-111.7937678,1400000US04013420301,"Census Tract 4203.01, Maricopa County, Arizona",13,88466,4,2292,420301,1926,316.27605110519664
4,13,420302,4013420302,4203.02,Census Tract 4203.02,G5020,S,2568104,5016,33.4586449,-111.7775275,1400000US04013420302,"Census Tract 4203.02, Maricopa County, Arizona",13,84095,4,5117,420302,4551,315.90642735343306
4,13,420303,4013420303,4203.03,Census Tract 4203.03,G5020,S,2596605,0,33.4591060,-111.7620112,1400000US04013420303,"Census Tract 4203.03, Maricopa County, Arizona",13,84022,4,4420,420303,4033,316.7094492949067
4,13,420304,4013420304,4203.04,Census Tract 4203.04,G5020,S,5260971,28875,33.4696054,-111.7447663,1400000US04013420304,"Census Tract 4203.04, Maricopa County, Arizona",13,126964,4,1256,420304,975,314.89049650188866
4,13,420501,4013420501,4205.01,Census Tract 4205.01,G5020,S,2622212,0,33.4441380,-111.8311469,1400000US04013420501,"Census Tract 4205.01, Maricopa County, Arizona",13,39135,4,6757,420501,5136,317.805885331964
4,13,422102,4013422102,4221.02,Census Tract 4221.02,G5020,S,1273650,0,33.4041299,-111.8657396,1400000US04013422102,"Census Tract 4221.02, Maricopa County, Arizona",13,33105,4,4824,422102,3900,319.5276951293348
