STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
27,53,125900,27053125900,1259,Census Tract 1259,G5020,S,1050935,0,44.9534721,-93.2470020,1400000US27053125900,"Census Tract 1259, Hennepin County, Minnesota",53,43355,27,4881,125900,1330,306.778805922016
27,53,126000,27053126000,1260,Census Tract 1260,G5020,S,987362,0,44.9539066,-93.2672888,1400000US27053126000,"Census Tract 1260, Hennepin County, Minnesota",53,18995,27,5672,126000,1539,306.9316417671612
27,53,111100,27053111100,1111,Census Tract 1111,G5020,S,2113229,216827,44.9210857,-93.2406928,1400000US27053111100,"Census Tract 1111, Hennepin County, Minnesota",53,79122,27,3323,111100,2840,303.97961233659186
27,53,111200,27053111200,1112,Census Tract 1112,G5020,S,1129921,0,44.9115973,-93.3239407,1400000US27053111200,"Census Tract 1112, Hennepin County, Minnesota",53,133464,27,3199,111200,3051,305.20650966092063
27,53,111300,27053111300,1113,Census Tract 1113,G5020,S,1776102,0,44.9072985,-93.3093354,1400000US27053111300,"Census Tract 1113, Hennepin County, Minnesota",53,130363,27,5001,111300,4243,304.91666579037815
27,53,111400,27053111400,1114,Census Tract 1114,G5020,S,1439830,0,44.9080472,-93.2941751,1400000US27053111400,"Census Tract 1114, Hennepin County, Minnesota",53,136188,27,4091,111400,3709,304.64192797830515
27,53,111500,27053111500,1115,Census Tract 1115,G5020,S,2187487,0,44.9068451,-93.2815727,1400000US27053111500,"Census Tract 1115, Hennepin County, Minnesota",53,100489,27,5361,111500,4789,304.96389561566957
27,53,111600,27053111600,1116,Census Tract 1116,G5020,S,1335755,0,44.9097593,-93.2686610,1400000US27053111600,"Census Tract 1116, Hennepin County, Minnesota",53,115962,27,3178,111600,2738,304.40724476609216
27,53,100200,27053100200,1002,Census Tract 1002,G5020,S,1505382,22513,45.0360622,-93.3059772,1400000US27053100200,"Census Tract 1002, Hennepin County, Minnesota",53,36639,27,3400,100200,2020,305.226706223159
27,53,100400,27053100400,1004,Census Tract 1004,G5020,S,1827016,114675,45.0285888,-93.2950795,1400000US27053100400,"Census Tract 1004, Hennepin County, Minnesota",53,31293,27,3240,100400,1047,305.17845345973257
27,53,100500,27053100500,1005,Census Tract 1005,G5020,S,3028725,240591,45.0258747,-93.2709248,1400000US27053100500,"Census Tract 1005, Hennepin County, Minnesota",53,45547,27,2161,100500,1644,307.0312180876147
27,53,100900,27053100900,1009,Census Tract 1009,G5020,S,1805011,112169,45.0175949,-93.2872546,1400000US27053100900,"Census Tract 1009, Hennepin County, Minnesota",53,44526,27,5155,100900,1931,305.64784586876453
27,53,102100,27053102100,1021,Census Tract 1021,G5020,S,720815,0,45.0029042,-93.3003574,1400000US27053102100,"Census Tract 1021, Hennepin County, Minnesota",53,39777,27,2650,102100,411,305.2356814247688
27,53,102300,27053102300,1023,Census Tract 1023,G5020,S,1400872,103991,44.9986375,-93.2809123,1400000US27053102300,"Census Tract 1023, Hennepin County, Minnesota",53,20950,27,1517,102300,296,307.5686864219226
27,53,102600,27053102600,1026,Census Tract 1026,G5020,S,2461871,2999,45.0031492,-93.2279819,1400000US27053102600,"Census Tract 1026, Hennepin County, Minnesota",53,60000,27,1872,102600,1319,306.210142678971
27,53,102800,27053102800,1028,Census Tract 1028,G5020,S,861531,0,44.9961052,-93.3031612,1400000US27053102800,"Census Tract 1028, Hennepin County, Minnesota",53,31827,27,3458,102800,651,305.3859202955822
27,53,102900,27053102900,1029,Census Tract 1029,G5020,S,578224,0,44.9955520,-93.2925818,1400000US27053102900,"Census Tract 1029, Hennepin County, Minnesota",53,35833,27,1452,102900,399,306.59804433029035
27,53,103000,27053103000,1030,Census Tract 1030,G5020,S,845558,176513,44.9954229,-93.2676738,1400000US27053103000,"Census Tract 1030, Hennepin County, Minnesota",53,61442,27,1846,103000,1384,306.1678348273599
27,53,103100,27053103100,1031,Census Tract 1031,G5020,S,519634,0,44.9956081,-93.2528247,1400000US27053103100,"Census Tract 1031, Hennepin County, Minnesota",53,34563,27,2222,103100,1577,306.5614169428483
27,53,103400,27053103400,1034,Census Tract 1034,G5020,S,957948,5800,44.9859764,-93.2935430,1400000US27053103400,"Census Tract 1034, Hennepin County, Minnesota",53,22365,27,3136,103400,427,307.647955583946
