STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
47,37,10103,47037010103,101.03,Census Tract 101.03,G5020,S,48058702,61097,36.3444054,-86.8608396,1400000US47037010103,"Census Tract 101.03, Davidson County, Tennessee",37,65861,47,2539,10103,2470,299.6823134098294
47,37,10202,47037010202,102.02,Census Tract 102.02,G5020,S,68401372,84746,36.3619781,-86.7746355,1400000US47037010202,"Census Tract 102.02, Davidson County, Tennessee",37,65948,47,3643,10202,3360,299.60949505484655
47,37,10104,47037010104,101.04,Census Tract 101.04,G5020,S,65091329,251504,36.2918321,-86.8763469,1400000US47037010104,"Census Tract 101.04, Davidson County, Tennessee",37,56563,47,2907,10104,2637,299.37664712941404
47,37,10106,47037010106,101.06,Census Tract 101.06,G5020,S,21503954,6845,36.2610013,-86.8023491,1400000US47037010106,"Census Tract 101.06, Davidson County, Tennessee",37,56765,47,3335,10106,760,300.6109519264647
47,37,10602,47037010602,106.02,Census Tract 106.02,G5020,S,3097227,0,36.2533652,-86.6817552,1400000US47037010602,"Census Tract 106.02, Davidson County, Tennessee",37,46033,47,3858,10602,1553,305.75514430985936
47,37,13602,47037013602,136.02,Census Tract 136.02,G5020,S,2110757,143380,36.1695042,-86.8274937,1400000US47037013602,"Census Tract 136.02, Davidson County, Tennessee",37,32845,47,1854,13602,227,306.1867637812992
47,37,19200,47037019200,192,Census Tract 192,G5020,S,1771200,0,36.1711529,-86.7520191,1400000US47037019200,"Census Tract 192, Davidson County, Tennessee",37,43608,47,3781,19200,2204,308.44998543225535
47,37,19500,47037019500,195,Census Tract 195,G5020,S,4890995,182715,36.1572505,-86.7814615,1400000US47037019500,"Census Tract 195, Davidson County, Tennessee",37,67333,47,6544,19500,5038,311.75220233773143
47,37,19400,47037019400,194,Census Tract 194,G5020,S,3905303,233852,36.1773911,-86.7901872,1400000US47037019400,"Census Tract 194, Davidson County, Tennessee",37,62276,47,4373,19400,2752,309.6561839848826
47,37,16700,47037016700,167,Census Tract 167,G5020,S,3402246,0,36.1329172,-86.8300432,1400000US47037016700,"Census Tract 167, Davidson County, Tennessee",37,98854,47,4960,16700,4334,306.47146829763045
47,37,15612,47037015612,156.12,Census Tract 156.12,G5020,S,11944718,1204178,36.1045801,-86.6411995,1400000US47037015612,"Census Tract 156.12, Davidson County, Tennessee",37,51487,47,6845,15612,3472,302.18279301356273
47,37,10105,47037010105,101.05,Census Tract 101.05,G5020,S,28312724,1093,36.2504208,-86.8521501,1400000US47037010105,"Census Tract 101.05, Davidson County, Tennessee",37,54970,47,4254,10105,780,299.5201730076247
47,37,10601,47037010601,106.01,Census Tract 106.01,G5020,S,16857729,1057869,36.2245500,-86.6618465,1400000US47037010601,"Census Tract 106.01, Davidson County, Tennessee",37,60735,47,5303,10601,2811,302.32760552353153
47,37,15624,47037015624,156.24,Census Tract 156.24,G5020,S,3673162,1414205,36.1487817,-86.6220408,1400000US47037015624,"Census Tract 156.24, Davidson County, Tennessee",37,51468,47,5190,15624,3093,305.3500587653999
47,37,15625,47037015625,156.25,Census Tract 156.25,G5020,S,9544532,1931522,36.1310222,-86.6454326,1400000US47037015625,"Census Tract 156.25, Davidson County, Tennessee",37,61563,47,5683,15625,4188,302.40339103710573
47,37,13300,47037013300,133,Census Tract 133,G5020,S,2764217,0,36.1597942,-86.8530466,1400000US47037013300,"Census Tract 133, Davidson County, Tennessee",37,44743,47,3557,13300,2507,307.97222565627266
47,37,18102,47037018102,181.02,Census Tract 181.02,G5020,S,7385169,0,36.1276431,-86.8678626,1400000US47037018102,"Census Tract 181.02, Davidson County, Tennessee",37,74516,47,3737,18102,3424,303.2772612311126
47,37,11300,47037011300,113,Census Tract 113,G5020,S,4224644,0,36.2021377,-86.7609249,1400000US47037011300,"Census Tract 113, Davidson County, Tennessee",37,39194,47,5683,11300,2898,306.43480417202585
47,37,17901,47037017901,179.01,Census Tract 179.01,G5020,S,4580740,0,36.1082519,-86.8268054,1400000US47037017901,"Census Tract 179.01, Davidson County, Tennessee",37,113611,47,4396,17901,4138,305.9360026427196
47,37,15620,47037015620,156.20,Census Tract 156.20,G5020,S,3502044,0,36.0696899,-86.6150484,1400000US47037015620,"Census Tract 156.20, Davidson County, Tennessee",37,48675,47,7933,15620,3874,306.1522441398877
47,37,19004,47037019004,190.04,Census Tract 190.04,G5020,S,2904633,0,36.0699448,-86.7140690,1400000US47037019004,"Census Tract 190.04, Davidson County, Tennessee",37,37321,47,4828,19004,2410,306.11214493145224
47,37,15404,47037015404,154.04,Census Tract 154.04,G5020,S,3857532,0,36.1976329,-86.6144973,1400000US47037015404,"Census Tract 154.04, Davidson County, Tennessee",37,43505,47,2837,15404,2390,306.2301782806033
47,37,18801,47037018801,188.01,Census Tract 188.01,G5020,S,8463241,0,36.0609911,-86.7571310,1400000US47037018801,"Census Tract 188.01, Davidson County, Tennessee",37,112624,47,5964,18801,5102,304.95040320669625
47,37,14400,47037014400,144,Census Tract 144,G5020,S,1885159,0,36.1576629,-86.8057339,1400000US47037014400,"Census Tract 144, Davidson County, Tennessee",37,25889,47,1365,14400,282,310.90064642263377
47,37,11001,47037011001,110.01,Census Tract 110.01,G5020,S,7602486,13081,36.2227310,-86.7536026,1400000US47037011001,"Census Tract 110.01, Davidson County, Tennessee",37,31317,47,5938,11001,2209,305.04481941110623
47,37,17200,47037017200,172,Census Tract 172,G5020,S,4029564,0,36.1215509,-86.7595952,1400000US47037017200,"Census Tract 172, Davidson County, Tennessee",37,37955,47,1523,17200,1373,307.47724545483123
47,37,15700,47037015700,157,Census Tract 157,G5020,S,4212164,0,36.1068261,-86.7023120,1400000US47037015700,"Census Tract 157, Davidson County, Tennessee",37,43800,47,1607,15700,1330,303.92293632989646
47,37,15900,47037015900,159,Census Tract 159,G5020,S,5524380,0,36.1360904,-86.7410768,1400000US47037015900,"Census Tract 159, Davidson County, Tennessee",37,13882,47,2896,15900,2047,308.7864165130927
47,37,12702,47037012702,127.02,Census Tract 127.02,G5020,S,4518468,232757,36.2054178,-86.7959672,1400000US47037012702,"Census Tract 127.02, Davidson County, Tennessee",37,52527,47,2718,12702,188,304.6915157316129
47,37,19114,47037019114,191.14,Census Tract 191.14,G5020,S,29780525,0,35.9996035,-86.6586291,1400000US47037019114,"Census Tract 191.14, Davidson County, Tennessee",37,87100,47,12093,19114,8592,302.30922617675185
47,37,18202,47037018202,182.02,Census Tract 182.02,G5020,S,10215300,430,36.0959282,-86.9016618,1400000US47037018202,"Census Tract 182.02, Davidson County, Tennessee",37,64615,47,7992,18202,5392,301.1595993715053
