STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
22,71,7606,22071007606,76.06,Census Tract 76.06,G5020,S,1809500,459446,30.0150744,-90.1180146,1400000US22071007606,"Census Tract 76.06, Orleans Parish, Louisiana",71,75147,22,4090,7606,3197,308.78859825720383
22,71,617,22071000617,6.17,Census Tract 6.17,G5020,S,1226280,246068,29.8974722,-89.9903933,1400000US22071000617,"Census Tract 6.17, Orleans Parish, Louisiana",71,32500,22,5030,617,389,305.95162015586715
22,71,1748,22071001748,17.48,Census Tract 17.48,G5020,S,2020069,0,30.0254262,-89.9553984,1400000US22071001748,"Census Tract 17.48, Orleans Parish, Louisiana",71,43649,22,4731,1748,170,310.21841806654515
22,71,1747,22071001747,17.47,Census Tract 17.47,G5020,S,7166909,344000,30.0414373,-89.9549478,1400000US22071001747,"Census Tract 17.47, Orleans Parish, Louisiana",71,82125,22,4307,1747,29,307.62924369926174
22,71,1750,22071001750,17.50,Census Tract 17.50,G5020,S,1437946,166339,30.0384832,-89.9176831,1400000US22071001750,"Census Tract 17.50, Orleans Parish, Louisiana",71,31750,22,3770,1750,240,308.0753797324877
22,71,800,22071000800,8,Census Tract 8,G5020,S,602953,0,29.9595871,-90.0198758,1400000US22071000800,"Census Tract 8, Orleans Parish, Louisiana",71,28319,22,1834,800,224,309.5456134439845
22,71,3600,22071003600,36,Census Tract 36,G5020,S,385316,0,29.9781089,-90.0736169,1400000US22071003600,"Census Tract 36, Orleans Parish, Louisiana",71,27302,22,1525,3600,345,311.41587600108494
22,71,11400,22071011400,114,Census Tract 114,G5020,S,468065,0,29.9193262,-90.1200776,1400000US22071011400,"Census Tract 114, Orleans Parish, Louisiana",71,81111,22,2025,11400,1892,310.39308061403125
22,71,8600,22071008600,86,Census Tract 86,G5020,S,329060,0,29.9448184,-90.0896678,1400000US22071008600,"Census Tract 86, Orleans Parish, Louisiana",71,16275,22,992,8600,79,311.03366423278464
22,71,1745,22071001745,17.45,Census Tract 17.45,G5020,S,1349507,793799,30.0586044,-89.9655535,1400000US22071001745,"Census Tract 17.45, Orleans Parish, Louisiana",71,23686,22,3525,1745,111,309.00549724932125
22,71,13400,22071013400,134,Census Tract 134,G5020,S,2645471,406589,29.9490375,-90.0714075,1400000US22071013400,"Census Tract 134, Orleans Parish, Louisiana",71,63083,22,2970,13400,1767,311.26719176146025
22,71,13600,22071013600,136,Census Tract 136,G5020,S,296774,0,29.9655765,-90.0357242,1400000US22071013600,"Census Tract 136, Orleans Parish, Louisiana",71,33050,22,938,13600,502,311.45008168824415
22,71,13700,22071013700,137,Census Tract 137,G5020,S,5029288,300284,29.9933757,-90.0327725,1400000US22071013700,"Census Tract 137, Orleans Parish, Louisiana",71,16286,22,2713,13700,56,308.7755072378625
22,71,13800,22071013800,138,Census Tract 138,G5020,S,890838,24038,29.9961591,-90.0800463,1400000US22071013800,"Census Tract 138, Orleans Parish, Louisiana",71,22625,22,2707,13800,61,310.0500029408719
22,71,14100,22071014100,141,Census Tract 141,G5020,S,616478,295396,29.9249233,-90.0704447,1400000US22071014100,"Census Tract 141, Orleans Parish, Louisiana",71,19608,22,2012,14100,719,309.90624591705006
