STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
36,81,3400,36081003400,34,Census Tract 34,G5020,S,213987,0,40.6847731,-73.8581871,1400000US36081003400,"Census Tract 34, Queens County, New York",81,71000,36,2561,3400,848,304.47272990282846
36,81,3900,36081003900,39,Census Tract 39,G5020,S,146970,0,40.7627994,-73.9409316,1400000US36081003900,"Census Tract 39, Queens County, New York",81,43194,36,1690,3900,881,305.28727632349194
36,81,3600,36081003600,36,Census Tract 36,G5020,S,180006,0,40.6837714,-73.8568176,1400000US36081003600,"Census Tract 36, Queens County, New York",81,79549,36,3748,3600,1191,304.1562746401853
36,81,3800,36081003800,38,Census Tract 38,G5020,S,176214,0,40.6847999,-73.8474941,1400000US36081003800,"Census Tract 38, Queens County, New York",81,73281,36,2681,3800,1042,304.3609326803748
36,81,4001,36081004001,40.01,Census Tract 40.01,G5020,S,174292,0,40.6832481,-73.8458743,1400000US36081004001,"Census Tract 40.01, Queens County, New York",81,72250,36,2422,4001,980,304.5404368013562
36,81,4200,36081004200,42,Census Tract 42,G5020,S,200287,0,40.6818145,-73.8579641,1400000US36081004200,"Census Tract 42, Queens County, New York",81,51288,36,4665,4200,791,303.64825605575095
36,81,4300,36081004300,43,Census Tract 43,G5020,S,170813,0,40.7609451,-73.9375143,1400000US36081004300,"Census Tract 43, Queens County, New York",81,25500,36,2671,4300,711,301.95949011471936
36,81,77907,36081077907,779.07,Census Tract 779.07,G5020,S,216834,0,40.7249623,-73.8184802,1400000US36081077907,"Census Tract 779.07, Queens County, New York",81,45721,36,3137,77907,2708,303.24534437593564
36,81,23500,36081023500,235,Census Tract 235,G5020,S,255537,0,40.7393490,-73.9175942,1400000US36081023500,"Census Tract 235, Queens County, New York",81,50274,36,8238,23500,4584,303.7822674728541
36,81,24000,36081024000,240,Census Tract 240,G5020,S,269562,0,40.7032775,-73.8050793,1400000US36081024000,"Census Tract 240, Queens County, New York",81,43594,36,6659,24000,1254,303.0468176458953
36,81,24300,36081024300,243,Census Tract 243,G5020,S,540125,0,40.7366667,-73.9020404,1400000US36081024300,"Census Tract 243, Queens County, New York",81,63333,36,5963,24300,3476,303.3843500668033
36,81,77908,36081077908,779.08,Census Tract 779.08,G5020,S,200497,0,40.7256168,-73.8136929,1400000US36081077908,"Census Tract 779.08, Queens County, New York",81,48857,36,4084,77908,1606,303.7493459607429
36,81,24500,36081024500,245,Census Tract 245,G5020,S,257660,0,40.7393540,-73.9050486,1400000US36081024500,"Census Tract 245, Queens County, New York",81,57377,36,5608,24500,3498,304.049854502738
36,81,24900,36081024900,249,Census Tract 249,G5020,S,204083,0,40.7431151,-73.9042554,1400000US36081024900,"Census Tract 249, Queens County, New York",81,57150,36,4981,24900,2243,303.953544602896
36,81,25100,36081025100,251,Census Tract 251,G5020,S,245619,0,40.7448223,-73.9096562,1400000US36081025100,"Census Tract 251, Queens County, New York",81,52368,36,6339,25100,3483,303.0114141872959
36,81,25500,36081025500,255,Census Tract 255,G5020,S,218247,0,40.7504263,-73.9079200,1400000US36081025500,"Census Tract 255, Queens County, New York",81,72981,36,1410,25500,775,305.64113666634154
36,81,25700,36081025700,257,Census Tract 257,G5020,S,150587,0,40.7501044,-73.9051748,1400000US36081025700,"Census Tract 257, Queens County, New York",81,60000,36,1422,25700,788,304.97064127235154
