STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
34,13,8900,34013008900,89,Census Tract 89,G5020,S,137212,0,40.7551992,-74.1755375,1400000US34013008900,"Census Tract 89, Essex County, New Jersey",13,24830,34,1961,8900,489,304.745588914668
34,13,1600,34013001600,16,Census Tract 16,G5020,S,261037,0,40.7509480,-74.1928048,1400000US34013001600,"Census Tract 16, Essex County, New Jersey",13,34306,34,1792,1600,302,305.49344324077236
34,13,9400,34013009400,94,Census Tract 94,G5020,S,622913,0,40.7665025,-74.1729955,1400000US34013009400,"Census Tract 94, Essex County, New Jersey",13,50048,34,5591,9400,2893,303.2704226032632
34,13,700,34013000700,7,Census Tract 7,G5020,S,653283,0,40.7593348,-74.1919364,1400000US34013000700,"Census Tract 7, Essex County, New Jersey",13,29412,34,6855,700,1778,304.99649624104353
34,13,2202,34013002202,22.02,Census Tract 22.02,G5020,S,386950,0,40.7353315,-74.2400614,1400000US34013002202,"Census Tract 22.02, Essex County, New Jersey",13,50192,34,3389,2202,156,305.1818205367788
34,13,300,34013000300,3,Census Tract 3,G5020,S,327803,0,40.7772697,-74.1782731,1400000US34013000300,"Census Tract 3, Essex County, New Jersey",13,19746,34,3777,300,1160,304.95602522131907
34,13,1500,34013001500,15,Census Tract 15,G5020,S,237651,0,40.7462516,-74.1918795,1400000US34013001500,"Census Tract 15, Essex County, New Jersey",13,18382,34,1816,1500,83,306.52144767700156
34,13,22800,34013022800,228,Census Tract 228,G5020,S,316961,0,40.7333863,-74.1842926,1400000US34013022800,"Census Tract 228, Essex County, New Jersey",13,16537,34,2247,22800,141,306.0865193018945
34,13,7800,34013007800,78,Census Tract 78,G5020,S,197685,0,40.7272878,-74.1670688,1400000US34013007800,"Census Tract 78, Essex County, New Jersey",13,46148,34,4026,7800,1982,306.98918429159636
34,13,5100,34013005100,51,Census Tract 51,G5020,S,308433,0,40.7145640,-74.2068234,1400000US34013005100,"Census Tract 51, Essex County, New Jersey",13,44013,34,2161,5100,118,305.1425323190034
34,13,2100,34013002100,21,Census Tract 21,G5020,S,438393,0,40.7432015,-74.2346173,1400000US34013002100,"Census Tract 21, Essex County, New Jersey",13,57625,34,3582,2100,50,304.49756005418027
34,13,2201,34013002201,22.01,Census Tract 22.01,G5020,S,560047,0,40.7376786,-74.2452591,1400000US34013002201,"Census Tract 22.01, Essex County, New Jersey",13,34028,34,8736,2201,628,303.85375636149126
34,13,2500,34013002500,25,Census Tract 25,G5020,S,373349,0,40.7437187,-74.2209241,1400000US34013002500,"Census Tract 25, Essex County, New Jersey",13,32647,34,3491,2500,65,304.66108922824617
34,13,2000,34013002000,20,Census Tract 20,G5020,S,406087,0,40.7486312,-74.2319149,1400000US34013002000,"Census Tract 20, Essex County, New Jersey",13,35635,34,4623,2000,26,304.55284572815845
34,13,2600,34013002600,26,Census Tract 26,G5020,S,206227,0,40.7397820,-74.2086392,1400000US34013002600,"Census Tract 26, Essex County, New Jersey",13,17308,34,1907,2600,37,305.27606185354904
34,13,2800,34013002800,28,Census Tract 28,G5020,S,214167,0,40.7359373,-74.2008767,1400000US34013002800,"Census Tract 28, Essex County, New Jersey",13,27578,34,1567,2800,42,305.99734599785495
34,13,3900,34013003900,39,Census Tract 39,G5020,S,308176,0,40.7270499,-74.1945932,1400000US34013003900,"Census Tract 39, Essex County, New Jersey",13,15909,34,1167,3900,0,306.0553158368349
34,13,4100,34013004100,41,Census Tract 41,G5020,S,347849,0,40.7246108,-74.2059732,1400000US34013004100,"Census Tract 41, Essex County, New Jersey",13,21544,34,2534,4100,0,304.79513535629565
34,13,4802,34013004802,48.02,Census Tract 48.02,G5020,S,2336363,0,40.6994665,-74.2027863,1400000US34013004802,"Census Tract 48.02, Essex County, New Jersey",13,13909,34,3038,4802,491,302.02859669975277
34,13,5200,34013005200,52,Census Tract 52,G5020,S,268643,0,40.7191637,-74.2131884,1400000US34013005200,"Census Tract 52, Essex County, New Jersey",13,55924,34,1547,5200,15,304.9234140046142
34,13,7200,34013007200,72,Census Tract 72,G5020,S,203449,0,40.7240163,-74.1537615,1400000US34013007200,"Census Tract 72, Essex County, New Jersey",13,61776,34,4162,7200,3181,306.73003683280496
34,13,7300,34013007300,73,Census Tract 73,G5020,S,411980,0,40.7274683,-74.1500143,1400000US34013007300,"Census Tract 73, Essex County, New Jersey",13,48952,34,5986,7300,3707,307.20584101796493
