STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
51,710,6601,51710006601,66.01,Census Tract 66.01,G5020,S,727397,27766,36.9252267,-76.2300515,1400000US51710006601,"Census Tract 66.01, Norfolk city, Virginia",710,61389,51,688,6601,487,302.71064329752875
51,710,400,51710000400,4,Census Tract 4,G5020,S,1157417,6429768,36.9650231,-76.2907359,1400000US51710000400,"Census Tract 4, Norfolk city, Virginia",710,53889,51,3592,400,2351,295.73762193407987
51,710,500,51710000500,5,Census Tract 5,G5020,S,1111881,0,36.9474867,-76.2632171,1400000US51710000500,"Census Tract 5, Norfolk city, Virginia",710,50389,51,3085,500,2090,304.28295374562134
51,710,600,51710000600,6,Census Tract 6,G5020,S,1238378,0,36.9403925,-76.2534664,1400000US51710000600,"Census Tract 6, Norfolk city, Virginia",710,49475,51,4556,600,2408,304.414020693954
51,710,800,51710000800,8,Census Tract 8,G5020,S,941358,204737,36.9378793,-76.2687837,1400000US51710000800,"Census Tract 8, Norfolk city, Virginia",710,46940,51,1916,800,1191,302.71064329752875
51,710,1100,51710001100,11,Census Tract 11,G5020,S,660075,0,36.9296813,-76.3122741,1400000US51710001100,"Census Tract 11, Norfolk city, Virginia",710,36387,51,2513,1100,822,305.0852616216355
51,710,1200,51710001200,12,Census Tract 12,G5020,S,2001429,1416159,36.9110890,-76.3051537,1400000US51710001200,"Census Tract 12, Norfolk city, Virginia",710,61970,51,3979,1200,2672,302.4538885484195
51,710,1400,51710001400,14,Census Tract 14,G5020,S,1359452,57427,36.9080035,-76.2679909,1400000US51710001400,"Census Tract 14, Norfolk city, Virginia",710,38199,51,2573,1400,1610,303.00113384785266
51,710,1500,51710001500,15,Census Tract 15,G5020,S,861348,91920,36.9134612,-76.2844792,1400000US51710001500,"Census Tract 15, Norfolk city, Virginia",710,63224,51,1895,1500,1154,303.7300430566437
51,710,1600,51710001600,16,Census Tract 16,G5020,S,519094,8666,36.9129632,-76.2957008,1400000US51710001600,"Census Tract 16, Norfolk city, Virginia",710,41005,51,1968,1600,152,305.49792135922894
51,710,2000,51710002000,20,Census Tract 20,G5020,S,922707,249522,36.8966314,-76.2604123,1400000US51710002000,"Census Tract 20, Norfolk city, Virginia",710,66510,51,1528,2000,1120,303.79134772321555
51,710,2100,51710002100,21,Census Tract 21,G5020,S,1309812,511273,36.8892141,-76.2688749,1400000US51710002100,"Census Tract 21, Norfolk city, Virginia",710,82031,51,1534,2100,1254,301.4792651982956
51,710,2300,51710002300,23,Census Tract 23,G5020,S,949912,614755,36.8977324,-76.2976672,1400000US51710002300,"Census Tract 23, Norfolk city, Virginia",710,99821,51,2026,2300,1790,304.4817596235957
51,710,2400,51710002400,24,Census Tract 24,G5020,S,1463332,2333983,36.8974493,-76.3136903,1400000US51710002400,"Census Tract 24, Norfolk city, Virginia",710,100592,51,3870,2400,3682,303.67098011160164
51,710,2500,51710002500,25,Census Tract 25,G5020,S,1392464,40067,36.8821639,-76.3067789,1400000US51710002500,"Census Tract 25, Norfolk city, Virginia",710,25662,51,5447,2500,2703,306.8319871404027
51,710,2700,51710002700,27,Census Tract 27,G5020,S,988957,0,36.8762246,-76.2949786,1400000US51710002700,"Census Tract 27, Norfolk city, Virginia",710,32316,51,3338,2700,532,307.1019803783562
51,710,1700,51710001700,17,Census Tract 17,G5020,S,1066503,259932,36.9050782,-76.2826278,1400000US51710001700,"Census Tract 17, Norfolk city, Virginia",710,44943,51,2080,1700,1228,303.94787697637486
51,710,2800,51710002800,28,Census Tract 28,G5020,S,1307960,369370,36.8859436,-76.2847893,1400000US51710002800,"Census Tract 28, Norfolk city, Virginia",710,75043,51,4143,2800,2865,304.9099172105344
51,710,2900,51710002900,29,Census Tract 29,G5020,S,1782644,133406,36.8753822,-76.2796559,1400000US51710002900,"Census Tract 29, Norfolk city, Virginia",710,26855,51,3608,2900,440,306.5070112216853
51,710,3000,51710003000,30,Census Tract 30,G5020,S,983284,234815,36.8771858,-76.2693396,1400000US51710003000,"Census Tract 30, Norfolk city, Virginia",710,59458,51,1846,3000,1144,303.6459834196618
