STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
32,3,3634,32003003634,36.34,Census Tract 36.34,G5020,S,1358939,0,36.2541673,-115.1754470,1400000US32003003634,"Census Tract 36.34, Clark County, Nevada",3,51982,32,4634,3634,2593,318.84515590266267
32,3,3635,32003003635,36.35,Census Tract 36.35,G5020,S,1529248,0,36.2680682,-115.1655868,1400000US32003003635,"Census Tract 36.35, Clark County, Nevada",3,64211,32,6076,3635,2910,317.4577290887577
32,3,3622,32003003622,36.22,Census Tract 36.22,G5020,S,6136973,0,36.2845463,-115.1510416,1400000US32003003622,"Census Tract 36.22, Clark County, Nevada",3,73750,32,6914,3622,3861,318.3137896078481
32,3,3644,32003003644,36.44,Census Tract 36.44,G5020,S,1297811,0,36.2212629,-115.1614048,1400000US32003003644,"Census Tract 36.44, Clark County, Nevada",3,45875,32,5359,3644,2361,319.72296158823326
32,3,3642,32003003642,36.42,Census Tract 36.42,G5020,S,2619136,0,36.2250523,-115.1431647,1400000US32003003642,"Census Tract 36.42, Clark County, Nevada",3,73482,32,4113,3642,1701,319.00801469089055
32,3,4602,32003004602,46.02,Census Tract 46.02,G5020,S,2435827,0,36.2258874,-115.1031586,1400000US32003004602,"Census Tract 46.02, Clark County, Nevada",3,29174,32,2751,4602,1304,321.129148944352
32,3,4601,32003004601,46.01,Census Tract 46.01,G5020,S,1712286,0,36.2232755,-115.1133451,1400000US32003004601,"Census Tract 46.01, Clark County, Nevada",3,35807,32,5384,4601,2523,320.4403073767781
32,3,3616,32003003616,36.16,Census Tract 36.16,G5020,S,8744658,0,36.2077284,-115.1827474,1400000US32003003616,"Census Tract 36.16, Clark County, Nevada",3,33125,32,4720,3616,1704,320.30514256758056
32,3,4402,32003004402,44.02,Census Tract 44.02,G5020,S,783558,0,36.2064306,-115.1265328,1400000US32003004402,"Census Tract 44.02, Clark County, Nevada",3,27721,32,3741,4402,2276,321.1709710649046
32,3,4301,32003004301,43.01,Census Tract 43.01,G5020,S,368339,0,36.2053587,-115.1107992,1400000US32003004301,"Census Tract 43.01, Clark County, Nevada",3,26731,32,1579,4301,769,322.0098050370224
32,3,4302,32003004302,43.02,Census Tract 43.02,G5020,S,839425,0,36.1997128,-115.1126924,1400000US32003004302,"Census Tract 43.02, Clark County, Nevada",3,25721,32,3577,4302,1929,321.56568609241714
32,3,3621,32003003621,36.21,Census Tract 36.21,G5020,S,2048163,0,36.3000864,-115.1799170,1400000US32003003621,"Census Tract 36.21, Clark County, Nevada",3,52540,32,3052,3621,2501,317.4577290887577
32,3,3619,32003003619,36.19,Census Tract 36.19,G5020,S,1689913,0,36.2898053,-115.1898973,1400000US32003003619,"Census Tract 36.19, Clark County, Nevada",3,124698,32,3852,3619,1776,318.1989354400443
32,3,4500,32003004500,45,Census Tract 45,G5020,S,1351319,0,36.2135821,-115.1175468,1400000US32003004500,"Census Tract 45, Clark County, Nevada",3,37108,32,4709,4500,2721,321.01058631021016
32,3,3610,32003003610,36.10,Census Tract 36.10,G5020,S,2703326,0,36.2394144,-115.1802273,1400000US32003003610,"Census Tract 36.10, Clark County, Nevada",3,68952,32,5752,3610,3475,319.1888595251359
32,3,3612,32003003612,36.12,Census Tract 36.12,G5020,S,2727271,0,36.2246493,-115.1981764,1400000US32003003612,"Census Tract 36.12, Clark County, Nevada",3,61685,32,7938,3612,4539,319.40072742184526
32,3,3613,32003003613,36.13,Census Tract 36.13,G5020,S,2606001,0,36.2248012,-115.1798033,1400000US32003003613,"Census Tract 36.13, Clark County, Nevada",3,57318,32,7289,3613,3851,319.1706845453924
32,3,3615,32003003615,36.15,Census Tract 36.15,G5020,S,2568091,0,36.2396345,-115.1255528,1400000US32003003615,"Census Tract 36.15, Clark County, Nevada",3,43811,32,2666,3615,1306,318.86539710885705
32,3,3700,32003003700,37,Census Tract 37,G5020,S,4564796,0,36.2077169,-115.1414214,1400000US32003003700,"Census Tract 37, Clark County, Nevada",3,31313,32,2466,3700,336,319.9400541108927
32,3,3800,32003003800,38,Census Tract 38,G5020,S,2217912,0,36.1963929,-115.1304238,1400000US32003003800,"Census Tract 38, Clark County, Nevada",3,23653,32,3852,3800,1932,320.978687093837
32,3,4000,32003004000,40,Census Tract 40,G5020,S,1097145,0,36.1910182,-115.1230878,1400000US32003004000,"Census Tract 40, Clark County, Nevada",3,32474,32,3205,4000,2004,321.647078623303
32,3,4715,32003004715,47.15,Census Tract 47.15,G5020,S,1436301,0,36.2364181,-115.0892448,1400000US32003004715,"Census Tract 47.15, Clark County, Nevada",3,38092,32,5771,4715,2756,319.9551175954465
