STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
6,1,408000,6001408000,4080,Census Tract 4080,G5020,S,1955676,0,37.8029607,-122.1828709,1400000US06001408000,"Census Tract 4080, Alameda County, California",1,151667,6,2762,408000,1525,310.6449590469505
6,1,404300,6001404300,4043,Census Tract 4043,G5020,S,1827346,25272,37.8446717,-122.2381046,1400000US06001404300,"Census Tract 4043, Alameda County, California",1,194500,6,3324,404300,2191,309.6995192558198
6,1,405301,6001405301,4053.01,Census Tract 4053.01,G5020,S,227753,0,37.8020757,-122.2513558,1400000US06001405301,"Census Tract 4053.01, Alameda County, California",1,62500,6,3019,405301,1552,312.5506113047196
6,1,982000,6001982000,9820,Census Tract 9820,G5020,S,1269350,269265,37.7961600,-122.2935358,1400000US06001982000,"Census Tract 9820, Alameda County, California",1,124063,6,66,982000,40,313.4832604574273
6,1,403502,6001403502,4035.02,Census Tract 4035.02,G5020,S,182461,0,37.8159619,-122.2569401,1400000US06001403502,"Census Tract 4035.02, Alameda County, California",1,63678,6,2066,403502,1036,312.1610446931963
6,1,403702,6001403702,4037.02,Census Tract 4037.02,G5020,S,199100,0,37.8094979,-122.2520933,1400000US06001403702,"Census Tract 4037.02, Alameda County, California",1,83603,6,1901,403702,1087,311.51739817872476
6,1,408200,6001408200,4082,Census Tract 4082,G5020,S,901765,0,37.7751005,-122.1755728,1400000US06001408200,"Census Tract 4082, Alameda County, California",1,58207,6,4489,408200,1011,312.92741340697154
6,1,408400,6001408400,4084,Census Tract 4084,G5020,S,542658,0,37.7646056,-122.1709595,1400000US06001408400,"Census Tract 4084, Alameda County, California",1,36133,6,3310,408400,904,315.61145757730475
6,1,408500,6001408500,4085,Census Tract 4085,G5020,S,831360,0,37.7604176,-122.1785112,1400000US06001408500,"Census Tract 4085, Alameda County, California",1,47333,6,5932,408500,530,315.4403935419855
6,1,408600,6001408600,4086,Census Tract 4086,G5020,S,1061441,0,37.7661975,-122.1823030,1400000US06001408600,"Census Tract 4086, Alameda County, California",1,32185,6,6680,408600,1375,315.80817489399067
6,1,408700,6001408700,4087,Census Tract 4087,G5020,S,1130613,0,37.7688608,-122.1889459,1400000US06001408700,"Census Tract 4087, Alameda County, California",1,47228,6,7734,408700,1619,315.8454157212
6,1,408800,6001408800,4088,Census Tract 4088,G5020,S,1204352,0,37.7588039,-122.1969422,1400000US06001408800,"Census Tract 4088, Alameda County, California",1,26156,6,6276,408800,543,314.52544065924155
6,1,408900,6001408900,4089,Census Tract 4089,G5020,S,802406,0,37.7541816,-122.1887803,1400000US06001408900,"Census Tract 4089, Alameda County, California",1,31318,6,3050,408900,804,315.2608043461733
6,1,409100,6001409100,4091,Census Tract 4091,G5020,S,490550,0,37.7323419,-122.1834828,1400000US06001409100,"Census Tract 4091, Alameda County, California",1,48065,6,2233,409100,614,315.70674559119664
6,1,409200,6001409200,4092,Census Tract 4092,G5020,S,716800,0,37.7290830,-122.1778389,1400000US06001409200,"Census Tract 4092, Alameda County, California",1,49783,6,3605,409200,428,315.3293461198756
6,1,409300,6001409300,4093,Census Tract 4093,G5020,S,1076280,0,37.7378466,-122.1733599,1400000US06001409300,"Census Tract 4093, Alameda County, California",1,37490,6,5110,409300,1125,316.02113818676355
6,1,409400,6001409400,4094,Census Tract 4094,G5020,S,1253613,0,37.7446130,-122.1803623,1400000US06001409400,"Census Tract 4094, Alameda County, California",1,42344,6,5311,409400,1381,315.6642885039982
6,1,409500,6001409500,4095,Census Tract 4095,G5020,S,836612,0,37.7504463,-122.1837659,1400000US06001409500,"Census Tract 4095, Alameda County, California",1,33963,6,4613,409500,1259,315.49329082185534
6,1,409600,6001409600,4096,Census Tract 4096,G5020,S,747478,0,37.7532669,-122.1726197,1400000US06001409600,"Census Tract 4096, Alameda County, California",1,44542,6,4680,409600,941,315.85369008181056
6,1,409700,6001409700,4097,Census Tract 4097,G5020,S,811304,0,37.7564187,-122.1658929,1400000US06001409700,"Census Tract 4097, Alameda County, California",1,45163,6,5402,409700,1175,315.55135045459815
6,1,410100,6001410100,4101,Census Tract 4101,G5020,S,784437,0,37.7478641,-122.1535294,1400000US06001410100,"Census Tract 4101, Alameda County, California",1,60089,6,2776,410100,671,314.49201490170816
6,1,410200,6001410200,4102,Census Tract 4102,G5020,S,585845,0,37.7453063,-122.1571742,1400000US06001410200,"Census Tract 4102, Alameda County, California",1,56534,6,3370,410200,524,315.669466905136
6,1,410400,6001410400,4104,Census Tract 4104,G5020,S,706611,0,37.7408161,-122.1621741,1400000US06001410400,"Census Tract 4104, Alameda County, California",1,69258,6,4146,410400,1056,315.8330032403929
6,1,407000,6001407000,4070,Census Tract 4070,G5020,S,862936,0,37.7879458,-122.2024901,1400000US06001407000,"Census Tract 4070, Alameda County, California",1,52087,6,6020,407000,1241,315.2670368445668
6,1,407200,6001407200,4072,Census Tract 4072,G5020,S,715071,0,37.7777848,-122.2192819,1400000US06001407200,"Census Tract 4072, Alameda County, California",1,38660,6,7064,407200,2509,315.3708697828532
6,1,407300,6001407300,4073,Census Tract 4073,G5020,S,2370917,209265,37.7621786,-122.2109235,1400000US06001407300,"Census Tract 4073, Alameda County, California",1,54150,6,2485,407300,1097,315.01126963603787
6,1,407400,6001407400,4074,Census Tract 4074,G5020,S,511491,0,37.7710407,-122.2067479,1400000US06001407400,"Census Tract 4074, Alameda County, California",1,49722,6,4205,407400,776,316.0087416536921
6,1,407600,6001407600,4076,Census Tract 4076,G5020,S,1022712,0,37.7775293,-122.2031992,1400000US06001407600,"Census Tract 4076, Alameda County, California",1,58619,6,6502,407600,1036,314.9415258645842
6,1,407700,6001407700,4077,Census Tract 4077,G5020,S,918668,0,37.7765228,-122.1931965,1400000US06001407700,"Census Tract 4077, Alameda County, California",1,74402,6,4240,407700,1410,314.93944340946103
6,1,407800,6001407800,4078,Census Tract 4078,G5020,S,1234692,0,37.7817417,-122.1866598,1400000US06001407800,"Census Tract 4078, Alameda County, California",1,89583,6,2742,407800,1007,310.9736083812464
6,1,404101,6001404101,4041.01,Census Tract 4041.01,G5020,S,571739,0,37.8300795,-122.2498160,1400000US06001404101,"Census Tract 4041.01, Alameda County, California",1,95288,6,3033,404101,2125,312.8692692004364
6,1,405302,6001405302,4053.02,Census Tract 4053.02,G5020,S,205566,0,37.7985075,-122.2543138,1400000US06001405302,"Census Tract 4053.02, Alameda County, California",1,41111,6,2446,405302,885,313.710418439086
6,1,405600,6001405600,4056,Census Tract 4056,G5020,S,428774,0,37.8008019,-122.2372726,1400000US06001405600,"Census Tract 4056, Alameda County, California",1,58138,6,3171,405600,1221,312.9622877608835
6,1,406400,6001406400,4064,Census Tract 4064,G5020,S,487914,77534,37.7968060,-122.2217201,1400000US06001406400,"Census Tract 4064, Alameda County, California",1,67102,6,2355,406400,865,313.40534915977435
6,1,405700,6001405700,4057,Census Tract 4057,G5020,S,546860,0,37.7982307,-122.2296737,1400000US06001405700,"Census Tract 4057, Alameda County, California",1,50344,6,3760,405700,814,313.4495746490752
6,1,405800,6001405800,4058,Census Tract 4058,G5020,S,519054,0,37.7939452,-122.2330985,1400000US06001405800,"Census Tract 4058, Alameda County, California",1,38794,6,4472,405800,1008,314.080828028212
6,1,404700,6001404700,4047,Census Tract 4047,G5020,S,1200169,0,37.8133426,-122.2069935,1400000US06001404700,"Census Tract 4047, Alameda County, California",1,159856,6,2084,404700,1556,309.8370129050608
6,1,404800,6001404800,4048,Census Tract 4048,G5020,S,628405,0,37.8055076,-122.2131962,1400000US06001404800,"Census Tract 4048, Alameda County, California",1,72833,6,2723,404800,1367,312.11000844865345
6,1,405200,6001405200,4052,Census Tract 4052,G5020,S,858122,0,37.8052770,-122.2433878,1400000US06001405200,"Census Tract 4052, Alameda County, California",1,77688,6,5125,405200,1930,312.6385566688692
6,1,405500,6001405500,4055,Census Tract 4055,G5020,S,411721,0,37.7982821,-122.2432790,1400000US06001405500,"Census Tract 4055, Alameda County, California",1,56005,6,4124,405500,1152,313.63684457167517
6,1,405100,6001405100,4051,Census Tract 4051,G5020,S,1256531,0,37.8114250,-122.2322365,1400000US06001405100,"Census Tract 4051, Alameda County, California",1,191705,6,4334,405100,2777,310.25617362213916
6,1,404900,6001404900,4049,Census Tract 4049,G5020,S,1011185,0,37.8041422,-122.2215059,1400000US06001404900,"Census Tract 4049, Alameda County, California",1,100625,6,3937,404900,2485,313.5695416937844
6,1,405401,6001405401,4054.01,Census Tract 4054.01,G5020,S,313930,0,37.7965384,-122.2494562,1400000US06001405401,"Census Tract 4054.01, Alameda County, California",1,46790,6,4014,405401,1061,313.67258549024393
6,1,406602,6001406602,4066.02,Census Tract 4066.02,G5020,S,414724,0,37.7964782,-122.2143072,1400000US06001406602,"Census Tract 4066.02, Alameda County, California",1,47182,6,2815,406602,646,314.14682796953537
6,1,407101,6001407101,4071.01,Census Tract 4071.01,G5020,S,370838,0,37.7831287,-122.2143966,1400000US06001407101,"Census Tract 4071.01, Alameda County, California",1,52068,6,3444,407101,953,315.08825841987033
6,1,407102,6001407102,4071.02,Census Tract 4071.02,G5020,S,660863,0,37.7807761,-122.2102385,1400000US06001407102,"Census Tract 4071.02, Alameda County, California",1,52383,6,4106,407102,1490,315.34180454973176
6,1,406201,6001406201,4062.01,Census Tract 4062.01,G5020,S,408076,0,37.7850449,-122.2307360,1400000US06001406201,"Census Tract 4062.01, Alameda County, California",1,41563,6,4399,406201,969,314.8352798351703
6,1,406202,6001406202,4062.02,Census Tract 4062.02,G5020,S,392183,0,37.7819786,-122.2265557,1400000US06001406202,"Census Tract 4062.02, Alameda County, California",1,34351,6,4597,406202,1948,315.0175135975596
6,1,406300,6001406300,4063,Census Tract 4063,G5020,S,485744,0,37.7892881,-122.2250125,1400000US06001406300,"Census Tract 4063, Alameda County, California",1,45015,6,4128,406300,1148,314.6340173037117
6,1,406100,6001406100,4061,Census Tract 4061,G5020,S,1843703,74875,37.7741755,-122.2275801,1400000US06001406100,"Census Tract 4061, Alameda County, California",1,44298,6,4629,406100,1582,314.78212555674787
6,1,410000,6001410000,4100,Census Tract 4100,G5020,S,6562265,145283,37.7447566,-122.1332163,1400000US06001410000,"Census Tract 4100, Alameda County, California",1,111688,6,3549,410000,1290,309.01420918026423
6,1,407900,6001407900,4079,Census Tract 4079,G5020,S,1099097,0,37.7884273,-122.1847831,1400000US06001407900,"Census Tract 4079, Alameda County, California",1,115563,6,2971,407900,1406,312.4541223419574
6,1,401400,6001401400,4014,Census Tract 4014,G5020,S,758204,0,37.8207560,-122.2733874,1400000US06001401400,"Census Tract 4014, Alameda County, California",1,30479,6,4013,401400,1327,313.63684457167517
6,1,400500,6001400500,4005,Census Tract 4005,G5020,S,590307,0,37.8485412,-122.2647277,1400000US06001400500,"Census Tract 4005, Alameda County, California",1,92375,6,3944,400500,2334,312.5389515267545
6,1,409000,6001409000,4090,Census Tract 4090,G5020,S,16927915,4382424,37.7296943,-122.2161623,1400000US06001409000,"Census Tract 4090, Alameda County, California",1,44474,6,3775,409000,745,313.0995829360477
6,1,401500,6001401500,4015,Census Tract 4015,G5020,S,467740,0,37.8229286,-122.2806336,1400000US06001401500,"Census Tract 4015, Alameda County, California",1,54464,6,2638,401500,1116,313.47273455255
6,1,401600,6001401600,4016,Census Tract 4016,G5020,S,636068,0,37.8173716,-122.2814825,1400000US06001401600,"Census Tract 4016, Alameda County, California",1,45240,6,2098,401600,640,313.7892028428206
6,1,402400,6001402400,4024,Census Tract 4024,G5020,S,337079,0,37.8120310,-122.2824569,1400000US06001402400,"Census Tract 4024, Alameda County, California",1,36867,6,2820,402400,748,313.23884602129124
6,1,402200,6001402200,4022,Census Tract 4022,G5020,S,712081,0,37.8063521,-122.2963073,1400000US06001402200,"Census Tract 4022, Alameda County, California",1,47000,6,2557,402200,1035,313.2557165358437
6,1,402500,6001402500,4025,Census Tract 4025,G5020,S,365454,0,37.8057305,-122.2847803,1400000US06001402500,"Census Tract 4025, Alameda County, California",1,19931,6,1770,402500,181,313.63684457167517
6,1,402600,6001402600,4026,Census Tract 4026,G5020,S,318842,0,37.8042701,-122.2799551,1400000US06001402600,"Census Tract 4026, Alameda County, California",1,21250,6,1241,402600,205,312.84177401418924
6,1,402700,6001402700,4027,Census Tract 4027,G5020,S,398820,0,37.8103873,-122.2769910,1400000US06001402700,"Census Tract 4027, Alameda County, California",1,59688,6,1826,402700,593,312.9781367251359
6,1,402800,6001402800,4028,Census Tract 4028,G5020,S,398312,0,37.8087180,-122.2715001,1400000US06001402800,"Census Tract 4028, Alameda County, California",1,37250,6,4255,402800,1340,313.63684457167517
6,1,403000,6001403000,4030,Census Tract 4030,G5020,S,352394,0,37.8004341,-122.2707274,1400000US06001403000,"Census Tract 4030, Alameda County, California",1,22711,6,3251,403000,204,313.79235325745054
6,1,403100,6001403100,4031,Census Tract 4031,G5020,S,346852,0,37.8022741,-122.2755012,1400000US06001403100,"Census Tract 4031, Alameda County, California",1,72813,6,1830,403100,500,312.0749096153507
6,1,403300,6001403300,4033,Census Tract 4033,G5020,S,915837,96764,37.7944308,-122.2663244,1400000US06001403300,"Census Tract 4033, Alameda County, California",1,56673,6,4743,403300,1176,313.09747177208044
6,1,404501,6001404501,4045.01,Census Tract 4045.01,G5020,S,1087924,5141,37.8271275,-122.2171515,1400000US06001404501,"Census Tract 4045.01, Alameda County, California",1,185313,6,1857,404501,1329,309.8510788469323
6,1,403800,6001403800,4038,Census Tract 4038,G5020,S,652450,0,37.8148228,-122.2416681,1400000US06001403800,"Census Tract 4038, Alameda County, California",1,84815,6,3299,403800,2377,312.2779286493837
6,1,403900,6001403900,4039,Census Tract 4039,G5020,S,493102,0,37.8171784,-122.2487713,1400000US06001403900,"Census Tract 4039, Alameda County, California",1,85571,6,3989,403900,2250,312.75713782268434
6,1,404000,6001404000,4040,Census Tract 4040,G5020,S,366986,0,37.8233126,-122.2536627,1400000US06001404000,"Census Tract 4040, Alameda County, California",1,79398,6,3033,404000,1908,312.56121021516304
6,1,403400,6001403400,4034,Census Tract 4034,G5020,S,664234,602434,37.8026482,-122.2626597,1400000US06001403400,"Census Tract 4034, Alameda County, California",1,59730,6,4401,403400,1969,308.9237942591379
6,1,403600,6001403600,4036,Census Tract 4036,G5020,S,391491,0,37.8135075,-122.2534803,1400000US06001403600,"Census Tract 4036, Alameda County, California",1,73513,6,5025,403600,2020,312.7402041262433
6,1,409800,6001409800,4098,Census Tract 4098,G5020,S,1790024,0,37.7603611,-122.1557637,1400000US06001409800,"Census Tract 4098, Alameda County, California",1,73125,6,3515,409800,514,312.06320793571865
6,1,400600,6001400600,4006,Census Tract 4006,G5020,S,297856,0,37.8419909,-122.2648882,1400000US06001400600,"Census Tract 4006, Alameda County, California",1,86458,6,1635,400600,801,312.428663016587
6,1,400100,6001400100,4001,Census Tract 4001,G5020,S,6894340,0,37.8676275,-122.2319460,1400000US06001400100,"Census Tract 4001, Alameda County, California",1,208393,6,2991,400100,2132,306.31918687132816
6,1,408100,6001408100,4081,Census Tract 4081,G5020,S,8935571,0,37.7853987,-122.1572109,1400000US06001408100,"Census Tract 4081, Alameda County, California",1,121484,6,6346,408100,2654,308.9237942591379
6,1,404502,6001404502,4045.02,Census Tract 4045.02,G5020,S,3071447,0,37.8345259,-122.2026155,1400000US06001404502,"Census Tract 4045.02, Alameda County, California",1,153169,6,5556,404502,3944,308.4554540155789
6,1,406800,6001406800,4068,Census Tract 4068,G5020,S,912527,0,37.7978944,-122.1949575,1400000US06001406800,"Census Tract 4068, Alameda County, California",1,91050,6,3613,406800,1443,313.5527106929306
6,1,405000,6001405000,4050,Census Tract 4050,G5020,S,800378,0,37.8120851,-122.2190899,1400000US06001405000,"Census Tract 4050, Alameda County, California",1,128125,6,3328,405000,2189,310.99720503089964
6,1,400900,6001400900,4009,Census Tract 4009,G5020,S,420877,0,37.8394912,-122.2802646,1400000US06001400900,"Census Tract 4009, Alameda County, California",1,57011,6,2394,400900,1158,312.33102366923765
6,1,400700,6001400700,4007,Census Tract 4007,G5020,S,880303,0,37.8417667,-122.2723529,1400000US06001400700,"Census Tract 4007, Alameda County, California",1,55066,6,4837,400700,2080,312.74972959556635
6,1,400800,6001400800,4008,Census Tract 4008,G5020,S,696240,0,37.8454675,-122.2833944,1400000US06001400800,"Census Tract 4008, Alameda County, California",1,64788,6,3796,400800,1623,311.3506467746219
6,1,400200,6001400200,4002,Census Tract 4002,G5020,S,587450,0,37.8481386,-122.2495968,1400000US06001400200,"Census Tract 4002, Alameda County, California",1,147500,6,1997,400200,1532,310.6707653058605
6,1,410300,6001410300,4103,Census Tract 4103,G5020,S,578329,0,37.7466798,-122.1661407,1400000US06001410300,"Census Tract 4103, Alameda County, California",1,51034,6,3598,410300,909,315.5430577360945
6,1,409900,6001409900,4099,Census Tract 4099,G5020,S,4332544,0,37.7619727,-122.1358250,1400000US06001409900,"Census Tract 4099, Alameda County, California",1,105833,6,3464,409900,961,310.0046231511303
6,1,406000,6001406000,4060,Census Tract 4060,G5020,S,2113988,467979,37.7915385,-122.2513420,1400000US06001406000,"Census Tract 4060, Alameda County, California",1,35457,6,3184,406000,837,313.2789100174327
6,1,404200,6001404200,4042,Census Tract 4042,G5020,S,2724001,0,37.8361135,-122.2344665,1400000US06001404200,"Census Tract 4042, Alameda County, California",1,156364,6,3600,404200,2678,309.8683886847932
6,1,400300,6001400300,4003,Census Tract 4003,G5020,S,1105329,0,37.8405983,-122.2544365,1400000US06001400300,"Census Tract 4003, Alameda County, California",1,88173,6,5123,400300,3712,312.45624373205555
6,1,407500,6001407500,4075,Census Tract 4075,G5020,S,494511,0,37.7695150,-122.1976091,1400000US06001407500,"Census Tract 4075, Alameda County, California",1,31516,6,4362,407500,835,315.89505436930136
6,1,408300,6001408300,4083,Census Tract 4083,G5020,S,1521670,0,37.7710979,-122.1645167,1400000US06001408300,"Census Tract 4083, Alameda County, California",1,83917,6,5172,408300,1412,312.40956531784974
6,1,401800,6001401800,4018,Census Tract 4018,G5020,S,298634,0,37.8095326,-122.2982355,1400000US06001401800,"Census Tract 4018, Alameda County, California",1,31042,6,1928,401800,617,313.3273924822922
6,1,400400,6001400400,4004,Census Tract 4004,G5020,S,714728,0,37.8482803,-122.2574533,1400000US06001400400,"Census Tract 4004, Alameda County, California",1,102821,6,3991,400400,2763,311.7308737685793
6,1,401000,6001401000,4010,Census Tract 4010,G5020,S,1144333,0,37.8312255,-122.2719014,1400000US06001401000,"Census Tract 4010, Alameda County, California",1,60443,6,6247,401000,2182,313.61476453892254
6,1,404400,6001404400,4044,Census Tract 4044,G5020,S,4119675,0,37.8462430,-122.2150688,1400000US06001404400,"Census Tract 4044, Alameda County, California",1,163464,6,5425,404400,3943,307.94807119184526
6,1,404600,6001404600,4046,Census Tract 4046,G5020,S,4827837,0,37.8198587,-122.1912195,1400000US06001404600,"Census Tract 4046, Alameda County, California",1,158867,6,4544,404600,3334,306.53033082925754
6,1,406700,6001406700,4067,Census Tract 4067,G5020,S,1683727,0,37.8033164,-122.2022249,1400000US06001406700,"Census Tract 4067, Alameda County, California",1,93133,6,4984,406700,2716,313.03623348692827
6,1,401100,6001401100,4011,Census Tract 4011,G5020,S,883273,0,37.8305038,-122.2638582,1400000US06001401100,"Census Tract 4011, Alameda County, California",1,78258,6,4205,401100,2351,312.8460044122118
6,1,401200,6001401200,4012,Census Tract 4012,G5020,S,665876,0,37.8306139,-122.2579003,1400000US06001401200,"Census Tract 4012, Alameda County, California",1,86824,6,2601,401200,1515,313.4516802603831
6,1,401300,6001401300,4013,Census Tract 4013,G5020,S,858458,0,37.8181162,-122.2666978,1400000US06001401300,"Census Tract 4013, Alameda County, California",1,43476,6,4054,401300,1585,312.9707407762233
6,1,402900,6001402900,4029,Census Tract 4029,G5020,S,391799,0,37.8071721,-122.2667847,1400000US06001402900,"Census Tract 4029, Alameda County, California",1,26786,6,1417,402900,365,312.3480095874128
6,1,401700,6001401700,4017,Census Tract 4017,G5020,S,5757361,5813128,37.8225184,-122.3077741,1400000US06001401700,"Census Tract 4017, Alameda County, California",1,86313,6,2769,401700,1214,310.97146302073145
6,1,983200,6001983200,9832,Census Tract 9832,G5020,S,494544,146456,37.7959455,-122.2772680,1400000US06001983200,"Census Tract 9832, Alameda County, California",1,159044,6,573,983200,317,312.7306779751582
6,1,405902,6001405902,4059.02,Census Tract 4059.02,G5020,S,487280,0,37.7909447,-122.2409530,1400000US06001405902,"Census Tract 4059.02, Alameda County, California",1,36000,6,3101,405902,590,314.09444971338553
6,1,410500,6001410500,4105,Census Tract 4105,G5020,S,724476,0,37.8100159,-122.2889571,1400000US06001410500,"Census Tract 4105, Alameda County, California",1,25536,6,2209,410500,179,313.4769450137779
6,1,981900,6001981900,9819,Census Tract 9819,G5020,S,3741388,1420107,37.8033573,-122.3198955,1400000US06001981900,"Census Tract 9819, Alameda County, California",1,108036,6,58,981900,58,312.34164012298015
6,1,403701,6001403701,4037.01,Census Tract 4037.01,G5020,S,173947,0,37.8112134,-122.2586656,1400000US06001403701,"Census Tract 4037.01, Alameda County, California",1,69421,6,2825,403701,1382,311.98020269014614
6,1,404102,6001404102,4041.02,Census Tract 4041.02,G5020,S,230172,0,37.8260219,-122.2510667,1400000US06001404102,"Census Tract 4041.02, Alameda County, California",1,81438,6,2422,404102,1834,311.9290966350273
6,1,406900,6001406900,4069,Census Tract 4069,G5020,S,873127,0,37.7932754,-122.1903789,1400000US06001406900,"Census Tract 4069, Alameda County, California",1,75721,6,3941,406900,1780,313.25360783796594
6,1,406601,6001406601,4066.01,Census Tract 4066.01,G5020,S,747404,0,37.7936093,-122.2079606,1400000US06001406601,"Census Tract 4066.01, Alameda County, California",1,48407,6,5181,406601,1055,314.80922642329847
6,1,405402,6001405402,4054.02,Census Tract 4054.02,G5020,S,285369,0,37.7933319,-122.2461006,1400000US06001405402,"Census Tract 4054.02, Alameda County, California",1,41521,6,3250,405402,404,315.31896322318426
6,1,403501,6001403501,4035.01,Census Tract 4035.01,G5020,S,669873,0,37.8177398,-122.2600504,1400000US06001403501,"Census Tract 4035.01, Alameda County, California",1,41348,6,4698,403501,1976,312.487000080716
6,1,406500,6001406500,4065,Census Tract 4065,G5020,S,745043,0,37.7880813,-122.2169867,1400000US06001406500,"Census Tract 4065, Alameda County, California",1,40989,6,6231,406500,1627,314.6110564393903
6,1,405901,6001405901,4059.01,Census Tract 4059.01,G5020,S,452588,0,37.7877860,-122.2357701,1400000US06001405901,"Census Tract 4059.01, Alameda County, California",1,36214,6,4583,405901,692,314.8029728585767
