STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
40,109,108003,40109108003,1080.03,Census Tract 1080.03,G5020,S,8233719,36659,35.4912595,-97.4004129,1400000US40109108003,"Census Tract 1080.03, Oklahoma County, Oklahoma",109,30306,40,4022,108003,1563,307.3515446791439
40,109,108519,40109108519,1085.19,Census Tract 1085.19,G5020,S,4986404,126571,35.5954340,-97.5939490,1400000US40109108519,"Census Tract 1085.19, Oklahoma County, Oklahoma",109,56402,40,3147,108519,2258,312.5241103294041
40,109,108520,40109108520,1085.20,Census Tract 1085.20,G5020,S,2552827,0,35.6017111,-97.5762809,1400000US40109108520,"Census Tract 1085.20, Oklahoma County, Oklahoma",109,108125,40,2222,108520,1827,311.26933229537514
40,109,108521,40109108521,1085.21,Census Tract 1085.21,G5020,S,2408415,0,35.5560288,-97.6450283,1400000US40109108521,"Census Tract 1085.21, Oklahoma County, Oklahoma",109,42457,40,1314,108521,777,314.91341002084516
40,109,108603,40109108603,1086.03,Census Tract 1086.03,G5020,S,15415005,22424,35.4039442,-97.6503700,1400000US40109108603,"Census Tract 1086.03, Oklahoma County, Oklahoma",109,69449,40,3705,108603,2939,311.6241791758005
40,17,301300,40017301300,3013,Census Tract 3013,G5020,S,106680405,379062,35.4574749,-97.7858473,1400000US40017301300,"Census Tract 3013, Canadian County, Oklahoma",17,98207,40,5677,301300,4536,311.63485251968433
40,109,108101,40109108101,1081.01,Census Tract 1081.01,G5020,S,48773756,34115,35.5735152,-97.3927866,1400000US40109108101,"Census Tract 1081.01, Oklahoma County, Oklahoma",109,162180,40,4335,108101,3667,308.2036575878177
40,109,108701,40109108701,1087.01,Census Tract 1087.01,G5020,S,20672613,0,35.4062730,-97.3355374,1400000US40109108701,"Census Tract 1087.01, Oklahoma County, Oklahoma",109,88839,40,2612,108701,2227,307.481653754636
40,17,300801,40017300801,3008.01,Census Tract 3008.01,G5020,S,152315202,1239807,35.5874859,-97.7541331,1400000US40017300801,"Census Tract 3008.01, Canadian County, Oklahoma",17,92162,40,10982,300801,8437,313.095360574726
40,17,300201,40017300201,3002.01,Census Tract 3002.01,G5020,S,264033762,3387696,35.6761348,-97.8262754,1400000US40017300201,"Census Tract 3002.01, Canadian County, Oklahoma",17,83345,40,6309,300201,5710,313.3273924822922
40,109,108707,40109108707,1087.07,Census Tract 1087.07,G5020,S,5127786,0,35.4426028,-97.3355235,1400000US40109108707,"Census Tract 1087.07, Oklahoma County, Oklahoma",109,75039,40,3989,108707,2909,308.02929989422273
40,109,108803,40109108803,1088.03,Census Tract 1088.03,G5020,S,10221226,0,35.5220188,-97.3356052,1400000US40109108803,"Census Tract 1088.03, Oklahoma County, Oklahoma",109,34479,40,1164,108803,79,307.0378537293916
40,109,108110,40109108110,1081.10,Census Tract 1081.10,G5020,S,12329693,0,35.5914426,-97.4487392,1400000US40109108110,"Census Tract 1081.10, Oklahoma County, Oklahoma",109,95865,40,4582,108110,3938,310.10616552456736
40,109,106502,40109106502,1065.02,Census Tract 1065.02,G5020,S,2431404,0,35.5179712,-97.5569126,1400000US40109106502,"Census Tract 1065.02, Oklahoma County, Oklahoma",109,49350,40,3816,106502,2322,315.001903154821
