STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
31,55,6804,31055006804,68.04,Census Tract 68.04,G5020,S,2636908,45853,41.2422698,-96.0734227,1400000US31055006804,"Census Tract 68.04, Douglas County, Nebraska",55,138750,31,1461,6804,1409,301.4896748585913
31,55,5902,31055005902,59.02,Census Tract 59.02,G5020,S,1581176,0,41.2941056,-95.9643599,1400000US31055005902,"Census Tract 59.02, Douglas County, Nebraska",55,26071,31,1744,5902,362,302.33679415716347
31,55,7441,31055007441,74.41,Census Tract 74.41,G5020,S,2579284,6214,41.2705829,-96.1690757,1400000US31055007441,"Census Tract 74.41, Douglas County, Nebraska",55,124519,31,2717,7441,2538,302.19889180256433
31,55,7505,31055007505,75.05,Census Tract 75.05,G5020,S,83112807,1002237,41.3465244,-96.2439752,1400000US31055007505,"Census Tract 75.05, Douglas County, Nebraska",55,92757,31,3468,7505,3406,302.6373398698908
31,55,7451,31055007451,74.51,Census Tract 74.51,G5020,S,5140823,550483,41.2287994,-96.1699824,1400000US31055007451,"Census Tract 74.51, Douglas County, Nebraska",55,78816,31,5381,7451,4583,302.13448386077687
31,55,7452,31055007452,74.52,Census Tract 74.52,G5020,S,3231794,188327,41.2186616,-96.1873494,1400000US31055007452,"Census Tract 74.52, Douglas County, Nebraska",55,109778,31,5001,7452,4776,302.728962286179
31,55,7101,31055007101,71.01,Census Tract 71.01,G5020,S,3141625,23130,41.2088660,-95.9994123,1400000US31055007101,"Census Tract 71.01, Douglas County, Nebraska",55,33736,31,3259,7101,2619,302.821660071549
31,55,6805,31055006805,68.05,Census Tract 68.05,G5020,S,3425686,15209,41.2422187,-96.0540690,1400000US31055006805,"Census Tract 68.05, Douglas County, Nebraska",55,91705,31,3450,6805,3340,301.8972605464098
31,55,200,31055000200,2,Census Tract 2,G5020,S,2609996,337046,41.3292366,-95.9516849,1400000US31055000200,"Census Tract 2, Douglas County, Nebraska",55,48858,31,3750,200,2351,302.226484772624
31,55,7431,31055007431,74.31,Census Tract 74.31,G5020,S,2588907,0,41.2993603,-96.1292474,1400000US31055007431,"Census Tract 74.31, Douglas County, Nebraska",55,96492,31,4762,7431,4197,303.41964614849206
31,55,7311,31055007311,73.11,Census Tract 73.11,G5020,S,1561127,0,41.3145721,-96.0757218,1400000US31055007311,"Census Tract 73.11, Douglas County, Nebraska",55,58375,31,3292,7311,1830,303.6664356356535
31,55,2100,31055002100,21,Census Tract 21,G5020,S,729602,0,41.2428718,-95.9339372,1400000US31055002100,"Census Tract 21, Douglas County, Nebraska",55,27917,31,2243,2100,1983,303.74480437278595
31,55,4400,31055004400,44,Census Tract 44,G5020,S,1305504,0,41.2537815,-95.9824041,1400000US31055004400,"Census Tract 44, Douglas County, Nebraska",55,55104,31,1324,4400,1244,304.3688408465054
31,55,7438,31055007438,74.38,Census Tract 74.38,G5020,S,2565711,22999,41.2845272,-96.1289397,1400000US31055007438,"Census Tract 74.38, Douglas County, Nebraska",55,66705,31,1921,7438,1876,302.15749061197164
31,55,6703,31055006703,67.03,Census Tract 67.03,G5020,S,2978450,12329,41.2572664,-96.0898229,1400000US31055006703,"Census Tract 67.03, Douglas County, Nebraska",55,59625,31,3126,6703,2875,303.3000539078042
31,55,500,31055000500,5,Census Tract 5,G5020,S,17647989,2532545,41.2966258,-95.9040273,1400000US31055000500,"Census Tract 5, Douglas County, Nebraska",55,47903,31,2331,500,1513,301.9548816107163
31,55,3401,31055003401,34.01,Census Tract 34.01,G5020,S,1466886,0,41.2326872,-95.9707879,1400000US31055003401,"Census Tract 34.01, Douglas County, Nebraska",55,48548,31,4107,3401,3430,303.27612148624684
31,55,5200,31055005200,52,Census Tract 52,G5020,S,761125,0,41.2771262,-95.9613296,1400000US31055005200,"Census Tract 52, Douglas County, Nebraska",55,27056,31,1661,5200,495,302.6762877913685
31,55,6303,31055006303,63.03,Census Tract 63.03,G5020,S,971858,0,41.2965023,-96.0046706,1400000US31055006303,"Census Tract 63.03, Douglas County, Nebraska",55,37039,31,2700,6303,1575,302.58921057902245
31,55,6503,31055006503,65.03,Census Tract 65.03,G5020,S,3647140,8937,41.3059682,-96.0387934,1400000US31055006503,"Census Tract 65.03, Douglas County, Nebraska",55,85547,31,2776,6503,2316,302.13448386077687
31,55,6504,31055006504,65.04,Census Tract 65.04,G5020,S,3654255,11596,41.2899945,-96.0387970,1400000US31055006504,"Census Tract 65.04, Douglas County, Nebraska",55,60817,31,3642,6504,2951,301.9733145774927
31,55,6505,31055006505,65.05,Census Tract 65.05,G5020,S,3242815,2101,41.3258369,-96.0143014,1400000US31055006505,"Census Tract 65.05, Douglas County, Nebraska",55,42452,31,1943,6505,1314,301.1015982014151
31,55,6506,31055006506,65.06,Census Tract 65.06,G5020,S,2060677,4431,41.3121529,-96.0132988,1400000US31055006506,"Census Tract 65.06, Douglas County, Nebraska",55,33790,31,3727,6506,1897,302.5295956348481
31,55,6602,31055006602,66.02,Census Tract 66.02,G5020,S,3173411,0,41.2713481,-96.0513384,1400000US31055006602,"Census Tract 66.02, Douglas County, Nebraska",55,44365,31,6223,6602,5419,303.1449802046702
31,55,6603,31055006603,66.03,Census Tract 66.03,G5020,S,1555241,12521,41.2823463,-96.0352705,1400000US31055006603,"Census Tract 66.03, Douglas County, Nebraska",55,27115,31,2653,6603,1374,302.7266725627292
31,55,7444,31055007444,74.44,Census Tract 74.44,G5020,S,2519107,13149,41.2728118,-96.0952929,1400000US31055007444,"Census Tract 74.44, Douglas County, Nebraska",55,48374,31,4533,7444,3000,304.51110167961355
31,55,7445,31055007445,74.45,Census Tract 74.45,G5020,S,2634223,0,41.2704818,-96.0719857,1400000US31055007445,"Census Tract 74.45, Douglas County, Nebraska",55,60729,31,2583,7445,2091,303.27954068911555
31,55,7446,31055007446,74.46,Census Tract 74.46,G5020,S,2545631,11924,41.2552147,-96.1672157,1400000US31055007446,"Census Tract 74.46, Douglas County, Nebraska",55,134333,31,3909,7446,3689,302.50207122070657
31,55,7447,31055007447,74.47,Census Tract 74.47,G5020,S,1328954,0,41.2559482,-96.1529920,1400000US31055007447,"Census Tract 74.47, Douglas County, Nebraska",55,70750,31,2638,7447,2499,302.4768350517492
31,55,7448,31055007448,74.48,Census Tract 74.48,G5020,S,2559530,1469,41.2561490,-96.1099476,1400000US31055007448,"Census Tract 74.48, Douglas County, Nebraska",55,115707,31,2840,7448,2622,302.42405163782763
31,55,7449,31055007449,74.49,Census Tract 74.49,G5020,S,2577206,0,41.2413465,-96.1865293,1400000US31055007449,"Census Tract 74.49, Douglas County, Nebraska",55,95000,31,3195,7449,2897,303.4071228921485
31,55,7450,31055007450,74.50,Census Tract 74.50,G5020,S,1989084,11554,41.2411173,-96.1727306,1400000US31055007450,"Census Tract 74.50, Douglas County, Nebraska",55,86420,31,3289,7450,3193,302.3712453629154
31,55,7453,31055007453,74.53,Census Tract 74.53,G5020,S,2463864,379033,41.2148535,-96.1680518,1400000US31055007453,"Census Tract 74.53, Douglas County, Nebraska",55,98289,31,3323,7453,3007,301.65957266303184
31,55,7455,31055007455,74.55,Census Tract 74.55,G5020,S,1297111,7884,41.2086211,-96.1289175,1400000US31055007455,"Census Tract 74.55, Douglas County, Nebraska",55,43000,31,1595,7455,1438,303.1244410532784
31,55,7454,31055007454,74.54,Census Tract 74.54,G5020,S,2359108,37975,41.2088469,-96.1486581,1400000US31055007454,"Census Tract 74.54, Douglas County, Nebraska",55,82799,31,4803,7454,4545,302.9028559590508
31,55,300,31055000300,3,Census Tract 3,G5020,S,1175627,19725,41.3117393,-95.9505323,1400000US31055000300,"Census Tract 3, Douglas County, Nebraska",55,29981,31,2421,300,799,301.86267477339436
31,55,400,31055000400,4,Census Tract 4,G5020,S,3744399,148564,41.3149839,-95.9362601,1400000US31055000400,"Census Tract 4, Douglas County, Nebraska",55,28542,31,2198,400,1783,301.63416094850004
31,55,6604,31055006604,66.04,Census Tract 66.04,G5020,S,2335729,22287,41.2709472,-96.0322033,1400000US31055006604,"Census Tract 66.04, Douglas County, Nebraska",55,51929,31,4020,6604,3311,303.0399661616527
31,55,6701,31055006701,67.01,Census Tract 67.01,G5020,S,5136476,14281,41.2574595,-96.0437839,1400000US31055006701,"Census Tract 67.01, Douglas County, Nebraska",55,71454,31,3761,6701,3481,302.59150288020885
31,55,6704,31055006704,67.04,Census Tract 67.04,G5020,S,2145461,99304,41.2559130,-96.0697077,1400000US31055006704,"Census Tract 67.04, Douglas County, Nebraska",55,100208,31,1658,6704,1506,302.4814238344345
31,55,6803,31055006803,68.03,Census Tract 68.03,G5020,S,2037067,9955,41.2422807,-96.0930225,1400000US31055006803,"Census Tract 68.03, Douglas County, Nebraska",55,60980,31,1944,6803,1769,302.13218294628365
31,55,7435,31055007435,74.35,Census Tract 74.35,G5020,S,1736446,0,41.3015759,-96.0618410,1400000US31055007435,"Census Tract 74.35, Douglas County, Nebraska",55,55952,31,3671,7435,2932,303.0148407754615
