STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
12,95,13702,12095013702,137.02,Census Tract 137.02,G5020,S,1970510,65998,28.5204988,-81.3425952,1400000US12095013702,"Census Tract 137.02, Orange County, Florida",95,47771,12,5721,13702,4488,304.5088448446327
12,95,18300,12095018300,183,Census Tract 183,G5020,S,5222661,279545,28.5459670,-81.4176181,1400000US12095018300,"Census Tract 183, Orange County, Florida",95,39274,12,2366,18300,865,304.4682147960334
12,95,16733,12095016733,167.33,Census Tract 167.33,G5020,S,3020118,10586,28.4756444,-81.2764039,1400000US12095016733,"Census Tract 167.33, Orange County, Florida",95,55127,12,6165,16733,3853,304.1392988408737
12,95,13507,12095013507,135.07,Census Tract 135.07,G5020,S,10058458,1345823,28.4622490,-81.2919517,1400000US12095013507,"Census Tract 135.07, Orange County, Florida",95,41318,12,7402,13507,5099,302.36894891886647
12,95,13201,12095013201,132.01,Census Tract 132.01,G5020,S,2595711,26907,28.5469342,-81.3050746,1400000US12095013201,"Census Tract 132.01, Orange County, Florida",95,40246,12,4621,13201,3836,304.85591540261595
12,95,13606,12095013606,136.06,Census Tract 136.06,G5020,S,7411882,567987,28.4623795,-81.3274628,1400000US12095013606,"Census Tract 136.06, Orange County, Florida",95,34116,12,3526,13606,2672,301.46307061214037
12,95,18900,12095018900,189,Census Tract 189,G5020,S,4246946,158264,28.5489752,-81.3843042,1400000US12095018900,"Census Tract 189, Orange County, Florida",95,43636,12,7703,18900,4335,304.79513535629565
12,95,13701,12095013701,137.01,Census Tract 137.01,G5020,S,1330378,24207,28.5154948,-81.3443860,1400000US12095013701,"Census Tract 137.01, Orange County, Florida",95,37838,12,4972,13701,3866,303.9705459225749
12,95,13406,12095013406,134.06,Census Tract 134.06,G5020,S,1386341,0,28.5277438,-81.3038846,1400000US12095013406,"Census Tract 134.06, Orange County, Florida",95,34745,12,3781,13406,2774,304.86941805030824
12,95,13508,12095013508,135.08,Census Tract 135.08,G5020,S,695552,322972,28.5037190,-81.3059860,1400000US12095013508,"Census Tract 135.08, Orange County, Florida",95,32813,12,2993,13508,2297,303.7186869954382
12,95,13510,12095013510,135.10,Census Tract 135.10,G5020,S,456017,0,28.5143935,-81.3067403,1400000US12095013510,"Census Tract 135.10, Orange County, Florida",95,28929,12,2075,13510,1635,304.61712667999655
12,95,13509,12095013509,135.09,Census Tract 135.09,G5020,S,634609,0,28.5063683,-81.3011533,1400000US12095013509,"Census Tract 135.09, Orange County, Florida",95,45265,12,1311,13509,1128,302.841106246227
12,95,13512,12095013512,135.12,Census Tract 135.12,G5020,S,1983258,12358,28.4902588,-81.3048513,1400000US12095013512,"Census Tract 135.12, Orange County, Florida",95,28852,12,5783,13512,3832,304.2196303933824
12,95,14608,12095014608,146.08,Census Tract 146.08,G5020,S,2246015,195124,28.5210101,-81.4478173,1400000US12095014608,"Census Tract 146.08, Orange County, Florida",95,38246,12,4531,14608,1152,303.52547366170194
12,95,14609,12095014609,146.09,Census Tract 146.09,G5020,S,2669496,0,28.5113167,-81.4495763,1400000US12095014609,"Census Tract 146.09, Orange County, Florida",95,41650,12,6119,14609,2325,303.55959216444705
12,95,13405,12095013405,134.05,Census Tract 134.05,G5020,S,623110,0,28.5230337,-81.2973572,1400000US12095013405,"Census Tract 134.05, Orange County, Florida",95,30212,12,2171,13405,1424,304.68024752463094
12,95,13607,12095013607,136.07,Census Tract 136.07,G5020,S,3364541,11037,28.4911929,-81.3218576,1400000US12095013607,"Census Tract 136.07, Orange County, Florida",95,57807,12,5074,13607,4125,302.781614093577
12,95,11000,12095011000,110,Census Tract 110,G5020,S,1730739,0,28.5419672,-81.3538319,1400000US12095011000,"Census Tract 110, Orange County, Florida",95,45458,12,3125,11000,2298,304.03626235955676
12,95,14601,12095014601,146.01,Census Tract 146.01,G5020,S,3927103,0,28.5354042,-81.4452026,1400000US12095014601,"Census Tract 146.01, Orange County, Florida",95,28833,12,7719,14601,499,303.75956392217563
12,95,12403,12095012403,124.03,Census Tract 124.03,G5020,S,6836325,156245,28.5853691,-81.4339188,1400000US12095012403,"Census Tract 124.03, Orange County, Florida",95,33750,12,4969,12403,1268,304.35528368140996
12,95,14807,12095014807,148.07,Census Tract 148.07,G5020,S,4854421,894670,28.5236695,-81.4870445,1400000US12095014807,"Census Tract 148.07, Orange County, Florida",95,60425,12,6368,14807,4215,303.910464117783
12,95,17001,12095017001,170.01,Census Tract 170.01,G5020,S,27308084,449403,28.4402342,-81.4541071,1400000US12095017001,"Census Tract 170.01, Orange County, Florida",95,47303,12,4217,17001,1538,305.1021086734395
12,95,11600,12095011600,116,Census Tract 116,G5020,S,3795659,1414309,28.5223329,-81.3991651,1400000US12095011600,"Census Tract 116, Orange County, Florida",95,26680,12,5296,11600,1021,304.24903454758385
12,95,16804,12095016804,168.04,Census Tract 168.04,G5020,S,16080749,137471,28.4092446,-81.3529456,1400000US12095016804,"Census Tract 168.04, Orange County, Florida",95,53529,12,4284,16804,2266,302.5697242810555
12,95,11701,12095011701,117.01,Census Tract 117.01,G5020,S,2743673,1069476,28.5308646,-81.4222508,1400000US12095011701,"Census Tract 117.01, Orange County, Florida",95,34194,12,4684,11701,245,303.75729333723933
12,95,14000,12095014000,140,Census Tract 140,G5020,S,5158805,3159761,28.4854032,-81.3524254,1400000US12095014000,"Census Tract 140, Orange County, Florida",95,74152,12,6223,14000,5668,304.1098686036255
12,95,14811,12095014811,148.11,Census Tract 148.11,G5020,S,5286896,474236,28.4796879,-81.4801016,1400000US12095014811,"Census Tract 148.11, Orange County, Florida",95,92262,12,5209,14811,4701,304.5302831205463
12,95,12500,12095012500,125,Census Tract 125,G5020,S,2046397,1722287,28.5886685,-81.4040423,1400000US12095012500,"Census Tract 125, Orange County, Florida",95,61375,12,2145,12500,1984,303.160952723203
12,95,12800,12095012800,128,Census Tract 128,G5020,S,3263507,1048090,28.5754343,-81.3577230,1400000US12095012800,"Census Tract 128, Orange County, Florida",95,104385,12,3735,12800,3383,303.1495439935813
12,95,11702,12095011702,117.02,Census Tract 117.02,G5020,S,2370764,127165,28.5277905,-81.4163629,1400000US12095011702,"Census Tract 117.02, Orange County, Florida",95,29192,12,2970,11702,57,303.3103092327479
12,95,16802,12095016802,168.02,Census Tract 168.02,G5020,S,86679211,4922525,28.4025411,-81.2944984,1400000US12095016802,"Census Tract 168.02, Orange County, Florida",95,80745,12,10168,16802,7917,301.2453899469333
12,95,11300,12095011300,113,Census Tract 113,G5020,S,2869669,277397,28.5221156,-81.3686756,1400000US12095011300,"Census Tract 113, Orange County, Florida",95,56424,12,5308,11300,4101,303.5823325812857
12,95,14812,12095014812,148.12,Census Tract 148.12,G5020,S,6841926,394312,28.4805056,-81.4670317,1400000US12095014812,"Census Tract 148.12, Orange County, Florida",95,36596,12,5856,14812,3501,304.4704723699671
12,95,13803,12095013803,138.03,Census Tract 138.03,G5020,S,1568315,78176,28.5051057,-81.3339996,1400000US12095013803,"Census Tract 138.03, Orange County, Florida",95,65694,12,2650,13803,2277,303.5652776624013
12,95,10200,12095010200,102,Census Tract 102,G5020,S,1777886,159774,28.5446900,-81.3692220,1400000US12095010200,"Census Tract 102, Orange County, Florida",95,68564,12,4777,10200,4207,304.0974152414349
12,95,12900,12095012900,129,Census Tract 129,G5020,S,2741163,160140,28.5608994,-81.3383439,1400000US12095012900,"Census Tract 129, Orange County, Florida",95,72991,12,2652,12900,2240,303.9626122645344
12,95,13300,12095013300,133,Census Tract 133,G5020,S,3292935,41586,28.5323117,-81.3205694,1400000US12095013300,"Census Tract 133, Orange County, Florida",95,41050,12,7139,13300,5937,304.45918408952895
12,95,10400,12095010400,104,Census Tract 104,G5020,S,549354,0,28.5332053,-81.3907756,1400000US12095010400,"Census Tract 104, Orange County, Florida",95,16250,12,1379,10400,253,304.07929902150653
12,95,10500,12095010500,105,Census Tract 105,G5020,S,787551,0,28.5376715,-81.3900262,1400000US12095010500,"Census Tract 105, Orange County, Florida",95,21453,12,1286,10500,35,304.19248189815073
12,95,13505,12095013505,135.05,Census Tract 135.05,G5020,S,2492685,61954,28.5085699,-81.2966971,1400000US12095013505,"Census Tract 135.05, Orange County, Florida",95,32194,12,4477,13505,3553,303.2293828368575
12,95,13603,12095013603,136.03,Census Tract 136.03,G5020,S,2186211,22085,28.5191480,-81.3190755,1400000US12095013603,"Census Tract 136.03, Orange County, Florida",95,41684,12,5174,13603,4547,304.47272990282846
12,95,13604,12095013604,136.04,Census Tract 136.04,G5020,S,1722421,158290,28.5076251,-81.3198043,1400000US12095013604,"Census Tract 136.04, Orange County, Florida",95,46323,12,6091,13604,4615,304.1234526599813
12,95,18700,12095018700,187,Census Tract 187,G5020,S,9627909,433445,28.5637374,-81.4217934,1400000US12095018700,"Census Tract 187, Orange County, Florida",95,22315,12,5739,18700,1475,302.9737153916231
12,95,12401,12095012401,124.01,Census Tract 124.01,G5020,S,2833865,85601,28.6039839,-81.4426921,1400000US12095012401,"Census Tract 124.01, Orange County, Florida",95,36161,12,8601,12401,2325,303.9025265996412
12,95,18800,12095018800,188,Census Tract 188,G5020,S,2818867,438013,28.5629679,-81.3722749,1400000US12095018800,"Census Tract 188, Orange County, Florida",95,65881,12,3889,18800,3058,304.3711002298933
12,95,10802,12095010802,108.02,Census Tract 108.02,G5020,S,1776779,0,28.5597440,-81.3579641,1400000US12095010802,"Census Tract 108.02, Orange County, Florida",95,60762,12,2855,10802,2480,303.6164353349859
12,95,13403,12095013403,134.03,Census Tract 134.03,G5020,S,1268493,0,28.5358278,-81.3020568,1400000US12095013403,"Census Tract 134.03, Orange County, Florida",95,32417,12,3711,13403,3275,304.1359034015256
12,95,13402,12095013402,134.02,Census Tract 134.02,G5020,S,1992233,0,28.5289264,-81.2902008,1400000US12095013402,"Census Tract 134.02, Orange County, Florida",95,46162,12,3706,13402,2783,300.17209262948654
12,95,11100,12095011100,111,Census Tract 111,G5020,S,1434327,441120,28.5316735,-81.3376175,1400000US12095011100,"Census Tract 111, Orange County, Florida",95,57544,12,3392,11100,3091,303.777727097016
12,95,13605,12095013605,136.05,Census Tract 136.05,G5020,S,1958930,323154,28.4977732,-81.3210489,1400000US12095013605,"Census Tract 136.05, Orange County, Florida",95,37034,12,3993,13605,3304,303.8582939406969
12,95,13801,12095013801,138.01,Census Tract 138.01,G5020,S,1308956,0,28.5058481,-81.3556665,1400000US12095013801,"Census Tract 138.01, Orange County, Florida",95,50714,12,2528,13801,2195,304.72306127914857
12,95,12000,12095012000,120,Census Tract 120,G5020,S,3089468,332344,28.5689718,-81.4436590,1400000US12095012000,"Census Tract 120, Orange County, Florida",95,28125,12,7962,12000,733,305.8645835629566
12,95,11200,12095011200,112,Census Tract 112,G5020,S,2206975,37961,28.5302355,-81.3502600,1400000US12095011200,"Census Tract 112, Orange County, Florida",95,74297,12,3339,11200,2869,303.6414380217233
12,95,10300,12095010300,103,Census Tract 103,G5020,S,1625852,208728,28.5337973,-81.3687778,1400000US12095010300,"Census Tract 103, Orange County, Florida",95,42835,12,2455,10300,2099,302.7037729688874
12,95,13503,12095013503,135.03,Census Tract 135.03,G5020,S,431554,0,28.5196894,-81.3066154,1400000US12095013503,"Census Tract 135.03, Orange County, Florida",95,30507,12,2432,13503,1605,305.5516462910606
12,95,16704,12095016704,167.04,Census Tract 167.04,G5020,S,390068875,18806191,28.4236711,-81.0319036,1400000US12095016704,"Census Tract 167.04, Orange County, Florida",95,81079,12,21615,16704,16603,300.62260181221404
12,95,13900,12095013900,139,Census Tract 139,G5020,S,2837988,575096,28.5059314,-81.3694864,1400000US12095013900,"Census Tract 139, Orange County, Florida",95,54234,12,3737,13900,3215,304.32590473614965
12,95,15402,12095015402,154.02,Census Tract 154.02,G5020,S,2113243,945994,28.5954859,-81.3792589,1400000US12095015402,"Census Tract 154.02, Orange County, Florida",95,41866,12,2146,15402,1759,304.7163021926592
12,95,15202,12095015202,152.02,Census Tract 152.02,G5020,S,5227825,240437,28.6099918,-81.4054522,1400000US12095015202,"Census Tract 152.02, Orange County, Florida",95,28875,12,7002,15202,3521,302.98971023678035
12,95,12402,12095012402,124.02,Census Tract 124.02,G5020,S,2549518,756951,28.6011532,-81.4293637,1400000US12095012402,"Census Tract 124.02, Orange County, Florida",95,31000,12,5845,12402,1771,303.1244410532784
12,95,12600,12095012600,126,Census Tract 126,G5020,S,3518238,377097,28.5696855,-81.3966097,1400000US12095012600,"Census Tract 126, Orange County, Florida",95,82339,12,5307,12600,4774,304.0022754617838
12,95,12701,12095012701,127.01,Census Tract 127.01,G5020,S,2467824,255939,28.5726179,-81.3822265,1400000US12095012701,"Census Tract 127.01, Orange County, Florida",95,72083,12,5059,12701,4298,303.7879427076538
12,95,14400,12095014400,144,Census Tract 144,G5020,S,2669650,1081535,28.4979718,-81.3860273,1400000US12095014400,"Census Tract 144, Orange County, Florida",95,53355,12,3540,14400,2311,303.8140454256614
12,95,14503,12095014503,145.03,Census Tract 145.03,G5020,S,1657310,362234,28.5021592,-81.4100818,1400000US12095014503,"Census Tract 145.03, Orange County, Florida",95,24448,12,4979,14503,2205,302.92800432210436
12,95,14502,12095014502,145.02,Census Tract 145.02,G5020,S,1276085,193383,28.4986648,-81.4020980,1400000US12095014502,"Census Tract 145.02, Orange County, Florida",95,24946,12,5095,14502,1199,305.1818205367788
12,95,14813,12095014813,148.13,Census Tract 148.13,G5020,S,2382470,411486,28.4534234,-81.4876147,1400000US12095014813,"Census Tract 148.13, Orange County, Florida",95,70278,12,4083,14813,3096,304.7005295619026
12,95,14605,12095014605,146.05,Census Tract 146.05,G5020,S,2299029,151142,28.5185458,-81.4315243,1400000US12095014605,"Census Tract 146.05, Orange County, Florida",95,31047,12,4670,14605,41,304.3055613859462
12,95,15300,12095015300,153,Census Tract 153,G5020,S,3888362,361663,28.5939731,-81.3911714,1400000US12095015300,"Census Tract 153, Orange County, Florida",95,63818,12,3442,15300,3015,302.939433689031
12,95,14607,12095014607,146.07,Census Tract 146.07,G5020,S,2787823,53790,28.4918318,-81.4457775,1400000US12095014607,"Census Tract 146.07, Orange County, Florida",95,40311,12,5909,14607,3294,303.73458518828573
12,95,14606,12095014606,146.06,Census Tract 146.06,G5020,S,4107904,6247,28.5024968,-81.4316808,1400000US12095014606,"Census Tract 146.06, Orange County, Florida",95,32372,12,7267,14606,3792,304.5968310256282
12,95,14702,12095014702,147.02,Census Tract 147.02,G5020,S,1802739,143180,28.5332632,-81.4686274,1400000US12095014702,"Census Tract 147.02, Orange County, Florida",95,35716,12,5580,14702,3145,304.4004684680013
