STATEFP,COUNTYFP,TRACTCE,GEOID,NAME_x,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_ID,NAME_y,county,median_hou,state,total_popu,tract,white_popu,_median
42,101,36501,42101036501,365.01,Census Tract 365.01,G5020,S,1816210,7168,40.1288937,-75.0122761,1400000US42101036501,"Census Tract 365.01, Philadelphia County, Pennsylvania",101,45610,42,5262,36501,4358,302.7999224531525
42,101,801,42101000801,8.01,Census Tract 8.01,G5020,S,99957,12755,39.9497374,-75.1804054,1400000US42101000801,"Census Tract 8.01, Philadelphia County, Pennsylvania",101,94821,42,1407,801,1174,303.2088578083226
42,101,26301,42101026301,263.01,Census Tract 263.01,G5020,S,406340,0,40.0728148,-75.1637161,1400000US42101026301,"Census Tract 263.01, Philadelphia County, Pennsylvania",101,41074,42,3969,26301,21,304.5697649938419
42,101,29200,42101029200,292,Census Tract 292,G5020,S,1732845,28348,40.0249460,-75.1021543,1400000US42101029200,"Census Tract 292, Philadelphia County, Pennsylvania",101,45092,42,4848,29200,935,300.71343214808655
42,101,24400,42101024400,244,Census Tract 244,G5020,S,421189,0,40.0248284,-75.1638925,1400000US42101024400,"Census Tract 244, Philadelphia County, Pennsylvania",101,26489,42,2993,24400,278,304.12911224328093
42,101,33200,42101033200,332,Census Tract 332,G5020,S,828427,0,40.0439412,-75.0448282,1400000US42101033200,"Census Tract 332, Philadelphia County, Pennsylvania",101,64408,42,2680,33200,2354,302.0009587832985
42,101,980200,42101980200,9802,Census Tract 9802,G5020,S,5199572,250846,40.0714709,-75.0443910,1400000US42101980200,"Census Tract 9802, Philadelphia County, Pennsylvania",101,106875,42,637,980200,503,296.4711975820907
42,101,100,42101000100,1,Census Tract 1,G5020,S,704917,0,39.9523827,-75.1466629,1400000US42101000100,"Census Tract 1, Philadelphia County, Pennsylvania",101,109738,42,4155,100,2990,304.9234140046142
42,101,200,42101000200,2,Census Tract 2,G5020,S,382481,0,39.9553999,-75.1569774,1400000US42101000200,"Census Tract 2, Philadelphia County, Pennsylvania",101,30746,42,2683,200,698,305.4721699899937
42,101,300,42101000300,3,Census Tract 3,G5020,S,546270,22680,39.9569074,-75.1712767,1400000US42101000300,"Census Tract 3, Philadelphia County, Pennsylvania",101,84135,42,3534,300,2603,303.3638509165891
42,101,38700,42101038700,387,Census Tract 387,G5020,S,2051439,22052,40.0833124,-75.2130760,1400000US42101038700,"Census Tract 387, Philadelphia County, Pennsylvania",101,137500,42,2595,38700,2027,298.883573649638
42,101,38800,42101038800,388,Census Tract 388,G5020,S,1383580,4751,40.0571595,-75.1982438,1400000US42101038800,"Census Tract 388, Philadelphia County, Pennsylvania",101,72386,42,3783,38800,2286,300.0012497453094
42,101,38900,42101038900,389,Census Tract 389,G5020,S,1280550,0,40.0543431,-75.1682764,1400000US42101038900,"Census Tract 389, Philadelphia County, Pennsylvania",101,33963,42,3510,38900,279,301.6757409785936
42,101,37900,42101037900,379,Census Tract 379,G5020,S,1374530,11284,39.9914067,-75.0923741,1400000US42101037900,"Census Tract 379, Philadelphia County, Pennsylvania",101,51250,42,5040,37900,4953,305.7596130867964
42,101,38200,42101038200,382,Census Tract 382,G5020,S,1828678,13222,39.9963741,-75.0973643,1400000US42101038200,"Census Tract 382, Philadelphia County, Pennsylvania",101,28476,42,2798,38200,1750,306.66128482408743
42,101,38000,42101038000,380,Census Tract 380,G5020,S,874371,7009,40.0052447,-75.0814777,1400000US42101038000,"Census Tract 380, Philadelphia County, Pennsylvania",101,40161,42,2282,38000,1893,305.26260316082573
42,101,38300,42101038300,383,Census Tract 383,G5020,S,3064521,0,40.0108631,-75.1248984,1400000US42101038300,"Census Tract 383, Philadelphia County, Pennsylvania",101,17589,42,3346,38300,1239,305.61429626445596
42,101,39000,42101039000,390,Census Tract 390,G5020,S,2032693,0,40.0357300,-75.0938840,1400000US42101039000,"Census Tract 390, Philadelphia County, Pennsylvania",101,28671,42,9466,39000,2199,305.05830160513125
42,101,38100,42101038100,381,Census Tract 381,G5020,S,3322103,1643545,40.0189334,-75.0399564,1400000US42101038100,"Census Tract 381, Philadelphia County, Pennsylvania",101,32083,42,834,38100,513,304.1698536031892
42,101,1001,42101001001,10.01,Census Tract 10.01,G5020,S,229397,0,39.9456722,-75.1516020,1400000US42101001001,"Census Tract 10.01, Philadelphia County, Pennsylvania",101,99250,42,2572,1001,2297,303.72095829135736
42,101,402,42101000402,4.02,Census Tract 4.02,G5020,S,303681,0,39.9532973,-75.1686952,1400000US42101000402,"Census Tract 4.02, Philadelphia County, Pennsylvania",101,72866,42,3299,402,2807,302.3528725986819
42,101,36900,42101036900,369,Census Tract 369,G5020,S,1855494,193283,39.9487238,-75.1937601,1400000US42101036900,"Census Tract 369, Philadelphia County, Pennsylvania",101,43281,42,5740,36900,3633,303.68234056838065
42,101,37300,42101037300,373,Census Tract 373,G5020,S,2587541,145213,39.9024981,-75.1879361,1400000US42101037300,"Census Tract 373, Philadelphia County, Pennsylvania",101,79042,42,5603,37300,5038,300.833269658909
42,101,37200,42101037200,372,Census Tract 372,G5020,S,1027184,0,39.9129542,-75.1599458,1400000US42101037200,"Census Tract 372, Philadelphia County, Pennsylvania",101,60530,42,4520,37200,3165,304.8491635295679
42,101,38400,42101038400,384,Census Tract 384,G5020,S,2544822,0,40.0714089,-75.2332557,1400000US42101038400,"Census Tract 384, Philadelphia County, Pennsylvania",101,83646,42,2474,38400,2125,297.87093914031374
42,101,38600,42101038600,386,Census Tract 386,G5020,S,3304390,32072,40.0582762,-75.2110913,1400000US42101038600,"Census Tract 386, Philadelphia County, Pennsylvania",101,148438,42,1390,38600,1149,297.4289648114673
42,101,38500,42101038500,385,Census Tract 385,G5020,S,1336767,2576,40.0757528,-75.2146234,1400000US42101038500,"Census Tract 385, Philadelphia County, Pennsylvania",101,89643,42,1902,38500,1553,298.93911747136775
42,101,25500,42101025500,255,Census Tract 255,G5020,S,766603,0,40.0625796,-75.1840640,1400000US42101025500,"Census Tract 255, Philadelphia County, Pennsylvania",101,62162,42,2808,25500,875,301.15496030448065
42,101,25600,42101025600,256,Census Tract 256,G5020,S,865285,1982,40.0683411,-75.1883025,1400000US42101025600,"Census Tract 256, Philadelphia County, Pennsylvania",101,81726,42,2634,25600,1375,300.62260181221404
42,101,25700,42101025700,257,Census Tract 257,G5020,S,746916,0,40.0724585,-75.1962817,1400000US42101025700,"Census Tract 257, Philadelphia County, Pennsylvania",101,56758,42,3944,25700,1639,301.93644584543864
42,101,25800,42101025800,258,Census Tract 258,G5020,S,586720,0,40.0739801,-75.1823113,1400000US42101025800,"Census Tract 258, Philadelphia County, Pennsylvania",101,53233,42,1620,25800,76,301.7784748491683
42,101,25900,42101025900,259,Census Tract 259,G5020,S,549417,0,40.0799254,-75.1759762,1400000US42101025900,"Census Tract 259, Philadelphia County, Pennsylvania",101,45788,42,4812,25900,52,304.5765320547547
42,101,17602,42101017602,176.02,Census Tract 176.02,G5020,S,400460,0,39.9967182,-75.1305528,1400000US42101017602,"Census Tract 176.02, Philadelphia County, Pennsylvania",101,18651,42,4353,17602,2228,307.0842935052897
42,101,17800,42101017800,178,Census Tract 178,G5020,S,662615,0,39.9913752,-75.1173040,1400000US42101017800,"Census Tract 178, Philadelphia County, Pennsylvania",101,17014,42,5728,17800,2686,306.85635440177526
42,101,17900,42101017900,179,Census Tract 179,G5020,S,714138,0,39.9870535,-75.1139355,1400000US42101017900,"Census Tract 179, Philadelphia County, Pennsylvania",101,32337,42,6382,17900,3227,306.22795226001665
42,101,17701,42101017701,177.01,Census Tract 177.01,G5020,S,241053,0,39.9964470,-75.1167526,1400000US42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania",101,19250,42,3849,17701,1137,307.4485877846358
42,101,35601,42101035601,356.01,Census Tract 356.01,G5020,S,2029701,12502,40.0976749,-75.0375069,1400000US42101035601,"Census Tract 356.01, Philadelphia County, Pennsylvania",101,52465,42,5812,35601,4824,303.1632343418342
42,101,980400,42101980400,9804,Census Tract 9804,G5020,S,2954730,11766,39.8800588,-75.2281211,1400000US42101980400,"Census Tract 9804, Philadelphia County, Pennsylvania",101,-666666666,42,0,980400,0,304.82440352808186
42,101,13402,42101013402,134.02,Census Tract 134.02,G5020,S,238612,0,39.9653623,-75.1690326,1400000US42101013402,"Census Tract 134.02, Philadelphia County, Pennsylvania",101,90956,42,2913,13402,2490,304.6836280939711
42,101,13601,42101013601,136.01,Census Tract 136.01,G5020,S,167669,0,39.9689697,-75.1785782,1400000US42101013601,"Census Tract 136.01, Philadelphia County, Pennsylvania",101,108796,42,2654,13601,2152,304.38239652927905
42,101,8801,42101008801,88.01,Census Tract 88.01,G5020,S,184674,0,39.9539319,-75.1984477,1400000US42101008801,"Census Tract 88.01, Philadelphia County, Pennsylvania",101,18125,42,2320,8801,1503,305.8422567691812
42,101,980500,42101980500,9805,Census Tract 9805,G5020,S,416088,0,40.0175291,-75.1439067,1400000US42101980500,"Census Tract 9805, Philadelphia County, Pennsylvania",101,-666666666,42,0,980500,0,301.6930617794964
42,101,15200,42101015200,152,Census Tract 152,G5020,S,669100,0,39.9854546,-75.1700491,1400000US42101015200,"Census Tract 152, Philadelphia County, Pennsylvania",101,20337,42,5861,15200,169,305.16161671212177
42,101,18300,42101018300,183,Census Tract 183,G5020,S,1799341,124645,39.9956035,-75.0746225,1400000US42101018300,"Census Tract 183, Philadelphia County, Pennsylvania",101,65833,42,3985,18300,3891,303.4014300812376
42,101,18400,42101018400,184,Census Tract 184,G5020,S,1320285,998923,40.0033336,-75.0629819,1400000US42101018400,"Census Tract 184, Philadelphia County, Pennsylvania",101,51899,42,2241,18400,2193,304.8784190019992
42,101,19000,42101019000,190,Census Tract 190,G5020,S,778607,6097,40.0095015,-75.0986136,1400000US42101019000,"Census Tract 190, Philadelphia County, Pennsylvania",101,35589,42,8220,19000,2949,306.2724652003494
42,101,19100,42101019100,191,Census Tract 191,G5020,S,1439045,10675,40.0090421,-75.1072110,1400000US42101019100,"Census Tract 191, Philadelphia County, Pennsylvania",101,32878,42,8712,19100,3969,305.8344414533064
42,101,19200,42101019200,192,Census Tract 192,G5020,S,656913,0,40.0006393,-75.1150648,1400000US42101019200,"Census Tract 192, Philadelphia County, Pennsylvania",101,25446,42,8899,19200,4484,307.3989727169665
42,101,19700,42101019700,197,Census Tract 197,G5020,S,450587,0,40.0162799,-75.1379372,1400000US42101019700,"Census Tract 197, Philadelphia County, Pennsylvania",101,18763,42,7057,19700,1762,307.31734139782964
42,101,19800,42101019800,198,Census Tract 198,G5020,S,540315,0,40.0107190,-75.1421410,1400000US42101019800,"Census Tract 198, Philadelphia County, Pennsylvania",101,23031,42,6595,19800,1244,307.23676181764597
42,101,19900,42101019900,199,Census Tract 199,G5020,S,661885,0,40.0048515,-75.1435463,1400000US42101019900,"Census Tract 199, Philadelphia County, Pennsylvania",101,14838,42,4079,19900,1635,306.5369927834261
42,101,20000,42101020000,200,Census Tract 200,G5020,S,316769,0,40.0025312,-75.1508996,1400000US42101020000,"Census Tract 200, Philadelphia County, Pennsylvania",101,19943,42,1278,20000,132,305.94938920139134
42,101,20200,42101020200,202,Census Tract 202,G5020,S,756814,0,40.0081282,-75.1621609,1400000US42101020200,"Census Tract 202, Philadelphia County, Pennsylvania",101,14751,42,4158,20200,361,305.09424699905543
42,101,20300,42101020300,203,Census Tract 203,G5020,S,508186,0,40.0125819,-75.1495922,1400000US42101020300,"Census Tract 203, Philadelphia County, Pennsylvania",101,19436,42,2786,20300,223,305.94046498739925
42,101,20400,42101020400,204,Census Tract 204,G5020,S,407373,0,40.0198216,-75.1525117,1400000US42101020400,"Census Tract 204, Philadelphia County, Pennsylvania",101,21495,42,2494,20400,160,305.7350328435179
42,101,20500,42101020500,205,Census Tract 205,G5020,S,1429508,0,40.0158738,-75.1643607,1400000US42101020500,"Census Tract 205, Philadelphia County, Pennsylvania",101,16761,42,2505,20500,206,304.66897829613987
42,101,20600,42101020600,206,Census Tract 206,G5020,S,1295909,56782,40.0197999,-75.1827740,1400000US42101020600,"Census Tract 206, Philadelphia County, Pennsylvania",101,45469,42,1577,20600,824,301.6503326564758
42,101,20700,42101020700,207,Census Tract 207,G5020,S,1426194,97228,40.0126929,-75.1944867,1400000US42101020700,"Census Tract 207, Philadelphia County, Pennsylvania",101,65385,42,5849,20700,4379,301.7657821195461
42,101,20800,42101020800,208,Census Tract 208,G5020,S,882332,0,40.0213000,-75.1936302,1400000US42101020800,"Census Tract 208, Philadelphia County, Pennsylvania",101,45566,42,2226,20800,1065,299.712836889012
42,101,20900,42101020900,209,Census Tract 209,G5020,S,509953,35427,40.0186576,-75.2089795,1400000US42101020900,"Census Tract 209, Philadelphia County, Pennsylvania",101,57188,42,2559,20900,2268,302.584625847535
